指標名,大学キャンパス,,,,,,,
出典,教育ソリューション株式会社「全国学校データ」,,,,,,,
年次,JPC2021,,,,,,,
URL,https://kyouikusolution.co.jp/,,,,,,,
備考,JPC2021データ,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,大学,キャンパス,運営者区分
新宿区,戸山１丁目,-,東京都新宿区戸山１－２４－１,35.705137,139.717786,早稲田大学,戸山キャンパス,私立
新宿区,大久保３丁目,-,東京都新宿区大久保３－４－１,35.705887,139.706035,早稲田大学,西早稲田キャンパス,私立
新宿区,喜久井町,-,東京都新宿区喜久井町１７,35.703618,139.722095,早稲田大学,喜久井町キャンパス,私立
中央区,日本橋１丁目,日八京,東京都中央区日本橋１－４－１日本橋一丁目ビルディング５Ｆ（コレド日本橋）,35.682525,139.774616,早稲田大学,日本橋キャンパス,私立
中央区,日本橋２丁目,日八京,東京都中央区日本橋２－１７－３,35.682654,139.772563,大学院大学至善館,-,私立
千代田区,西神田２丁目,-,東京都千代田区西神田２－２－１０,35.698787,139.755694,大原大学院大学,-,私立
千代田区,三番町,-,東京都千代田区三番町１２,35.690989,139.742360,大妻女子大学,千代田キャンパス,私立
新宿区,市谷田町１丁目,-,東京都新宿区市谷田町１－１８,35.693687,139.736605,中央大学,市ヶ谷田町キャンパス,私立
新宿区,市谷本村町,-,東京都新宿区市谷本村町４２－８,35.692769,139.730077,中央大学,市ヶ谷キャンパス,私立
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ヶ谷１－１８－２４,35.680371,139.711163,津田塾大学,千駄ヶ谷キャンパス,私立
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷２－２８－４,35.664676,139.684022,東海大学,代々木キャンパス,私立
港区,高輪２丁目,-,東京都港区高輪２－３－２３,35.637926,139.734569,東海大学,高輪キャンパス,私立
新宿区,新宿６丁目,-,東京都新宿区新宿６－１－１,35.693720,139.711980,東京医科大学,-,私立
品川区,東五反田４丁目,-,東京都品川区東五反田４－１－１７,35.631475,139.726408,東京医療保健大学,五反田キャンパス,私立
千代田区,三番町,-,東京都千代田区三番町２２,35.691261,139.741458,東京家政学院大学,千代田三番町キャンパス,私立
