指標名,バス停,,,,,注：NAVITIMEの検索区分ではなく、緯度経度情報をもとに位置情報を掲載。,,,,,,,,
出典,NAVITIME,,,,,例：『東京駅〔八重洲南口〕』は中央区の一覧に掲載されているが、バス停の位置は千代田区。,,,,,,,,
年次,2021/2/2取得,,,,,　　『角筈二丁目バス停』は新宿区の一覧に掲載されているが、バス停の位置は渋谷区。,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,　　『駒場リサーチキャンパス』は渋谷区駒場４丁目と掲載されているが誤りで、目黒区。,,,,,,,,
備考,路線ごとに1データあるので、単純な駅数が知りたい場合は「1÷路線数」を合計,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,路線数,1÷路線数,事業者,路線名,方面①,方面①/URL,方面②,方面②/URL
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-静岡/御殿場プレミアム・アウトレット号,[高速バス],御殿場プレミアム・アウトレット方面,https://www.navitime.co.jp/diagram/bus/00025521/00008956/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-静岡・愛知/東名ハイウェイバス,[高速バス],静岡駅北口/名古屋駅〔新幹線口〕方面,https://www.navitime.co.jp/diagram/bus/00025521/00008959/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-静岡/ドリーム静岡・浜松号,[高速バス],浜松駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00008960/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-山梨/東京駅-富士急ＨＬ・河口湖・山中湖,[高速バス],富士急ハイランド〔第１ゲート側〕/河口湖駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00008964/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-千葉/房総なのはな号,[高速バス],館山駅前/安房白浜方面,https://www.navitime.co.jp/diagram/bus/00025521/00008965/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-群馬/上州ゆめぐり号,[高速バス],伊香保温泉/草津温泉バスターミナル方面,https://www.navitime.co.jp/diagram/bus/00025521/00008966/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-茨城/つくば号,[高速バス],つくばセンター/筑波大学方面,https://www.navitime.co.jp/diagram/bus/00025521/00008968/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-茨城/ミッドナイトつくば号,[高速バス],筑波大学方面,https://www.navitime.co.jp/diagram/bus/00025521/00008969/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-埼玉/東京-吉川・松伏,[高速バス],松伏バスターミナル方面,https://www.navitime.co.jp/diagram/bus/00025521/00008970/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-埼玉/東京-吉川・松伏〔深夜便〕,[高速バス],松伏バスターミナル方面,https://www.navitime.co.jp/diagram/bus/00025521/00008971/1/,,
