指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2021/3/2取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間・備考
千代田区,麹町５丁目,-,東京都千代田区麹町5-4,35.684974,139.733979,A6-21.日本工営ビル / Nippon Koei Building,-,営業時間 24時間 / Open for 24 hours
千代田区,三番町,-,東京都千代田区三番町１,35.689729,139.745284,A6-23.セブン-イレブン千代田三番町店 / Seven-Eleven Chiyoda Sanbancho,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-17先,35.683657,139.785021,B1-11.浜町川緑道 / Hamacho-gawa Ryokudo,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町2-10-12,35.687796,139.782049,B1-12.ファミリーマート堀留町二丁目店 / Familly Mart Horidomecho 2-chome Store,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋小網町,-,東京都中央区日本橋小網町9-1,35.683748,139.779893,"B1-16.小網町児童遊園
 / Koamicho Children's Playground",-,営業時間 24時間 / Open for 24 hours
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町4-1先,35.687951,139.769202,B1-20.竜閑さくら橋際街角広場 / Ryuukan Sakura Bridge Street Corner Plaza,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-10先,35.680826,139.774873,B1-21.日本橋二丁目街角広場 / Nihonbashi 2-Chome　Street Corner Plaza,-,営業時間 24時間 / Open for 24 hours
中央区,京橋３丁目,日八京,東京都中央区京橋3-1先,35.676058,139.768882,B2-02.柳通り（東京スクエアガーデン前）  Yanagi-dori St. (In front of TOKYO SQUARE GARDEN),-,営業時間 24時間 / Open for 24 hours
中央区,京橋１丁目,日八京,東京都中央区京橋1-6,35.677760,139.771518,B2-14.京橋1丁目 / Kyobashi Itchome,-,営業時間 24時間 / Open for 24 hours
中央区,明石町,-,東京都中央区明石町14先,35.665451,139.777509,B3-16.明石町区民館 / Akashicho Community Hall,-,営業時間 24時間 / Open for 24 hours
中央区,晴海３丁目,-,東京都中央区晴海3-1-6,35.656717,139.779872,B4-01.黎明橋公園（駐輪場） / Reimeibashi Park(Parking Area),-,営業時間 24時間 / Open for 24 hours
中央区,晴海１丁目,-,東京都中央区晴海1-8先,35.657531,139.782462,B4-03.桜の散歩道（晴海トリトンスクウエア前） / Sakura no Sanpomichi (Harumi Triton Square),-,営業時間 24時間 / Open for 24 hours
中央区,勝どき５丁目,-,東京都中央区勝どき5-10-10,35.655681,139.771980,B4-08.東京ミッドベイ勝どき（西仲通り） / TOKYO MIDBAY KACHIDOKI（Nishinaka St.）,-,営業時間 24時間 / Open for 24 hours
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-4,35.669723,139.750754,C1-01.虎ノ門1丁目暫定自転車置場（外堀通り） / Toranomon 1Chome Provisional Cycle Port (Sotobori St.),-,営業時間 24時間 / Open for 24 hours
港区,新橋４丁目,虎ノ門広域,東京都港区新橋4-9-1,35.664340,139.756382,C1-14.新橋プラザビル / Shinbashi Plaza Building,-,営業時間 24時間 / Open for 24 hours
港区,海岸１丁目,-,東京都港区海岸1-12,35.654236,139.763132,C1-48.竹芝客船ターミナル / Takeshiba Passenger Ship Terminal,-,営業時間 24時間 / Open for 24 hours
