,指標名,スタートアップ企業,,,,,,,,,,
,品川区,上大崎２丁目,-,東京都品川区上大崎2-15-19 MG目黒駅前ﾋﾞﾙ,35.6345645,139.716592,ヴィビットインタラクティヴ株式会社,コンピューター - ITサービス,Webサイト、システムの開発/運用のほか、スマートフォン向け...,2001/7/5,http://www.vibit.net/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-15-19 MG目黒駅前1305号,35.6345428,139.7166325,株式会社アイフェイズ,半導体/その他電子部品・製品,物質の熱解析を総合的に扱う研究思考型、大学発ベンチャー企業 ...,2002/4/16,http://www.ai-phase.co.jp/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-15-19 AIOS目黒駅前508(目黒駅東口 ﾛｰﾀﾘｰ内),35.6345645,139.716592,株式会社バリュープロモーション,医療・ヘルスケア ICT,"1.メディカル支援事業
臨床試験支援トータルシステム「MED...",2006/11/1,http://www.value-promotion.jp/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-15-19 MG目黒駅前 2階,35.6345428,139.7166325,株式会社バーニャカウダ,消費者向けサービス・販売,女性専用のオンライン・カウンセリングサービス「ボイスマルシェ...,2010/1/20,http://bagna-cauda.co.jp/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-15-19 AIOS目黒7階,35.634573,139.716593,株式会社たんぽぽ,消費者向けサービス・販売,"農家のための農業情報サイト｢たんぽぽ｣運用管理
天気予報や農...",2010/8/1,http://www.i-tanpopo.com/,調査不能(HPアクセス不能などの事由)
,品川区,上大崎２丁目,-,東京都品川区上大崎2-15-19 MG目黒駅前ﾋﾞﾙ,35.6345645,139.716592,株式会社ローカルワークス,消費者向けサービス・販売,「テクノロジーとアイデアで建設業をアップデートする。」をミッ...,2014/2/24,https://localworks.co.jp/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-15-19 MG目黒駅前 2階,35.6345428,139.7166325,ECUW株式会社,コンピューター - ソフトウェア,ECサイトの運営・各種マーケティング及びコンサルティング,2014/9/9,http://www.ecuw.co.jp/,調査不能(HPアクセス不能などの事由)
,品川区,上大崎２丁目,-,東京都品川区上大崎2-15-19 MG目黒駅前2階,35.6345428,139.7166325,株式会社そると,消費者向けサービス・販売,ベンチャーから大手企業まで幅広く日本全国の長期インターンを募...,2015/6/1,http://www.saltinc.co.jp/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-15-19 MG目黒駅前ﾋﾞﾙ824号,35.6345645,139.716592,株式会社SFM,コンピューター - ITサービス,IPカメラからの映像をリアルタイムで解析し、検出された全ての...,2015/12/3,https://smart-facematcher.co.jp/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-15-19 MG目黒駅前ﾋﾞﾙ7F,35.6345645,139.716592,サイトリミック株式会社,バイオテクノロジー,"がんペプチドワクチンの臨床・非臨床試験の研究、実施。
治験用...",2016/12/16,http://www.cytlimic.com/,調査継続
,品川区,上大崎２丁目,-,東京都品川区上大崎2-14-5-3F,35.6340775,139.7170928,NIPPON Platform株式会社,ビジネスサービス,"中小個人商店向けデジタルソリューション事業を展開。
QRコー...",2013/10/7,https://nippon-platform.co.jp/,調査継続
