指標名,大使館・領事館,,,,,,,
出典,外務省,,,,,,,
年次,2021/3/1取得,,,,,,,
URL,https://www.mofa.go.jp/mofaj/link/emblist/,,,,,,,
備考,（2019年度：144件、2020年度：159件）,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,英語名,エリア
港区,高輪３丁目,-,東京都港区高輪3丁目4-1 高輪偕成ビル2階,35.634821,139.731662,エチオピア連邦民主共和国大使館,Embassy of the Federal Democratic Republic of Ethiopia in Japan,アフリカ
港区,高輪４丁目,-,東京都港区高輪4丁目16-12,35.626479,139.733078,セルビア共和国大使館,Embassy of the Republic of Serbia in Japan,欧州
港区,高輪４丁目,-,東京都港区高輪4-18-26,35.626413,139.733776,アイスランド共和国大使館,Embassy of the Republic of Iceland in Japan,欧州
千代田区,麹町２丁目,-,東京都千代田区麹町2-10-7 アイルランドハウス,35.685644,139.740594,アイルランド大使館,Embassy of Ireland in Japan,欧州
千代田区,麹町３丁目,-,東京都千代田区麹町3丁目10-3 神浦麹町ビル5階,35.685579,139.739040,ポルトガル大使館,Embassy of Portugal in Japan,欧州
港区,三田１丁目,-,東京都港区三田1-5-7,35.653402,139.740198,キルギス共和国大使館,Embassy of the Kyrgyz Republic in Japan,欧州
港区,三田２丁目,-,東京都港区三田2丁目5-4,35.650729,139.742565,イタリア大使館,Embassy of Italy in Japan,欧州
港区,三田２丁目,-,東京都港区三田2丁目1-14,35.651735,139.739087,オーストラリア大使館,Australian Embassy in Japan,大洋州
港区,三田２丁目,-,東京都港区三田2-17-14,35.648455,139.741073,ハンガリー大使館,Embassy of Hungary in Japan,欧州
港区,三田４丁目,-,東京都港区三田4丁目13-12,35.645366,139.741574,クウェート国大使館,Embassy of the State of Kuwait in Japan,中東
千代田区,三番町,-,東京都千代田区三番町9-2,35.689660,139.741871,バチカン大使館 ローマ法王庁大使館,Apostolic Nunciature in Japan,欧州
千代田区,四番町,-,東京都千代田区四番町8-9 ルクセンブルクハウス1階,35.689784,139.737493,ルクセンブルク大公国大使館,Embassy of the Grand-Duchy of Luxembourg in Japan,欧州
港区,芝３丁目,-,東京都港区芝3丁目1-14 芝公園阪神ビル8階,35.654142,139.745562,チリ共和国大使館,Embassy of the Republic of Chile in Japan,中南米
港区,芝３丁目,-,東京都港区芝3丁目1-14 芝公園阪神ビル8階,35.654142,139.745562,在東京チリ共和国総領事館,Consulate-General of the Republic of Chile in Tokyo,中南米
港区,芝３丁目,-,東京都港区芝3-6-9 芝公園プラザ3階,35.652024,139.749290,在東京ブータン王国名誉総領事館,Honorary Consulate-General of the Kingdom of Bhutan in Tokyo,アジア
港区,芝４丁目,-,東京都港区芝4丁目5-10 EDGE芝4丁目ビル6階,35.648715,139.750972,ボツワナ共和国大使館,Embassy of the Republic of Botswana in Japan,アフリカ
港区,芝公園３丁目,虎ノ門,東京都港区芝公園3丁目6-3,35.661787,139.745907,オランダ王国大使館,Embassy of the Kingdom of the Netherlands in Japan,欧州
渋谷区,上原２丁目,-,東京都渋谷区上原2丁目19-12,35.664552,139.682661,コートジボワール共和国大使館,Embassy of the Republic of Cote d'Ivoire in Japan,アフリカ
品川区,上大崎１丁目,-,東京都品川区上大崎1-5-42 上大崎コンパウンド2階及び3階,35.633141,139.723713,タジキスタン共和国大使館,Embassy of the Republic of Tajikistan in Japan,欧州
品川区,上大崎３丁目,-,東京都品川区上大崎3丁目12-9,35.630656,139.718601,マリ共和国大使館,Embassy of the Republic of Mali in Japan,アフリカ
品川区,上大崎３丁目,-,東京都品川区上大崎3丁目10-53,35.632115,139.717825,コロンビア共和国大使館,Embassy of the Republic of Colombia in Japan,中南米
品川区,上大崎３丁目,-,東京都品川区上大崎3-14-6,35.631732,139.719914,タイ王国大使館,Royal Thai Embassy in Japan,アジア
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-6-15,35.673026,139.711681,エストニア共和国大使館,Embassy of the Republic of Estonia in Japan,欧州
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2丁目33-6,35.673188,139.708423,トルコ共和国大使館,Embassy of the Republic of Turkey in Japan,中東
渋谷区,神山町,-,東京都渋谷区神山町39-8,35.664421,139.691674,ヨルダン・ハシェミット王国大使館,Embassy of the Hashemite Kingdom of Jordan in Japan,中東
渋谷区,神山町,-,東京都渋谷区神山町27-5,35.663502,139.688352,コンゴ共和国大使館,Embassy of the Republic of Congo in Japan,アフリカ
渋谷区,神山町,-,東京都渋谷区神山町20-40,35.663308,139.690500,ニュージーランド大使館,New Zealand Embassy in Japan,大洋州
渋谷区,神山町,-,東京都渋谷区神山町21-4,35.662253,139.689127,モンゴル国大使館,Embassy of Mongolia in Japan,アジア
渋谷区,神山町,-,東京都渋谷区神山町14-6 ラビアンパレス松濤,35.663014,139.692808,イラク共和国大使館,Embassy of the Republic of Iraq in Japan,中東
渋谷区,神山町,-,東京都渋谷区神山町37番11号、プリマヴェーラ神山A号室,35.665151,139.691183,ラトビア共和国大使館,Embassy of the Republic of Latvia in Japan,欧州
品川区,西五反田２丁目,-,東京都品川区西五反田2-19-3 第一生命ビル8階 山銀通商株式会社内,35.626151,139.722098,在東京アンティグア・バーブーダ名誉領事館,Honorary Consulate of Antigua and Barbuda in Tokyo,中南米
品川区,西五反田５丁目,-,東京都品川区西五反田5-21-4 208号室,35.622734,139.714538,在東京ナミビア共和国名誉領事館,Honorary Consulate of the Republic of Namibia in Tokyo,アフリカ
港区,西新橋３丁目,虎ノ門,東京都港区西新橋3-13-7 VORT虎ノ門South 3階,35.664467,139.750818,マーシャル諸島共和国大使館,Embassy of the Republic of the Marshall Islands in Japan,大洋州
港区,西新橋３丁目,虎ノ門,東京都港区西新橋3-13-7 VORT虎ノ門サウスビル10階,35.664467,139.750818,コソボ共和国大使館,Embassy of the Republic of Kosovo in Japan,欧州
新宿区,西新宿４丁目,-,東京都新宿区西新宿4-9-7,35.688839,139.685871,ベリーズ大使館,Embassy of Belize in Japan,中南米
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-16-6 タツミビル5階 大日本土木株式会社 海外支店内,35.691724,139.687834,在東京ツバル名誉総領事館,Honorary Consulate-General of Tuvalu in Tokyo,大洋州
港区,西麻布１丁目,-,東京都港区西麻布1丁目5-21,35.661696,139.725431,ガーナ共和国大使館,Embassy of the Republic of Ghana in Japan,アフリカ
港区,西麻布３丁目,-,東京都港区西麻布3丁目3-22,35.658166,139.726895,ラオス人民民主共和国大使館,Embassy of the Lao People's Democratic Republic in Japan,アジア
港区,西麻布３丁目,-,東京都港区西麻布3丁目16-30,35.658364,139.726037,ギリシャ大使館,Embassy of Greece in Japan,欧州
港区,西麻布３丁目,-,東京都港区西麻布3-5-31,35.657138,139.725196,ウクライナ大使館,Embassy of Ukraine in Japan,欧州
港区,西麻布３丁目,-,東京都港区西麻布3丁目16-19,35.657941,139.724453,ルーマニア大使館,Embassy of Romania in Japan,欧州
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルディング9階908号室,35.659215,139.721847,ウルグアイ東方共和国大使館,Embassy of the Oriental Republic of Uruguay in Japan,中南米
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルディング9階906号室,35.659215,139.721847,在東京ハイチ共和国総領事館,Consulate-General of the Republic of Haiti in Tokyo,中南米
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルデング9階906号室,35.659215,139.721847,ハイチ共和国大使館,Embassy of the Republic of Haiti in Japan,中南米
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルディング9階905号室,35.659215,139.721847,グアテマラ共和国大使館,Embassy of the Republic of Guatemala in Japan,中南米
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルディング9階904号室,35.659215,139.721847,在東京ドミニカ共和国総領事館,Consulate-General of the Dominican Republic in Tokyo,中南米
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルディング9階904号室,35.659215,139.721847,ドミニカ共和国大使館,Embassy of the Dominican Republic in Japan,中南米
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルディング9階903号室,35.659215,139.721847,ニカラグア共和国大使館,Embassy of the Republic of Nicaragua in Japan,中南米
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルディング9階901号室,35.659215,139.721847,コスタリカ共和国大使館,Embassy of the Republic of Costa Rica in Japan,中南米
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルディング8階807号室,35.659215,139.721847,イエメン共和国大使館,Embassy of the Republic of Yemen in Japan,中東
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルディング8階806号室,35.659215,139.721847,エクアドル共和国大使館,Embassy of the Republic of Ecuador in Japan,中南米
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルディング8階804号室,35.659215,139.721847,ボリビア多民族国大使館,Embassy of the Plurinational State of Bolivia in Japan,中南米
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルディング8階803号室,35.659215,139.721847,エルサルバドル共和国大使館,Embassy of the Republic of El Salvador in Japan,中南米
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルディング8階802号室,35.659215,139.721847,ホンジュラス共和国大使館,Embassy of the Republic of Honduras in Japan,中南米
港区,西麻布４丁目,-,東京都港区西麻布4丁目12-24 第38興和ビルディング7階703号室,35.659215,139.721847,ベネズエラ・ボリバル共和国大使館,Embassy of the Bolivarian Republic of Venezuela in Japan,中南米
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1丁目10-5,35.668565,139.743158,アメリカ合衆国大使館,Embassy of the United States of America in Japan,北米
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1丁目11-36Residence Viscountess #230,35.668717,139.741643,アルメニア共和国大使館,Embassy of the Republic of Armenia in Japan,欧州
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-14-2 霊南坂ビルディング2階,35.667198,139.741867,ミクロネシア連邦大使館,Embassy of the Federated States of Micronesia in Japan,大洋州
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-11-36 レジデンス・バイカンテス410号,35.668717,139.741643,レバノン共和国大使館,Embassy of the Republic of Lebanon in Japan,中東
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1丁目11-36 レジデンス・バイカウンテス710号,35.668717,139.741643,バーレーン王国大使館,Embassy of the Kingdom of Bahrain in Japan,中東
港区,赤坂６丁目,赤坂,東京都港区赤坂6丁目19-45 ホーマット・ジェイド,35.667317,139.733665,シリア・アラブ共和国大使館,Embassy of the Syrian Arab Republic in Japan,中東
港区,赤坂７丁目,赤坂,東京都港区赤坂7丁目3-38,35.672888,139.729084,カナダ大使館,Embassy of Canada in Japan,北米
港区,赤坂７丁目,赤坂,東京都港区赤坂7-5-47 U&M赤坂ビル3階,35.672123,139.729990,レソト王国大使館,Embassy of the Kingdom of Lesotho in Japan,アフリカ
港区,赤坂８丁目,赤坂,東京都港区赤坂8丁目6-9,35.671365,139.728958,カンボジア王国大使館,Royal Embassy of Cambodia in Japan,アジア
渋谷区,代官山町,-,東京都渋谷区代官山町10-14,35.650967,139.704662,リビア大使館,Embassy of Libya,アフリカ
渋谷区,代々木５丁目,-,東京都渋谷区代々木5丁目36-3,35.673612,139.690494,ブルガリア共和国大使館,Embassy of the Republic of Bulgaria in Japan,欧州
渋谷区,大山町,-,東京都渋谷区大山町45-24 太田ハウス,35.669149,139.677574,ブルキナファソ大使館,Embassy of Burkina Faso in Japan,アフリカ
渋谷区,東２丁目,-,東京都渋谷区東2丁目6-14,35.653819,139.710256,トルクメニスタン大使館,Embassy of Turkmenistan in Japan,欧州
