指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/administration/statistics_and_research/list_of_public_school/school_lists2020.html,,,,,
品川区,東大井４丁目,-,東京都品川区東大井４－１５－９,35.604432,139.740165,立会,公立,小学校,03-3474-3424,2020/5/1
品川区,南大井４丁目,-,東京都品川区南大井４－３－２７,35.598117,139.735810,浜川,公立,小学校,03-3761-0530,2020/5/1
品川区,西大井５丁目,-,東京都品川区西大井５－６－８,35.598691,139.717367,伊藤,公立,小学校,03-3771-5331,2020/5/1
品川区,南大井４丁目,-,東京都品川区南大井４－１６－２,35.594487,139.735286,鈴ヶ森,公立,小学校,03-3763-6631,2020/5/1
品川区,東品川１丁目,-,東京都品川区東品川１－８－３０,35.620869,139.743667,台場,公立,小学校,03-3471-3397,2020/5/1
品川区,平塚２丁目,-,東京都品川区平塚２－１９－２０,35.615069,139.713337,京陽,公立,小学校,03-3781-4775,2020/5/1
品川区,西中延２丁目,-,東京都品川区西中延２－１７－５,35.608779,139.707882,延山,公立,小学校,03-3781-3806,2020/5/1
品川区,中延１丁目,-,東京都品川区中延１－１１－１５,35.612501,139.709992,中延,公立,小学校,03-3781-4016,2020/5/1
品川区,小山５丁目,-,東京都品川区小山５－１０－６,35.616018,139.703290,小山,公立,小学校,03-3781-0044,2020/5/1
品川区,戸越６丁目,-,東京都品川区戸越６－１７－３,35.607167,139.716467,大原,公立,小学校,03-3781-4487,2020/5/1
品川区,戸越４丁目,-,東京都品川区戸越４－５－１０,35.611768,139.718319,宮前,公立,小学校,03-3781-4386,2020/5/1
品川区,中延６丁目,-,東京都品川区中延６－２－１８,35.603165,139.712064,源氏前,公立,小学校,03-3781-4348,2020/5/1
品川区,旗の台１丁目,-,東京都品川区旗の台１－６－１,35.610213,139.703529,第二延山,公立,小学校,03-3781-1348,2020/5/1
品川区,小山２丁目,-,東京都品川区小山２－４－６,35.621519,139.708452,後地,公立,小学校,03-3781-0890,2020/5/1
品川区,豊町２丁目,-,東京都品川区豊町２－１－２０,35.610814,139.720959,戸越,公立,小学校,03-3781-2856,2020/5/1
品川区,旗の台４丁目,-,東京都品川区旗の台４－７－１１,35.603162,139.703765,旗台,公立,小学校,03-3785-1687,2020/5/1
品川区,二葉４丁目,-,東京都品川区二葉４－４－１０,35.602902,139.715789,上神明,公立,小学校,03-3781-4792,2020/5/1
品川区,旗の台１丁目,-,東京都品川区旗の台１－１１－１７,35.607124,139.702386,清水台,公立,小学校,03-3781-4841,2020/5/1
品川区,小山台１丁目,-,東京都品川区小山台１－１８－２４,35.622760,139.703466,小山台,公立,小学校,03-3712-7587,2020/5/1
品川区,東品川３丁目,-,東京都品川区東品川３－３０－１５,35.612465,139.748660,東海,公立,中学校,03-3471-6951,2020/5/1
品川区,西品川３丁目,-,東京都品川区西品川３－１０－６,35.615662,139.723010,大崎,公立,中学校,03-3491-6623,2020/5/1
品川区,東大井３丁目,-,東京都品川区東大井３－１８－３４,35.600218,139.738660,浜川,公立,中学校,03-3761-1014,2020/5/1
品川区,南大井２丁目,-,東京都品川区南大井２－３－１４,35.593081,139.738319,鈴ヶ森,公立,中学校,03-3765-2849,2020/5/1
品川区,西大井５丁目,-,東京都品川区西大井５－５－１４,35.598368,139.715239,冨士見台,公立,中学校,03-3772-0900,2020/5/1
品川区,荏原１丁目,-,東京都品川区荏原１－２４－３０,35.619334,139.712736,荏原第一,公立,中学校,03-3785-1680,2020/5/1
品川区,旗の台５丁目,-,東京都品川区旗の台５－１１－１３,35.603131,139.702106,荏原第五,公立,中学校,03-3781-5643,2020/5/1
品川区,小山５丁目,-,東京都品川区小山５－２０－１９,35.616335,139.699882,荏原第六,公立,中学校,03-3781-7776,2020/5/1
品川区,戸越１丁目,-,東京都品川区戸越１－１５－２３,35.615779,139.717207,戸越台,公立,中学校,03-3781-6250,2020/5/1
品川区,東五反田２丁目,-,東京都品川区東五反田２－１１－１,35.624539,139.728310,日野学園,公立,義務教育学校,03-3441-3209,2020/5/1
品川区,大井５丁目,-,東京都品川区大井５－１－３７,35.599873,139.726009,伊藤学園,公立,義務教育学校,03-3771-3374,2020/5/1
品川区,八潮５丁目,-,東京都品川区八潮５－１１－２,35.601034,139.751735,八潮学園,公立,義務教育学校,03-3799-1641,2020/5/1
品川区,平塚３丁目,-,東京都品川区平塚３－１６－２６,35.615408,139.709974,荏原平塚学園,公立,義務教育学校,03-3782-7770,2020/5/1
品川区,北品川３丁目,-,東京都品川区北品川３－９－３０,35.617806,139.738675,品川学園,公立,義務教育学校,03-3474-2671,2020/5/1
品川区,二葉１丁目,-,東京都品川区二葉１－３－４０,35.607037,139.725560,豊葉の杜学園,公立,義務教育学校,03-3782-2930,2020/5/1
品川区,豊町２丁目,-,東京都品川区豊町２－１－７,35.609564,139.721284,大崎,公立,高等学校,03-3786-3355,2020/5/1
品川区,東品川３丁目,-,東京都品川区東品川３－２７－２２,35.611721,139.746398,八潮,公立,高等学校,03-3471-7384,2020/5/1
品川区,小山３丁目,-,東京都品川区小山３－３－３２,35.621184,139.703525,小山台,公立,高等学校,03-3714-8155,2020/5/1
品川区,南品川６丁目,-,東京都品川区南品川６－１５－２０,35.609554,139.738070,品川特別支援学校,公立,特別支援学校,03-5460-1160,2020/5/1
品川区,八潮５丁目,-,東京都品川区八潮５－２－１,35.603819,139.753011,明晴学園（幼・小・中）,私立,特区事業認定校,03-6380-6775,2020/4/1
品川区,西五反田５丁目,-,東京都品川区西五反田５－１４－２　　,35.624097,139.713671,攻玉社高等学校,私立,高等学校（全日制）,03-3493-0331,2020/4/1
品川区,旗の台６丁目,-,東京都品川区旗の台６－２２－２１　　,35.607602,139.701978,香蘭女学校高等科,私立,高等学校（全日制）,03-3786-1136,2020/4/1
品川区,南品川５丁目,-,東京都品川区南品川５－１２－４,35.608815,139.741023,品川エトワール女子高等学校,私立,高等学校（全日制）,03-3474-2231,2020/4/1
品川区,西大井１丁目,-,東京都品川区西大井１－６－１３,35.602243,139.726098,品川翔英高等学校,私立,高等学校（全日制）,03-3774-1151,2020/4/1
品川区,北品川３丁目,-,東京都品川区北品川３－３－１２,35.616421,139.739337,品川女子学院高等部,私立,高等学校（全日制）,03-3474-4048,2020/4/1
品川区,二葉１丁目,-,東京都品川区二葉１－６－６,35.608534,139.728081,青稜高等学校,私立,高等学校（全日制）,03-3782-1502,2020/4/1
品川区,豊町２丁目,-,東京都品川区豊町２－１６－１２　　　,35.610111,139.725085,日本音楽高等学校,私立,高等学校（全日制）,03-3786-1711,2020/4/1
品川区,旗の台３丁目,-,東京都品川区旗の台３－２－１７,35.605835,139.706860,文教大学付属高等学校,私立,高等学校（全日制）,03-3783-5511,2020/4/1
品川区,西大井６丁目,-,東京都品川区西大井６－１－２３,35.600364,139.714606,朋優学院高等学校,私立,高等学校（全日制）,03-3784-2131,2020/4/1
品川区,西五反田５丁目,-,東京都品川区西五反田５－１４－２　　,35.624097,139.713671,攻玉社中学校,私立,中学校,03-3493-0331,2020/4/1
品川区,旗の台６丁目,-,東京都品川区旗の台６－２２－２１　　,35.607602,139.701978,香蘭女学校中等科,私立,中学校,03-3786-1136,2020/4/1
品川区,西大井１丁目,-,東京都品川区西大井１－６－１３,35.602243,139.726098,品川翔英中学校,私立,中学校,03-3774-1151,2020/4/1
品川区,北品川３丁目,-,東京都品川区北品川３－３－１２,35.616421,139.739337,品川女子学院中等部,私立,中学校,03-3474-4048,2020/4/1
品川区,二葉１丁目,-,東京都品川区二葉１－６－６　　,35.608534,139.728081,青稜中学校,私立,中学校,03-3782-1502,2020/4/1
品川区,旗の台３丁目,-,東京都品川区旗の台３－２－１７,35.605835,139.706860,文教大学付属中学校,私立,中学校,03-3783-5511,2020/4/1
品川区,西大井１丁目,-,東京都品川区西大井１－６－１３,35.602243,139.726098,品川翔英小学校,私立,小学校,03-3774-1151,2020/4/1
品川区,大井５丁目,-,東京都品川区大井５－１０－１２,35.598344,139.730038,あけぼの幼稚園,私立,幼稚園,03-3776-5093,<NULL>
品川区,小山４丁目,-,東京都品川区小山４－４－１３,35.618352,139.703939,アライアンス幼稚園,私立,幼稚園,03-3786-0379,<NULL>
品川区,南品川５丁目,-,東京都品川区南品川５－１２－４,35.608815,139.741023,エトワール幼稚園,私立,幼稚園,03-3474-7321,<NULL>
品川区,中延５丁目,-,東京都品川区中延５－６－１８,35.602977,139.708684,荏原学園旭幼稚園,私立,幼稚園,03-3781-4915,<NULL>
品川区,大井７丁目,-,東京都品川区大井７－１－５,35.597321,139.725223,大井うさぎ幼稚園,私立,幼稚園,03-3776-6549,<NULL>
品川区,大崎３丁目,-,東京都品川区大崎３－１１－１,35.619356,139.723618,大崎幼稚園,私立,幼稚園,03-3491-5731,<NULL>
品川区,中延６丁目,-,東京都品川区中延６－１－３,35.603898,139.710397,亀田幼稚園,私立,幼稚園,03-3783-7211,<NULL>
品川区,北品川４丁目,-,東京都品川区北品川４－７－４０,35.622526,139.737538,品川教会附属幼稚園,私立,幼稚園,03-3443-1725,<NULL>
品川区,西大井１丁目,-,東京都品川区西大井１－６－１３,35.602243,139.726098,品川翔英幼稚園,私立,幼稚園,03-3774-1151,<NULL>
品川区,南大井２丁目,-,東京都品川区南大井２－４－１,35.593102,139.736781,鈴ケ森めばえ幼稚園,私立,幼稚園,03-3761-8086,<NULL>
品川区,西五反田６丁目,-,東京都品川区西五反田６－１１－５,35.621096,139.717545,専修幼稚園,私立,幼稚園,03-3492-2300,<NULL>
品川区,荏原７丁目,-,東京都品川区荏原７－１８－１５,35.609917,139.698749,洗足うさぎ幼稚園,私立,幼稚園,03-3781-6215,<NULL>
品川区,旗の台６丁目,-,東京都品川区旗の台６－５－３０,35.608604,139.700191,帝京にしき幼稚園,私立,幼稚園,03-3781-8522,<NULL>
品川区,戸越１丁目,-,東京都品川区戸越１－２１－１５,35.615289,139.721260,戸越幼稚園,私立,幼稚園,03-3785-4968,<NULL>
品川区,豊町２丁目,-,東京都品川区豊町２－１６－１２,35.610111,139.725085,日本音楽学校幼稚園,私立,幼稚園,03-3786-1711,<NULL>
品川区,小山６丁目,-,東京都品川区小山６－１０－１１,35.613638,139.697971,ひまわり幼稚園,私立,幼稚園,03-3781-4227,<NULL>
品川区,旗の台３丁目,-,東京都品川区旗の台３－２－１７,35.605835,139.706860,文教大学付属幼稚園,私立,幼稚園,03-3781-2798,<NULL>
品川区,東品川３丁目,-,東京都品川区東品川３－２４－８,35.612360,139.745769,八潮幼稚園,私立,幼稚園,03-3471-7833,<NULL>
品川区,東大井４丁目,-,東京都品川区東大井４－１２－１０,35.605690,139.738977,池見東京医療専門学校,私立,専修学校,03-3764-5411,2020/4/1
品川区,西品川１丁目,-,東京都品川区西品川１－２８－３,35.609118,139.727904,品川介護福祉専門学校,私立,専修学校,03-5498-6364,2020/4/1
品川区,旗の台１丁目,-,東京都品川区旗の台１－２－２６,35.610008,139.704238,昭和大学医学部附属看護専門学校,私立,専修学校,03-3784-8097,2020/4/1
品川区,北品川３丁目,-,東京都品川区南品川３－７－１２,35.616421,139.739337,専門学校東京工科自動車大学校品川校,私立,専修学校,03-5479-8811,2020/4/1
品川区,南品川６丁目,-,東京都品川区南品川６－１０－５,35.609892,139.735921,東京健康科学専門学校,私立,専修学校,03-3450-1711,2020/4/1
品川区,大井１丁目,-,東京都品川区大井１－４８－１１,35.605408,139.732908,東京マックス美容専門学校,私立,専修学校,03-3774-1551,2020/4/1
品川区,上大崎４丁目,-,東京都品川区上大崎４－６－１９,35.631602,139.715872,ドレスメーカー学院,私立,専修学校,03-3491-8151,2020/4/1
品川区,上大崎２丁目,-,東京都品川区上大崎２－１９－６,35.637003,139.714574,日本書道専門学校,私立,専修学校,03-3490-2722,2020/4/1
品川区,大崎４丁目,-,東京都品川区大崎４－５－２０,35.620133,139.722545,宮川文化服装専門学校,私立,専修学校,03-3491-2333,2020/4/1
中央区,八重洲２丁目,日八京,東京都中央区八重洲２－２－２,35.679235,139.769151,昭和,公立,幼稚園,(休園中）,2020/5/1
中央区,銀座５丁目,-,東京都中央区銀座５－１－１３,35.672339,139.761333,泰明,公立,幼稚園,03-3571-5395,2020/5/1
中央区,湊１丁目,-,東京都中央区湊１－４－１,35.672180,139.778773,中央,公立,幼稚園,03-3551-4498,2020/5/1
中央区,明石町,-,東京都中央区明石町１－１５,35.668718,139.776450,明石,公立,幼稚園,03-3541-9522,2020/5/1
中央区,築地２丁目,-,東京都中央区築地２－１３－１,35.667930,139.771373,京橋朝海,公立,幼稚園,03-3541-6280,2020/5/1
中央区,新川２丁目,-,東京都中央区新川２－１３－４,35.675974,139.781561,明正,公立,幼稚園,03-3551-4864,2020/5/1
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町４－４－２６,35.688353,139.770327,常盤,公立,幼稚園,(休園中）,2020/5/1
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町２－１０－２３,35.683292,139.787969,有馬,公立,幼稚園,03-3666-7998,2020/5/1
中央区,日本橋久松町,-,東京都中央区日本橋久松町７－２,35.689041,139.784332,久松,公立,幼稚園,03-3661-3341,2020/5/1
中央区,日本橋兜町,-,東京都中央区日本橋兜町１５－１８,35.679658,139.776805,阪本,公立,幼稚園,(休園中）,2020/5/1
中央区,月島１丁目,-,東京都中央区月島１－９－７,35.664960,139.782726,月島,公立,幼稚園,03-3531-1573,2020/5/1
中央区,月島４丁目,-,東京都中央区月島４－１５－１,35.660654,139.780083,月島第一,公立,幼稚園,03-3532-2921,2020/5/1
中央区,勝どき１丁目,-,東京都中央区勝どき１－１２－２,35.660012,139.775609,月島第二,公立,幼稚園,03-3532-2922,2020/5/1
中央区,晴海１丁目,-,東京都中央区晴海１－４－１,35.658814,139.785454,晴海,公立,幼稚園,03-3532-2923,2020/5/1
中央区,豊海町,-,東京都中央区豊海町３－１,35.653384,139.771216,豊海,公立,幼稚園,03-3533-0725,2020/5/1
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町１－１－１７,35.684697,139.781438,日本橋,公立,幼稚園,03-3668-2362,2020/5/1
中央区,日本橋兜町,-,東京都中央区日本橋兜町１５－１８（阪本小学校内）,35.679658,139.776805,城東,公立,小学校,03-5644-3020,2020/5/1
中央区,銀座５丁目,-,東京都中央区銀座５－１－１３,35.672339,139.761333,泰明,公立,小学校,03-3571-1765,2020/5/1
中央区,明石町,-,東京都中央区明石町１－１５,35.668718,139.776450,明石,公立,小学校,03-3541-8335,2020/5/1
中央区,新川２丁目,-,東京都中央区新川２－１３－４,35.675974,139.781561,明正,公立,小学校,03-3551-5812,2020/5/1
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町４－４－２６,35.688353,139.770327,常盤,公立,小学校,03-3241-1910,2020/5/1
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町２－１０－２３,35.683292,139.787969,有馬,公立,小学校,03-3666-5702,2020/5/1
中央区,日本橋久松町,-,東京都中央区日本橋久松町７－２,35.689041,139.784332,久松,公立,小学校,03-3661-6016,2020/5/1
中央区,日本橋兜町,-,東京都中央区日本橋兜町１５－１８,35.679658,139.776805,阪本,公立,小学校,03-3666-0044,2020/5/1
中央区,佃２丁目,-,東京都中央区佃２－３－１,35.668597,139.784538,佃島,公立,小学校,03-3531-7208,2020/5/1
中央区,月島４丁目,-,東京都中央区月島４－１５－１,35.660654,139.780083,月島第一,公立,小学校,03-3531-7285,2020/5/1
中央区,勝どき１丁目,-,東京都中央区勝どき１－１２－２,35.660012,139.775609,月島第二,公立,小学校,03-3531-7268,2020/5/1
中央区,晴海１丁目,-,東京都中央区晴海１－４－１,35.658814,139.785454,月島第三,公立,小学校,03-3531-7225,2020/5/1
中央区,豊海町,-,東京都中央区豊海町３－１,35.653384,139.771216,豊海,公立,小学校,03-3534-1251,2020/5/1
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町１－１－１７,35.684697,139.781438,日本橋,公立,小学校,03-3668-2360,2020/5/1
中央区,築地２丁目,-,東京都中央区築地２－１３－１,35.667930,139.771373,京橋築地,公立,小学校,03-3541-0642,2020/5/1
中央区,湊１丁目,-,東京都中央区湊１－４－１,35.672180,139.778773,中央,公立,小学校,03-3551-0565,2020/5/1
中央区,晴海１丁目,-,東京都中央区晴海１－５－３,35.659794,139.784926,晴海,公立,中学校,03-3531-6308,2020/5/1
中央区,東日本橋１丁目,-,東京都中央区東日本橋１－１０－１,35.692298,139.786873,日本橋,公立,中学校,03-3851-4074,2020/5/1
中央区,銀座８丁目,-,東京都中央区銀座８－１９－１５,35.665691,139.765060,銀座,公立,中学校,03-3545-8011,2020/5/1
中央区,佃２丁目,-,東京都中央区佃２－３－２,35.668073,139.785087,佃,公立,中学校,03-3531-7214,2020/5/1
中央区,晴海１丁目,-,東京都中央区晴海１－２－１,35.660389,139.785855,晴海総合,公立,高等学校,03-3531-5021,2020/5/1
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町２－７－６　,35.695832,139.784659,開智日本橋学園高等学校,私立,高等学校（全日制）,03-3662-2507,2020/4/1
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町２－７－６　,35.695832,139.784659,開智日本橋学園中学校,私立,中学校,03-3662-2507,2020/4/1
中央区,日本橋小網町,-,東京都中央区日本橋小網町１８－３,35.684439,139.779657,北九州予備校東京校,私立,専修学校,03-6206-2511,2020/4/1
中央区,新川１丁目,-,東京都中央区新川１－１０－１８,35.677278,139.782183,専門学校東京医療学院,私立,専修学校,03-3552-8511,2020/4/1
中央区,八丁堀１丁目,-,東京都中央区八丁堀１－１１－１１,35.677326,139.777720,東京医療福祉専門学校,私立,専修学校,03-3551-5751,2020/4/1
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町１８－１,35.692392,139.778936,東京英語専門学校,私立,専修学校,03-5820-2191,2020/4/1
中央区,明石町,-,東京都中央区明石町２－１,35.669338,139.777345,東京ファッション専門学校,私立,専修学校,03-3541-8420,2020/4/1
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋掘留町２－２－９,35.688235,139.781050,アートマスターズスクール,私立,各種学校,03-5652-0633,2020/4/1
中央区,新川１丁目,-,東京都中央区中央区新川１－１５－１３,35.677154,139.783169,東京ギャラクシー日本語学校,私立,各種学校,03-6280-5830,2020/4/1
中央区,築地３丁目,-,東京都中央区築地３－１５－１,35.666486,139.772284,東京仏教学院,私立,各種学校,03-3541-1666,2020/4/1
千代田区,麹町２丁目,-,東京都千代田区麹町２－８,35.684969,139.739433,麹町,公立,幼稚園,03-3263-7330,2020/5/1
千代田区,三番町,-,東京都千代田区三番町１６,35.690522,139.740713,九段,公立,幼稚園,03-3263-0567,2020/5/1
千代田区,六番町,-,東京都千代田区六番町８,35.687673,139.733549,番町,公立,幼稚園,03-3263-3725,2020/5/1
千代田区,富士見１丁目,-,東京都千代田区富士見１－１－６,35.697661,139.748900,お茶の水,公立,幼稚園,03-3263-2355,2020/5/1
千代田区,神田司町,-,東京都千代田区神田司町２－１６,35.692672,139.768646,千代田,公立,幼稚園,03-3256-1709,2020/5/1
千代田区,外神田３丁目,-,東京都千代田区外神田３－４－７,35.701232,139.769853,昌平,公立,幼稚園,03-3251-0768,2020/5/1
千代田区,神田和泉町,-,東京都千代田区神田和泉町１,35.699084,139.778469,いずみこども園,公立,幼稚園,03-3866-9938,2020/5/1
千代田区,富士見１丁目,-,東京都千代田区富士見１－１０－３,35.697359,139.746135,ふじみこども園,公立,幼稚園,03-3263-1009,2020/5/1
千代田区,麹町２丁目,-,東京都千代田区麹町２－８,35.684969,139.739433,麹町,公立,小学校,03-3263-7337,2020/5/1
千代田区,三番町,-,東京都千代田区三番町１６,35.690522,139.740713,九段,公立,小学校,03-3263-0564,2020/5/1
千代田区,六番町,-,東京都千代田区六番町８,35.687673,139.733549,番町,公立,小学校,03-3263-3721,2020/5/1
千代田区,富士見１丁目,-,東京都千代田区富士見１－１０－３,35.697359,139.746135,富士見,公立,小学校,03-3263-1006,2020/5/1
千代田区,富士見１丁目,-,東京都千代田区富士見１－１－６,35.697661,139.748900,お茶の水,公立,小学校,03-3263-2178,2020/5/1
千代田区,神田司町,-,東京都千代田区神田司町２－１６,35.692672,139.768646,千代田,公立,小学校,03-3256-6768,2020/5/1
千代田区,外神田３丁目,-,東京都千代田区外神田３－４－７,35.701232,139.769853,昌平,公立,小学校,03-3251-0448,2020/5/1
千代田区,神田和泉町,-,東京都千代田区神田和泉町１,35.699084,139.778469,和泉,公立,小学校,03-3866-3939,2020/5/1
千代田区,平河町２丁目,-,東京都千代田区平河町２－５－１,35.680404,139.738844,麹町,公立,中学校,03-3263-4321,2020/5/1
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－６－１４,35.694133,139.756774,神田一橋,公立,中学校,03-3265-5961,2020/5/1
千代田区,一ツ橋２丁目,-,東京都千代田区千代田区一ツ橋２－６－１４,35.694133,139.756774,神田一橋（通信制）,公立,中学校（通信制）,03-3265-5961,2020/5/1
千代田区,東神田１丁目,-,東京都千代田区東神田１－１２－１３,35.694549,139.781000,一橋,公立,高等学校,03-3862-6061,2020/5/1
千代田区,永田町２丁目,赤坂,東京都千代田区永田町２－１６－１,35.676005,139.739349,日比谷,公立,高等学校,03-3581-0808,2020/5/1
千代田区,九段北２丁目,-,東京都千代田区九段北２－２－１,35.696144,139.747300,九段,公立,中等教育学校,03-3263-7190,2020/5/1
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町２－４２,35.696807,139.756583,大原学園高等学校（通信制）,私立,高等学校（通信制）,03-3237-3141,2020/4/1
千代田区,三番町,-,東京都千代田区三番町１２　　　,35.690989,139.742360,大妻高等学校,私立,高等学校（全日制）,03-5275-6057,2020/4/1
千代田区,神田猿楽町２丁目,-,東京都千代田区猿楽町２－３－６,35.699551,139.758062,神田女学園高等学校,私立,高等学校（全日制）,03-6383-3751,2020/4/1
千代田区,富士見１丁目,-,東京都千代田区富士見１－２－５,35.697090,139.747893,暁星高等学校,私立,高等学校（全日制）,03-3262-3291,2020/4/1
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－２－１,35.693167,139.757222,共立女子高等学校,私立,高等学校（全日制）,03-3237-2704,2020/4/1
千代田区,神田錦町３丁目,-,東京都千代田区神田錦町３－１　,35.692567,139.761975,錦城学園高等学校,私立,高等学校（全日制）,03-3291-3211,2020/4/1
千代田区,麹町３丁目,-,東京都千代田区麹町３－８　　　,35.684834,139.738999,?町学園女子高等学校,私立,高等学校（全日制）,03-3263-3011,2020/4/1
千代田区,一番町,-,東京都千代田区一番町２２－１０,35.687717,139.738422,女子学院高等学校,私立,高等学校（全日制）,03-3263-1711,2020/4/1
千代田区,九段北２丁目,-,東京都千代田区九段北２－４－１,35.695597,139.744076,白百合学園高等学校,私立,高等学校（全日制）,03-3234-6661,2020/4/1
千代田区,神田錦町３丁目,-,東京都千代田区神田錦町３－１　,35.692567,139.761975,正則学園高等学校,私立,高等学校（全日制）,03-3295-3011,2020/4/1
千代田区,三番町,-,東京都千代田区三番町２２　,35.691261,139.741458,東京家政学院高等学校,私立,高等学校（全日制）,03-3262-2251,2020/4/1
千代田区,神田三崎町１丁目,-,東京都千代田区三崎町１－４－１６,35.701349,139.755852,東洋高等学校,私立,高等学校（全日制）,03-3291-3824,2020/4/1
千代田区,九段南２丁目,-,東京都千代田区九段南２－１－３２　　,35.692527,139.746381,二松學舎大学附属高等学校,私立,高等学校（全日制）,03-3263-5014,2020/4/1
千代田区,六番町,-,東京都千代田区六番町１４－１　,35.686709,139.731593,雙葉高等学校,私立,高等学校（全日制）,03-3261-0821,2020/4/1
千代田区,九段北３丁目,-,東京都千代田区九段北３－３－１５　　,35.694095,139.740973,三輪田学園高等学校,私立,高等学校（全日制）,03-3263-7801,2020/4/1
千代田区,四番町,-,東京都千代田区四番町１１　　　,35.688484,139.738977,武蔵野大学附属千代田高等学院,私立,高等学校（全日制）,03-3263-6551,2020/4/1
千代田区,九段北１丁目,-,東京都千代田区九段北１－１２－１２　,35.696599,139.748951,和洋九段女子高等学校,私立,高等学校（全日制）,03-3262-4161,2020/4/1
千代田区,三番町,-,東京都千代田区三番町１２　　　,35.690989,139.742360,大妻中学校,私立,中学校,03-5275-6057,2020/4/1
