指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/administration/statistics_and_research/list_of_public_school/school_lists2020.html,,,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,,,
年次,2021/2/25取得,,,国立（高等学校のみ）,https://www.minkou.jp/hischool/search/pref=tokyo/c=2/,,,,,
URL,右記参照,,,,,,,,,
備考,（2019年度：498件、2020年度：733件）,,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,国公私,カテゴリ,電話番号,データ年次
品川区,南品川２丁目,-,東京都品川区南品川２－８－２１,35.613153,139.742914,城南,公立,幼稚園,03-3471-7584,2020/5/1
品川区,荏原４丁目,-,東京都品川区荏原４－５－２２,35.615070,139.707675,平塚,公立,幼稚園,03-3781-8913,2020/5/1
品川区,南大井４丁目,-,東京都品川区南大井４－３－１４,35.597637,139.736177,浜川,公立,幼稚園,03-3761-6395,2020/5/1
品川区,北品川５丁目,-,東京都品川区北品川５－３－１,35.622495,139.731753,御殿山,公立,幼稚園,03-5795-1523,2020/5/1
品川区,西大井５丁目,-,東京都品川区西大井５－２２－８,35.598088,139.716943,伊藤,公立,幼稚園,03-3775-8028,2020/5/1
品川区,西五反田６丁目,-,東京都品川区西五反田６－５－６,35.622359,139.716741,第一日野,公立,幼稚園,03-3493-7264,2020/5/1
品川区,東品川１丁目,-,東京都品川区東品川１－８－３０,35.620869,139.743667,台場,公立,幼稚園,03-3472-8378,2020/5/1
品川区,二葉１丁目,-,東京都品川区二葉１－３－４０,35.607037,139.725560,二葉,公立,幼稚園,03-3785-9560,2020/5/1
品川区,八潮５丁目,-,東京都品川区八潮５－６－３２,35.596297,139.749755,八潮わかば,公立,幼稚園,03-3799-1542,2020/5/1
品川区,南品川２丁目,-,東京都品川区南品川２－８－２１,35.613153,139.742914,城南,公立,小学校,03-3471-7919,2020/5/1
品川区,南品川６丁目,-,東京都品川区南品川６－８－８,35.611462,139.736584,浅間台,公立,小学校,03-3474-2727,2020/5/1
品川区,西品川３丁目,-,東京都品川区西品川３－１６－２８,35.615256,139.726544,三木,公立,小学校,03-3491-0404,2020/5/1
品川区,北品川５丁目,-,東京都品川区北品川５－２－６,35.622997,139.732415,御殿山,公立,小学校,03-3441-0814,2020/5/1
品川区,東品川３丁目,-,東京都品川区東品川３－４－５,35.615644,139.746083,城南第二,公立,小学校,03-3471-7481,2020/5/1
品川区,西五反田６丁目,-,東京都品川区西五反田６－５－３２,35.622228,139.716127,第一日野,公立,小学校,03-3492-6258,2020/5/1
品川区,大崎３丁目,-,東京都品川区大崎３－１２－２２,35.618570,139.724154,芳水,公立,小学校,03-3491-1555,2020/5/1
品川区,上大崎１丁目,-,東京都品川区上大崎１－１９－１９,35.632789,139.723939,第三日野,公立,小学校,03-3441-6452,2020/5/1
品川区,西五反田４丁目,-,東京都品川区西五反田４－２９－９,35.625638,139.712241,第四日野,公立,小学校,03-3491-1281,2020/5/1
品川区,大井６丁目,-,東京都品川区大井６－１－３２,35.598644,139.730919,大井第一,公立,小学校,03-3771-5240,2020/5/1
品川区,東大井２丁目,-,東京都品川区東大井２－１０－１４,35.601239,139.740684,鮫浜,公立,小学校,03-3765-2844,2020/5/1
品川区,大井３丁目,-,東京都品川区大井３－７－１９,35.602861,139.729955,山中,公立,小学校,03-3772-3006,2020/5/1
