指標名,インターナショナルスクール,,,,,,,
出典,PLAZA HOMES,,,,,,,
年次,2021/2/23取得,,,,,,,
URL,https://www.plazahomes.co.jp/living-in-tokyo/international-schools/,,,,,,,
備考,（2019年度：53件、2020年度：59件）,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,英語名,対象年齢
渋谷区,恵比寿南１丁目,-,東京都渋谷区恵比寿南1-13-2,35.645641,139.71027,プライムインターナショナルスクール,Prime International School,共学18ヶ月〜6歳
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-36-20-101,35.671384,139.71124,マリアズ・ベビーズ・ソサエティー,Maria's Babies' Society,共学0 - 6歳
渋谷区,大山町,-,東京都渋谷区大山町1-13,35.667653,139.67660,ユーアイ インターナショナル イスラミック スクール,Yuai International Islamic school,"共学Kindergarden, Primary School, Secondary School"
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-16-12,35.648866,139.70718,聖マリアン保育園,St. Marian Nursery School,共学生後45日 - 6歳
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷2-21-10  キジマビル,35.661779,139.68715,ユナイテッドスクールオブ東京（UST）,United School of Tokyo,共学3 - 12歳
渋谷区,恵比寿３丁目,-,"東京都渋谷区恵比寿3-9-20, 恵比寿ガーデンイーストビル 2F",35.644067,139.71592,ペガサスインターナショナルスクール,Pegasus International School,共学15ヶ月 - 6歳
渋谷区,大山町,-,東京都渋谷区大山町39-20,35.670004,139.67639,代沢インターナショナルスクール　大山キャンパス (メイプル - オーク),DAIZAWA INTERNATIONAL SCHOOL  Oyama Campus (Maple - Oak),共学メイプル（3 - 4歳）、オーク（4 - 6歳）
渋谷区,広尾４丁目,-,東京都渋谷区広尾4-3-1,35.651925,139.72131,聖心インターナショナルスクール,International School of the Sacred Heart (ISSH),女子校3　-　18歳
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿4-20-2　恵比寿ガーデンテラス弐番館1F,35.642557,139.71450,ポピンズアクティブラーニングインターナショナルスクール,Poppins Active Learning International School,共学11ヶ月 - 5歳（小学校前）
渋谷区,広尾４丁目,-,東京都渋谷区広尾4-3-1,35.651925,139.72131,聖心インターナショナルスクール　（幼稚園）,International School of the Sacred Heart ( Kindergarten ),共学3 - 5 歳
品川区,北品川５丁目,-,東京都品川区北品川5-8-20,35.619654,139.73319,カナディアン インターナショナル スクール,Canadian International School Tokyo,共学K3 - Grade12
千代田区,四番町,-,東京都千代田区四番町11,35.688484,139.73898,Chiyoda International School Tokyo (CHIST),Chiyoda International School Tokyo (CHIST),"共学小学校、中学校、高校,  Opening G7 & 11 in April 2020"
品川区,上大崎２丁目,-,東京都品川区上大崎2-7-16,35.637920,139.71648,KAISインターナショナルスクール,KAIS International School,共学 Grade 9 - 12
品川区,東品川４丁目,-,東京都品川区東品川4-8-8,35.609461,139.74585,品川インターナショナルスクール (旧JIES),Shinagawa International School (former JIES),共学3 - 11歳　（6年生）
千代田区,飯田橋１丁目,-,東京都千代田区飯田橋1-6-3、コウヨウビル2F,35.698757,139.74893,サクラの国　Au Pays des Sakuras,Au Pays des Sakuras,共学2 - 4 歳
品川区,東五反田５丁目,-,東京都品川区東五反田5-11-1 E-101,35.629846,139.72331,東京チルドレンズガーデン,Tokyo Children's Garden,共学2 - 5歳
中央区,晴海１丁目,-,東京都中央区晴海1-8-2 晴海トリトンスクエア西地区,35.657935,139.78281,アオバジャパン・バイリンガルプリスクール（晴海キャンパス）,Aoba-Japan Bilingual Preschool (Harumi Campus),共学K1 - K5
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町14-1  北祥ビル,35.689580,139.78305,フューチャー児童園 日本橋,Future Jidoen Nihonbashi,共学2歳 ｰ 6歳 未就学児
中央区,築地１丁目,-,東京都中央区築地1-5-5 クニビル 2-6階,35.669978,139.77180,サンシャインキッズアカデミー,Sunshine Kids Academy,共学1歳 - 6歳
新宿区,高田馬場４丁目,-,東京都新宿区高田馬場4-41-1,35.709490,139.69486,東京早稲田インターナショナルクリスチャンスクール,Tokyo Waseda International Christian School,共学小学部、中学部、高等部
江東区,白河１丁目,-,東京都江東区白河1-5-15,35.682797,139.80069,K. インターナショナルスクール東京,K. International School Tokyo,共学保育園 - 12年生 (3歳-17歳）
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-14-8 千代田ビル2号館,35.709443,139.70596,アオバジャパン・バイリンガルプリスクール（早稲田キャンパス）,Aoba-Japan Bilingual Preschool  (Waseda Campus),共学K1 - K5
新宿区,新小川町,-,東京都新宿区新小川町3-16 菊水ビル101,35.705420,139.74211,テゾーロインターナショナルスクール,Tesoro International School,共学2 - 6歳
江東区,亀戸１丁目,-,東京都江東区亀戸1-18-9,35.694559,139.82369,Tokyo Bay International School,Tokyo Bay International School,共学K1 - Grade8 (Ages 3-13)
江東区,東陽２丁目,-,東京都江東区東陽2-2-20,35.666507,139.81600,東京YMCAインターナショナルスクール,Tokyo YMCA International School,共学Kindergarten - Grade 8
