指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2021/2/3取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2019年度：430件、2020年度：423件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種類
新宿区,四谷３丁目,-,東京都新宿区四谷3-4 四谷SCビル2F,35.687604,139.721609,KODLAB fitness boxing(コドラボ フィットネス ボクシング),スポーツクラブ/フィットネスクラブ
新宿区,四谷４丁目,-,東京都新宿区四谷4-28-4 YKBエンサインビル 1F,35.688637,139.715344,エニタイムフィットネス 新宿御苑前店,スポーツクラブ/フィットネスクラブ
新宿区,市谷加賀町２丁目,-,東京都新宿区市谷加賀町2-1-16,35.695629,139.729627,DIS(ディス)市谷スポーツクラブ,スポーツクラブ/フィットネスクラブ
新宿区,住吉町,-,東京都新宿区住吉町1-14,35.692142,139.722238,BETA CLIMBING GYM(ベータクライミングジム),スポーツ施設/運動公園
新宿区,住吉町,-,東京都新宿区住吉町8-14 メゾンドK 1F-B1,35.692836,139.722218,エニタイムフィットネス 曙橋店,スポーツクラブ/フィットネスクラブ
新宿区,上落合１丁目,-,東京都新宿区上落合1-5-2 羽場ビル 1F-B2F,35.711318,139.691515,エニタイムフィットネス 落合店,スポーツクラブ/フィットネスクラブ
新宿区,上落合１丁目,-,東京都新宿区上落合1-2-40,35.713975,139.69352,新宿区立 落合中央公園野球場・庭球場,スポーツ施設/運動公園
新宿区,上落合３丁目,-,東京都新宿区上落合3-2-4 東京トラフィック開発中井ビル,35.713779,139.685863,エニタイムフィットネス 新宿中井店,スポーツクラブ/フィットネスクラブ
新宿区,新宿２丁目,-,東京都新宿区新宿2-8-5 新宿第1ビル,35.68915,139.7092,PUMP CLIMBER'S ACADEMY(パンプ クライマーズ アカデミー),スポーツクラブ/フィットネスクラブ
新宿区,新宿３丁目,-,東京都新宿区新宿3-35-18 新宿ニューアサヒビル B1F,35.690034,139.703069,FEELCYCLE Shinjuku(フィールサイクル新宿),スポーツクラブ/フィットネスクラブ
新宿区,新宿３丁目,-,"東京都新宿区新宿3-27-5 ケースリビルB1,B2",35.691192,139.701821,jump one Shinjuku.East(ジャンプワン新宿),スポーツクラブ/フィットネスクラブ
新宿区,新宿３丁目,-,東京都新宿区新宿 3-29-1 M新宿ビル本館 屋上,35.69138,139.702996,GINZA de FUTSAL ビックロ新宿スタジアム,スポーツ施設/運動公園
新宿区,新宿３丁目,-,東京都新宿区新宿3-29-1 ビックロB4F,35.69138,139.702996,Evolv Shinjuku Studio(エボルブ シンジュク スタジオ),スポーツクラブ/フィットネスクラブ
新宿区,新宿３丁目,-,東京都新宿区新宿3-11-9 花菱ビル7階,35.691897,139.70655,エクササイズコーチ新宿店,スポーツクラブ/フィットネスクラブ
新宿区,新宿３丁目,-,東京都新宿区新宿3-24-3 新宿アルタRF,35.692718,139.701251,HOOP/CITY(フープシティ) 新宿アルタ店,スポーツ施設/運動公園
新宿区,新宿４丁目,-,東京都新宿区新宿4-2-23 新四curumuビル10F,35.688694,139.70306,FIRSTSHIP(ファーストシップ)新宿,スポーツクラブ/フィットネスクラブ
新宿区,新宿４丁目,-,東京都新宿区新宿4-2-16 パシフィックマークス新宿サウスゲート 2F,35.689382,139.703659,CARDIO BARRE(カーディオ バー) 新宿店,スポーツクラブ/フィットネスクラブ
新宿区,新宿５丁目,-,東京都新宿区新宿5-17-13 オリエンタルウェーブビル 3F,35.69295,139.705216,b-monster(ビーモンスター) 新宿店,スポーツクラブ/フィットネスクラブ
新宿区,新宿５丁目,-,東京都新宿区新宿5-15-7 東晃ビル 6F,35.694116,139.707076,24/7Workout 新宿東口店,スポーツクラブ/フィットネスクラブ
新宿区,新宿６丁目,-,東京都新宿区新宿6-27-12 ユニオン新宿ビル2階・3階,35.695256,139.708237,ライザップ  新宿三丁目店,スポーツクラブ/フィットネスクラブ
新宿区,新宿６丁目,-,東京都新宿区新宿6-27-28 コンフォリア新宿イーストサイドタワー アネックス棟1F,35.696149,139.707737,エニタイムフィットネス 新宿6丁目店,スポーツクラブ/フィットネスクラブ
新宿区,新宿６丁目,-,東京都新宿区新宿6-27-30 新宿イーストサイドスクエア B1F,35.696685,139.708692,TIPNESS(ティップネス) 東新宿店,スポーツクラブ/フィットネスクラブ
新宿区,新宿７丁目,-,東京都新宿区新宿7-3-29,35.700848,139.712361,新宿ここ・から広場多目的運動広場,スポーツ施設/運動公園
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-19-6 山手新宿ビル 7F,35.688197,139.696909,ワールドウィング 新宿店,スポーツクラブ/フィットネスクラブ
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-25-1 新宿センタービルMB 1F,35.691708,139.69547,ZEROGYM SHINJUKU(ゼロジム シンジュク),スポーツクラブ/フィットネスクラブ
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-7-1-2 パークハイアット東京 45-47F,35.685427,139.690839,CLUB ON THE PARK(クラブオンザパーク),スポーツクラブ/フィットネスクラブ
新宿区,西新宿７丁目,-,東京都新宿区西新宿7-10-11 第二伊藤ビル2F,35.694104,139.698148,Shapes(シェイプス)新宿店,スポーツクラブ/フィットネスクラブ
新宿区,西新宿７丁目,-,東京都新宿区西新宿7-16-11 FORECAST西新宿3F・4F,35.696294,139.697872,ライザップ  新宿店,スポーツクラブ/フィットネスクラブ
新宿区,西新宿７丁目,-,東京都新宿区西新宿7-5-20,35.697795,139.698193,エスカラード・クライミングジム,スポーツ施設/運動公園
新宿区,西新宿８丁目,-,東京都新宿区西新宿8-3-32 CARMEL 403,35.696293,139.694498,B-FIT(ビーフィット) 西新宿本店,スポーツクラブ/フィットネスクラブ
新宿区,西新宿８丁目,-,東京都新宿区西新宿8-16-2 新宿グランドウイング 1F (新宿税務署通り沿いが入口です),35.696831,139.69225,エニタイムフィットネス 西新宿店,スポーツクラブ/フィットネスクラブ
新宿区,西早稲田１丁目,-,東京都新宿区西早稲田1-13-4,35.711507,139.721192,ワセダオートテニスプラザ,スポーツ施設/運動公園
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2-18-18 TCKビル 1F,35.711027,139.711013,エニタイムフィットネス 早稲田店,スポーツクラブ/フィットネスクラブ
新宿区,西落合３丁目,-,東京都新宿区西落合3-8-19,35.723142,139.682272,エニタイムフィットネス 落合南長崎店,スポーツクラブ/フィットネスクラブ
新宿区,大久保１丁目,-,東京都新宿区大久保1-3-15 アクロス東新宿 2F,35.700787,139.707683,エニタイムフィットネス 東新宿店,スポーツクラブ/フィットネスクラブ
新宿区,大久保３丁目,-,東京都新宿区大久保3-7-42,35.706631,139.702227,大久保スポーツプラザ,スポーツ施設/運動公園
新宿区,大久保３丁目,-,東京都新宿区大久保3-5-1,35.706992,139.705429,新宿スポーツセンター,スポーツ施設/運動公園
新宿区,大久保３丁目,-,東京都新宿区大久保3丁目5-1,35.706992,139.705429,新宿区立総合体育館屋内プール,スポーツ施設/運動公園
新宿区,馬場下町,-,東京都新宿区馬場下町62-13-14 二見早稲田ビル2階,35.706492,139.719371,FASTGYM24(ファストジム トゥエンティフォー) 早稲田店,スポーツクラブ/フィットネスクラブ
新宿区,百人町２丁目,-,東京都新宿区百人町2-23-25,35.704171,139.696575,GENスポーツアカデミー,スポーツクラブ/フィットネスクラブ
新宿区,北新宿１丁目,-,東京都新宿区北新宿1-1-10 岩田ビル 2F,35.698449,139.696697,24/7Workout 新宿西口店,スポーツクラブ/フィットネスクラブ
渋谷区,松涛１丁目,-,東京都渋谷区松濤1-29-15,35.6600801,139.6945675,Shibuya Fitness Sharez(シブヤ フィットネス シェアーズ) 渋谷松濤店,スポーツクラブ/フィットネスクラブ
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1-5-8 神宮前タワービルディングB1F,35.6705804,139.706617,GOLDS GYM(ゴールドジム)原宿ANNEX,スポーツ施設/運動公園
渋谷区,神南２丁目,-,東京都渋谷区神南2-3,35.6669395,139.6943282,織田フィールド,スポーツ施設/運動公園
渋谷区,東３丁目,-,東京都渋谷区東3丁目1-6 2F-3F,35.6520825,139.7130305,エニタイムフィットネス 広尾高校前店,スポーツクラブ/フィットネスクラブ
渋谷区,宇田川町,-,東京都渋谷区宇田川町23-3 渋谷第一勧銀共同ビル5F,35.65981,139.699608,CYCLE&STUDIO R Shibuya(サイクルスタジオアールシブヤ),スポーツクラブ/フィットネスクラブ
渋谷区,宇田川町,-,東京都渋谷区宇田川町20-11 渋谷三葉ビル 3F,35.660828,139.699892,FEEL CYCLE(フィール サイクル) 渋谷,スポーツクラブ/フィットネスクラブ
渋谷区,宇田川町,-,東京都渋谷区宇田川町33-8 塚田ビル6F,35.660917,139.696811,TARGET SHIBUYA,スポーツクラブ/フィットネスクラブ
渋谷区,宇田川町,-,東京都渋谷区宇田川町16-4,35.66145,139.699204,ティップ.クロスTOKYO渋谷,スポーツクラブ/フィットネスクラブ
渋谷区,宇田川町,-,東京都渋谷区宇田川町19-5-706,35.661522,139.699435,CREBIQ(クレビック) 渋谷店,スポーツクラブ/フィットネスクラブ
渋谷区,宇田川町,-,東京都渋谷区宇田川町36-19,35.661876,139.696677,MITTNESS渋谷店,スポーツクラブ/フィットネスクラブ
渋谷区,宇田川町,-,東京都渋谷区宇田川町15-1 SHIBUYA PARCO内,35.662117,139.698939,jump one(ジャンプ ワン),スポーツクラブ/フィットネスクラブ
渋谷区,宇田川町,-,東京都渋谷区宇田川町3-10 いちごフィエスタ渋谷 7F,35.662513,139.698769,エクササイズコーチ 渋谷店,スポーツクラブ/フィットネスクラブ
渋谷区,猿楽町,-,東京都渋谷区猿楽町12-35,35.650756,139.701867,猿楽トレーニングジム,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿1丁目23-9,35.646247,139.715874,バンゲリングベイ,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿1-8-12 キュープラザ恵比寿 4F,35.647499,139.710141,OASIS RAFEEL(オアシス ラフィール) 恵比寿,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿３丁目,-,東京都渋谷区恵比寿3-9-20 恵比寿ガーデンイーストB1F,35.644067,139.715919,Magma spastudio insea(マグマ スパスタジオ インシー)恵比寿店,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワープロムナードB1,35.64216,139.71347,GRANCISE YEBISU GARDEN(グランサイズ恵比寿ガーデン),スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿4-20-7 恵比寿ガーデンプレイス グラススクエア 1F,35.642786,139.71413,加圧ビューティーテラス 恵比寿店,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿4-9-15 HAGIWARA BLDG 8F,35.645619,139.714656,パーソナルトレーニングジムREAL WORKOUT(リアルワークアウト) 恵比寿店,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-34-17 Za HOUSEビル 3-4F,35.647032,139.702485,EXFIGHT(エクスファイト),スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-9-4 小熊ビル 202,35.647147,139.708443,パーソナル トレーニング ジム JOHNNY STYLE(ジョニー スタイル) 恵比寿店,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-6-1 本庄ビル2階,35.648166,139.708263,b-monster(ビーモンスター)恵比寿店,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿南１丁目,-,東京都渋谷区恵比寿南1-1-1 恵比寿ヒューマックスビル4F,35.64676,139.708952,HOT STEP(ホットステップ)恵比寿店,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿南２丁目,-,東京都渋谷区恵比寿南2-19-7  VORT恵比寿dual's 404,35.643431,139.709367,BEYOND(ビヨンド) 恵比寿店,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿南２丁目,-,東京都渋谷区恵比寿南2-19-7 VORT恵比寿dual's401,35.643431,139.709367,24/7Workout 恵比寿・目黒店,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿南２丁目,-,東京都渋谷区恵比寿南2-20-2 ガイア恵比寿ビル 7F,35.643658,139.709819,株式会社ポジティブスターヨガ,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿南２丁目,-,東京都渋谷区恵比寿南2-3-11 グレース青山2F,35.645425,139.707364,パーソナルトレーニングジムREAL WORKOUT(リアルワークアウト) 恵比寿西口店,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿南２丁目,-,東京都渋谷区恵比寿南2-3-14 CONZE恵比寿4F,35.645527,139.707484,ライザップ  恵比寿店,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿南２丁目,-,東京都渋谷区恵比寿南2-3-14CONZEビル3F,35.645527,139.707484,BALI STONE HOT YOGA STUDIO ALLURE CONZE店,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿南３丁目,-,東京都渋谷区恵比寿南3-1-1 恵比寿グリーングラス B1F,35.645876,139.70665,エニタイムフィットネス 恵比寿店,スポーツクラブ/フィットネスクラブ
渋谷区,恵比寿南３丁目,-,東京都渋谷区恵比寿南3-2-12 ロビタビル,35.64602,139.705209,K-1ジム恵比寿小比類巻道場,スポーツ施設/運動公園
渋谷区,恵比寿南３丁目,-,東京都渋谷区恵比寿南3-3-12 ロビタビル,35.646272,139.704719,K-1 ジム代官山,スポーツクラブ/フィットネスクラブ
渋谷区,元代々木町,-,東京都渋谷区元代々木町12-7,35.670472,139.683819,Olaピラティススタジオ,スポーツクラブ/フィットネスクラブ
渋谷区,元代々木町,-,東京都渋谷区元代々木町21-9 Silhouette 203号,35.670991,139.684598,パーソナルトレーニングジムREAL WORKOUT(リアルワークアウト) 代々木上原店,スポーツクラブ/フィットネスクラブ
渋谷区,元代々木町,-,東京都渋谷区元代々木町49-25 2F,35.673885,139.686632,エニタイムフィットネス 元代々木店,スポーツクラブ/フィットネスクラブ
渋谷区,広尾５丁目,-,東京都渋谷区広尾5ー7-35 広尾コンプレックスビル2・3・4F,35.649334,139.72282,FITNESS CLUB HIROO(フィットネス クラブ ヒロオ),スポーツクラブ/フィットネスクラブ
渋谷区,桜丘町,-,東京都渋谷区桜丘町9-1 ビアンクォードビル B1F,35.654783,139.702851,NOBOROCK(ノボロック) 渋谷店,スポーツクラブ/フィットネスクラブ
渋谷区,笹塚１丁目,-,東京都渋谷区笹塚1-22-9 ヴィオス笹塚1F,35.672585,139.668586,パーソナルトレーニングジムREAL WORKOUT(リアルワークアウト) 笹塚店,スポーツクラブ/フィットネスクラブ
渋谷区,笹塚１丁目,-,東京都渋谷区笹塚1-61-8 ホテルブーゲンビリア新宿内 B1F・B2F,35.672934,139.663532,GOLD'S GYM(ゴールドジム) 笹塚東京,スポーツクラブ/フィットネスクラブ
渋谷区,笹塚１丁目,-,東京都渋谷区笹塚1-57-10 2F,35.673991,139.666949,PLAYLON(プレロン),スポーツクラブ/フィットネスクラブ
渋谷区,笹塚１丁目,-,東京都渋谷区笹塚1-56-7笹塚テラス2F,35.674217,139.667753,エニタイムフィットネス 京王笹塚店,スポーツクラブ/フィットネスクラブ
渋谷区,笹塚１丁目,-,東京都渋谷区笹塚1-54-15,35.674448,139.669502,笹塚高架下施設体育室,スポーツ施設/運動公園
渋谷区,笹塚１丁目,-,東京都渋谷区笹塚1-50-16,35.675006,139.671182,笹塚高架下施設,スポーツ施設/運動公園
渋谷区,笹塚２丁目,-,東京都渋谷区笹塚2-18-3 VORT 笹塚ビル 8F,35.674208,139.665578,AGNIYOGA(アグニヨガ) 笹塚スタジオ,スポーツクラブ/フィットネスクラブ
渋谷区,笹塚２丁目,-,東京都渋谷区笹塚2-7-12 日神デュオステージ笹塚西館1階,35.675101,139.668729,FASTGYM24(ファストジム トゥエンティフォー)  笹塚店,スポーツクラブ/フィットネスクラブ
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-12-7 CR-VITE8F,35.660017,139.703852,Reborn Myself(リボーンマイセルフ) 渋谷店,スポーツクラブ/フィットネスクラブ
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-10-12ミヤギビル8F,35.660727,139.704838,SSS渋谷 本店,スポーツクラブ/フィットネスクラブ
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-23-16 cocoti 9F・10F・11F,35.662013,139.702644,GOLD'S GYM(ゴールドジム) 渋谷東京,スポーツクラブ/フィットネスクラブ
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-18-29,35.662113,139.703269,美竹公園 ジョーダンコート,スポーツ施設/運動公園
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-14-5 共栄ビル 202,35.65952,139.706095,Shibuya Fitness Sharez(シブヤ フィットネス シェアーズ) 渋谷宮益坂上店,スポーツクラブ/フィットネスクラブ
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-2-1 木村ガーデンビル3F,35.660917,139.708505,ダナエビューティースタジオ,スポーツクラブ/フィットネスクラブ
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷4-4-25,35.659029,139.709749,青山学院大学青山キャンパス 青山学院記念館,スポーツ施設/運動公園
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-15-9 CREST表参道101(地下),35.670121,139.709198,エバ クオーレ ボディ本店,スポーツクラブ/フィットネスクラブ
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-30-12 Gビル神宮前03-B1,35.672234,139.710258,ライザップ  神宮前店,スポーツクラブ/フィットネスクラブ
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-3-15 東京セントラル表参道120号,35.66692,139.71058,K YOGA Studio,スポーツクラブ/フィットネスクラブ
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-17-9,35.668898,139.709674,カラダ・知る・ジム BODY TIPS(ボディティップス),スポーツクラブ/フィットネスクラブ
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-31-12 原宿ゼロゲート4F,35.669452,139.706355,B.I.F BY NERGY 原宿,スポーツクラブ/フィットネスクラブ
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-52-2 青山オーバルビル4F・5F,35.662704,139.708959,GRANCISE(グランサイズ) 青山,スポーツクラブ/フィットネスクラブ
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-1-17 ニールズヤードレメディーズ2F,35.665849,139.709803,MELON(メロン) 表参道スタジオ,スポーツクラブ/フィットネスクラブ
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-16-13,35.665868,139.706245,lululemon Harajuku(ルルレモン ハラジュク),スポーツクラブ/フィットネスクラブ
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-19-14 神宮前ハッピービル1F,35.663264,139.702407,PEKID’S,スポーツ施設/運動公園
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-31-17,35.668657,139.704408,ゴールドジム・原宿東京,スポーツクラブ/フィットネスクラブ
渋谷区,神泉町,-,東京都渋谷区神泉町18-11,35.657815,139.691313,コナミスポーツクラブ渋谷,スポーツクラブ/フィットネスクラブ
渋谷区,神南１丁目,-,東京都渋谷区神南1-19-8,35.662524,139.699627,勤労福祉会館卓球場,スポーツ施設/運動公園
渋谷区,神南１丁目,-,東京都渋谷区神南1-12-16 ASIA BUILDING1F,35.662681,139.700542,T4 TOKTO(ティーフォー東京),スポーツ施設/運動公園
渋谷区,神南１丁目,-,東京都渋谷区神南1-1-1,35.666297,139.701295,岸記念体育会館,スポーツ施設/運動公園
渋谷区,神南２丁目,-,東京都渋谷区神南2丁目3-1,35.6663,139.694846,財団法人東京都公園協会代々木公園陸上競技場,スポーツ施設/運動公園
渋谷区,神南２丁目,-,東京都渋谷区神南2-1-1,35.667641,139.700163,国立代々木競技場フットサルコート,スポーツ施設/運動公園
渋谷区,西原１丁目,-,東京都渋谷区西原1-40-18,35.675739,139.680991,渋谷区スポーツセンター,スポーツ施設/運動公園
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ケ谷1-17-1,35.679775,139.712493,東京体育館,スポーツ施設/運動公園
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ケ谷1-17-1,35.679775,139.712493,【改装中】東京体育館,スポーツ施設/運動公園
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ケ谷1-17-1,35.679775,139.712493,東京体育館多目的コート (東京体育館フットサルコート),スポーツ施設/運動公園
渋谷区,千駄ケ谷３丁目,-,東京都渋谷区千駄ヶ谷3-53-12 グレンパーク原宿 102,35.674483,139.705527,完全プライベートパーソナルジム808 TOKYO(トウキョウ),スポーツクラブ/フィットネスクラブ
渋谷区,千駄ケ谷４丁目,-,東京都渋谷区千駄ヶ谷4-20-3 東栄神宮外苑ビル 8F,35.680994,139.707536,ZEROGYM SENDAGAYA(ゼロジム センダガヤ),スポーツクラブ/フィットネスクラブ
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-3-9 イトウハイム303号,35.682478,139.707758,パーソナルトレーニングジムREAL WORKOUT(リアルワークアウト) 千駄ヶ谷店,スポーツクラブ/フィットネスクラブ
渋谷区,代官山町,-,東京都渋谷区代官山町20-9 サザン代官山B1F,35.648266,139.702976,スポーツクラブJOYFIT 代官山,スポーツクラブ/フィットネスクラブ
渋谷区,代官山町,-,東京都渋谷区代官山町17-9,35.649136,139.704004,代官山スポーツプラザ,スポーツ施設/運動公園
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-1-5 JR南新宿ビル 1F,35.686135,139.699289,ジェクサー・フィットネス&スパ 新宿,スポーツクラブ/フィットネスクラブ
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-6-7 セイチビル 6F,35.687991,139.699021,CREBIQ(クレビック) 新宿店,スポーツクラブ/フィットネスクラブ
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1-1,35.676035,139.703222,全日本弓道連盟中央道場 明治神宮武道場 至誠館 第二弓道場,スポーツ施設/運動公園
渋谷区,東３丁目,-,東京都渋谷区東3-20-2 KIビル B1F,35.650257,139.708942,J&S Bouldering Gym(ジェイアンドエス ボルダリング ジム),スポーツ施設/運動公園
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-12-1 渋谷マークシティ WEST MALL 1F,35.658003,139.698143,Dr.(ドクター)ストレッチ 渋谷マークシティ店,スポーツクラブ/フィットネスクラブ
渋谷区,南平台町,-,東京都渋谷区南平台町2-12 渋谷南平台ビル1F,35.655554,139.695986,ShapesGirl(シェイプスガール) 渋谷本店,スポーツクラブ/フィットネスクラブ
渋谷区,幡ケ谷１丁目,-,東京都渋谷区幡ヶ谷1-7-5 タカヤナギビル2F,35.675933,139.673378,ターゲットワン新宿店,スポーツ施設/運動公園
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷2-7-2 幡ヶ谷ニューセンタービル5階,35.677737,139.677517,FASTGYM24(ファストジム トゥエンティフォー)   幡ヶ谷店,スポーツクラブ/フィットネスクラブ
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1-35-20 2F,35.66733,139.688466,クオリア代々木公園,スポーツクラブ/フィットネスクラブ
渋谷区,本町１丁目,-,東京都渋谷区本町1-17-11 STCビル3F、4F,35.678885,139.681002,パーソナルトレーニングスタジオ SWITCH(スイッチ),スポーツクラブ/フィットネスクラブ
渋谷区,本町１丁目,-,東京都渋谷区本町1-51-14 SHOWN HATSUDAI 2F,35.682185,139.684914,エニタイムフィットネス 渋谷初台店,スポーツクラブ/フィットネスクラブ
港区,赤坂９丁目,六本木,東京都港区赤坂9-5-12 パークサイドシックスC棟1F,35.667471,139.729714,nature body house(ネイチャーボディハウス) 六本木,スポーツクラブ/フィットネスクラブ
港区,六本木３丁目,六本木,東京都港区六本木3-17-10 六本木デュープレックスタワーB1F,35.66171,139.736905,ライザップ  六本木店,スポーツクラブ/フィットネスクラブ
港区,六本木６丁目,六本木,東京都港区六本木6-10-3 グランドハイアット東京 5F,35.659743,139.72847,NAGOMISPA AND FITNESS(ナゴミスパアンドフィットネス),スポーツクラブ/フィットネスクラブ
港区,六本木６丁目,六本木,東京都港区六本木6-4-1 六本木ヒルズ・メトロハット/ハリウッドプラザ3F,35.661356,139.730124,フィールサイクル 六本木ヒルズ店,スポーツクラブ/フィットネスクラブ
港区,六本木６丁目,六本木,東京都港区六本木6-4-1 六本木ヒルズ・メトロハット/ハリウッドプラザB2F,35.661356,139.730124,トータル・ワークアウト 六本木ヒルズ店,スポーツクラブ/フィットネスクラブ
港区,六本木６丁目,六本木,東京都港区六本木6-6-9  ピラミデビルB1F,35.661894,139.731524,TIPNESS(ティップネス) 六本木店,スポーツクラブ/フィットネスクラブ
港区,六本木７丁目,六本木,東京都港区六本木7-18-8 第3大栄ビル 4F,35.662168,139.729201,BODY ARCHI(ボディアーキ) 六本木店,スポーツクラブ/フィットネスクラブ
港区,六本木７丁目,六本木,東京都港区六本木7-14-10 誠志堂ビル 4F,35.663334,139.731861,【1/6オープン】Relaxation Hot Studio & Spa CHANDA(リラクゼーション ホット スタジオ アンド スパ チャンダ),スポーツクラブ/フィットネスクラブ
港区,六本木７丁目,六本木,東京都港区六本木7-4-4 アートシェルビル 3F,35.66558,139.728789,Magma spastudio insea(マグマ スパスタジオ インシー) 六本木店,スポーツクラブ/フィットネスクラブ
港区,赤坂３丁目,赤坂,東京都港区赤坂3-13-14 赤坂313ビル3-4F,35.673503,139.737142,JOYFIT24(ジョイフィット24) 赤坂店,スポーツクラブ/フィットネスクラブ
港区,赤坂４丁目,赤坂,東京都港区赤坂4丁目18番13号 赤坂コミュニティーぷらざ6階,35.674796,139.731714,健康増進センター(ヘルシーナ),スポーツ施設/運動公園
港区,赤坂５丁目,赤坂,東京都港区赤坂5-4-7 ヘキサゴンビル B1F,35.67209,139.735868,FEELCYCLE Akasaka(フィールサイクル赤坂),スポーツクラブ/フィットネスクラブ
港区,赤坂５丁目,赤坂,東京都港区赤坂5-4-7 THE HEXAGON 2F,35.67209,139.735868,エニタイムフィットネス 赤坂店,スポーツクラブ/フィットネスクラブ
港区,赤坂６丁目,赤坂,東京都港区赤坂6丁目6-14,35.669759,139.737502,氷川武道場,スポーツ施設/運動公園
港区,赤坂６丁目,赤坂,東京都港区赤坂6-4-10 赤坂ZENビル 1F,35.670107,139.73472,SIXPAD STATION(シックスパッド ステーション) 赤坂,スポーツクラブ/フィットネスクラブ
港区,新橋４丁目,虎ノ門広域,東京都港区新橋4-9-1 新橋プラザビル 2F,35.6642689,139.7565538,エニタイムフィットネス 新橋店,スポーツクラブ/フィットネスクラブ
港区,新橋１丁目,虎ノ門広域,東京都港区新橋1-5-6 銀座第3誠和ビル 7・8F,35.667646,139.759925,24/7 Workout(とぅうぇんてぃーふぉーせぶん わーくあうと) 新橋・銀座店,スポーツクラブ/フィットネスクラブ
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-9-1 東京汐留ビルディング Pedi汐留内 2F,35.663042,139.76131,FEELCYCLE Shiodome(フィールサイクル汐留),スポーツクラブ/フィットネスクラブ
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-9-1 コンラッド東京 29F,35.663042,139.76131,水月スパ&フィットネス,スポーツクラブ/フィットネスクラブ
港区,西新橋２丁目,虎ノ門,東京都港区西新橋2-16-6,35.6663504,139.7504407,KITAERU CrossFit Toranomon(キタエルクロスフィット虎ノ門),スポーツクラブ/フィットネスクラブ
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2-10-4 ホテルオークラ 1F,35.66705,139.745465,オークラヘルスクラブ,スポーツクラブ/フィットネスクラブ
