指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2021/2/2取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2019年度：685件。2020年度：609件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
品川区,東大井２丁目,-,東京都品川区東大井2丁目15-10,35.60024,139.74038,嶺雲寺,寺院
品川区,大井６丁目,-,東京都品川区大井6-18-8,35.5955,139.73104,来迎院,寺院
品川区,東品川２丁目,-,東京都品川区東品川2-12-11,35.6214449,139.751153,三岳神社,神社
品川区,上大崎２丁目,-,東京都品川区上大崎2丁目13-36,35.63765,139.71546,誕生八幡神社,神社
品川区,東五反田３丁目,-,東京都品川区東五反田3-6-20,35.62797,139.72931,袖ヶ崎神社,神社
品川区,西五反田５丁目,-,東京都品川区西五反田5丁目6-3,35.62409,139.71374,氷川神社,神社
品川区,東品川１丁目,-,東京都品川区東品川1-35-8,35.62016,139.74511,寄木神社,神社
品川区,東品川１丁目,-,東京都品川区東品川1-7-17,35.62016,139.74511,利田神社,神社
品川区,大崎３丁目,-,東京都品川区大崎3-8-20,35.61943,139.72567,大崎鎮守 居木神社,神社
品川区,北品川３丁目,-,東京都品川区北品川3-7-15,35.61922,139.73906,品川神社,神社
品川区,北品川２丁目,-,東京都品川区北品川2丁目30-28,35.61818,139.74304,荏原神社,神社
品川区,小山５丁目,-,東京都品川区小山5-8-7,35.61635,139.70161,三谷八幡神社,神社
品川区,西品川３丁目,-,東京都品川区西品川3丁目16-31,35.61588,139.72656,貴船神社,神社
品川区,戸越２丁目,-,東京都品川区戸越2-6-23,35.61385,139.71985,戸越八幡神社,神社
品川区,荏原６丁目,-,東京都品川区荏原6-2-13,35.61221,139.70406,葛原神社,神社
品川区,荏原７丁目,-,東京都品川区荏原7丁目5-14,35.61097,139.70085,小山八幡神社,神社
品川区,二葉１丁目,-,東京都品川区二葉1-3-24,35.6069,139.72686,下神明天祖神社,神社
品川区,大井１丁目,-,東京都品川区大井1-14-3,35.60585,139.73265,大井蔵王権現神社,神社
品川区,旗の台３丁目,-,東京都品川区旗の台3-6-12,35.60519,139.70594,旗岡八幡神社,神社
品川区,大井２丁目,-,東京都品川区大井2-16-14,35.60507,139.72902,稲荷神社,神社
品川区,東大井１丁目,-,東京都品川区東大井1-20-10,35.60467,139.74558,鮫洲八幡神社,神社
品川区,旗の台５丁目,-,東京都品川区旗の台5-15-2,35.60329,139.70121,旗の台伏見稲荷神社,神社
品川区,二葉４丁目,-,東京都品川区二葉4-4-12,35.60278,139.71583,蛇窪神社(上神明天祖神社),神社
品川区,東大井２丁目,-,東京都品川区東大井2-9-15,35.60024,139.74038,稲荷神社,神社
品川区,大井５丁目,-,東京都品川区大井5-12-8,35.59865,139.72798,稲荷神社,神社
品川区,南大井１丁目,-,東京都品川区南大井1丁目4-1,35.59578,139.73866,天祖・諏訪神社,神社
品川区,大井６丁目,-,東京都品川区大井6丁目18-36,35.5955,139.73104,鹿島神社,神社
中央区,東日本橋３丁目,-,東京都中央区東日本橋3-1-3,35.69173,139.78372,神道禊教,教会
中央区,日本橋室町４丁目,日八京,東京都中央区日本橋室町4-1-17,35.6891,139.77237,金光教 日本橋教会,教会
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-21-4,35.68794,139.78818,日本基督教団日本橋教会,教会
中央区,銀座１丁目,-,東京都中央区銀座1-14-10,35.67372,139.77023,五法院,教会
中央区,銀座２丁目,-,東京都中央区銀座2-8-7,35.67275,139.76826,金光教 銀座教会,教会
中央区,銀座４丁目,-,東京都中央区銀座4丁目2-1,35.67102,139.76634,銀座教会,教会
中央区,銀座４丁目,-,東京都中央区銀座4-5-1,35.67102,139.76634,東京福音センター,教会
中央区,明石町,-,東京都中央区明石町5-26,35.66742,139.77711,カトリック築地教会,教会
中央区,東日本橋２丁目,-,東京都中央区東日本橋2丁目6-8,35.69338,139.78659,薬研堀不動院,寺院
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町3-2,35.69132,139.77855,身延別院,寺院
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2丁目59-2,35.68794,139.78818,清正公寺,寺院
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1丁目18-9,35.6847,139.78225,大観音寺,寺院
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1-5-13,35.68064,139.77984,智泉院,寺院
中央区,八丁堀１丁目,-,東京都中央区八丁堀1-8-3,35.67751,139.77694,玉円寺,寺院
中央区,築地３丁目,-,東京都中央区築地3-15-1,35.66777,139.77341,築地 本願寺,寺院
中央区,築地４丁目,-,東京都中央区築地4丁目12-9,35.6664,139.76937,円正寺,寺院
中央区,月島３丁目,-,東京都中央区月島3丁目17-3,35.66259,139.77985,本芳寺,寺院
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町3-10,35.6893272,139.7771094,宝田神社,神社
中央区,日本橋本町１丁目,日八京,東京都中央区日本橋本町1-8,35.6853427,139.7779082,常磐稲荷神社,神社
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町718,35.6889454,139.7827814,稲荷神社,神社
中央区,日本橋箱崎町４丁目,#N/A,東京都中央区日本橋箱崎町4-1,35.6799624,139.78382,稲荷神社,神社
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町2-1-13,35.68849,139.78126,三光稲荷神社,神社
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町2-4-10,35.68849,139.78126,稲荷神社,神社
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町4-4-17,35.68833,139.77004,白旗稲荷神社,神社
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2丁目11-6,35.68794,139.78818,笠間稲荷神社東京別社,神社
中央区,日本橋堀留町１丁目,-,東京都中央区日本橋堀留町1-10-2,35.68785,139.77987,椙森神社,神社
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-4-14,35.68692,139.77373,福徳神社 (芽吹稲荷),神社
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2-15-2,35.68588,139.78459,松島神社,神社
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2丁目25-20,35.68588,139.78459,末広神社,神社
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町3-3-3,35.68516,139.78954,浜町神社,神社
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-12-10,35.6847,139.78225,茶ノ木神社,神社
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-4-1,35.68326,139.78671,水天宮,神社
中央区,日本橋小網町,-,東京都中央区日本橋小網町16-23,35.6826,139.78073,小網神社,神社
中央区,日本橋兜町,-,東京都中央区日本橋兜町20-2,35.68108,139.77752,鳥居稲荷神社,神社
中央区,日本橋兜町,-,東京都中央区日本橋兜町11-3,35.68108,139.77752,大原稲荷神社,神社
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1丁目6-16,35.68064,139.77984,日枝神社日本橋摂社,神社
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1-6-16,35.68064,139.77984,明徳稲荷神社,神社
中央区,新川１丁目,-,東京都中央区新川1-8-17,35.67692,139.78398,新川大神宮,神社
中央区,新川１丁目,-,東京都中央区新川1-31-4,35.67692,139.78398,海渡稲荷神社,神社
中央区,八丁堀３丁目,-,東京都中央区八丁堀3-24-11,35.67561,139.77495,今村幸稲荷神社,神社
中央区,八丁堀３丁目,-,東京都中央区八丁堀3-6-6,35.67561,139.77495,天祖神社,神社
中央区,新川２丁目,-,東京都中央区新川2-15-14,35.67471,139.78219,金刀比羅神社,神社
中央区,湊１丁目,-,東京都中央区湊1-6-7,35.67277,139.77983,鉄砲洲稲荷神社,神社
中央区,銀座３丁目,-,東京都中央区銀座3-8-10,35.67197,139.76713,朝日稲荷神社,神社
中央区,銀座７丁目,-,東京都中央区銀座7-8-14,35.6686,139.7632,豊岩稲荷神社,神社
中央区,佃１丁目,-,東京都中央区佃1丁目1-14,35.6685,139.78311,住吉神社,神社
中央区,築地６丁目,-,東京都中央区築地6-20-37,35.66409,139.77296,波除稲荷神社,神社
千代田区,外神田５丁目,-,東京都千代田区外神田5丁目5-3,35.70416,139.77248,天理教 分教会 東神長,教会
千代田区,外神田３丁目,-,東京都千代田区外神田3-5-11,35.7013,139.77038,神田キリスト教会,教会
千代田区,外神田３丁目,-,東京都千代田区外神田3-4-10,35.7013,139.77038,真理舎,教会
千代田区,三崎町１丁目,#N/A,東京都千代田区神田三崎町1丁目3-9,35.70096,139.75616,日本基督教団 三崎町教会,教会
千代田区,西神田１丁目,-,東京都千代田区西神田1丁目1-12,35.69934,139.75709,カトリック東京大司教区 神田教会,教会
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台4-1-3,35.69846,139.76576,東京復活大聖堂 (ニコライ堂),教会
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台4丁目1-3,35.69846,139.76576,日本ハリストス正教会教団,教会
千代田区,富士見１丁目,-,東京都千代田区富士見1丁目2-32,35.6979,139.74688,日本ルーテル教団,教会
千代田区,富士見１丁目,-,東京都千代田区富士見1丁目2-32,35.6979,139.74688,東京ルーテルセンター教会,教会
千代田区,九段北１丁目,-,東京都千代田区九段北1丁目15-1,35.69656,139.75061,日本キリスト教団九段教会,教会
千代田区,九段北２丁目,-,東京都千代田区九段北2丁目4-1,35.69523,139.74639,シャルトル聖パウロ修道女会,教会
千代田区,麹町６丁目,-,東京都千代田区麹町6丁目5-1,35.6849,139.73195,カトリック麹町聖イグナチオ教会,教会
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町7-1,35.68134,139.73503,S.J.ハウス・イエズス会修道院,教会
千代田区,外神田２丁目,-,東京都千代田区外神田2-16-2,35.70068,139.76867,神田神社(神田明神),寺院
千代田区,外神田５丁目,-,東京都千代田区外神田5-4-7,35.70416,139.77248,稲荷神社,神社
千代田区,外神田１丁目,-,東京都千代田区外神田1-6-1 外神田ビル,35.69841,139.77086,秋葉原神社,神社
千代田区,富士見２丁目,-,東京都千代田区富士見2-4-1,35.69807,139.74301,東京大神宮,神社
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-2-3,35.69801,139.76245,太田姫稲荷神社,神社
千代田区,九段北１丁目,-,東京都千代田区九段北1-14-21,35.69656,139.75061,築土神社,神社
千代田区,九段北３丁目,-,東京都千代田区九段北3-1-1,35.69433,139.74264,靖国神社,神社
千代田区,内神田３丁目,-,東京都千代田区内神田3-10-1,35.69101,139.76966,佐竹稲荷神社,神社
千代田区,内神田１丁目,-,東京都千代田区内神田1-6-8,35.69076,139.76579,御宿稲荷神社,神社
千代田区,平河町１丁目,-,東京都千代田区平河町1-7-5,35.68264,139.74001,平河天満宮,神社
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2-10-5,35.67523,139.74106,日枝神社,神社
