指標名,観光地,,,,,,,,
出典,Tripadvisor,,,,,,,,
年次,2021/2/17 取得,,,,,,,,
URL,https://www.tripadvisor.jp/,,,,,,,,
備考,"（2019年度：2,042件、2020年度：2,985件）",,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,星,レビュー数
品川区,西五反田６丁目,-,東京都品川区西五反田６－５－１,35.622459,139.716660,品川区立五反田文化センタープラネタリウム,美術館・博物館,4,7件
品川区,西五反田６丁目,-,東京都品川区西五反田６－２２－３,35.620182,139.716599,子別れ地蔵,名所・有名スポット,3,4件
品川区,西五反田７丁目,-,東京都品川区西五反田７－２２－１７,35.621941,139.718964,五反田 Toc,,3.5,63件
品川区,西大井５丁目,-,東京都品川区西大井５－２２－２５,35.596860,139.717244,養玉院如来寺,,4,8件
品川区,西大井６丁目,-,東京都品川区西大井６－１０－１８,35.600323,139.720078,伊藤博文公墓所,名所・有名スポット,4,4件
品川区,西品川１丁目,-,東京都品川区西品川１－２７－２０,35.609230,139.728912,しながわ中央公園,自然・公園,3.5,6件
品川区,西品川３丁目,-,東京都品川区西品川３－１６－３１,35.615200,139.726196,貴船神社,名所・有名スポット,3.5,2件
品川区,大井１丁目,-,東京都品川区大井１－２－１,35.606182,139.734909,アトレ大井町,,4,71件
品川区,大井１丁目,-,東京都品川区大井１－５０－５,35.606087,139.734329,阪急大井町ガーデン,,3.5,21件
品川区,大井１丁目,-,東京都品川区大井１－１４－３,35.607522,139.731378,大井蔵王権現神社,名所・有名スポット,3.5,13件
品川区,大井１丁目,-,東京都品川区大井１－１４－１しながわ観光協会,35.607697,139.731476,しなかんPlaza,,3,6件
品川区,大井１丁目,-,東京都品川区大井１－３－６,35.607208,139.733887,品川区民ギャラリー,美術館・博物館,3.5,4件
品川区,大井１丁目,-,東京都品川区大井１,35.605930,139.734238,大井町駅前シナモロールオブジェ,名所・有名スポット,4,1件
品川区,大井１丁目,-,東京都品川区大井１－１－１,35.607590,139.735077,エトモ大井町,,3,5件
品川区,大井１丁目,-,東京都品川区大井１－３－６,35.607184,139.734185,コミュニティアリーナ大井町,名所・有名スポット,3,1件
品川区,大井１丁目,-,東京都品川区大井１－３－６,35.607204,139.734024,イトーヨーカドー 大井町店,,4,3件
品川区,大井１丁目,-,東京都品川区大井１－２－１アトレ大井町４階,35.606232,139.734741,大井町ロフト,,,
品川区,大井６丁目,-,東京都品川区大井６－１１－１,35.596630,139.730194,立品川歴史館,美術館・博物館,4,33件
品川区,大井６丁目,-,東京都品川区大井６－２１,35.593273,139.730270,大森貝塚遺跡庭園,自然・公園,3.5,62件
品川区,大井６丁目,-,東京都品川区大井６－１８－３６,35.595650,139.729675,鹿嶋神社,,3.5,29件
品川区,大井６丁目,-,東京都品川区大井６－１８－８,35.595852,139.730743,来迎院,名所・有名スポット,3,2件
品川区,大崎１丁目,-,東京都品川区大崎１－１１－１,35.618587,139.731863,ゲートシティ大崎 イースト・ウエストタワー,,4,75件
品川区,大崎１丁目,-,東京都品川区大崎１－６－４,35.620355,139.729347,大崎ニューシティー,,3.5,25件
品川区,大崎１丁目,-,東京都品川区大崎１－６－２大崎ニューシティ２号館２Ｆ,35.620983,139.729156,O美術館,美術館・博物館,3.5,12件
品川区,大崎１丁目,-,東京都品川区大崎１－１－２,35.624069,139.725510,大崎光の滝公園,自然・公園,3,4件
品川区,大崎２丁目,-,東京都品川区大崎２－２－１１,35.618431,139.726334,ひふみ公園,自然・公園,3.5,3件
品川区,大崎３丁目,-,東京都品川区大崎３－８－２０,35.619881,139.725275,居木神社,,4,28件
品川区,大崎３丁目,-,東京都品川区大崎３－８－１２,35.619942,139.725647,観音寺,名所・有名スポット,3.5,7件
品川区,大崎３丁目,-,東京都品川区大崎３－６－７,35.620225,139.727153,大崎ウェストギャラリー,美術館・博物館,3,1件
品川区,中延５丁目,-,東京都品川区中延５－３－８,35.603750,139.708747,弁天通り公園,自然・公園,3,4件
品川区,東五反田１丁目,-,東京都品川区東五反田１－２－３３,35.628882,139.726855,雉子神社,名所・有名スポット,4,5件
品川区,東五反田２丁目,-,東京都品川区東五反田２－９,35.624027,139.726273,五反田ふれあい水辺広場,自然・公園,4,54件
品川区,東五反田２丁目,-,東京都品川区東五反田２－１－２,35.625498,139.724570,レミィ五反田,,3.5,34件
品川区,東五反田２丁目,-,東京都品川区東五反田２－１８－１大崎フォレストビルディング,35.624344,139.729553,容器文化ミュージアム,美術館・博物館,3.5,8件
品川区,東五反田２丁目,-,東京都品川区東五反田２－１５－２０,35.622352,139.729048,御成橋公園,自然・公園,3.5,4件
品川区,東五反田２丁目,-,東京都品川区東五反田２－１－１４,35.624599,139.725113,五反田南公園,自然・公園,3,5件
品川区,東五反田２丁目,-,東京都品川区東五反田２－５－１５,35.624911,139.728460,ギャラリー テオ,美術館・博物館,,
品川区,東五反田３丁目,-,東京都品川区東五反田３－１６－２１清泉女子大学,35.627312,139.728973,旧島津公爵邸,,4,22件
品川区,東五反田３丁目,-,東京都品川区東五反田３－６－２０,35.630404,139.729129,袖ヶ崎神社,名所・有名スポット,3.5,4件
品川区,東五反田３丁目,-,東京都品川区東五反田３－６－１７,35.630108,139.728867,本立寺,名所・有名スポット,3,3件
品川区,東五反田５丁目,-,東京都品川区東五反田５－１９－５,35.630360,139.722443,ねむの木の庭,自然・公園,4,33件
品川区,東五反田５丁目,-,東京都品川区東五反田５－４－３５,35.632300,139.723482,池田山公園,自然・公園,4,35件
品川区,東五反田５丁目,-,東京都品川区東五反田５－１５－１７,35.628494,139.722382,薬師寺 東京別院,,4,14件
品川区,東五反田５丁目,-,東京都品川区東五反田５－４－６,35.631676,139.723755,池田山公園ギャラリー,美術館・博物館,4,16件
品川区,東五反田５丁目,-,東京都品川区東五反田５－２１－２,35.628735,139.721252,ギャルリーハニー,美術館・博物館,,
品川区,東大井１丁目,-,東京都品川区東大井１－２０－１０,35.604668,139.742310,鮫洲八幡神社,,3.5,15件
品川区,東大井１丁目,-,東京都品川区東大井１－１３,35.602932,139.744675,しながわ花海道水辺広場,名所・有名スポット,3.5,8件
品川区,東大井１丁目,-,東京都品川区東大井１－２－９,35.605902,139.743053,青雲稲荷神社,名所・有名スポット,3,5件
品川区,東大井１丁目,-,東京都品川区東大井１－４－１１,35.606147,139.744795,鮫洲運動公園,自然・公園,3,3件
品川区,東大井１丁目,-,東京都品川区東大井１－１３－１,35.603119,139.744110,鮫洲入江広場,自然・公園,3,2件
品川区,東大井１丁目,-,東京都品川区八潮２－１－８,35.605579,139.744450,品川区役所 青空広場野球場,名所・有名スポット,,
品川区,東大井２丁目,-,東京都品川区東大井２－２５－２２,35.597886,139.739128,坂本龍馬像,,3.5,38件
品川区,東大井２丁目,-,東京都品川区東大井２－２７－２４,35.597858,139.740896,浜川砲台跡,,3.5,14件
品川区,東大井２丁目,-,東京都品川区東大井２−２７−７,35.597307,139.739660,濱川橋,名所・有名スポット,3.5,2件
品川区,東大井２丁目,-,東京都品川区東大井２－２５－１５,35.598019,139.739288,仲町稲荷神社,名所・有名スポット,3,3件
品川区,東大井２丁目,-,東京都品川区東大井２－１５－１０,35.600498,139.740631,嶺雲寺,名所・有名スポット,3.5,2件
品川区,東大井３丁目,-,東京都品川区東大井３－１３－１,35.601803,139.737686,来福寺,名所・有名スポット,4,6件
品川区,東大井４丁目,-,東京都品川区東大井４－８－４,35.605358,139.740662,大井公園,自然・公園,3.5,11件
品川区,東大井４丁目,-,東京都品川区東大井４－５－２,35.606497,139.742470,泊船寺,名所・有名スポット,3,8件
品川区,東大井４丁目,-,東京都品川区東大井４－８,35.605209,139.740891,山内豊信 (容堂)墓,名所・有名スポット,3.5,14件
品川区,東大井５丁目,-,東京都品川区東大井５－１８－１,35.606167,139.735870,きゅりあん,シアター,3.5,16件
品川区,東大井５丁目,-,東京都品川区東大井５丁目,35.607445,139.736075,平和小路,名所・有名スポット,3.5,8件
品川区,東中延２丁目,-,東京都品川区中延２－７－１９,35.607639,139.712265,中延商店街,名所・有名スポット,4,5件
品川区,東八潮,-,東京都品川区東八潮３－１,35.619656,139.773819,船の科学館,美術館・博物館,3,89件
品川区,東八潮,-,東京都品川区東八潮,35.623980,139.768796,潮風公園,自然・公園,4,80件
品川区,東八潮,-,東京都品川区東八潮,35.623980,139.768796,夕陽の塔,名所・有名スポット,3,5件
品川区,東品川１丁目,-,東京都品川区東品川１－７－１７,35.621291,139.742224,鯨塚,名所・有名スポット,3,25件
品川区,東品川１丁目,-,東京都品川区東品川１－３５－８,35.617989,139.745819,寄木神社,,4,15件
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０,35.619389,139.746674,TERRADA Art Complex,美術館・博物館,4,5件
品川区,東品川１丁目,-,東京都品川区北品川,35.622013,139.741470,北品川橋,名所・有名スポット,3,12件
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０,35.619167,139.746582,山本現代,美術館・博物館,,
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０３Ｆ,35.619167,139.746585,児玉画廊 天王洲,美術館・博物館,,
品川区,東品川２丁目,-,東京都品川区東品川２－２－８,35.622906,139.751282,天王洲アイル,,3.5,191件
品川区,東品川２丁目,-,東京都品川区東品川２－６－１０,35.620865,139.748627,寺田倉庫,美術館・博物館,4,15件
品川区,東品川２丁目,-,東京都品川区東品川２－６－４寺田倉庫Ｇ１－５Ｆ,35.620802,139.748394,スター・ウォーズ アイデンティティーズ：ザ・エキシビション,美術館・博物館,4.5,10件
品川区,東品川２丁目,-,東京都品川区東品川２－６－１０寺田倉庫本社ビル１Ｆ,35.620815,139.748611,建築倉庫ミュージアム,美術館・博物館,3.5,22件
品川区,東品川２丁目,-,東京都品川区東品川２,35.622990,139.751259,天王洲アイル第一水辺広場,,4,6件
品川区,東品川２丁目,-,東京都品川区東品川２－３－１６シーフォートスクエア内２階,35.623442,139.751278,銀河劇場,シアター,4,12件
品川区,東品川２丁目,-,東京都品川区東品川２－５－４２,35.618607,139.749573,天王洲公園,自然・公園,3,5件
品川区,東品川２丁目,-,東京都品川区東品川２－１－３,35.622612,139.747299,寺田倉庫 B&C HALL,名所・有名スポット,4.5,2件
品川区,東品川２丁目,-,東京都品川区東品川２－２－２４,35.623258,139.748487,天王洲セントラルタワー・キャナルガーデン・アイルコート,名所・有名スポット,3.5,4件
品川区,東品川２丁目,-,東京都品川区東品川２－３－１０,35.624195,139.751038,シーフォートスクエア,名所・有名スポット,3.5,5件
品川区,東品川２丁目,-,東京都品川区東品川２－１,35.622410,139.748001,ボンドストリート,名所・有名スポット,3.5,2件
品川区,東品川２丁目,-,東京都品川区東品川２－１－１Ｅ号棟,35.622639,139.747722,Nike SB Dojo,,,
品川区,東品川２丁目,-,東京都品川区東品川２－１－１１,35.621994,139.747971,WHAT CAFE,美術館・博物館,,
品川区,東品川３丁目,-,東京都品川区東品川３－１４－９,35.614262,139.746487,東品川公園,自然・公園,3.5,3件
品川区,東品川３丁目,-,東京都品川区南品川,35.611172,139.746292,ジュネーブ平和通り,名所・有名スポット,3,4件
品川区,東品川４丁目,-,東京都品川区東品川４－１２－６品川シーサイドフォレスト,35.610226,139.749298,花時計,名所・有名スポット,,
品川区,南大井１丁目,-,東京都品川区南大井１－４－１,35.597164,139.739014,天祖・諏訪神社,,3.5,15件
品川区,南大井１丁目,-,東京都品川区南大井２－２７,35.597248,139.739609,浜川橋,名所・有名スポット,4,2件
品川区,南大井１丁目,-,東京都品川区南大井１－１９,35.594055,139.737885,海運稲荷神社,名所・有名スポット,3,1件
品川区,南大井２丁目,-,東京都品川区南大井２－５－６,35.591751,139.736618,鈴が森刑場跡,,3.5,56件
品川区,南大井２丁目,-,東京都品川区南大井２丁目５－６,35.592139,139.736645,大経寺,名所・有名スポット,,
品川区,南大井６丁目,-,東京都品川区南大井６－２７－２５大森西友５Ｆ,35.587823,139.729998,キネカ大森,シアター,3.5,16件
品川区,南大井６丁目,-,東京都品川区南大井６－２７－２５,35.587776,139.730530,西友大森店,,3.5,9件
品川区,南品川１丁目,-,東京都品川区南品川１－２－１０,35.616219,139.743011,海徳寺,名所・有名スポット,3.5,13件
品川区,南品川１丁目,-,東京都品川区南品川１－８－５,35.615532,139.744164,街道松の広場,自然・公園,3,12件
品川区,南品川１丁目,-,東京都品川区南品川１－７－１７昭和ネオン２Ｆ,35.614944,139.744446,昭和ネオン 高村看板ミュージアム,美術館・博物館,3.5,5件
