指標名,駅,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,
年次,2021/2/25取得,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,
備考,新幹線駅除く。乗降客数データは昨年から更新無し。,,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,乗降客数（2018年度）,駅コード（路線別）,駅コード（路線不問）
品川区,旗の台５丁目,-,東京都品川区旗の台２-１３-１,35.604923,139.702286,旗の台,東急池上線,東京急行電鉄株式会社,"40,242",2600505,2600406
品川区,西品川１丁目,-,東京都品川区西品川１-２９-６,35.608704,139.726256,下神明,東急大井町線,東京急行電鉄株式会社,"8,339",2600402,2600402
品川区,中延５丁目,-,東京都品川区中延５-２-１,35.603820,139.707571,荏原町,東急大井町線,東京急行電鉄株式会社,"17,178",2600405,2600405
品川区,東中延１丁目,-,東京都品川区中延２-８-１,35.610056,139.712196,荏原中延,東急池上線,東京急行電鉄株式会社,"13,733",2600504,2600504
中央区,京橋２丁目,日八京,東京都中央区京橋２-１３-１１,35.675461,139.771767,宝町,都営浅草線,東京都交通局,"30,176",9930212,2800110
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町２-５９-３,35.688516,139.788154,浜町,都営新宿線,東京都交通局,"22,335",9930410,9930410
中央区,八丁堀３丁目,-,東京都中央区八丁堀３丁目,35.674617,139.777705,八丁堀,JR京葉線,東日本旅客鉄道株式会社,"66,344",1132602,1132602
中央区,八丁堀３丁目,-,東京都中央区八丁堀３丁目,35.674851,139.776982,八丁堀,東京メトロ日比谷線,東京地下鉄株式会社,"111,924",2800311,1132602
中央区,日本橋馬喰町１丁目,-,東京都中央区日本橋馬喰町１丁目,35.693365,139.782380,馬喰町,JR総武本線,東日本旅客鉄道株式会社,"50,550",1131403,1131403
中央区,日本橋横山町,-,東京都中央区日本橋横山町４-１３,35.692120,139.782768,馬喰横山,都営新宿線,東京都交通局,"115,517",9930409,1131403
中央区,日本橋２丁目,日八京,東京都中央区日本橋１丁目,35.682078,139.773516,日本橋,東京メトロ銀座線,東京地下鉄株式会社,データ無し,2800109,2800109
中央区,日本橋２丁目,日八京,東京都中央区日本橋１丁目,35.682078,139.773516,日本橋,東京メトロ東西線,東京地下鉄株式会社,"189,764",2800410,2800109
中央区,日本橋２丁目,日八京,東京都中央区日本橋１丁目,35.681688,139.775721,日本橋,都営浅草線,東京都交通局,"96,939",9930213,2800109
中央区,東日本橋３丁目,-,東京都中央区東日本橋３-１１-８,35.692126,139.784821,東日本橋,都営浅草線,東京都交通局,"83,290",9930215,1131403
中央区,銀座４丁目,-,東京都中央区銀座４-１２-１５,35.669464,139.767253,東銀座,東京メトロ日比谷線,東京地下鉄株式会社,"90,621",2800313,2800313
中央区,銀座４丁目,-,東京都中央区銀座４-１２-１５,35.669464,139.767253,東銀座,都営浅草線,東京都交通局,"83,607",9930211,2800313
中央区,築地５丁目,-,東京都中央区築地５-１-２,35.664895,139.766915,築地市場,都営大江戸線,東京都交通局,"32,729",9930119,9930119
中央区,築地３丁目,-,東京都中央区築地３-１５-１,35.668115,139.772603,築地,東京メトロ日比谷線,東京地下鉄株式会社,"77,498",2800312,2800312
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町２-１-１,35.682683,139.785377,水天宮前,東京メトロ半蔵門線,東京地下鉄株式会社,"78,360",2800810,2800810
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町２-６-５,35.686307,139.782285,人形町,東京メトロ日比谷線,東京地下鉄株式会社,"82,583",2800309,2800309
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町２-６-５,35.686307,139.782285,人形町,都営浅草線,東京都交通局,"52,172",9930214,2800309
中央区,築地２丁目,-,東京都中央区築地一丁目1-1,35.670462,139.773711,新富町,東京メトロ有楽町線,東京地下鉄株式会社,"41,479",2800620,2800620
中央区,日本橋室町３丁目,日八京,東京都中央区日本橋室町４丁目,35.688687,139.773230,新日本橋,JR総武本線,東日本旅客鉄道株式会社,"36,614",1131402,1131402
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町１１-１,35.690737,139.778433,小伝馬町,東京メトロ日比谷線,東京地下鉄株式会社,"39,847",2800308,2800308
中央区,勝どき３丁目,-,東京都中央区勝どき２-１０-１５,35.658507,139.776442,勝どき,都営大江戸線,東京都交通局,"102,315",9930118,9930118
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町１-８-１,35.687101,139.773594,三越前,東京メトロ銀座線,東京地下鉄株式会社,データ無し,2800108,1131402
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町１-８-１,35.684908,139.773147,三越前,東京メトロ半蔵門線,東京地下鉄株式会社,"129,691",2800809,1131402
中央区,月島１丁目,-,東京都中央区月島一丁目3-9,35.664871,139.784233,月島,東京メトロ有楽町線,東京地下鉄株式会社,"74,049",2800621,2800621
中央区,月島１丁目,-,東京都中央区月島一丁目3-9,35.664871,139.784233,月島,都営大江戸線,東京都交通局,"73,692",9930117,2800621
中央区,銀座１丁目,-,東京都中央区銀座一丁目7-12,35.674350,139.767045,銀座一丁目,東京メトロ有楽町線,東京地下鉄株式会社,"38,754",2800619,2800111
中央区,銀座５丁目,-,東京都中央区銀座４-１-２,35.671989,139.763965,銀座,東京メトロ銀座線,東京地下鉄株式会社,データ無し,2800111,2800111
中央区,銀座５丁目,-,東京都中央区銀座４-１-２,35.671989,139.763965,銀座,東京メトロ丸ノ内線,東京地下鉄株式会社,データ無し,2800210,2800111
中央区,銀座５丁目,-,東京都中央区銀座４-１-２,35.671989,139.763965,銀座,東京メトロ日比谷線,東京地下鉄株式会社,"266,574",2800314,2800111
中央区,京橋２丁目,日八京,東京都中央区京橋２-２-１０,35.676856,139.770126,京橋,東京メトロ銀座線,東京地下鉄株式会社,"60,685",2800110,2800110
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町１-４-６,35.679752,139.780005,茅場町,東京メトロ日比谷線,東京地下鉄株式会社,データ無し,2800310,2800310
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町１-４-６,35.679752,139.780005,茅場町,東京メトロ東西線,東京地下鉄株式会社,"129,847",2800411,2800310
千代田区,永田町２丁目,赤坂,東京都千代田区永田町２-１１-１,35.673621,139.741419,溜池山王,東京メトロ銀座線,東京地下鉄株式会社,"109,140",2800114,2800114
千代田区,永田町２丁目,赤坂,東京都千代田区永田町２-１１-１,35.673621,139.741419,溜池山王,東京メトロ南北線,東京地下鉄株式会社,データ無し,2800914,2800114
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町二丁目9,35.675441,139.763806,有楽町,JR山手線,東日本旅客鉄道株式会社,"339,100",1130225,1130225
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町二丁目9-17,35.675441,139.763806,有楽町,JR京浜東北線,東日本旅客鉄道株式会社,データ無し（京浜東北線）,1133223,1130225
千代田区,丸の内３丁目,大丸有,東京都千代田区有楽町一丁目11-1,35.675714,139.763265,有楽町,東京メトロ有楽町線,東京地下鉄株式会社,"174,378",2800618,1130225
千代田区,外神田５丁目,-,東京都千代田区外神田４-７-３,35.702972,139.771713,末広町,東京メトロ銀座線,東京地下鉄株式会社,"24,743",2800106,2800106
千代田区,飯田橋４丁目,-,東京都千代田区飯田橋四丁目10-2,35.701835,139.745143,飯田橋,JR中央・総武緩行線,東日本旅客鉄道株式会社,"187,924",1131316,1131316
千代田区,飯田橋４丁目,-,東京都千代田区飯田橋四丁目10-3,35.701725,139.745986,飯田橋,東京メトロ東西線,東京地下鉄株式会社,"195,294",2800406,1131316
千代田区,一番町,-,東京都千代田区麹町１-６,35.685703,139.741630,半蔵門,東京メトロ半蔵門線,東京地下鉄株式会社,"89,961",2800805,2800805
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目,35.674590,139.760170,日比谷,東京メトロ日比谷線,東京地下鉄株式会社,"105,614",2800315,2800315
千代田区,日比谷公園,-,東京都千代田区有楽町１丁目,35.674241,139.758732,日比谷,東京メトロ千代田線,東京地下鉄株式会社,データ無し,2800512,2800315
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目,35.676036,139.759998,日比谷,都営三田線,東京都交通局,"86,185",9930308,2800315
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目,35.681071,139.761948,二重橋前,東京メトロ千代田線,東京地下鉄株式会社,"34,898",2800511,2800511
千代田区,内幸町１丁目,-,東京都千代田区内幸町２-２-３,35.669750,139.755610,内幸町,都営三田線,東京都交通局,"45,317",9930307,9930307
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681391,139.766103,東京,JR東海道本線(東京～熱海),東日本旅客鉄道株式会社,"879,108",1130101,1130101
