指標名,ミシュラン掲載レストラン,,,,,,,,,,,,
出典,ミシュランガイド東京 2021,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,
URL,https://japanguide.michelin.co.jp/restaurant/tokyo/,,,,,,,,,,,,
備考,,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,店舗名,星数,カテゴリ,エリア,URL,価格帯,電話番号,その他
中央区,銀座４丁目,-,東京都中央区銀座 4-3-7 スバルビル B1F,35.672106,139.76445,てんぷら 阿部 本店,ビブグルマン,天ぷら ,銀座,-,"昼＝1,500-9,000円　夜＝5,000-9,000円",-,カウンター席が主体
中央区,銀座４丁目,-,東京都中央区銀座 4-2-15 塚本素山ビル B1F,35.672602,139.76406,バードランド,★,焼鳥 ,銀座,http://ginza-birdland.sakura.ne.jp/,"夜＝6,000-10,000円",要予約,カウンター席が主体
中央区,銀座４丁目,-,東京都中央区銀座 4-12-2,35.670074,139.76808,木挽町 とも樹,★★,寿司 ,銀座,http://www.sushi-tomoki.jp/,"夜＝38,000-43,000円",要予約,カウンター席が主体
中央区,銀座５丁目,-,東京都中央区銀座 5-10-11,35.669810,139.76544,能登 金沢の幸 銀座 ふる田,ビブグルマン,日本料理 ,銀座,https://noto-jidaiya.jp/,"夜＝5,000-8,000円",要予約,-
中央区,銀座５丁目,-,東京都中央区銀座 5-1-8 銀座MSビル B1F,35.672051,139.76179,レ・コパン ドゥ ドミニク・ブシェ,ビブグルマン,フランス料理 ,銀座,-,"昼＝2,500-6,000円　夜＝5,000-8,000円",要予約,-
中央区,銀座５丁目,-,東京都中央区銀座 5-14-14 サンリット銀座ビルⅢ 9F,35.668557,139.76690,薪焼 銀座おのでら,★,フランス料理 ,銀座,https://onodera-group.com/makiyaki/,"夜＝22,000円",要予約,カウンター席が主体
中央区,銀座５丁目,-,東京都中央区銀座 5-9-16 Ginza-A5 2F,35.670121,139.76505,ラフィナージュ,★,フランス料理 ,銀座,https://laffinage.jp/,"昼＝8,500-22,000円　夜＝22,000-31,000円",要予約,-
中央区,銀座５丁目,-,東京都中央区銀座 5-5-13 坂口ビル 9F,35.671211,139.76320,てんぷら 近藤,★★,天ぷら ,銀座,https://tempura-kondo.com/,"昼＝9,000-13,000円　夜＝15,000-24,000円",要予約,カウンター席が主体
中央区,銀座５丁目,-,東京都中央区銀座 5-4-8 カリオカビル 4F,35.671435,139.76302,銀座 小十,★★,日本料理 ,銀座,http://www.kojyu.jp/,"昼＝25,000円　夜＝37,000円",要予約,カウンター席が主体
中央区,銀座５丁目,-,東京都中央区銀座 5-4-6  ロイヤルクリスタル銀座 9F,35.671710,139.76326,エスキス,★★,フランス料理 ,銀座,-,"昼＝13,000-22,000円　夜＝25,000-31,000円",要予約,-
