指標名,美術館・博物館,,,,,日本博物館協会,https://www.j-muse.or.jp/
出典,日本博物館協会、Tokyo Art Beat、artscape、Internet Museum,,,,,Tokyo Art Beat,http://www.tokyoartbeat.com/venues/Museum
年次,2021/2/5取得,,,,,artscape,https://artscape.jp/mdb/mdb_result.php?area=8
URL,右表参考,,,,,Internet Museum,https://www.museum.or.jp/modules/im_museum/
備考,4つのミュージアム系webのうち、2つ以上に掲載されているもの（2019年度：106件、2020年度：202件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ウェブサイト
品川区,戸越５丁目,-,東京都品川区戸越５－８－１９,35.609693,139.719272,Hasu no hana,http://www.hasunohana.net/
品川区,上大崎２丁目,-,東京都品川区上大崎２－２５－５久米ビル８階,35.634586,139.714674,久米美術館,-
品川区,上大崎４丁目,-,東京都品川区上大崎４－６－１９,35.631602,139.715872,杉野学園衣裳博物館,-
品川区,大崎１丁目,-,東京都品川区大崎１－６－２大崎ニューシティー・２号館２Ｆ,35.620355,139.729347,O美術館,http://www.shinagawa-culture.or.jp/hp/menu00000020...
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０,35.619168,139.746599,YUKA TSURUNO GALLERY,http://yukatsuruno.com/
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０ＴＥＲＲＡＤＡＡｒｔＣｏｍｐｌｅｘ４Ｆ,35.619262,139.746602,ANOMALY,http://anomalytokyo.com/top/
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０ＴＥＲＲＡＤＡＡｒｔＣｏｍｐｌｅｘ５Ｆ,35.619262,139.746602,KOSAKU KANECHIKA,http://kosakukanechika.com/
品川区,東品川２丁目,-,東京都品川区東品川２－２－４３Ｔ３３ビル１Ｆ,35.624599,139.7517,IMA gallery,https://imaonline.jp/imaproject/ima-gallery/
品川区,北品川４丁目,-,東京都品川区北品川４－７－２５,35.62109,139.73606,原美術館,http://www.haramuseum.or.jp/jp/hara/
中央区,京橋１丁目,日八京,東京都中央区京橋１－７－２,35.678413,139.771358,アーティゾン美術館,https://www.artizon.museum/
中央区,京橋３丁目,日八京,東京都中央区京橋３－３－４フジビルＢ１Ｆ,35.675581,139.768525,ギャラリー川船,http://www.kawafune.jp/
中央区,京橋３丁目,日八京,東京都中央区京橋３－４－２フォーチュンビル１Ｆ,35.675444,139.768023,ギャラリーなつか,http://gnatsuka.com/
中央区,京橋３丁目,日八京,東京都中央区京橋３－５－３京栄ビル１Ｆ,35.675033,139.76986,ギャルリー東京ユマニテ,https://g-tokyohumanite.com/
中央区,京橋３丁目,日八京,東京都中央区京橋３－５－４吉井ビル３Ｆ,35.675047,139.769982,KEY Gallery & 青樺画廊,-
中央区,京橋３丁目,日八京,東京都中央区京橋３－６－５,35.675325,139.770182,南天子画廊,http://www.nantenshi.com/
中央区,京橋３丁目,日八京,東京都中央区京橋３－６－５木邑ビル２Ｆ／Ｂ１Ｆ,35.67534,139.77018,art space kimura ASK?,http://www.kb-net.com/ask
中央区,京橋３丁目,日八京,東京都中央区京橋３－７－６,35.675492,139.770597,国立映画アーカイブ,http://www.nfaj.go.jp/
中央区,京橋３丁目,日八京,東京都中央区京橋３－９－７京橋ポイントビル４Ｆ,35.67484,139.770969,ギャラリイK,http://galleryk.la.coocan.jp/
中央区,銀座１丁目,-,東京都中央区銀座１－１４－１２楠本第１７ビル３Ｆ,35.673092,139.769471,ギャラリーQ,http://www.galleryq.info/
中央区,銀座１丁目,-,東京都中央区銀座１－２２－１２藤和銀座一丁目ビル６Ｆ,35.671943,139.770834,GALLERY ART POINT,http://artpoint.jp/
中央区,銀座１丁目,-,東京都中央区銀座１－４－９第一田村ビル３Ｆ,35.67494,139.766421,Oギャラリー,http://www4.big.or.jp/~ogallery/
中央区,銀座１丁目,-,東京都中央区銀座１－５－２西勢ビル２Ｆ,35.67505,139.767412,藍画廊,http://igallery.sakura.ne.jp/
中央区,銀座１丁目,-,東京都中央区銀座１－７－５小柳ビル９Ｆ,35.674647,139.768183,ギャラリー小柳,http://www.gallerykoyanagi.com
中央区,銀座１丁目,-,東京都中央区銀座１－７－７ポーラ銀座ビル３Ｆ,35.674304,139.767864,ポーラ ミュージアム アネックス,-
中央区,銀座１丁目,-,東京都中央区銀座１－９－８奥野ビル３Ｆ,35.67374,139.768782,巷房,http://gallerykobo.web.fc2.com/kobo1.html
中央区,銀座３丁目,-,東京都中央区銀座３－５－１６島田ビル２Ｆ，３Ｆ,35.672573,139.766117,青木画廊,http://www.aokigallery.jp/
中央区,銀座４丁目,-,東京都中央区銀座３－６－１８階イベントスクエア,35.671896,139.765996,松屋銀座,http://www.matsuya.com/ginza/
中央区,銀座３丁目,-,東京都中央区銀座３－８－１２ヤマトビルＢ１Ｆ,35.671475,139.767323,コバヤシ画廊,http://www.gallerykobayashi.jp/
中央区,銀座３丁目,-,東京都中央区銀座３－９－７,35.671437,139.767708,キヤノンギャラリー銀座,http://cweb.canon.jp/gallery/schedule/ginza.html
中央区,銀座４丁目,-,東京都中央区銀座４－４－１３琉映ビル４Ｆ,35.672112,139.764762,Gallery 58,http://www.gallery-58.com
中央区,銀座４丁目,-,東京都中央区銀座４－４－５,35.672091,139.765014,ギャラリー・オカベ,http://www.galleryokabe.co.jp/
中央区,銀座５丁目,-,東京都中央区銀座５－３－１６,35.671902,139.762932,日動画廊,http://www.nichido-garo.co.jp/
中央区,銀座５丁目,-,東京都中央区銀座５－５－１５,35.671301,139.763377,養清堂画廊,http://www.yoseido.com/index_J.html
中央区,銀座６丁目,-,東京都中央区銀座６－１３－４銀座Ｓ２ビル２Ｆ,35.669122,139.765228,ガレリア・グラフィカ,http://www.galleriagrafica.com/jp/index.html
中央区,銀座６丁目,-,東京都中央区銀座６－７－１６第一岩月ビル３Ｆ,35.670535,139.762532,ヒロ画廊,https://www.hirogallery.com/
中央区,銀座７丁目,-,東京都中央区銀座７－１０－８,35.668301,139.76304,シロタ画廊,http://www.gaden.jp/shirota.html
中央区,銀座７丁目,-,東京都中央区銀座７－１３－２２磯部ビル２Ｆ,35.668223,139.764439,牧神画廊,http://pierota.co.jp/
中央区,銀座７丁目,-,東京都中央区銀座７－３－５ヒューリックＧ７ビル１Ｆ＆Ｂ１Ｆ,35.670785,139.760912,泰明画廊,http://www.taimei-g.com/
中央区,銀座７丁目,-,東京都中央区銀座７－３－５ヒューリック銀座７丁目ビルＢ１階,35.670744,139.760815,ガーディアン・ガーデン,http://rcc.recruit.co.jp/gg/
中央区,銀座７丁目,-,東京都中央区銀座７－５－４,35.670224,139.761651,ギャルリーためなが,http://www.tamenaga.com/
中央区,銀座７丁目,-,東京都中央区銀座７－５－４毛利ビル５Ｆ,35.670253,139.761655,77Gallery,http://www.77gallery.com/
中央区,銀座７丁目,-,東京都中央区銀座７－７－２ＤＮＰ銀座ビル１Ｆ,35.669702,139.762484,ギンザ・グラフィック・ギャラリー (ggg),http://www.dnp.co.jp/gallery/ggg/
中央区,銀座８丁目,-,東京都中央区銀座８－１０－５,35.667785,139.76236,東京画廊+BTAP,http://www.tokyo-gallery.com/
中央区,銀座８丁目,-,東京都中央区銀座８－４－１７リクルートＧＩＮＺＡ８ビル１Ｆ,35.668605,139.759288,クリエイションギャラリーG8,http://rcc.recruit.co.jp/g8/
中央区,銀座８丁目,-,東京都中央区銀座８－４－２５,35.669405,139.760232,吉井画廊,https://galerie-yoshii.com/
中央区,銀座８丁目,-,東京都中央区銀座８－８－３東京銀座資生堂ビルＢ１Ｆ,35.668526,139.761951,資生堂ギャラリー,http://www.shiseido.co.jp/gallery/
中央区,月島１丁目,-,東京都中央区月島１－１４－７旭倉庫２階,35.665841,139.782426,タマダ・プロジェクトコーポレーション,http://www.tamada-pj.co.jp/
中央区,佃１丁目,-,東京都中央区佃１－１１－８ピアウエストスクエア１Ｆ,35.669489,139.784573,Gallery Art Composition,https://www.galleryartcomposition.com/index_jp.html
中央区,日本橋２丁目,日八京,東京都中央区日本橋２－１０－８日本橋日光ビル９Ｆ,35.680912,139.774748,西村画廊,http://www.nishimura-gallery.com
中央区,日本橋２丁目,日八京,東京都中央区日本橋２－４－１,35.680759,139.773512,日本橋髙島屋 6F / 美術画廊X,http://www.takashimaya.co.jp/tokyo/event3/index.html
中央区,日本橋３丁目,日八京,東京都中央区日本橋３－２－９三晶ビルＢ１Ｆ,35.68028,139.771983,Sansiao Gallery,http://sansiao-gallery.com/
中央区,日本橋３丁目,日八京,東京都中央区日本橋３－８－６第二中央ビル４階,35.680275,139.773486,不忍画廊,http://www.shinobazu.com/
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町１－３５－７,35.681681,139.785892,ミュゼ浜口陽三・ヤマサコレクション,http://www.yamasa.com/musee/
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町１－１－６小浦第一ビル１Ｆ,35.68134,139.780185,BASE GALLERY,http://www.basegallery.com
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町２－１７－１３第２イノウエビル４０１,35.678924,139.781004,RECTO VERSO GALLERY,http://www.recto.co.jp/verso/
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町１－４－１,35.685633,139.77343,日本橋三越本店 - 新館7階ギャラリー,http://mitsukoshi.mistore.jp/store/nihombashi/event/
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町２－１－１三井本館７Ｆ,35.686882,139.77311,三井記念美術館,http://www.mitsui-museum.jp/
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町２－２－１ＤＤＤＨＯＴＥＬ１Ｆ,35.695272,139.78362,PARCEL,http://parceltokyo.jp/
中央区,入船２丁目,-,東京都中央区入船２－４－３マスダビル１Ｆ,35.671675,139.77697,hino gallery,http://hinogallery.com/
