指標名,コワーキング施設,,,参考情報,「TOKYOテレワークアプリ」に掲載されているサテライトオフィス一覧も公開されている。,,
出典,コワーキングスペース検索,,,,https://catalog.data.metro.tokyo.lg.jp/dataset/t000012d0000000019/resource/26213e3e-9275-4208-b7e7-be71a6d35a60,,
年次,2021/1/15取得,,,,,,
URL,https://coworking-search.jp/zenkoku/,,,,,,
備考,より掲載数の多い出典に変更。,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
港区,赤坂２丁目,赤坂,東京都港区赤坂2-10-2 吉川ビル2階,35.6708355,139.7416533,co-ba 赤坂,https://coworking-search.jp/space/1423/
港区,赤坂２丁目,赤坂,東京都港区赤坂2-16-6 BIZMARKS赤坂,35.6709775,139.7382789,BIZMARKS 赤坂,https://coworking-search.jp/space/184/
港区,西麻布３丁目,,東京都港区西麻布3-3-1 長井ビル3F,35.6582275,139.7272569,KAKUREGA,https://coworking-search.jp/space/1562/
港区,西麻布１丁目,,東京都港区西麻布1-8-3,35.660877,139.7256308,VXL 六本木,https://coworking-search.jp/space/1563/
港区,西新橋２丁目,虎ノ門,東京都港区西新橋2-4-3 プロス西新橋ビル6･7F,35.667384,139.752496,THE HUB 新橋west,https://coworking-search.jp/space/187/
港区,西新橋１丁目,虎ノ門,東京都港区西新橋1-18-6,35.6678056,139.753367,クロスオフィス内幸町注目物件,https://coworking-search.jp/space/2131/
港区,西新橋１丁目,虎ノ門,東京都港区西新橋1-17-6 高嶋ビル4階,35.667529,139.753869,TeaTree Studio 新橋,https://coworking-search.jp/space/1125/
港区,西新橋１丁目,虎ノ門,東京都港区西新橋1-6-13 吉荒ビル 2F,35.6695643,139.752681,MY BASIC OFFICE 虎ノ門,https://coworking-search.jp/space/1785/
港区,西新橋１丁目,虎ノ門,東京都港区西新橋1-6-13 柏屋ビル 1F,35.6695484,139.7526901,HAKADORU 虎ノ門店,https://coworking-search.jp/space/2176/
港区,西新橋１丁目,虎ノ門,東京都港区西新橋1-7-5,35.6690646,139.7518528,BIRTH 虎ノ門,https://coworking-search.jp/space/2102/
港区,新橋６丁目,虎ノ門全域,東京都港区新橋6-16-8 レックスビル,35.6620269,139.7524506,KIZASU@Office 新橋,https://coworking-search.jp/space/1494/
港区,新橋２丁目,虎ノ門全域,東京都港区新橋2-16-1 ニュー新橋ビル305Ｃ,35.6662818,139.7573815,ニュー新橋コワーキング,https://coworking-search.jp/space/1934/
港区,新橋２丁目,虎ノ門全域,東京都港区新橋2-19-3 カシケイビル2F,35.6667378,139.7596375,コワーキングスペース『BasisPoint 新橋』,https://coworking-search.jp/space/1418/
港区,新橋２丁目,虎ノ門全域,東京都港区新橋2-20-15 新橋駅前ビル1号館 6階,35.6662135,139.7595377,ビステーション新橋,https://coworking-search.jp/space/706/
港区,新橋２丁目,虎ノ門全域,東京都港区新橋2-16-1 ​ニュー新橋ビル9F,35.6662818,139.7573815,KEY STATION OFFICE 新橋,https://coworking-search.jp/space/1974/
港区,新橋２丁目,虎ノ門全域,東京都港区新橋2丁目20番15号 新橋駅前ビル1号館4階（402B区画）,35.6663007,139.7596234,フィルポート,https://coworking-search.jp/space/797/
港区,新橋１丁目,虎ノ門全域,東京都港区新橋1-18-21 第一日比谷ビル4〜7F,35.6686878,139.7552853,THE CODE 新橋,https://coworking-search.jp/space/185/
港区,新橋１丁目,虎ノ門全域,東京都港区新橋1-15-7 新橋NFビル 7F,35.6680892,139.7572817,NewWork 新橋,https://coworking-search.jp/space/2192/
港区,芝大門１丁目,,東京都港区芝大門1-6-6 芝大門ヤマトビル 3F,35.6577296,139.7541691,いいオフィス浜松町 by wedo,https://coworking-search.jp/space/2071/
港区,芝浦３丁目,,東京都港区芝浦3-15-6 島倉田町ビル6F,35.6421207,139.7482586,勉強カフェ 田町スタジオ,https://coworking-search.jp/space/1585/
港区,芝浦１丁目,,東京都港区芝浦1-13-10 第3東運ビル8階,35.6462587,139.7532412,co-ba Re-SOHKO 田町,https://coworking-search.jp/space/1428/
港区,芝浦１丁目,,東京都港区芝浦1-13-16 森永芝浦ビル 2階,35.6466545,139.7529895,コワーキングスペース MORINAGA Village【森永ヴィレッジ】,https://coworking-search.jp/space/1384/
港区,芝浦１丁目,,東京都港区芝浦1-9-7 おもだかビル4F,35.6481283,139.7534886,田町ビジネスセンター,https://coworking-search.jp/space/190/
港区,芝５丁目,,東京都港区芝5-29-20,35.6461508,139.744672,クロスオフィス三田注目物件,https://coworking-search.jp/space/2132/
港区,芝５丁目,,東京都港区芝5-31-10 サンシャインビル1F/2F,35.64695,139.74689,TSUTAYA田町駅前店,https://coworking-search.jp/space/2248/
港区,芝５丁目,,"東京都港区芝5-16-14 三田ノックスビル3F,4F",35.6485992,139.745697,BIZcomfort 田町,https://coworking-search.jp/space/1891/
港区,三田３丁目,,"東京都港区三田3-4-3 RIPL9 1,4,6F",35.6464479,139.7429733,THE OFFICE 田町三田,https://coworking-search.jp/space/990/
港区,高輪３丁目,,東京都港区高輪3丁目23-17 品川センタービルディング4F,35.6306361,139.7370215,ジュークシナガワ,https://coworking-search.jp/space/1627/
港区,高輪２丁目,,東京都港区高輪2-14-17 グレイス高輪ビル8･9F,35.6354738,139.7382589,品川ビジネスセンター,https://coworking-search.jp/space/189/
港区,高輪２丁目,,東京都港区高輪2丁目21-36 プロスパラス高輪501,35.6355994,139.7389075,ivyCafe NEIGHBOR&WORK 高輪,https://coworking-search.jp/space/2285/
港区,高輪２丁目,,東京都港区高輪2-16-4,35.6400398,139.7393306,STOCK 品川,https://coworking-search.jp/space/1500/
港区,高輪１丁目,,東京都港区高輪1-26-22,35.6371559,139.7327289,つなぐラボ高輪,https://coworking-search.jp/space/1940/
港区,港南２丁目,,東京都港区港南2-16-1 品川イーストワンタワー3F,35.627763,139.7407736,NewWork 品川,https://coworking-search.jp/space/1367/
港区,港南１丁目,,東京都港区港南1-8-15 Wビル2階,35.6303771,139.7441833,リブポート 品川,https://coworking-search.jp/space/2055/
港区,港南１丁目,,東京都港区港南1-9-36 NTT DATA品川ビル（アレア品川）,35.630036,139.7412419,EXPERT OFFICE 品川,https://coworking-search.jp/space/103/
港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門5-13-1 虎ノ門40MTビル 7階,35.6633809,139.7457635,コンパスオフィス 虎ノ門40MTビル注目物件,https://coworking-search.jp/space/2233/
港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門5丁目11-15 虎ノ門KTビル,35.6622731,139.7447455,シェアル虎ノ門,https://coworking-search.jp/space/1999/
港区,虎ノ門４丁目,虎ノ門,東京都港区虎ノ門4-3-1 城山トラストタワー4F,35.6646397,139.7430889,コワーキングスペース「docks」 虎ノ門,https://coworking-search.jp/space/1567/
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-1-21 新虎ノ門実業会館5F,35.670297,139.750434,新虎ノ門実業会館,https://coworking-search.jp/space/192/
港区,元麻布３丁目,,東京都港区元麻布 3-1-6,35.6581966,139.728495,BLINK 六本木,https://coworking-search.jp/space/1561/
千代田区,六番町６丁目,,東京都千代田区六番町6-4 LH番町スクエア4～6F,35.688085,139.7325429,四ツ谷ビジネスラウンジ（六番町オフィス）,https://coworking-search.jp/space/1303/
千代田区,六番町５丁目,,東京都千代田区六番町5-5 飯田ビル,35.6865901,139.7337087,シェアオフィス六番町,https://coworking-search.jp/space/1239/
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-10-1 東京交通会館ビル6階,35.6749453,139.7643442,LEAGUE有楽町,https://coworking-search.jp/space/717/
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-10-1,35.6748902,139.7643308,goodoffice 東京有楽町,https://coworking-search.jp/space/1845/
