指標名,国際会議,,,,,,,,,,,,
出典,日本政府観光局（JNTO）,,,,,,,,,,,,
年次,2018年,,,,,,,,,,,,
URL,https://mice.jnto.go.jp/documents/statistics.html,,,,,,,,,,,,
備考,,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,会議名,会場数（都心五区外含め）,期間,"参加国数
（日本含）",外国人参加者数,国内 参加者数,参加者総数
港区,三田２丁目,-,"2-chōme-1-8 Mita, Minato City, Tōkyō-to 108-0073, Japan",35.6521039,139.7379629,三田共用会議所,第16回「気候変動に対する更なる行動」に関する非公式会合,1,"02/22～
02/23",30,72,44,116
港区,三田２丁目,-,"2-chōme-1-8 Mita, Minato City, Tōkyō-to 108-0073, Japan",35.6521039,139.7379629,三田共用会議所,Tokyo Fiscal Forum 2018「アジアにおける財政運営手法の強化」,1,"06/04～
06/05",21,44,91,135
港区,三田２丁目,-,"2-chōme-1-8 Mita, Minato City, Tōkyō-to 108-0073, Japan",35.6521039,139.7379629,三田共用会議所,第33回日・ASEANフォーラム,1,"06/13～
06/13",11,40,20,60
港区,三田２丁目,-,"2-chōme-1-8 Mita, Minato City, Tōkyō-to 108-0073, Japan",35.6521039,139.7379629,三田共用会議所,"第4回東アジア地域包括的経済連携
（RCEP）中間貿易交渉委員会（TNC）会合",1,"06/25～
06/29",16,228,61,289
港区,三田２丁目,-,"2-chōme-1-8 Mita, Minato City, Tōkyō-to 108-0073, Japan",35.6521039,139.7379629,三田共用会議所,アジア・大洋州における気候変動と脆弱性に関する国際会議,1,"07/12～
07/12",13,12,120,132
港区,三田２丁目,-,"2-chōme-1-8 Mita, Minato City, Tōkyō-to 108-0073, Japan",35.6521039,139.7379629,三田共用会議所,国際シンポジウム：エネルギー転換とアジアのエネルギー安全保障,1,"07/19～
07/19",5,10,200,210
港区,三田２丁目,-,"2-chōme-1-8 Mita, Minato City, Tōkyō-to 108-0073, Japan",35.6521039,139.7379629,三田共用会議所,ASEM持続可能な連結性／質の高いインフラに関するセミナー,1,"09/12～
09/12",51,100,20,120
港区,三田２丁目,-,"2-chōme-1-8 Mita, Minato City, Tōkyō-to 108-0073, Japan",35.6521039,139.7379629,三田共用会議所,第47回アジア・太平洋地域後⽅補給セミナー（PASOLS47）,1,"09/25～
09/28",30,105,5,110
港区,三田２丁目,-,"2-chōme-1-8 Mita, Minato City, Tōkyō-to 108-0073, Japan",35.6521039,139.7379629,三田共用会議所,T20Japan2019キックオフ会合,1,"12/04～
12/05",36,133,117,250
渋谷区,桜丘町,-,"Cerulean Tower Tokyu Hotel, 26 Sakuragaokachō, Shibuya City, Tōkyō-to 150-0031, Japan",35.6563096,139.6990737,セルリアンタワー東急ホテル,第47回国際オーソモレキュラー医学会世界大会,1,"04/27～
04/29",21,400,1800,2200
港区,高輪４丁目,-,"4-chōme-10-30 Takanawa, Minato City, Tōkyō-to 108-8611, Japan",35.627844,139.7353344,品川プリンスホテル,NPFC（北太平洋漁業委員会）会合,1,"07/03～
07/05",8,50,30,80
港区,高輪４丁目,-,"4-chōme-10-30 Takanawa, Minato City, Tōkyō-to 108-8611, Japan",35.627844,139.7353344,品川プリンスホテル,質の高いインフラ投資セミナー（9/12・ 13）,1,"09/12～
09/13",31,129,167,296
港区,高輪４丁目,-,"4-chōme-10-30 Takanawa, Minato City, Tōkyō-to 108-8611, Japan",35.627844,139.7353344,品川プリンスホテル,世界海上保安機関実務者会合,1,"11/27～
11/30",58,80,20,100
港区,高輪３丁目,-,"3-chōme-13-1 Takanawa, Minato City, Tōkyō-to 108-0074, Japan",35.6316849,139.7346139,グランドプリンスホテル高輪,第49回国際PCO協会年次総会,1,"02/07～
02/10",32,91,11,102
港区,高輪３丁目,-,"ＳＨＩＮＡＧＡＷＡ ＧＯＯＳ, １Ｆ, 3-chōme-13-3 Takanawa, Minato City, Tōkyō-to 108-0074, Japan",35.6298611,139.7359838,TKPガーデンシティ品川,第25回アジア輸出管理セミナー,1,"02/27～
03/01",33,98,66,164
港区,高輪３丁目,-,"ＳＨＩＮＡＧＡＷＡ ＧＯＯＳ, １Ｆ, 3-chōme-13-3 Takanawa, Minato City, Tōkyō-to 108-0074, Japan",35.6298611,139.7359838,TKPガーデンシティ品川,第41回日本美容外科学会総会,1,"10/25～
10/26",6,15,640,655
港区,高輪３丁目,-,"3-chōme-13-1 Takanawa, Minato City, Tōkyō-to 108-0074, Japan",35.6316849,139.7346139,グランドプリンスホテル高輪,第21回日本低侵襲脊椎外科学会,1,"11/29～
11/30",3,10,650,660
港区,港南４丁目,-,"4-chōme-5-7 Kōnan, Minato City, Tōkyō-to 108-8477, Japan",35.6270025,139.7483338,東京海洋大学,第4回   水産海洋イノベーションコンソーシアム・フォーラム(ICFM-IODP 2018),1,"01/23～
01/23",3,2,81,83
港区,虎ノ門１丁目,虎ノ門,"1 Chome-23 Toranomon, 港区 Minato City, Tokyo 105-0001, Japan",35.666878,139.749503,虎ノ門ヒルズフォーラム,ALPS国際シンポジウム2018－長期大幅排出削減に向けて－,1,"02/09～
02/09",5,5,305,310
新宿区,戸塚町,-,"1 Chome-104 Totsukamachi, Shinjuku City, Tokyo 169-8050, Japan",35.7087334,139.7196485,早稲田大学,国際ワークショップ「熟練労働人材の移動：日本とその先」,1,"01/17～
01/18",12,20,30,50
新宿区,戸塚町,-,"1 Chome-104 Totsukamachi, Shinjuku City, Tokyo 169-8050, Japan",35.7087334,139.7196485,早稲田大学,第22回国際電気化学会Topical Meeting,1,"04/15～
04/18",34,187,175,362
新宿区,戸塚町,-,"1 Chome-104 Totsukamachi, Shinjuku City, Tokyo 169-8050, Japan",35.7087334,139.7196485,早稲田大学,日本膜学会第40年会,1,"05/08～
05/09",4,4,245,249
新宿区,戸塚町,-,"1 Chome-104 Totsukamachi, Shinjuku City, Tokyo 169-8050, Japan",35.7087334,139.7196485,早稲田大学,第10回日中学者中国古代史論壇,2,"05/19～
05/20",4,40,80,120
新宿区,戸塚町,-,"1 Chome-104 Totsukamachi, Shinjuku City, Tokyo 169-8050, Japan",35.7087334,139.7196485,早稲田大学,国境を越えた労働移動におけるスキルに関する課題（カンファレンス）,1,"09/20～
09/21",11,14,36,50
新宿区,戸山１丁目,-,"1-chōme-21-1 Toyama, Shinjuku City, Tōkyō-to 162-0052, Japan",35.7024542,139.7159933,国立国際医療研究センター,第87回日本寄生虫学会,1,"03/17～
03/18",3,30,270,300
新宿区,戸山１丁目,-,"National Institute of Infectious Diseases, 1-chōme-23-1 Toyama, Shinjuku City, Tōkyō-to 162-0052, Japan",35.7042974,139.7175462,国立感染症研究所,第7回アジアマイコプラズマ学会(AOM)、第45回日本マイコプラズマ学会(JSM)合同学会,1,"05/18～
05/20",7,45,121,166
港区,元赤坂２丁目,-,"Akasaka Palace, 2-chōme-1-1 Motoakasaka, Minato City, Tōkyō-to 107-0051, Japan",35.6801056,139.7287199,迎賓館赤坂離宮,日中韓サミット,1,"05/09～
05/09",3,40,20,60
港区,元赤坂２丁目,-,"Akasaka Palace, 2-chōme-1-1 Motoakasaka, Minato City, Tōkyō-to 107-0051, Japan",35.6801056,139.7287199,迎賓館赤坂離宮,第10回日本・メコン地域諸国首脳会議,1,"10/09～
10/09",6,85,28,113
千代田区,九段南１丁目,-,"1-chōme-1-15 Kudanminami, Chiyoda City, Tōkyō-to 102-0074, Japan",35.6936978,139.7544619,法務省,刑事政策公開講演会   ①法遵守の文化とその促進のための諸方策   ②刑事司法におけるコングレスの役割とUNODCのエデュ ケーション・フォー・ジャスティスプロ ジェクト,1,"01/26～
01/26",15,21,124,145
千代田区,九段南１丁目,-,"1-chōme-1-15 Kudanminami, Chiyoda City, Tōkyō-to 102-0074, Japan",35.6936978,139.7544619,法務省,刑事政策公開講演会 法尊守の文化とその促進のための諸方策他,1,"01/28～
01/28",15,28,117,145
中央区,銀座５丁目,-,"5-chōme-15-8 Ginza, Chuo City, Tōkyō-to 104-0061, Japan",35.668156,139.767245,時事通信ホール,シングルセルサイエンスシンポジウム 2018「シングルセル解析技術とヒトの健康」,1,"10/09～
10/09",3,3,121,124
千代田区,紀尾井町,赤坂,"1 Chome-2 Kioicho, Chiyoda City, Tokyo 102-0094, Japan",35.6795267,139.7371817,東京ガーデンテラス紀尾井町,第46回日本小児神経外科学会、KSPN- JSPN Joint Conference,1,"06/08～
06/09",7,20,482,502
千代田区,丸の内３丁目,大丸有,"3-chōme-5-1 Marunouchi, Chiyoda City, Tōkyō-to 100-0005, Japan",35.6767429,139.7637532,東京国際フォーラム,第62回日本リウマチ学会総会・学術集会,1,"04/26～
04/28",8,50,7150,7200
千代田区,丸の内３丁目,大丸有,"3-chōme-5-1 Marunouchi, Chiyoda City, Tōkyō-to 100-0005, Japan",35.6767429,139.7637532,東京国際フォーラム,第54回日本周産期・新生児医学会 学術集会,1,"07/08～
07/10",3,4,4646,4650
千代田区,丸の内３丁目,大丸有,"3-chōme-5-1 Marunouchi, Chiyoda City, Tōkyō-to 100-0005, Japan",35.6767429,139.7637532,東京国際フォーラム,NIMS WEEK 2018 NIMS学術シンポジウム,1,"10/15～
10/15",3,4,432,436
千代田区,丸の内３丁目,大丸有,"3-chōme-5-1 Marunouchi, Chiyoda City, Tōkyō-to 100-0005, Japan",35.6767429,139.7637532,東京国際フォーラム,WAARM総会   痛みとウェルエイジング,1,"10/21～
10/21",5,18,101,119
千代田区,丸の内２丁目,大丸有,"Japan, 〒100-6307 Tōkyō-to, Chiyoda City, Marunouchi, 2-chōme−4−１ 丸ビル 7・8階",35.6811829,139.7637704,丸ビルホール,国際シンポジウム「フィンテック・サミット2018」,1,"09/27～
09/27",13,1000,1500,2500
千代田区,丸の内２丁目,大丸有,"2-chōme-7-2 Marunouchi, Chiyoda City, Tōkyō-to 100-0005, Japan",35.6796333,139.7642895,JPタワー ホール＆カンファレンス,2018年AI・クラウドコンピュティングデー（カンファレンス）,1,"10/17～
10/17",3,44,134,178
千代田区,丸の内１丁目,大丸有,"Japan, 〒100-0005 Tōkyō-to, Chiyoda City, Marunouchi, 1-chōme−1−３, Nissay Marunouchi Gardentower, 3階",35.6845047,139.7625724,AP東京丸の内,ビジネス＆テクノロジー インサイトフォーラム東京2018（2月開催）,1,"02/26～
02/27",5,15,80,95
千代田区,丸の内１丁目,大丸有,"1-chōme-7-12 Marunouchi, Chiyoda City, Tōkyō-to 100-0005, Japan",35.683583,139.768601,ステーションコンファレンス東京,第2回日本CKD-MBD研究会 学術集会・総会,1,"03/03～
03/03",3,2,290,292
千代田区,丸の内１丁目,大丸有,"1-chōme-7-12 Marunouchi, Chiyoda City, Tōkyō-to 100-0005, Japan",35.683583,139.768601,ステーションコンファレンス東京,第4回CIES技術フォーラム,1,"03/22～
03/23",3,2,448,450
千代田区,丸の内１丁目,大丸有,"1-chōme-7-12 Marunouchi, Chiyoda City, Tōkyō-to 100-0005, Japan",35.683583,139.768601,ステーションコンファレンス東京,第44回日本熱傷学会総会・学術集会,1,"05/17～
05/18",3,3,616,619
千代田区,丸の内１丁目,大丸有,"Japan, 〒100-0005 Tōkyō-to, Chiyoda City, Marunouchi, 1-chōme−1−３, Nissay Marunouchi Gardentower, 3階",35.6845047,139.7625724,AP東京丸の内,2018 ビジネスとヒューマンライツに関する国際会議 in 東京,1,"09/13～
09/14",6,15,100,115
千代田区,丸の内１丁目,大丸有,"1-chōme-1-1 Marunouchi, Chiyoda City, Tōkyō-to 100-0005, Japan",35.684509,139.7613476,パレスホテル,日・メコンビジネスフォーラム,1,"10/09～
10/09",6,100,500,600
千代田区,外神田４丁目,-,"Japan, 〒101-0021 Tōkyō-to, Chiyoda City, Sotokanda, 1-chōme−18−１３, Akihabara Daibiru Building, 2Ｆ",35.6991943,139.7721216,秋葉原コンベンションホール,CRESTビッグデータ応用国際シンポジウム,1,"01/16～
01/17",8,16,110,126
港区,海岸１丁目,-,"1-chōme-16-2 Kaigan, Minato City, Tōkyō-to 105-8576, Japan",35.653006,139.7623749,ホテルインターコンチネンタル東京ベイ,2018年 ICN(国際競争ネットワーク)企業結合ワークショップ,1,"11/07～
11/08",41,122,92,214
千代田区,霞が関３丁目,虎ノ門広域,"3-chōme-2-2 Kasumigaseki, Chiyoda City, Tōkyō-to 100-8959, Japan",35.6716374,139.7487025,文部科学省,日本型教育の海外展開パネルディスカッション：タイを事例に,1,"06/14～
06/14",10,12,57,69
千代田区,霞が関３丁目,虎ノ門広域,"3-chōme-2-2 Kasumigaseki, Chiyoda City, Tōkyō-to 100-8959, Japan",35.6716374,139.7487025,文部科学省,"NISTEP創立30周年記念国際シンポジウム
「科学技術イノベーション政策の形成と共に進化する政策研究を目指して」",1,"11/01～
11/01",8,7,240,247
千代田区,霞が関２丁目,虎ノ門広域,"2-chōme-2-1 Kasumigaseki, Chiyoda City, Tōkyō-to 100-8919, Japan",35.6742768,139.7497229,外務省,サイバーセキュリティに関するARF会期間会合のための第1回専門家会合,1,"01/18～
01/18",27,54,12,66
千代田区,霞が関２丁目,虎ノ門広域,"2-chōme-2-1 Kasumigaseki, Chiyoda City, Tōkyō-to 100-8919, Japan",35.6742768,139.7497229,外務省,海洋状況把握（MDA)の国際連携に関する ARFワークショップ,1,"03/07～
03/07",18,47,10,57
千代田区,霞が関２丁目,虎ノ門広域,"2-chōme-2-1 Kasumigaseki, Chiyoda City, Tōkyō-to 100-8919, Japan",35.6742768,139.7497229,外務省,「中央アジア＋日本」対話・第2回ビジネス対話,1,"03/23～
03/23",6,5,79,84
千代田区,霞が関２丁目,虎ノ門広域,"2-chōme-2-1 Kasumigaseki, Chiyoda City, Tōkyō-to 100-8919, Japan",35.6742768,139.7497229,外務省,「中央アジア＋日本」対話・第11回東京対話,1,"07/03～
07/03",6,5,80,85
千代田区,霞が関２丁目,虎ノ門広域,"2-chōme-2-1 Kasumigaseki, Chiyoda City, Tōkyō-to 100-8919, Japan",35.6742768,139.7497229,外務省,国際法模擬裁判「2018年アジア・カップ」,2,"08/28～
08/29",15,64,150,214
千代田区,霞が関１丁目,虎ノ門広域,"Japan, 〒100-0013 Tōkyō-to, Chiyoda City, Kasumigaseki, 1-chōme−2−２ 中央合同庁舎第5号館",35.6732017,139.7529895,中央合同庁舎 ５号館,"日中韓人事行政ネットワーク,第11回三国共催シンポジウム",1,"06/15～
06/15",3,7,69,76
千代田区,霞が関１丁目,虎ノ門広域,"Japan, 〒100-0013 Tōkyō-to, Chiyoda City, Kasumigaseki, 1-chōme−2−２ 中央合同庁舎第5号館",35.6732017,139.7529895,中央合同庁舎 ５号館,人事院・日本行政学会共催国際講演会「幹部公務員の倫理感の維持・不正防止」,1,"11/21～
11/21",3,4,94,98
新宿区,河田町,-,"８丁目-1 Kawadacho, Shinjuku City, Tokyo 162-8666, Japan",35.6975862,139.7204096,東京女子医科大学,第33回 日本Shock学会総会,2,"06/29～
06/30",4,10,350,360
千代田区,永田町２丁目,赤坂,"2-chōme-16-2 Nagatachō, Chiyoda City, Tōkyō-to 100-0014, Japan",35.6767433,139.7407329,星陵会館ホール,"国際医薬経済・アウトカム研究学会
（ISPOR）日本部会   2017年特別講演会",1,"03/30～
03/30",3,3,200,203
千代田区,永田町２丁目,赤坂,"2-chōme-2-1 Nagatachō, Chiyoda City, Tōkyō-to 100-0014, Japan",35.6743713,139.7429313,衆議院第一議員会館   国際会議室,医学生物学電子顕微鏡技術学会第34回学術講演会、第7回国際医学生物学電子顕微鏡シンポジウム,1,"05/17～
05/18",6,50,120,170
千代田区,永田町２丁目,赤坂,"2-chōme-1-1 Nagatachō, Chiyoda City, Tōkyō-to 100-0014, Japan",35.6765584,139.7423188,衆議院第1議員会館,ユネスコCSA（文化サテライト勘定）技術諮問委員会運営委員会,2,"10/31～
11/02",9,15,57,72
千代田区,永田町１丁目,赤坂,"1-chōme-10-1 Nagatachō, Chiyoda City, Tōkyō-to 100-8924, Japan",35.6784667,139.7442197,国立国会図書館,第12回APLAP会議,1,"10/31～
11/02",20,47,4,51
千代田区,一ツ橋２丁目,-,"Japan, 〒100-0003 Tōkyō-to, Chiyoda City, Hitotsubashi, 2-chōme−1−２ 学術総合センター2F",35.6924434,139.7580966,一橋講堂,第23回国際知的インターフェイスコミュニティ国際会議 (ACM IUI 2018),1,"03/07～
03/11",16,300,81,381
千代田区,一ツ橋２丁目,-,"Japan, 〒100-0003 Tōkyō-to, Chiyoda City, Hitotsubashi, 2-chōme−1−２ 学術総合センター2F",35.6924434,139.7580966,一橋講堂,"量子情報科学の挑戦者に関する国際会議
（CQIS2018）",1,"04/09～
04/11",16,38,86,124
千代田区,一ツ橋２丁目,-,"2-chōme-6-2 Hitotsubashi, Chiyoda City, Tōkyō-to 101-0003, Japan",35.694437,139.7564642,日本教育会館,第63回国際東方学者会議,1,"05/19～
05/19",11,89,316,405
千代田区,一ツ橋２丁目,-,"2-chōme-6-2 Hitotsubashi, Chiyoda City, Tōkyō-to 101-0003, Japan",35.694437,139.7564642,日本教育会館,第10回日中学者中国古代史論壇,2,"05/19～
05/20",4,40,80,120
千代田区,一ツ橋２丁目,-,"Japan, 〒100-0003 Tōkyō-to, Chiyoda City, Hitotsubashi, 2-chōme−1−２ 学術総合センター2F",35.6924434,139.7580966,一橋講堂,第36回日本肥満症治療学会学術集会,1,"06/15～
06/16",4,10,300,310
千代田区,一ツ橋２丁目,-,"Japan, 〒100-0003 Tōkyō-to, Chiyoda City, Hitotsubashi, 2-chōme−1−２ 学術総合センター2F",35.6924434,139.7580966,一橋講堂,第20回 OECD/Japanセミナー「OECDからみる日本の教育政策」,1,"07/28～
07/28",5,5,272,277
千代田区,一ツ橋２丁目,-,"Japan, 〒100-0003 Tōkyō-to, Chiyoda City, Hitotsubashi, 2-chōme−1−２ 学術総合センター2F",35.6924434,139.7580966,一橋講堂,日本デジタル・ヒューマニティーズ学会年次大会,1,"09/09～
09/11",10,30,40,70
千代田区,一ツ橋２丁目,-,"Japan, 〒100-0003 Tōkyō-to, Chiyoda City, Hitotsubashi, 2-chōme−1−２ 学術総合センター2F",35.6924434,139.7580966,一橋講堂,The 17th Annual Meeting of the TEI Consortium (TEI 2018),1,"09/09～
09/13",10,100,40,140
