指標名,美術館・博物館,,,,,,,日本博物館協会,https://www.j-muse.or.jp/
出典,日本博物館協会、Tokyo Art Beat、artscape、Internet Museum,,,,,,,Tokyo Art Beat,http://www.tokyoartbeat.com/venues/Museum
年次,2020/2/20取得,,,,,,,artscape,https://artscape.jp/mdb/mdb_result.php?area=8
URL,複数あり、右に記載,,,,,,,Internet Museum,https://www.museum.or.jp/modules/im_museum/
備考,4つのミュージアム系webのうち、2つ以上に掲載されているもの,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,,,
渋谷区,松涛２丁目,-,東京都渋谷区松濤2-14-14,35.658684,139.6918125,渋谷区立松濤美術館,,,
渋谷区,松涛２丁目,-,東京都渋谷区松涛2-11-1,35.659611,139.690413,ギャラリーTOM,,,
渋谷区,上原３丁目,-,東京都渋谷区上原3-6-12,35.667981,139.6802295,古賀政男音楽博物館,,,
新宿区,信濃町,-,東京都新宿区信濃町8,35.682507,139.719231,民音音楽博物館,,,
新宿区,新宿３丁目,-,東京都新宿区新宿3-26-13新宿中村屋ﾋﾞﾙ3F,35.691723,139.702167,中村屋サロン美術館,,,
新宿区,神楽坂１丁目,-,東京都新宿区神楽坂1-3,35.699679,139.7417805,東京理科大学近代科学資料館,,,
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1-10-10,35.669403,139.7048715,太田記念美術館,,,
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-7-6,35.670699,139.713372,ワタリウム美術館,,,
千代田区,神田錦町１丁目,-,東京都千代田区神田錦町1-9東京天理ﾋﾞﾙ9F,35.691795,139.7644245,天理ギャラリー,,,
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-1,35.697591,139.7614905,明治大学博物館,,,
渋谷区,神南１丁目,-,東京都渋谷区神南1-12-18ﾒｿﾞﾝ渋谷801,35.662365,139.7005785,古代エジプト美術館,,,
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-26-1損保ｼﾞｬﾊﾟﾝ日本興亜本社ﾋﾞﾙ,35.692722,139.696029,東郷青児記念損保ジャパン日本興亜美術館,,,
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-6-1新宿住友ﾋﾞﾙ33階,35.691129,139.692735,平和祈念展示資料館,,,
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-20-2,35.683002,139.6867545,東京オペラシティアートギャラリー,,,
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-20-2東京ｵﾍﾟﾗｼﾃｨﾀﾜｰ4F,35.683002,139.6867545,NTTインターコミュニケーション・センター,,,
新宿区,西早稲田１丁目,-,東京都新宿区西早稲田1-6-1,35.709345,139.719438,早稲田大学會津八一記念博物館,,,
新宿区,西早稲田１丁目,-,東京都新宿区西早稲田1-6-1,35.709345,139.719438,早稲田大学坪内博士記念演劇博物館,,,
港区,赤坂４丁目,赤坂,東京都港区赤坂4-9-22,35.675244,139.7325915,虎屋ギャラリー　虎屋文庫,,,
港区,赤坂９丁目,六本木,東京都港区赤坂9-7-4東京ﾐｯﾄﾞﾀｳﾝｶﾞｰﾃﾞﾝｻｲﾄﾞ,35.66646,139.730283,サントリー美術館,,,
港区,赤坂９丁目,六本木,東京都港区赤坂9-7-6(東京ﾐｯﾄﾞﾀｳﾝ内),35.667549,139.730337,21_21 DESIGN SIGHT,,,
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-24-2,35.685936,139.702536,新宿タカシマヤ,,,
千代田区,千代田,-,東京都千代田区千代田1-1,35.683812,139.754097,宮内庁三の丸尚蔵館,,,
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町110-22,35.708157,139.7239515,センチュリーミュージアム,,,
渋谷区,代々木３丁目,-,東京都渋谷区代々木3-22-7新宿文化ｸｲﾝﾄﾋﾞﾙ,35.686251,139.6950435,文化学園服飾博物館,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1-1,35.676009,139.703175,明治神宮宝物殿,,,
新宿区,大京町,-,東京都新宿区大京町31-10ｱｰﾄ千駄ヶ谷ﾋﾞﾙ,35.681679,139.7149785,佐藤美術館,,,
新宿区,中井２丁目,-,東京都新宿区中井2-20-1,35.715789,139.684095,林芙美子記念館,,,
渋谷区,東４丁目,-,東京都渋谷区東4-10-28,35.655345,139.7121075,國學院大學博物館,,,
渋谷区,東４丁目,-,東京都渋谷区東4-9-1,35.65638,139.7125665,白根記念渋谷区郷土博物館・文学館,,,
渋谷区,東４丁目,-,東京都渋谷区東四丁目10−28國學院大學渋谷ｷｬﾝﾊﾟｽ学術ﾒﾃﾞｨｱｾﾝﾀｰ(AMC)地下1階,35.655345,139.7121075,國學院大學博物館,,,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-5-1ﾊﾟﾅｿﾆｯｸ東京汐留ﾋﾞﾙ4階,35.66583,139.761882,パナソニック汐留美術館,,,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-8-2ｶﾚｯﾀ汐留,35.664921,139.762485,アドミュージアム東京,,,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-5-3,35.666109,139.7613555,旧新橋停車場 鉄道歴史展示室,,,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-24-1,35.660655,139.695948,Bunkamura　ザ・ミュージアム,,,
港区,南青山４丁目,-,東京都港区南青山4-18-9,35.663454,139.7178855,秋山庄太郎写真芸術館,,,
港区,南青山５丁目,-,東京都港区南青山5-6-23ｽﾊﾟｲﾗﾙ1F,35.663598,139.711752,スパイラルガーデン,,,
港区,南青山６丁目,-,東京都港区南青山6-5-1,35.662203,139.7171205,根津美術館,,,
港区,南青山６丁目,-,東京都港区南青山6-1-19,35.661294,139.7155545,岡本太郎記念館,,,
港区,南青山６丁目,-,東京都港区南青山6-6-20K's南青山ﾋﾞﾙ1F,35.660097,139.717872,紅ミュージアム,,,
港区,南麻布５丁目,-,東京都港区南麻布5-11-12togoﾋﾞﾙﾃﾞｨﾝｸﾞB1F,35.653212,139.7228895,EMON Photo Gallery,,,
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-4,35.671941,139.7546415,日比谷図書文化館 ミュージアム,,,
中央区,日本橋１丁目,日八京,東京都中央区日本橋1-12-10,35.682552,139.775598,凧の博物館,,,
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-4-1,35.680761,139.7736135,日本橋タカシマヤ,,,
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-4-1日本橋高島屋S.C.本館4階･5階,35.680761,139.7736135,高島屋史料館TOKYO,,,
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-35-7,35.68167,139.7858985,ミュゼ浜口陽三・ヤマサコレクション,,,
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町1-4-1,35.685603,139.773492,日本橋三越,,,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階,35.686935,139.7730555,三井記念美術館,,,
中央区,日本橋本石町１丁目,日八京,東京都中央区日本橋本石町1-3-1,35.685369,139.771827,日本銀行金融研究所　貨幣博物館,,,
港区,白金台２丁目,-,東京都港区白金台2-20-12,35.632305,139.726872,畠山記念館,,,
港区,白金台４丁目,-,東京都港区白金台4-6-2,35.639145,139.7267685,港区立郷土歴史館,,,
港区,白金台５丁目,-,東京都港区白金台5-12-6,35.640018,139.721805,松岡美術館,,,
港区,白金台５丁目,-,東京都港区白金台5-21-9,35.636931,139.71897,東京都庭園美術館,,,
千代田区,隼町,-,東京都千代田区隼町4-1,35.681436,139.74336,伝統芸能情報館,,,
新宿区,弁天町,-,東京都新宿区弁天町107,35.703189,139.726467,草間彌生美術館,,,
千代田区,北の丸公園,-,東京都千代田区北の丸公園2-1,35.691291,139.753071,科学技術館,,,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1,35.690535,139.754619,東京国立近代美術館,,,
千代田区,北の丸公園,-,東京都千代田区北の丸公園1-1,35.689707,139.7503845,東京国立近代美術館工芸館,,,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690256,139.753863,国立公文書館,,,
港区,北青山２丁目,-,東京都港区北青山2-3-1ItochuGardenB1F,35.672058,139.719996,伊藤忠青山アートスクエア,,,
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-5-3,35.661465,139.7393685,外務省外交史料館,,,
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-13-1,35.675802,139.760982,第一生命ギャラリー,,,
港区,六本木１丁目,虎ノ門,東京都港区六本木1-5-1,35.665029,139.7410695,泉屋博古館分館,,,
港区,六本木６丁目,六本木,東京都港区六本木6-10-1六本木ﾋﾙｽﾞ森ﾀﾜｰ,35.66043,139.7292615,森美術館,,,
港区,六本木６丁目,六本木,東京都港区六本木6-10-1六本木ﾋﾙｽﾞ森ﾀﾜｰ52F,35.66043,139.7292615,森アーツセンターギャラリー,,,
港区,六本木６丁目,六本木,東京都港区六本木6-10-1六本木ﾋﾙｽﾞ森ﾀﾜｰ52階,35.66043,139.7292615,六本木ヒルズ展望台東京シティビュー,,,
港区,六本木７丁目,六本木,東京都港区六本木7-22-2,35.665191,139.7263455,国立新美術館,,,
