指標名,大使館・領事館,,,,,,,,
出典,外務省,,,,,,,,
年次,2020/3/9取得,,,,,,,,
URL,https://www.mofa.go.jp/mofaj/link/emblist/,,,,,,,,
備考,,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,エリア,国・地域,備考
港区,南青山７丁目,-,東京都港区南青山七丁目14-12,35.656704,139.7173005,駐日スロベニア共和国大使館,欧州,スロベニア共和国,
港区,南青山５丁目,-,東京都港区南青山5丁目9-15 青山OHMOTOビル3F,35.662995,139.711365,在東京コモロ連合名誉領事館,アフリカ,コモロ連合,日本には領事館のみ
港区,南青山５丁目,-,東京都港区南青山五丁目4-30,35.662194,139.7142765,駐日モロッコ王国大使館,アフリカ,モロッコ王国,
千代田区,内幸町２丁目,-,東京都千代田区内幸町2-2-1 日本プレスセンタービル2階,35.67096,139.754232,在東京モンテネグロ名誉領事館,欧州,モンテネグロ,日本には領事館のみ
港区,東麻布２丁目,-,東京都港区東麻布二丁目21-11,35.656569,139.7413575,駐日パラオ共和国大使館,大洋州,パラオ共和国,
港区,東麻布２丁目,-,東京都港区東麻布二丁目21-7 沙門ビル2階,35.656317,139.7416635,駐日パナマ共和国大使館,中南米,パナマ共和国,都内に大使館も領事館もある（住所も同じ）
港区,東麻布２丁目,-,東京都港区東麻布二丁目21-7 沙門ビル1階,35.656317,139.7416635,在東京パナマ共和国総領事館,中南米,パナマ共和国,都内に大使館も領事館もある（住所も同じ）
港区,東麻布１丁目,-,東京都港区東麻布一丁目28-4,35.655435,139.7439495,駐日キューバ共和国大使館,中南米,キューバ共和国,
渋谷区,東４丁目,-,東京都渋谷区東4-12-1,35.65476,139.7135115,在東京サントメ・プリンシペ民主共和国名誉領事館,アフリカ,サントメ・プリンシペ民主共和国,日本には領事館のみ
渋谷区,東２丁目,-,東京都渋谷区東二丁目6-14,35.653797,139.7102535,駐日トルクメニスタン大使館,欧州,トルクメニスタン,
中央区,築地６丁目,-,東京都中央区築地六丁目4-8 北國新聞ビル4階,35.664984,139.7725515,駐日アルバニア共和国大使館,欧州,アルバニア共和国,
渋谷区,大山町,-,東京都渋谷区大山町45-24,35.669106,139.6775655,駐日ブルキナファソ大使館,アフリカ,ブルキナファソ,
渋谷区,代々木５丁目,-,東京都渋谷区代々木五丁目36-3,35.673615,139.690494,駐日ブルガリア共和国大使館,欧州,ブルガリア共和国,
渋谷区,代官山町,-,東京都渋谷区代官山町10-14,35.650935,139.7046465,駐日リビア大使館,アフリカ,リビア,
港区,赤坂８丁目,赤坂,東京都港区赤坂八丁目6-9,35.671311,139.7287665,駐日カンボジア王国大使館,アジア,カンボジア王国,
港区,赤坂７丁目,赤坂,東京都港区赤坂七丁目5-47 U&M赤坂ビル3階,35.672103,139.7300085,駐日レソト王国大使館,アフリカ,レソト王国,
港区,赤坂７丁目,赤坂,東京都港区赤坂七丁目3-38,35.67285,139.7290275,駐日カナダ大使館,北米,カナダ,
港区,赤坂６丁目,赤坂,東京都港区赤坂六丁目19-45（駐日シリア大使館）,35.667684,139.733226,駐日シリア・アラブ共和国大使館,中東,シリア・アラブ共和国,
港区,赤坂２丁目,赤坂,東京都港区赤坂2-17-52 パラッツオ赤坂201,35.670294,139.7387655,在東京シエラレオネ共和国名誉総領事館,アフリカ,シエラレオネ共和国,日本には領事館のみ
港区,赤坂２丁目,赤坂,東京都港区赤坂2-17-52 パラッツォ赤坂201,35.670294,139.7387655,在東京コソボ共和国名誉総領事館,欧州,コソボ共和国,都内に大使館も領事館もある（住所は別）
港区,赤坂１丁目,虎ノ門,東京都港区赤坂一丁目11-36 レジデンスバイカウンテス230号室,35.66871,139.741695,駐日アルメニア共和国大使館,欧州,アルメニア共和国,
港区,赤坂１丁目,虎ノ門,東京都港区赤坂一丁目11-36 レジデンスバイカウンテス220号室,35.66871,139.741695,駐日ジョージア大使館,欧州,ジョージア,
港区,赤坂１丁目,虎ノ門,東京都港区赤坂一丁目14-2 霊南坂ビル2階,35.66718,139.7418525,駐日ミクロネシア連邦大使館,大洋州,ミクロネシア連邦,
港区,赤坂１丁目,虎ノ門,東京都港区赤坂一丁目11-36 レジデンスバイカウンテス710号室,35.66871,139.741695,駐日バーレーン王国大使館,中東,バーレーン王国,
港区,赤坂１丁目,虎ノ門,東京都港区赤坂一丁目11-36 レジデンスバイカウンテス410号室,35.66871,139.741695,駐日レバノン共和国大使館,中東,レバノン共和国,
港区,赤坂１丁目,虎ノ門,東京都港区赤坂一丁目10-5,35.668917,139.743243,駐日アメリカ合衆国大使館,北米,アメリカ合衆国,
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル807号室,35.659197,139.7218185,駐日イエメン共和国大使館,中東,イエメン共和国,
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル908号室,35.659197,139.7218185,駐日ウルグアイ東方共和国大使館,中南米,ウルグアイ東方共和国,
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル806号室,35.659197,139.7218185,駐日エクアドル共和国大使館,中南米,エクアドル共和国,
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル803号室,35.659197,139.7218185,駐日エルサルバドル共和国大使館,中南米,エルサルバドル共和国,
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル905号室,35.659197,139.7218185,駐日グアテマラ共和国大使館,中南米,グアテマラ共和国,
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル901号室,35.659197,139.7218185,駐日コスタリカ共和国大使館,中南米,コスタリカ共和国,
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル904号室,35.659197,139.7218185,駐日ドミニカ共和国大使館,中南米,ドミニカ共和国,都内に大使館も領事館もある（住所も同じ）
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル904号室,35.659197,139.7218185,在東京ドミニカ共和国総領事館,中南米,ドミニカ共和国,都内に大使館も領事館もある（住所も同じ）
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル903号室,35.659197,139.7218185,駐日ニカラグア共和国大使館,中南米,ニカラグア共和国,
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル906号室,35.659197,139.7218185,駐日ハイチ共和国大使館,中南米,ハイチ共和国,都内に大使館も領事館もある（住所も同じ）
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル906号室,35.659197,139.7218185,在東京ハイチ共和国総領事館,中南米,ハイチ共和国,都内に大使館も領事館もある（住所も同じ）
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル703号室,35.659197,139.7218185,駐日ベネズエラ・ボリバル共和国大使館,中南米,ベネズエラ・ボリバル共和国,
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル804号室,35.659197,139.7218185,駐日ボリビア多民族国大使館,中南米,ボリビア多民族国,
港区,西麻布４丁目,-,東京都港区西麻布四丁目12-24 第38興和ビル802号室,35.659197,139.7218185,駐日ホンジュラス共和国大使館,中南米,ホンジュラス共和国,
港区,西麻布３丁目,-,東京都港区西麻布三丁目3-22,35.658162,139.7268855,駐日ラオス人民民主共和国大使館,アジア,ラオス人民民主共和国,
港区,西麻布３丁目,-,東京都港区西麻布三丁目5-31,35.657127,139.725198,駐日ウクライナ大使館,欧州,ウクライナ,
港区,西麻布３丁目,-,東京都港区西麻布三丁目16-30,35.658342,139.726035,駐日ギリシャ大使館,欧州,ギリシャ,
港区,西麻布３丁目,-,東京都港区西麻布三丁目16-19,35.657937,139.7244645,駐日ルーマニア大使館,欧州,ルーマニア,
港区,西麻布１丁目,-,東京都港区西麻布一丁目5-21,35.66169,139.725432,駐日ガーナ共和国大使館,アフリカ,ガーナ共和国,
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-16-6 タツミビル5階,35.69166,139.6878435,在東京ツバル名誉総領事館,大洋州,ツバル,日本には領事館のみ
新宿区,西新宿４丁目,-,東京都新宿区西新宿四丁目9-7,35.689059,139.685715,駐日ベリーズ大使館,中南米,ベリーズ,
港区,西新橋３丁目,虎ノ門,東京都港区西新橋三丁目13-7 VORT虎ノ門サウスビル10階,35.664462,139.7507985,駐日コソボ共和国大使館,欧州,コソボ共和国,都内に大使館も領事館もある（住所は別）
港区,西新橋３丁目,虎ノ門,東京都港区西新橋三丁目13-7 VORT虎ノ門サウスビル3階,35.664462,139.7507985,駐日マーシャル諸島共和国大使館,大洋州,マーシャル諸島共和国,
渋谷区,神山町,-,東京都渋谷区神山町21-4,35.66223,139.6891575,駐日モンゴル国大使館,アジア,モンゴル国,
渋谷区,神山町,-,東京都渋谷区神山町27-5,35.663508,139.6883655,駐日コンゴ共和国大使館,アフリカ,コンゴ共和国,
渋谷区,神山町,-,東京都渋谷区神山町37-11 プリマヴェーラ神山A号室,35.6652,139.691196,駐日ラトビア共和国大使館,欧州,ラトビア共和国,
渋谷区,神山町,-,東京都渋谷区神山町20-40,35.663337,139.690548,駐日ニュージーランド大使館,大洋州,ニュージーランド,
渋谷区,神山町,-,東京都渋谷区神山町14-6（駐日イラク大使館）,35.663076,139.692798,駐日イラク共和国大使館,中東,イラク共和国,
渋谷区,神山町,-,東京都渋谷区神山町39-8,35.664399,139.691682,駐日ヨルダン・ハシェミット王国大使館,中東,ヨルダン・ハシェミット王国,
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前二丁目6-15,35.673012,139.7116755,駐日エストニア共和国大使館,欧州,エストニア共和国,
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前二丁目33-6（駐日トルコ共和国大使館）,35.673291,139.7085615,駐日トルコ共和国大使館,中東,トルコ共和国,
渋谷区,上原２丁目,-,東京都渋谷区上原二丁目19-12,35.664588,139.682628,駐日コートジボワール共和国大使館,アフリカ,コートジボワール共和国,
港区,芝公園３丁目,虎ノ門,東京都港区芝公園三丁目6-3,35.661744,139.745826,駐日オランダ王国大使館,欧州,オランダ王国,
港区,芝４丁目,-,東京都港区芝四丁目5-10 ユニゾ芝四丁目ビル6階,35.648721,139.750929,駐日ボツワナ共和国大使館,アフリカ,ボツワナ共和国,
港区,芝３丁目,-,東京都港区芝3-6-9 芝公園プラザ3階,35.652015,139.7492955,在東京ブータン王国名誉総領事館,アジア,ブータン王国,日本には領事館のみ
港区,芝３丁目,-,東京都港区芝三丁目1-14 芝公園阪神ビル8階,35.654193,139.7456055,駐日チリ共和国大使館,中南米,チリ共和国,都内に大使館も領事館もある（住所も同じ）
港区,芝３丁目,-,東京都港区芝三丁目1-14 芝公園阪神ビル8階,35.654193,139.7456055,在東京チリ共和国総領事館,中南米,チリ共和国,都内に大使館も領事館もある（住所も同じ）
千代田区,四番町,-,東京都千代田区四番町8-9,35.689779,139.7373525,駐日ルクセンブルク大公国大使館,欧州,ルクセンブルク大公国,都内に大使館も領事館もある（住所は別）
千代田区,三番町,-,東京都千代田区三番町9-2,35.689716,139.741848,駐日バチカン（ローマ法王庁）大使館,欧州,バチカン（ローマ法王庁）,
港区,三田４丁目,-,東京都港区三田四丁目13-12（駐日クウェート大使館）,35.64531,139.7415195,駐日クウェート国大使館,中東,クウェート国,
港区,三田２丁目,-,東京都港区三田二丁目5-4,35.65071,139.742514,駐日イタリア大使館,欧州,イタリア,
港区,三田２丁目,-,東京都港区三田二丁目17-14,35.648478,139.741047,駐日ハンガリー大使館,欧州,ハンガリー,
港区,三田２丁目,-,東京都港区三田二丁目1-14,35.651898,139.7392335,駐日オーストラリア大使館,大洋州,オーストラリア,
港区,三田１丁目,-,東京都港区三田一丁目5-7,35.653401,139.7402055,駐日キルギス共和国大使館,欧州,キルギス共和国,
千代田区,麹町３丁目,-,東京都千代田区麹町三丁目10-3 神浦麹町ビル5階,35.685531,139.739022,駐日ポルトガル大使館,欧州,ポルトガル,
千代田区,麹町２丁目,-,東京都千代田区麹町二丁目10-7,35.685648,139.7405835,駐日アイルランド大使館,欧州,アイルランド,
千代田区,麹町１丁目,-,東京都千代田区麹町一丁目4 半蔵門ファーストビル4階,35.684298,139.743513,駐日南アフリカ共和国大使館,アフリカ,南アフリカ共和国,
港区,高輪４丁目,-,東京都港区高輪四丁目18-26,35.626401,139.733784,駐日アイスランド共和国大使館,欧州,アイスランド共和国,都内に大使館も領事館もある（住所は別）
港区,高輪４丁目,-,東京都港区高輪四丁目16-12,35.626473,139.7330145,駐日セルビア共和国大使館,欧州,セルビア共和国,
港区,高輪３丁目,-,東京都港区高輪三丁目4-1 高輪偕成ビル2階,35.634924,139.731606,駐日エチオピア連邦民主共和国大使館,アフリカ,エチオピア連邦民主共和国,
港区,高輪３丁目,-,東京都港区高輪三丁目4-1 高輪偕成ビル7階,35.634924,139.731606,駐日マラウイ共和国大使館,アフリカ,マラウイ共和国,
港区,高輪２丁目,-,東京都港区高輪二丁目1-54,35.639883,139.7368305,駐日スリランカ民主社会主義共和国大使館,アジア,スリランカ民主社会主義共和国,
港区,高輪２丁目,-,東京都港区高輪二丁目1-52,35.639667,139.7370015,駐日ウズベキスタン共和国大使館,欧州,ウズベキスタン共和国,
渋谷区,広尾４丁目,-,東京都渋谷区広尾四丁目2-17（駐日オマーン大使館）,35.65422,139.7215485,駐日オマーン国大使館,中東,オマーン国,
