指標名,駅,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,
年次,2020/3/11取得,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,
備考,新幹線駅除く。乗降客数は基本的に1事業者1駅1データ。,,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,乗降客数,駅コード（路線別）,駅コード（路線不問）
新宿区,四谷１丁目,-,東京都新宿区四谷１-１-５,35.684586,139.729947,四ツ谷,東京メトロ丸ノ内線,東京メトロ,"125,084",2800214,1131102
新宿区,四谷１丁目,-,東京都新宿区四谷１-３-１５,35.686032,139.72955,四ツ谷,東京メトロ南北線,東京メトロ,-,2800912,1131102
千代田区,三崎町２丁目,-,東京都千代田区神田三崎町２-２２-５,35.702039,139.754312,水道橋,JR中央・総武緩行線,JR東日本,"166,702",1131317,1131317
渋谷区,笹塚１丁目,-,東京都渋谷区笹塚１-５６-１８,35.673758,139.667251,笹塚,京王線,京王電鉄,"81,557",2400104,2400104
渋谷区,笹塚１丁目,-,東京都渋谷区笹塚１-５６-１８,35.673758,139.667251,笹塚,京王新線,京王電鉄,-,2400704,2400104
千代田区,麹町６丁目,-,東京都新宿区四谷１-５-１,35.686041,139.730644,四ツ谷,JR中央本線(東京～塩尻),JR東日本,"191,092",1131102,1131102
千代田区,麹町６丁目,-,東京都新宿区四谷１-５-１,35.686041,139.730644,四ツ谷,JR中央線(快速),JR東日本,-,1131207,1131102
千代田区,麹町６丁目,-,東京都新宿区四谷１-５-１,35.686041,139.730644,四ツ谷,JR中央・総武緩行線,JR東日本,-,1131314,1131102
千代田区,麹町４丁目,-,東京都千代田区麹町４-２-１,35.684006,139.737613,麹町,東京メトロ有楽町線,東京メトロ,"65,797",2800615,2800615
千代田区,麹町２丁目,-,東京都千代田区麹町２-１４-１,35.685703,139.74163,半蔵門,東京メトロ半蔵門線,東京メトロ,"89,961",2800805,2800805
港区,高輪３丁目,-,東京都港区高輪３-２６-１４,35.628284,139.73809,品川,京急本線,京急電鉄,"284,888",2700102,1130103
港区,高輪２丁目,-,東京都港区高輪２-２０-３３,35.638692,139.74002,泉岳寺,都営浅草線,東京都交通局,"218,883",9930207,2700101
港区,高輪２丁目,-,東京都港区高輪２-２０-３３,35.638692,139.74002,泉岳寺,京急本線,京急電鉄,-,2700101,2700101
港区,高輪１丁目,-,東京都港区高輪１-４-４,35.642903,139.734104,白金高輪,東京メトロ南北線,東京メトロ,"42,541",2800917,2800917
港区,高輪１丁目,-,東京都港区高輪１-４-４,35.642903,139.734104,白金高輪,都営三田線,東京都交通局,-,9930303,2800917
新宿区,高田馬場２丁目,-,東京都新宿区高田馬場２-１９-６,35.713338,139.704745,高田馬場,東京メトロ東西線,東京メトロ,"203,957",2800403,1130210
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場１-３５-１,35.712677,139.703715,高田馬場,西武新宿線,西武鉄道,"304,904",2200702,1130210
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場１-３５-１,35.712677,139.703715,高田馬場,JR山手線,JR東日本,"413,366",1130210,1130210
港区,港南２丁目,-,東京都港区高輪３-２６-２７,35.62876,139.738999,品川,JR東海道本線(東京～熱海),JR東日本,"743,574",1130103,1130103
港区,港南２丁目,-,東京都港区高輪３-２６-２７,35.62876,139.738999,品川,JR山手線,JR東日本,-,1130229,1130103
港区,港南２丁目,-,東京都港区高輪３-２６-２７,35.62876,139.738999,品川,JR横須賀線,JR東日本,-,1130803,1130103
港区,港南２丁目,-,東京都港区高輪３-２６-２７,35.62876,139.738999,品川,JR成田エクスプレス,JR東日本,-,1132808,1130103
港区,港南２丁目,-,東京都港区高輪３-２６-２７,35.62876,139.738999,品川,JR京浜東北線,JR東日本,-,1133227,1130103
港区,港南２丁目,-,東京都港区港南２-１-２９,35.6355,139.7407,高輪ゲートウェイ,JR山手線,JR東日本,-,1130230,1130230
港区,港南２丁目,-,東京都港区港南２-１-２９,35.6355,139.7407,高輪ゲートウェイ,JR京浜東北線,JR東日本,-,1133236,1130230
千代田区,五番町,-,東京都千代田区五番町２-３,35.691,139.735583,市ヶ谷,JR中央・総武緩行線,JR東日本,"122,368",1131315,1131315
港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門５-１２-１１,35.662978,139.745069,神谷町,東京メトロ日比谷線,東京メトロ,"99,610",2800317,2800317
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門１-１-２５,35.670236,139.749832,虎ノ門,東京メトロ銀座線,東京メトロ,"117,329",2800113,2800113
新宿区,原町１丁目,-,東京都新宿区原町１-１０-１,35.699518,139.725027,牛込柳町,都営大江戸線,東京都交通局,"20,596",9930105,9930105
中央区,月島１丁目,-,東京都中央区月島１-３-１４,35.664871,139.784233,月島,東京メトロ有楽町線,東京メトロ,"74,049",2800621,2800621
中央区,月島１丁目,-,東京都中央区月島１-３-１４,35.664871,139.784233,月島,都営大江戸線,東京都交通局,"73,692",9930117,2800621
渋谷区,恵比寿西２丁目,-,東京都渋谷区恵比寿西２-２１-１３,35.648193,139.703284,代官山,東急東横線,東急電鉄,"32,148",2600102,2600102
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西１-７-７,35.647332,139.708988,恵比寿,東京メトロ日比谷線,東京メトロ,"118,260",2800320,1130204
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿南１-５-５,35.646685,139.71007,恵比寿,JR山手線,JR東日本,"287,796",1130204,1130204
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿南１-５-５,35.646685,139.71007,恵比寿,JR埼京線,JR東日本,-,1132102,1130204
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿南１-５-５,35.646685,139.71007,恵比寿,JR湘南新宿ライン,JR東日本,-,1133306,1130204
千代田区,九段北４丁目,-,東京都千代田区九段北４-４-１,35.691389,139.73625,市ヶ谷,東京メトロ有楽町線,東京メトロ,"146,603",2800614,1131315
千代田区,九段北１丁目,-,東京都千代田区九段北１-３-１,35.695589,139.751948,九段下,東京メトロ東西線,東京メトロ,"176,675",2800407,2800407
千代田区,九段北１丁目,-,東京都千代田区九段北１-３-１,35.695589,139.751948,九段下,東京メトロ半蔵門線,東京メトロ,-,2800806,2800407
千代田区,九段北１丁目,-,東京都千代田区九段北１-３-１,35.695589,139.751948,九段下,都営新宿線,東京都交通局,"111,410",9930405,2800407
千代田区,九段南４丁目,-,東京都千代田区九段南４-８-２２,35.691556,139.737639,市ヶ谷,都営新宿線,東京都交通局,"98,926",9930404,1131315
中央区,銀座５丁目,-,東京都中央区銀座５-５-１,35.671989,139.763965,銀座,東京メトロ銀座線,東京メトロ,"266,574",2800111,2800111
中央区,銀座５丁目,-,東京都中央区銀座５-５-１,35.671989,139.763965,銀座,東京メトロ丸ノ内線,東京メトロ,-,2800210,2800111
中央区,銀座５丁目,-,東京都中央区銀座５-５-１,35.671989,139.763965,銀座,東京メトロ日比谷線,東京メトロ,-,2800314,2800111
中央区,銀座４丁目,-,東京都中央区銀座４-１２-１７,35.669464,139.767253,東銀座,東京メトロ日比谷線,東京メトロ,"90,621",2800313,2800313
中央区,銀座４丁目,-,東京都中央区銀座４-１２-１７,35.669464,139.767253,東銀座,都営浅草線,東京都交通局,"83,607",9930211,2800313
中央区,銀座１丁目,-,東京都中央区銀座１-６-１１,35.67435,139.767045,銀座一丁目,東京メトロ有楽町線,東京メトロ,"38,754",2800619,2800619
中央区,京橋２丁目,日八京,東京都中央区京橋２-６-２０,35.676856,139.770126,京橋,東京メトロ銀座線,東京メトロ,"60,685",2800110,2800110
中央区,京橋２丁目,日八京,東京都中央区京橋２-１２-６,35.675461,139.771767,宝町,都営浅草線,東京都交通局,"30,176",9930212,2800110
千代田区,岩本町３丁目,-,東京都千代田区岩本町３-２-４,35.695534,139.775866,岩本町,都営新宿線,東京都交通局,"53,741",9930408,9930408
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２-４-１,35.681753,139.764708,東京,東京メトロ丸ノ内線,東京メトロ,"211,558",2800209,1130101
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２-３-１,35.681071,139.761948,二重橋前,東京メトロ千代田線,東京メトロ,"34,898",2800511,2800511
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１-１０-１９,35.681391,139.766103,東京,JR東海道本線(東京～熱海),JR東日本,"879,108",1130101,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１-１０-１９,35.681391,139.766103,東京,JR山手線,JR東日本,-,1130224,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１-１０-１９,35.681391,139.766103,東京,JR横須賀線,JR東日本,-,1130801,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１-１０-１９,35.681391,139.766103,東京,JR中央本線(東京～塩尻),JR東日本,-,1131101,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１-１０-１９,35.681391,139.766103,東京,JR中央線(快速),JR東日本,-,1131201,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１-１０-１９,35.681391,139.766103,東京,JR総武本線,JR東日本,-,1131401,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１-１０-１９,35.681391,139.766103,東京,JR京葉線,JR東日本,-,1132601,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１-１０-１９,35.681391,139.766103,東京,JR成田エクスプレス,JR東日本,-,1132809,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１-１０-１９,35.681391,139.766103,東京,JR京浜東北線,JR東日本,-,1133222,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１-１０-１９,35.681391,139.766103,東京,上野東京ライン,JR東日本,-,1134301,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１-１-２,35.684856,139.762959,大手町,都営三田線,東京都交通局,"104,455",9930309,2800208
千代田区,外神田６丁目,-,東京都千代田区外神田６-１４-１１,35.702972,139.771713,末広町,東京メトロ銀座線,東京メトロ,"24,743",2800106,2800106
千代田区,外神田１丁目,-,東京都千代田区外神田１-１７-６,35.698619,139.773288,秋葉原,JR山手線,JR東日本,"493,246",1130222,1130222
千代田区,外神田１丁目,-,東京都千代田区外神田１-１７-６,35.698619,139.773288,秋葉原,JR中央・総武緩行線,JR東日本,-,1131319,1130222
千代田区,外神田１丁目,-,東京都千代田区外神田１-１７-６,35.698619,139.773288,秋葉原,JR京浜東北線,JR東日本,-,1133220,1130222
港区,海岸３丁目,-,東京都港区海岸３-２２-２３,35.641773,139.757852,芝浦ふ頭,ゆりかもめ東京臨海新交通臨海線,ゆりかもめ,"5,308",9931105,9931105
港区,海岸２丁目,-,東京都港区海岸２-６-２４,35.649136,139.75906,日の出,ゆりかもめ東京臨海新交通臨海線,ゆりかもめ,"2,282",9931104,9931104
港区,海岸１丁目,-,東京都港区海岸１-３-１,35.655391,139.757135,浜松町,JR山手線,JR東日本,"310,588",1130227,1130227
港区,海岸１丁目,-,東京都港区海岸１-３-１,35.655391,139.757135,浜松町,JR京浜東北線,JR東日本,-,1133225,1130227
港区,海岸１丁目,-,東京都港区海岸１-１６-１,35.654099,139.762037,竹芝,ゆりかもめ東京臨海新交通臨海線,ゆりかもめ,"5,006",9931103,9931103
新宿区,霞ヶ丘町,-,東京都新宿区霞ヶ丘町１１-１,35.679831,139.714932,国立競技場,都営大江戸線,東京都交通局,"10,366",9930126,9930126
千代田区,霞が関２丁目,虎ノ門広域,東京都千代田区霞が関２-１-１,35.677405,139.75149,桜田門,東京メトロ有楽町線,東京メトロ,"13,114",2800617,2800617
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関１-２-１,35.673838,139.750899,霞ヶ関,東京メトロ丸ノ内線,東京メトロ,"150,628",2800211,2800211
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関１-２-１,35.673838,139.750899,霞ヶ関,東京メトロ日比谷線,東京メトロ,-,2800316,2800211
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関１-２-１,35.673838,139.750899,霞ヶ関,東京メトロ千代田線,東京メトロ,-,2800513,2800211
新宿区,河田町,-,東京都新宿区河田町１１-８,35.699218,139.718184,若松河田,都営大江戸線,東京都交通局,"31,796",9930104,9930104
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町２-４５-２,35.696254,139.7,西武新宿,西武新宿線,西武鉄道,"180,884",2200701,2200701
新宿区,下落合１丁目,-,東京都新宿区下落合１-１６-７,35.715846,139.695391,下落合,西武新宿線,西武鉄道,"12,414",2200703,2200703
千代田区,永田町２丁目,赤坂,東京都千代田区永田町２-１０-３,35.673621,139.741419,溜池山王,東京メトロ銀座線,東京メトロ,"109,140",2800114,2800114
千代田区,永田町２丁目,赤坂,東京都千代田区永田町２-１０-３,35.673621,139.741419,溜池山王,東京メトロ南北線,東京メトロ,-,2800914,2800114
千代田区,永田町２丁目,赤坂,東京都千代田区永田町２-１８-３,35.678757,139.740258,永田町,東京メトロ有楽町線,東京メトロ,"82,091",2800616,2800115
千代田区,永田町２丁目,赤坂,東京都千代田区永田町２-１８-３,35.678757,139.740258,永田町,東京メトロ半蔵門線,東京メトロ,-,2800804,2800115
千代田区,永田町２丁目,赤坂,東京都千代田区永田町２-１８-３,35.678757,139.740258,永田町,東京メトロ南北線,東京メトロ,-,2800913,2800115
千代田区,永田町１丁目,赤坂,東京都千代田区永田町１-６-２,35.67393,139.745219,国会議事堂前,東京メトロ丸ノ内線,東京メトロ,"41,233",2800212,2800212
千代田区,永田町１丁目,赤坂,東京都千代田区永田町１-６-２,35.67393,139.745219,国会議事堂前,東京メトロ千代田線,東京メトロ,-,2800514,2800212
千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋１-１-１,35.690662,139.756817,竹橋,東京メトロ東西線,東京メトロ,"48,453",2800408,2800408
