指標名,スタートアップ企業,,,,,,,,,,
出典,INITIAL,,,,,,,,,,
年次,2019/12/2取得,,,,,,,,,,
URL,https://initial.inc/,,,,,,,,,,
備考,JPC2020データ,,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,企業名,業種,事業内容,設立日,詳細URL,調査状況
港区,六本木７丁目,六本木,東京都港区六本木7-5-6 KCテラス3A,35.66511,139.727745,株式会社マッシグラ,ビジネスサービス,仕事に必要な通信環境/ネット接続・電源確保・携帯充電が可能な...,2008/2/26,https://initial.inc/companies/A-11303,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-3-13 トラスティ六本木ビル5階,35.665884,139.728618,株式会社トビムシ,環境関連,森林再生支援事業 国内初の森林・林業支援の事業ファンド「共有...,2009/2/2,https://initial.inc/companies/A-11073,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-18-18 住友不動産六本木通ビル6F,35.66205,139.7284875,株式会社HANABISHI,消費者向けサービス・販売,温泉コミュニティ「温泉部」を運営,2015/8/14,https://initial.inc/companies/A-26219,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-18-18 住友不動産六本木通ビル6階,35.66205,139.7284875,グランドデザイン株式会社,コンピューター - ITサービス,ショッピングモールスマホアプリ「Gotcha!mall（ガッ...,2014/11/18,https://initial.inc/companies/A-16589,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-3-24 竜土ハイツA2,35.665965,139.7278485,株式会社クラフタ,消費者向けサービス・販売,20~30代向けメディア事業の展開,2017/3/9,https://initial.inc/companies/A-29216,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-8-8 ミクニ六本木ビル9階,35.66484,139.7301075,ミクニ総業株式会社,ビジネスサービス,治工具等の工場消耗品及び希土類の卸売、貸ビル,1972/7/1,https://initial.inc/companies/A-02109,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-5-6 KCテラス3F,35.66511,139.727745,STARP株式会社,コンピューター - ITサービス,インフルエンサーが出演するライブ動画配信中に視聴者が商品購入...,2016/4/1,https://initial.inc/companies/A-28612,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-18-18 住友不動産六本木通ビル6F,35.66205,139.7284875,Cellid株式会社,コンピューター - ITサービス,画像認識エンジンを搭載したビジュアルブラウザ「Sticker...,2016/10/1,https://initial.inc/companies/A-29970,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7丁目4番地1号,35.665776,139.7287305,株式会社EBA,ビジネスサービス,アーティスト産業。例えばデビューする為にオーディションを開催...,2004/9/1,https://initial.inc/companies/A-01850,調査不能(HPアクセス不能などの事由)
港区,六本木７丁目,六本木,東京都港区六本木7-17-20 六本木明泉ビル403,35.662509,139.728879,ペイサー株式会社,ビジネスサービス,訪日外国人向けプロモーションサービスの提供、越境EC活性化の...,2016/3/1,https://initial.inc/companies/A-29524,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-15-17 Uni六本木ビル7F,35.662293,139.729626,ソフィアライト株式会社,ビジネスサービス,残業証拠を自動記録する「残業証明アプリ」の企画・運営、PCソ...,2009/10/8,https://initial.inc/companies/A-28744,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-11-20,35.663481,139.728708,株式会社EAGLE,コンピューター - ソフトウェア,モバイルゲーム及びゲームソフト等の企画、開発、製造、販売、輸...,2015/7/3,https://initial.inc/companies/A-28243,未評価(会社登録のみ)
港区,六本木７丁目,六本木,東京都港区六本木7-18-18 住友不動産六本木通ビル10F,35.66205,139.7284875,株式会社リヴイン,金融・保険・不動産 ICT,・首都圏に特化して不動産の賃貸仲介、賃貸物件管理、売買仲介な...,2009/10/1,https://initial.inc/companies/A-28474,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-18-18 住友不動産六本木通ビル6F/3F/2F,35.66205,139.7284875,ジープラ株式会社,コンピューター - ソフトウェア,ソーシャルゲームの企画、開発、運営,2012/6/1,https://initial.inc/companies/A-10996,調査継続
