指標名,バス停,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2020/3/10取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,路線ごとに1データあるので、単純な駅数が知りたい場合は「1÷路線数」を合計,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,路線数,1÷路線数,事業者,路線名,方面①,方面②,およそ住所
港区,六本木４丁目,六本木,東京都港区六本木４-３-２８,35.665722,139.732844,檜町公園,1,1.00 ,ちぃばす,赤坂ルート(赤坂駅前-六本木ヒルズ),六本木ヒルズ方面,,東京都港区六本木
港区,六本木３丁目,六本木,東京都港区六本木３-１５-１９,35.661894,139.735554,六本木五丁目,4,0.25 ,ちぃばす,麻布東ルート,六本木けやき坂方面,港区役所（東京都）方面,東京都港区六本木
港区,六本木３丁目,六本木,東京都港区六本木３-１５-１９,35.661894,139.735554,六本木五丁目,4,0.25 ,ちぃばす,麻布西ルート,広尾駅（東京都）方面,,東京都港区六本木
港区,六本木３丁目,六本木,東京都港区六本木３-１５-１９,35.661894,139.735554,六本木五丁目,4,0.25 ,都営バス,反９６,六本木ヒルズ方面,五反田駅方面,東京都港区六本木
港区,六本木３丁目,六本木,東京都港区六本木３-１５-１９,35.661894,139.735554,六本木五丁目,4,0.25 ,都営バス,渋８８,新橋駅前方面,渋谷駅前方面,東京都港区六本木
港区,六本木３丁目,六本木,東京都港区六本木３-４-３３,35.66509,139.735948,六本木四丁目,2,0.50 ,都営バス,都０１,新橋駅前方面,渋谷駅前方面,東京都港区六本木
港区,六本木３丁目,六本木,東京都港区六本木３-４-３３,35.66509,139.735948,六本木四丁目,2,0.50 ,都営バス,深夜０１,新橋駅北口方面,渋谷駅前方面,東京都港区六本木
港区,六本木２丁目,六本木,東京都港区六本木２-３-７,35.666331,139.738097,六本木一丁目駅前,2,0.50 ,都営バス,都０１,新橋駅前方面,渋谷駅前方面,東京都港区六本木
港区,六本木２丁目,六本木,東京都港区六本木２-３-７,35.666331,139.738097,六本木一丁目駅前,2,0.50 ,都営バス,深夜０１,新橋駅北口方面,渋谷駅前方面,東京都港区六本木
新宿区,揚場町,-,東京都新宿区揚場町２-２４,35.702761,139.743538,飯田橋(東京都),3,0.33 ,都営バス,飯６２,都営飯田橋駅前方面,小滝橋車庫前方面,東京都新宿区下宮比町
