指標名,スーパー,,,,,
出典,NAVITIME,,,,,
年次,2020/2/26取得,,,,,
URL,https://www.navitime.co.jp/,,,,,
備考,,,,,,
,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名
港区,芝浦３丁目,-,東京都港区南麻布4-11-22 南麻布T&Fビル,35.643024,139.7492055,肉のハナマサ 南麻布店
渋谷区,芝浦３丁目,-,東京都渋谷区富ヶ谷1-35-20,35.64304139,139.746867,肉のハナマサ 富ヶ谷店
港区,芝浦３丁目,-,東京都港区東麻布2-32-13,35.642952,139.7464335,日進ワールドデリカテッセン
港区,芝浦３丁目,-,東京都港区六本木1-4-5 アークヒルズサウスタワーB1F アークキッチン内,35.643708,139.749372,福島屋 六本木店
中央区,芝浦３丁目,-,東京都中央区月島2-10-2,35.645265,139.749651,文化堂月島店
中央区,芝浦３丁目,-,東京都中央区勝どき1-7-1,35.643762,139.745574,文化堂勝どき店
新宿区,芝浦４丁目,-,東京都新宿区戸山2-33-2,35.64018,139.7480085,コープみらい コープ戸山店
新宿区,芝浦４丁目,-,東京都新宿区西落合3-1-1,35.639739,139.747122,コープみらい ミニコープ西落合店
新宿区,芝浦４丁目,-,東京都新宿区西新宿1-5-1 新宿西口ハルクB2F ハルクフード,35.641125,139.74678,明治屋 新宿西口ハルク店
千代田区,芝浦４丁目,-,東京都千代田区丸の内1-9-1 大丸東京店B1F,35.637426,139.7502495,明治屋 大丸東京店
港区,芝浦４丁目,-,東京都港区六本木7-15-14 塩業会館ビル1F,35.640864,139.7443095,明治屋 六本木ストアー
中央区,芝浦４丁目,-,東京都中央区日本橋2-4-1 日本橋高島屋S.C.本館B1F,35.640036,139.7459475,明治屋ストアー 日本橋高島屋S.C.店
千代田区,芝浦４丁目,-,東京都千代田区有楽町1-10-1 有楽町ビル 1F,35.638335,139.7474865,有楽町 micro FOOD&IDEA MARKET(マイクロ フード アンド アイデア マーケット)
新宿区,芝公園１丁目,-,東京都新宿区富久町13-1,35.660466,139.7516985,コープみらい ミニコープ富久店
港区,芝公園１丁目,-,東京都港区東麻布2-29-1 コンフォリア麻布EAST1F,35.65801708,139.7515459,成城石井 東麻布店
中央区,芝大門１丁目,-,東京都中央区日本橋人形町2-7-5,35.65818,139.7542095,maruetsu(マルエツ) プチ 人形町駅前店
中央区,芝大門１丁目,-,東京都中央区晴海1-8-16 晴海トリトン 1-1,35.65818,139.7542095,maruetsu(マルエツ) プチ 晴海店
渋谷区,芝大門１丁目,-,東京都渋谷区代官山町13-1 ログロード代官山 2号棟,35.658585,139.7545695,THE MART AT FRED SEGAL(ザ・マート・アット・フレッド・シーガル)
千代田区,芝大門２丁目,-,東京都千代田区神田錦町1-1-1,35.6544,139.7528415,イオンリテール株式会社 北関東カンパニー
港区,渋谷２丁目,-,東京都港区麻布十番2-9-2,35.6590546,139.7050225,Bio c' Bon(ビオセボン) 麻布十番店
渋谷区,渋谷２丁目,-,東京都渋谷区富ヶ谷1-49-21,35.6590546,139.7050225,Bio c'Bon(ビオセボン) 富ヶ谷店
千代田区,渋谷２丁目,-,東京都千代田区大手町1-5-5 OOTEMORI B2F,35.6590546,139.7050225,EPICERIE BONHEUR(エピスリー ボヌール) OOTEMORI店
渋谷区,渋谷２丁目,-,東京都渋谷区本町2-33-2,35.6590546,139.7050225,FRESCO VengaVenga(フレスコベンガベンガ) ダイヤ店
千代田区,渋谷２丁目,-,東京都千代田区丸の内1-9-1 JR東日本東京駅構内B1F,35.65908,139.7021445,KINOKUNIYA entree(紀伊国屋アントレ) グランスタ丸の内店
新宿区,渋谷２丁目,-,東京都新宿区新宿3-38-2,35.65908,139.7021445,KINOKUNIYA entreeルミネ新宿店
渋谷区,渋谷２丁目,-,東京都渋谷区恵比寿南1丁目5-5,35.65908,139.7021445,KINOKUNIYA entree恵比寿駅店
中央区,渋谷２丁目,-,東京都中央区湊2-15-14 パークシティ中央湊ザタワー 1F,35.660268,139.7086965,デリド湊店
港区,渋谷４丁目,-,東京都港区白金台4-7-8 KDXレジデンス白金 I,35.659107,139.7096685,maruetsu(マルエツ) プチ 白金台店
中央区,渋谷４丁目,-,東京都中央区八丁堀2-14-4 ヤブ原ビル,35.659107,139.7096685,maruetsu(マルエツ) プチ 八丁堀店
渋谷区,初台１丁目,-,東京都渋谷区広尾4-1-11,35.678484,139.686759,ナショナル麻布 広尾ガーデンヒルズ
新宿区,勝どき２丁目,-,東京都新宿区百人町2-11-23 Shinokuboコミュニケーションビル,35.658099,139.7785095,まいばすけっと 新大久保駅北店
新宿区,新橋２丁目,虎ノ門広域,東京都新宿区戸山2丁目33-2,35.666694,139.755411,コープみらい 戸山店
新宿区,新橋５丁目,虎ノ門広域,東京都新宿区西落合3丁目1-1,35.662914,139.754763,コープみらい 西落合店
中央区,新宿４丁目,-,東京都中央区勝どき6-3-2,35.688555,139.7025855,maruetsu(マルエツ) 勝どき六丁目店
中央区,新宿４丁目,-,東京都中央区佃2-2-8 リバーシティ21 G棟,35.688555,139.7025855,maruetsu(マルエツ) 佃店
港区,新川１丁目,-,東京都港区赤坂9-7-3 東京ミッドタウンガレリアB1,35.678313,139.7816145,Precce Premium(プレッセ プレミアム)東京ミッドタウン店
渋谷区,新川１丁目,-,東京都渋谷区渋谷3-21-3 SHIBUYA STREAM 2F,35.678313,139.7816145,Precce Shibuya DELIMARKET(プレッセ シブヤ デリマーケット) 渋谷ストリーム店
中央区,新川１丁目,-,東京都中央区入船3-2-6 NTT築地ビル,35.675127,139.7845395,まいばすけっと 新富町駅前店
港区,神楽坂１丁目,-,東京都港区赤坂2-15-18-1F,35.701029,139.74264,ファミリーデパート 吉池 食品専門店
新宿区,神宮前２丁目,-,東京都新宿区揚場町2-20 島田ビル,35.674137,139.7105505,maruetsu(マルエツ) プチ 飯田橋店
渋谷区,神宮前２丁目,-,東京都渋谷区富ヶ谷1-18-8,35.674137,139.7105505,maruetsu(マルエツ) プチ 富ヶ谷一丁目店
港区,神泉町,-,東京都港区麻布十番3-9-5,35.655003,139.6927755,ナニワヤ
港区,神田錦町３丁目,-,東京都港区新橋5-15-5 交通ビル,35.691786,139.761657,まいばすけっと 新橋5丁目店
新宿区,神田淡路町２丁目,-,東京都新宿区大久保3-10-1,35.697258,139.768497,maruetsu(マルエツ) オレンジコート店
港区,神田淡路町２丁目,-,東京都港区台場1-5-3,35.697258,139.768497,maruetsu(マルエツ) お台場店
中央区,西原１丁目,-,東京都中央区築地7-6-5,35.676873,139.682403,ニューみ乃り屋
新宿区,西新橋３丁目,虎ノ門,東京都新宿区富久町13-1,35.661348,139.751073,コープみらい 富久店
渋谷区,西新宿１丁目,-,東京都渋谷区広尾5-6-6,35.69050019,139.6972522,MEIDI-YA STORE広尾ストアー
中央区,西新宿１丁目,-,東京都中央区日本橋2-4-1,35.69050019,139.6972522,MEIDI-YA STORE日本橋ストアー
港区,西新宿１丁目,-,東京都港区赤坂2-15-18-B1F,35.689797,139.696677,ファミリーデパート 吉池 総合食品フロア
港区,西新宿１丁目,-,東京都港区浜松町1-27-1,35.68977,139.696155,フォトエコー
中央区,西新宿１丁目,-,東京都中央区月島1-27-9,35.691705,139.6955205,フジマート 月島店
新宿区,西新宿２丁目,-,東京都新宿区下落合4-23-13 プログレス目白101号室,35.691129,139.692735,まいばすけっと 下落合4丁目店
港区,西新宿３丁目,-,東京都港区海岸3-2-15 東京ベイテラス,35.685918,139.6926585,まいばすけっと 海岸3丁目店
千代田区,西新宿６丁目,-,東京都千代田区九段南4-2-11,35.693271,139.691763,mini(ミニ)ピアゴ 九段南4丁目店
渋谷区,西新宿６丁目,-,東京都渋谷区本町3-52-6,35.693271,139.691763,mini(ミニ)ピアゴ 渋谷本町3丁目店
中央区,西新宿６丁目,-,東京都中央区日本橋茅場町3-4-2 KDX茅場町ビル内,35.693883,139.6931445,まいばすけっと 茅場町3丁目店
千代田区,西新宿６丁目,-,東京都千代田区岩本町2-12-5 早川トナカイビル,35.69373,139.6906875,まいばすけっと 岩本町2丁目店
千代田区,西新宿７丁目,-,東京都千代田区外神田4-14-1 秋葉原UDX1F,35.696844,139.6976715,FUKUSHIMAYA TASTING MARKET@AKIHABARA(福島屋 秋葉原店)
渋谷区,西新宿７丁目,-,東京都渋谷区渋谷2-24-12 渋谷スクランブルスクエア B1,35.696844,139.6976715,Gourmand Market KINOKUNIYA(ゲルマンマーケットキノクニヤ) 渋谷スクランブルスクエア店
港区,西新宿７丁目,-,東京都港区高輪3-26-27 ルミネ ザ・キッチン品川店 1F,35.696844,139.6976715,KINOKUNIYA entre ルミネ ザ・キッチン品川店
千代田区,西新宿７丁目,-,東京都千代田区岩本町3-5-5 常和岩本町ビル,35.694306,139.698684,まいばすけっと 岩本町3丁目店
千代田区,西新宿７丁目,-,東京都千代田区神田東松下町25 アルファグランデ千桜タワー,35.69391,139.6952505,まいばすけっと 岩本町駅南店
渋谷区,西早稲田１丁目,-,東京都渋谷区本町5-39-2,35.709345,139.719438,mini(ミニ)ピアゴ 渋谷本町5丁目店
渋谷区,西早稲田１丁目,-,東京都渋谷区千駄ヶ谷1-5-1,35.709345,139.719438,mini(ミニ)ピアゴ 千駄ヶ谷1丁目店
新宿区,西麻布４丁目,-,東京都新宿区富久町17-2,35.659476,139.7232675,イトーヨーカドー 食品館新宿富久店
新宿区,赤坂２丁目,赤坂,東京都新宿区中井2-24-13,35.671617,139.742289,コープみらい 落合店
千代田区,赤坂９丁目,六本木,東京都千代田区麹町3-1-8,35.667945,139.7290725,ココスナカムラ麹町店
港区,千駄ケ谷１丁目,-,東京都港区芝浦3-4-1 グランパーク B1,35.678907,139.7102175,ピーコックストア グランパーク田町店
中央区,千駄ケ谷２丁目,-,東京都中央区日本橋浜町3-3-1,35.676072,139.712517,ピーコックストア トルナーレ日本橋浜町店
港区,千駄ケ谷５丁目,-,東京都港区港南4-6-7,35.686494,139.7028375,maruetsu(マルエツ) 港南ワールドシティ店
新宿区,千駄ケ谷５丁目,-,東京都新宿区市谷八幡町2-1,35.686494,139.7028375,maruetsu(マルエツ) 市ヶ谷見附店
渋谷区,代々木１丁目,-,東京都渋谷区恵比寿西1-6-1,35.681985,139.69791,ピーコックストア 恵比寿店
渋谷区,代々木５丁目,-,東京都渋谷区恵比寿南2-3-3-101,35.669979,139.6884555,ピーコックストア 恵比寿南店
新宿区,大久保２丁目,-,東京都新宿区細工町3-15 石黒ビル,35.703963,139.708845,まいばすけっと 牛込神楽坂駅西店
新宿区,大久保２丁目,-,東京都新宿区市ヶ谷甲良町2-17,35.704161,139.708251,まいばすけっと 牛込柳町駅東店
渋谷区,大手町２丁目,大丸有,東京都渋谷区西原3-8-5 acorde代々木上原1F,35.686881,139.7669355,Odakyu OX(小田急OX) 代々木上原店
渋谷区,大手町２丁目,大丸有,東京都渋谷区西原3丁目8-5,35.686881,139.7669355,OdakyuOX代々木上原店
新宿区,大手町２丁目,大丸有,東京都新宿区新宿5-11-22 中島ビル,35.685198,139.767183,まいばすけっと 新宿5丁目
渋谷区,鍛冶町２丁目,-,東京都渋谷区初台2-5-7,35.691471,139.7707785,OK(オーケー) 初台店
渋谷区,鍛冶町２丁目,-,東京都渋谷区千駄ヶ谷3-33-2,35.691471,139.7707785,OK(オーケー) 千駄ヶ谷店
港区,鍛冶町２丁目,-,東京都港区台場2-2-1,35.691219,139.7722815,オーケー お台場店
新宿区,鍛冶町２丁目,-,東京都新宿区原町3-30 タカビル,35.691534,139.7714805,まいばすけっと 新宿原町3丁目店
新宿区,築地５丁目,-,東京都新宿区天神町14 神楽坂藤井ビル,35.662869,139.764582,まいばすけっと 神楽坂駅西店
渋谷区,築地６丁目,-,東京都渋谷区神宮前2-19-13 プロミネントビル原宿,35.663877,139.773888,まいばすけっと 神宮前2丁目商店街店
新宿区,道玄坂１丁目,-,東京都新宿区高田馬場1-28-7,35.65743122,139.6983794,ピーコックストア 高田馬場店
港区,道玄坂１丁目,-,東京都港区高輪1-5-1,35.65743122,139.6983794,ピーコックストア 高輪魚籃坂店
港区,道玄坂１丁目,-,東京都港区三田4-9-7 コンフォリア三田伊皿子坂 1F,35.658693,139.700907,ピーコックストア 三田伊皿子店
新宿区,南青山５丁目,-,東京都新宿区早稲田町74,35.661933,139.713462,イトーヨーカドー 食品館早稲田店
渋谷区,日本橋２丁目,日八京,東京都渋谷区円山町16-4,35.680662,139.7756385,まいばすけっと 神泉駅前店
千代田区,日本橋蛎殻町１丁目,-,東京都千代田区内神田1-18-14 ヨシザワビル,35.683416,139.7827755,まいばすけっと 神田駅西店
千代田区,日本橋茅場町１丁目,-,東京都千代田区神田多町2-1 神田福山ビル,35.680797,139.7803725,まいばすけっと 神田駅北口店
新宿区,日本橋人形町３丁目,-,東京都新宿区高田馬場3-12-10,35.686008,139.781205,オオゼキ 高田馬場店
千代田区,日本橋浜町２丁目,-,東京都千代田区神田佐久間町3-21-5 東神田ビル,35.687601,139.7862855,まいばすけっと 神田佐久間町店
新宿区,白金１丁目,-,東京都新宿区西新宿1-5-1 新宿西口ハルクB2F ハルクフード,35.643897,139.7341755,こだわりや 新宿西口ハルク店
新宿区,幡ケ谷２丁目,-,東京都新宿区北新宿4-8-16,35.679735,139.6771155,いなげや 新宿小滝橋店
千代田区,八重洲２丁目,日八京,東京都千代田区神田神保町2-40-5 東久ビル,35.679906,139.769433,まいばすけっと 神田神保町店
中央区,八丁堀１丁目,-,東京都中央区日本橋蛎殻町2-10-11 秀和蛎殻町ビル,35.677755,139.7759355,まいばすけっと 水天宮店
中央区,八丁堀２丁目,-,東京都中央区日本橋中洲7-1 月村マンションNo.33,35.676396,139.778235,まいばすけっと 清洲橋西店
千代田区,飯田橋３丁目,-,東京都千代田区神田淡路町2-105 ワテラスアネックス B1F,35.700363,139.750533,Olympic(オリンピック) 淡路町店
新宿区,飯田橋３丁目,-,東京都新宿区北新宿3-9-4,35.700363,139.750533,Olympic(オリンピック) 北新宿店
新宿区,飯田橋３丁目,-,東京都新宿区三栄町6-12 アークランド四ツ谷ビル,35.701623,139.7466405,まいばすけっと 新宿三栄町店
新宿区,飯田橋４丁目,-,東京都新宿区住吉町3-17 グランリドー,35.702082,139.7450475,まいばすけっと 新宿住吉町店
千代田区,百人町４丁目,-,東京都千代田区九段南3-3-4 ニューライフビル,35.709336,139.694256,まいばすけっと 九段南3丁目店
渋谷区,浜松町１丁目,-,東京都渋谷区恵比寿南1-6-1 アトレ恵比寿西館 B1F,35.656812,139.7571615,ザ・ガーデン自由が丘 アトレ恵比寿店
新宿区,浜松町２丁目,-,東京都新宿区西新宿3-13-11,35.655624,139.7555775,maruetsu(マルエツ) プチ 西新宿三丁目店
新宿区,浜松町２丁目,-,東京都新宿区西新宿6-15-1,35.655624,139.7555775,maruetsu(マルエツ) プチ 西新宿六丁目店
港区,浜松町２丁目,-,東京都港区赤坂2-14-27,35.655624,139.7555775,maruetsu(マルエツ) プチ 赤坂店
中央区,浜松町２丁目,-,東京都中央区東日本橋3-11-4,35.655624,139.7555775,maruetsu(マルエツ) プチ 東日本橋三丁目店
渋谷区,浜松町２丁目,-,東京都渋谷区笹塚2-12-11,35.655606,139.7561535,サミットストア 笹塚店
新宿区,平河町２丁目,-,東京都新宿区下落合4丁目21-18,35.680419,139.740165,オーケー下落合店
新宿区,豊海町,-,東京都新宿区西五軒町8-8 サンセール神楽坂,35.653527,139.7697345,まいばすけっと 西五軒町店
港区,北新宿１丁目,-,東京都港区三田2-11-15 三田川崎ビル,35.701569,139.6907865,まいばすけっと 三田2丁目店
港区,北青山３丁目,-,東京都港区三田5-11-12,35.664534,139.7115945,サミットストア 三田店
新宿区,本町１丁目,-,東京都新宿区新小川町4-11,35.678475,139.679703,いなげや 飯田橋店
港区,本町３丁目,-,東京都港区芝浦4-22-2 芝浦アイランド,35.687727,139.683033,ピーコックストア 芝浦アイランド店
新宿区,明石町,-,東京都新宿区新宿7-26-38,35.667,139.7786445,Santoku(サントク) 新宿本店
渋谷区,明石町,-,東京都渋谷区幡ヶ谷2-3-10,35.667,139.7786445,Santoku(サントク) 幡ヶ谷店
渋谷区,六本木１丁目,虎ノ門,東京都渋谷区本町4-22-10,35.664597,139.7394315,サミットストア 渋谷本町店
渋谷区,六本木１丁目,虎ノ門,東京都渋谷区幡ヶ谷2-35-1,35.663463,139.7409615,サンディ 幡ヶ谷店
千代田区,六本木３丁目,六本木,東京都千代田区五番町10-2 五番町センタービル1階,35.66187,139.736862,スーパーマーケット成城石井 市ヶ谷店
