指標名,スーパー,,,,,
出典,NAVITIME,,,,,
年次,2020/2/26取得,,,,,
URL,https://www.navitime.co.jp/,,,,,
備考,,,,,,
,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名
渋谷区,岩本町２丁目,-,東京都渋谷区本町2-4-12 アルファサイト,35.694189,139.7755035,まいばすけっと 渋谷本町2丁目店
港区,京橋２丁目,日八京,東京都港区北青山3-6-12 地下鉄表参道駅,35.677341,139.769505,OMO KINOKUNIYA エチカ表参道店
渋谷区,京橋２丁目,日八京,東京都渋谷区広尾5-17-10 East Westビル1階,35.677341,139.769505,Picard(ピカール) 広尾店
新宿区,銀座１丁目,-,東京都新宿区百人町2-26-9 三浦ビル,35.674065,139.770522,まいばすけっと 新宿百人町2丁目店
新宿区,銀座４丁目,-,東京都新宿区百人町3-21-11 グリーンコープ,35.670258,139.768128,まいばすけっと 新宿百人町3丁目店
中央区,銀座５丁目,-,東京都中央区新川2-1-5 THE WALL,35.668296,139.7667645,まいばすけっと 新川2丁目店
新宿区,銀座７丁目,-,東京都新宿区百人町1-10-7 一番街ビル,35.666595,139.76523,まいばすけっと 新大久保駅南店
渋谷区,九段南１丁目,-,東京都渋谷区本町6-18-6 レジデンス初台,35.693973,139.7535165,まいばすけっと 渋谷本町6丁目店
渋谷区,九段北１丁目,-,東京都渋谷区本町1-7-16 初台ハイツ,35.69652,139.7520855,まいばすけっと 初台駅西店
渋谷区,恵比寿３丁目,-,東京都渋谷区幡ヶ谷1-3-1,35.64387,139.720653,ダイエー幡ケ谷店
港区,恵比寿南３丁目,-,東京都港区麻布十番2-5,35.645913,139.706406,ダイエー麻布十番店
港区,元赤坂１丁目,赤坂,東京都港区南麻布2-11-10 OJビル内,35.677791,139.7350125,まいばすけっと 南麻布古川橋店
中央区,元赤坂１丁目,赤坂,東京都中央区日本橋横山町1-3 OKK日本橋ビル,35.676945,139.734126,まいばすけっと 日本橋横山町店
中央区,元麻布２丁目,-,東京都中央区日本橋蛎殻町1-37-12 パークアクシス日本橋ステージ,35.654454,139.7263005,まいばすけっと 日本橋蛎殻町店
新宿区,虎ノ門１丁目,虎ノ門,東京都新宿区高田馬場1-1-15 オリンピック早稲田ビル,35.669241,139.7483685,オリンピック早稲田店
中央区,虎ノ門１丁目,虎ノ門,東京都中央区日本橋小網町15-9 森友第一ビル,35.66844,139.7505825,まいばすけっと 日本橋小網町店
中央区,虎ノ門１丁目,虎ノ門,東京都中央区日本橋箱崎町31-4 箱崎314ビル,35.669187,139.750029,まいばすけっと 日本橋箱崎町店
中央区,虎ノ門１丁目,虎ノ門,東京都中央区日本橋浜町2-35-4 日本橋パークビル,35.670357,139.7502045,まいばすけっと 日本橋浜町2丁目店
中央区,虎ノ門１丁目,虎ノ門,東京都中央区日本橋富沢町12-8 昭和ビル,35.6688,139.7493495,まいばすけっと 日本橋富沢町店
中央区,虎ノ門１丁目,虎ノ門,東京都中央区日本橋堀留町1-5-12 ヤシマ日本橋ビル,35.668431,139.7489715,まいばすけっと 日本橋堀留町1丁目店
中央区,虎ノ門１丁目,虎ノ門,東京都中央区日本橋本町4-15-9 曽田ビル,35.670267,139.7487285,まいばすけっと 日本橋本町4丁目店
渋谷区,虎ノ門１丁目,虎ノ門,東京都渋谷区幡ヶ谷2-21-1 シャトレー幡ヶ谷第一 101・102号室,35.669952,139.748841,まいばすけっと 幡ヶ谷2丁目店
新宿区,虎ノ門１丁目,虎ノ門,東京都新宿区下宮比町3-2 飯田橋スクエアビル,35.666892,139.7493765,まいばすけっと 飯田橋店
新宿区,虎ノ門１丁目,虎ノ門,東京都新宿区百人町2-6-7 ライズ高踏園,35.669322,139.751064,まいばすけっと 百人町文化通り店
千代田区,虎ノ門２丁目,虎ノ門,東京都千代田区一番町6,35.669214,139.7464335,maruetsu(マルエツ) プチ 一番町店
港区,虎ノ門２丁目,虎ノ門,東京都港区港南4-2-5,35.669214,139.7464335,maruetsu(マルエツ) プチ 港南シティタワー店
新宿区,虎ノ門２丁目,虎ノ門,東京都新宿区箪笥町11-1,35.66952,139.7456865,キッチンコート 神楽坂店
港区,虎ノ門２丁目,虎ノ門,東京都港区浜松町1-2-17 ストークベル浜松町,35.667036,139.7454525,まいばすけっと 浜松町1丁目店
港区,虎ノ門２丁目,虎ノ門,東京都港区浜松町2-13-14 サンワード浜松町,35.667351,139.745241,まいばすけっと 浜松町駅南店
新宿区,虎ノ門２丁目,虎ノ門,東京都新宿区北新宿1-1-10 岩田ビル,35.667882,139.746699,まいばすけっと 北新宿1丁目店
新宿区,虎ノ門３丁目,虎ノ門,東京都新宿区北新宿1-20-13 アーバネックス西新宿,35.665101,139.7470005,まいばすけっと 北新宿税務署通り店
新宿区,虎ノ門３丁目,虎ノ門,東京都新宿区西早稲田3-6-4 さくらアヴェニュー内,35.664048,139.746447,まいばすけっと 面影橋駅東店
新宿区,虎ノ門３丁目,虎ノ門,東京都新宿区下落合3-19-2 フイユ・ドール目白内,35.666442,139.7461905,まいばすけっと 目白駅西店
港区,虎ノ門４丁目,虎ノ門,東京都港区六本木1-7-10 パークコート六本木ヒルトップ,35.664273,139.7453445,まいばすけっと 六本木1丁目店
新宿区,虎ノ門４丁目,虎ノ門,東京都新宿区中落合1-1-25,35.66475,139.7431125,マルエツ プチ 下落合駅前店
港区,虎ノ門４丁目,虎ノ門,東京都港区三田2-14-5,35.666127,139.743765,マルエツ プチ 三田二丁目店
中央区,虎ノ門４丁目,虎ノ門,東京都中央区新川1-28-44,35.664408,139.7441475,マルエツ プチ 新川一丁目店
新宿区,虎ノ門４丁目,虎ノ門,東京都新宿区中落合1-6-13,35.663508,139.7445525,マルエツ プチ 中落合一丁目店
中央区,虎ノ門４丁目,虎ノ門,東京都中央区日本橋本町2-5-1,35.663931,139.7442555,マルエツ プチ 日本橋本町店
新宿区,虎ノ門５丁目,虎ノ門,東京都新宿区高田馬場3-23-1,35.663652,139.7459835,maruetsu(マルエツ) プチ 高田馬場店
港区,虎ノ門５丁目,虎ノ門,東京都港区海岸1-1-1,35.663652,139.7459835,maruetsu(マルエツ) プチ 汐留シオサイト店
港区,虎ノ門５丁目,虎ノ門,東京都港区浜松町1-3-1 浜離宮 ザ タワー,35.662815,139.745313,マルエツ プチ浜松町一丁目店
新宿区,虎ノ門５丁目,虎ノ門,東京都新宿区水道町4-13,35.66169,139.7442555,マルエツ 江戸川橋店
