指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/administration/statistics_and_research/list_of_public_school/school_lists2019.html,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,
年次,2020/3/12取得,,,,,,,
URL,複数あり、右に記載,,,,,,,
備考,国立幼稚園～高校は都心五区に存在しない,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,公私,カテゴリ
渋谷区,上原３丁目,-,東京都渋谷区上原3-28-18,35.664606,139.6748745,ドルトンスクール東京,私立,各種学校
渋谷区,上原３丁目,-,東京都渋谷区上原3-41-2,35.666928,139.6776825,上原,公立,中学校
新宿区,上落合２丁目,-,東京都新宿区上落合2-10-23,35.712873,139.6888065,落合第二,公立,幼稚園
新宿区,上落合２丁目,-,東京都新宿区上落合2-10-23,35.712873,139.6888065,落合第二,公立,小学校
新宿区,上落合２丁目,-,東京都新宿区上落合2-25-19,35.711847,139.6871685,伸びる会幼稚園,私立,幼稚園
新宿区,上落合３丁目,-,東京都新宿区上落合3-1-6,35.714637,139.685607,落合第五,公立,小学校
新宿区,新宿１丁目,-,東京都新宿区新宿1-11-11,35.688654,139.713372,東京外語日本語学校,私立,各種学校
新宿区,新宿１丁目,-,東京都新宿区新宿1-11-7,35.688591,139.7131785,東京国際福祉専門学校,私立,専修学校
新宿区,新宿１丁目,-,東京都新宿区新宿1-22-1,35.68959,139.713615,花園,公立,幼稚園
新宿区,新宿１丁目,-,東京都新宿区新宿1-22-1,35.68959,139.713615,花園,公立,小学校
新宿区,新宿１丁目,-,東京都新宿区新宿1-29-12,35.69058,139.7130885,ＫＣＰ地球市民日本語学校,私立,各種学校
新宿区,新宿２丁目,-,東京都新宿区新宿2-15-2,35.690436,139.7096415,岩本和裁専門学校,私立,専修学校
新宿区,新宿６丁目,-,東京都新宿区新宿6-14-2,35.695467,139.710006,天神,公立,小学校
新宿区,新宿６丁目,-,東京都新宿区新宿6-15-22,35.6958,139.7108565,新宿,公立,中学校
中央区,新川１丁目,-,東京都中央区新川1-10-18,35.677332,139.782186,専門学校東京医療学院,私立,専修学校
中央区,新川２丁目,-,東京都中央区新川2-13-4,35.67609,139.781844,明正,公立,幼稚園
中央区,新川２丁目,-,東京都中央区新川2-13-4,35.67609,139.781844,明正,公立,小学校
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1-24-6,35.673399,139.705443,原宿外苑,公立,中学校
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1-5-3,35.671662,139.706541,東郷幼稚園,私立,幼稚園
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-1-8,35.672841,139.7154015,青山,公立,高等学校
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前２－２－３　,35.673804,139.7147805,國學院高等学校,私立,高等学校（全日制）
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-18-4,35.671338,139.710222,たかの友梨美容専門学校,私立,専修学校
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-26-1,35.670951,139.7087415,べルエポック美容専門学校,私立,専修学校
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-42-1,35.670789,139.7139795,原宿幼稚園,私立,幼稚園
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-20-12,35.667963,139.708116,神宮前,公立,小学校
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-29-2,35.664426,139.703355,専門学校ヒコ・みづのジュエリーカレッジ,私立,専修学校
渋谷区,神山町,-,東京都渋谷区神山町21-11,35.662158,139.6888065,松村幼稚園,私立,幼稚園
渋谷区,神泉町,-,東京都渋谷区神泉町2-2,35.658036,139.6934775,国際文化理容美容専門学校渋谷校,私立,専修学校
千代田区,神田錦町３丁目,-,東京都千代田区神田錦町３－１　,35.692578,139.7617875,錦城学園高等学校,私立,高等学校（全日制）
千代田区,神田錦町３丁目,-,東京都千代田区神田錦町３－１　,35.692578,139.7617875,正則学園高等学校,私立,高等学校（全日制）
千代田区,神田司町,-,東京都千代田区神田司町2-16,35.693037,139.768506,千代田,公立,幼稚園
千代田区,神田司町,-,東京都千代田区神田司町2-16,35.693037,139.768506,千代田,公立,小学校
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-5-8,35.699139,139.76118,駿台外語アンドビジネス専門学校,私立,専修学校
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-7,35.699265,139.760442,駿台予備学校アカデミー校,私立,専修学校
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-8-13,35.698311,139.7634615,日本大学歯学部附属歯科衛生専門学校,私立,専修学校
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-8-13,35.698311,139.7634615,日本大学歯学部附属歯科技工専門学校,私立,専修学校
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-11,35.70048,139.758696,専門学校アテネ・フランセ,私立,専修学校
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-11,35.70048,139.758696,東京デザイナー学院,私立,専修学校
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-3,35.701038,139.7609595,御茶の水美術学院,私立,各種学校
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-3,35.701038,139.7609595,御茶の水美術専門学校,私立,専修学校
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-5-17,35.700291,139.7604375,駿台予備学校,私立,専修学校
千代田区,神田小川町３丁目,-,東京都千代田区神田小川町3-26-1,35.696151,139.762503,東京テクノ･ホルティ園芸専門学校,私立,専修学校
千代田区,神田小川町３丁目,-,東京都千代田区神田小川町3-28,35.69562,139.763169,駿台法律経済アンドビジネス専門学校,私立,専修学校
千代田区,神田小川町３丁目,-,東京都千代田区神田小川町3-28-10,35.695314,139.7632815,専門学校お茶の水スクール･オブ･ビジネス,私立,専修学校
千代田区,神田小川町３丁目,-,東京都千代田区神田小川町3-28-12,35.695593,139.7631735,駿台電子情報アンドビジネス専門学校,私立,専修学校
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町1-50,35.698491,139.758282,東京商科・法科学院専門学校,私立,専修学校
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町1-52-4,35.698077,139.757337,日本ウェルネス保育専門学校,私立,専修学校
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町2-10-33,35.697015,139.7557845,東京情報クリエイター工学院専門学校,私立,専修学校
千代田区,神田神保町２丁目,-,東京都千代田区神田神保町２－４２,35.697978,139.7559015,大原学園高等学校,私立,高等学校（通信制）
千代田区,神田多町,-,東京都千代田区神田多町2-11,35.694603,139.76874,公益社団法人東京都歯科医師会附属歯科衛生士専門学校,私立,専修学校
千代田区,神田和泉町,-,東京都千代田区神田和泉町1,35.699157,139.776534,いずみこども園,公立,幼稚園
千代田区,神田和泉町,-,東京都千代田区神田和泉町1,35.699157,139.776534,和泉,公立,小学校
渋谷区,神南１丁目,-,東京都渋谷区神南1-4-17,35.665317,139.7000475,専門学校桑沢デザイン研究所,私立,専修学校
新宿区,須賀町,-,東京都新宿区須賀町３,35.686782,139.722003,マリールイズ美容専門学校,私立,専修学校
新宿区,水道町,-,東京都新宿区水道町1-28,35.707149,139.7364885,江戸川,公立,幼稚園
新宿区,水道町,-,東京都新宿区水道町1-28,35.707149,139.7364885,江戸川,公立,小学校
中央区,晴海１丁目,-,東京都中央区晴海1-4-1,35.6589,139.7858265,晴海,公立,幼稚園
中央区,晴海１丁目,-,東京都中央区晴海1-4-1,35.6589,139.7858265,月島第三,公立,小学校
中央区,晴海１丁目,-,東京都中央区晴海1-5-3,35.659647,139.784877,晴海,公立,中学校
渋谷区,西原１丁目,-,東京都渋谷区西原1-14-17,35.675424,139.679694,福田幼稚園,私立,幼稚園
渋谷区,西原１丁目,-,東京都渋谷区西原1-19-3,35.675559,139.6782585,城西幼稚園,私立,幼稚園
渋谷区,西原１丁目,-,東京都渋谷区西原1-46-1,35.674389,139.6832715,代々木,公立,中学校
渋谷区,西原２丁目,-,東京都渋谷区西原2-22-1,35.674182,139.679001,西原,公立,小学校
港区,西新橋３丁目,虎ノ門,東京都港区西新橋3-24-10,35.661384,139.7509425,音響芸術専門学校,私立,専修学校
港区,西新橋３丁目,虎ノ門,東京都港区西新橋3-25-30,35.661591,139.7504205,御成門,公立,中学校
港区,西新橋３丁目,虎ノ門,東京都港区西新橋3-25-8,35.662122,139.750227,慈恵看護専門学校,私立,専修学校
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-21-1,35.688348,139.69602,キルビー学院,私立,各種学校
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-7-3,35.691597,139.696992,首都医校,私立,専修学校
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-7-3,35.691597,139.696992,東京モード学園,私立,専修学校
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-7-3,35.691597,139.696992,ＨＡＬ東京,私立,専修学校
新宿区,西新宿４丁目,-,東京都新宿区西新宿4-35-5,35.686161,139.687911,西新宿,公立,小学校
新宿区,西新宿４丁目,-,東京都新宿区西新宿4-5-2,35.689356,139.683771,東放学園高等専修学校,私立,専修学校
新宿区,西新宿５丁目,-,東京都新宿区西新宿5-25-8,35.690229,139.6847655,東放学園映画専門学校,私立,専修学校
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-11-1,35.695062,139.6898145,東京栄養専門学校,私立,専修学校
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-5-3,35.693109,139.6942425,新宿調理師専門学校 ,私立,専修学校
新宿区,西新宿７丁目,-,東京都新宿区西新宿7-11-11,35.694315,139.6976805,東京調理製菓専門学校,私立,専修学校
新宿区,西新宿７丁目,-,東京都新宿区西新宿7-12-1,35.69355,139.69683,専修学校河合塾新宿校,私立,専修学校
新宿区,西新宿７丁目,-,東京都新宿区西新宿7-18-12,35.696025,139.69674,東京・iスマートビジネス専門学校,私立,専修学校
新宿区,西新宿７丁目,-,東京都新宿区西新宿7-3-8,35.69616,139.699044,東京外語専門学校,私立,専修学校
新宿区,西新宿８丁目,-,東京都新宿区西新宿8-2-44,35.696079,139.6949985,西新宿,公立,中学校
千代田区,西神田１丁目,-,東京都千代田区三崎町１－４－１６,35.69979538,139.7560926,東洋高等学校,私立,高等学校（全日制）
千代田区,西神田１丁目,-,東京都千代田区西神田1-2-10,35.699139,139.7568285,大原簿記学校     ,私立,専修学校
千代田区,西神田１丁目,-,東京都千代田区西神田1-2-15,35.698914,139.7573055,東京ホテル・トラベル学院専門学校,私立,専修学校
千代田区,西神田１丁目,-,東京都千代田区西神田1-3-1,35.699346,139.7568465,東京アニメーター学院専門学校,私立,専修学校
千代田区,西神田１丁目,-,東京都千代田区西神田1-3-4,35.699319,139.756608,東京理容専修学校,私立,専修学校
千代田区,西神田２丁目,-,東京都千代田区西神田2-4-10,35.697816,139.7548215,大原医療秘書福祉保育専門学校,私立,専修学校
千代田区,西神田２丁目,-,東京都千代田区西神田2-5-4,35.6985,139.7541735,大原法律専門学校,私立,専修学校
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2-1-27,35.707086,139.7166075,専門学校早稲田国際ビジネスカレッジ,私立,専修学校
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2-18-12,35.710542,139.710654,東京YMCA国際ホテル専門学校,私立,専修学校
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2-20-7,35.709021,139.7094885,早稲田美容専門学校,私立,専修学校
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2-4-6,35.708463,139.7162835,早稲田医学院歯科衛生士専門学校 ,私立,専修学校
新宿区,西早稲田３丁目,-,東京都新宿区西早稲田3-10-12,35.710956,139.714731,戸塚第一,公立,幼稚園
新宿区,西早稲田３丁目,-,東京都新宿区西早稲田3-10-12,35.710956,139.714731,戸塚第一,公立,小学校
港区,西麻布３丁目,-,東京都港区西麻布3-11-16,35.656461,139.72491,笄,公立,小学校
港区,西麻布３丁目,-,東京都港区西麻布3-21-6,35.659278,139.7252745,麻布みこころ幼稚園,私立,幼稚園
港区,西麻布４丁目,-,東京都港区西麻布4-13-25,35.657793,139.7222955,若葉会幼稚園,私立,幼稚園
港区,西麻布４丁目,-,東京都港区西麻布4-14-8,35.656812,139.7202525,高陵,公立,中学校
新宿区,西落合１丁目,-,東京都新宿区西落合1-12-20,35.72082,139.6825605,落合第三,公立,幼稚園
新宿区,西落合１丁目,-,東京都新宿区西落合1-12-20,35.72082,139.6825605,落合第三,公立,小学校
新宿区,西落合１丁目,-,東京都新宿区西落合1-6-5,35.72145,139.684716,落合第二,公立,中学校
新宿区,西落合４丁目,-,東京都新宿区西落合4-11-21,35.727363,139.6785195,落合第六,公立,幼稚園
新宿区,西落合４丁目,-,東京都新宿区西落合4-11-21,35.727363,139.6785195,落合第六,公立,小学校
新宿区,西落合４丁目,-,東京都新宿区西落合4-8-18,35.727939,139.679352,豊多摩幼稚園,私立,幼稚園
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-14-3,35.667099,139.742001,霊南坂幼稚園,私立,幼稚園
港区,赤坂２丁目,赤坂,東京都港区赤坂2-17-47,35.669475,139.738338,一般財団法人霞山会　東亜学院,私立,各種学校
港区,赤坂４丁目,赤坂,東京都港区赤坂４－１０－３６　,35.674263,139.732506,山脇学園高等学校,私立,高等学校（全日制）
港区,赤坂４丁目,赤坂,東京都港区赤坂４－１０－３６　,35.674263,139.732506,山脇学園中学校,私立,中学校
港区,赤坂７丁目,赤坂,東京都港区赤坂7-2-29,35.673831,139.7301525,タカラ美容専門学校,私立,専修学校
港区,赤坂８丁目,赤坂,東京都港区赤坂8-13-29,35.669124,139.730922,赤坂,公立,小学校
港区,赤坂９丁目,六本木,東京都港区赤坂9-7-8,35.666127,139.731246,中之町,公立,幼稚園
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ケ谷1-1-24,35.677611,139.709412,鳩の森八幡幼稚園,私立,幼稚園
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ヶ谷1-8-17,35.678349,139.7110905,専門学校東京クールジャパン,私立,専修学校
渋谷区,千駄ケ谷２丁目,-,東京都渋谷区千駄ヶ谷2-4-1,35.675316,139.7075355,千駄谷,公立,幼稚園
渋谷区,千駄ケ谷２丁目,-,東京都渋谷区千駄ヶ谷2-4-1,35.675316,139.7075355,千駄谷,公立,小学校
渋谷区,千駄ケ谷３丁目,-,東京都渋谷区千駄ヶ谷3-10-6,35.67834,139.7045835,山野日本語学校,私立,各種学校
渋谷区,千駄ケ谷３丁目,-,東京都渋谷区千駄ヶ谷3-62-3,35.673147,139.703949,専修学校代々木ゼミナール造形学校,私立,専修学校
渋谷区,千駄ケ谷３丁目,-,東京都渋谷区千駄ヶ谷3-62-8,35.673543,139.703823,東京デザイン専門学校,私立,専修学校
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-19-9,35.682588,139.703832,専門学校ミューズ音楽院,私立,専修学校
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ケ谷5-25-4,35.684865,139.7034315,服部栄養専門学校,私立,専修学校
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ケ谷5-30-16,35.685684,139.7043,東京工学院日本語学校,私立,各種学校
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-7-3,35.681661,139.7060505,日本デザイン福祉専門学校,私立,専修学校
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-9-1,35.682381,139.7057805,鳩森,公立,小学校
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町140,35.708292,139.724856,鶴巻,公立,幼稚園
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町140,35.708292,139.724856,鶴巻,公立,小学校
新宿区,早稲田南町,-,東京都新宿区早稲田南町25,35.703918,139.723542,早稲田,公立,幼稚園
新宿区,早稲田南町,-,東京都新宿区早稲田南町25,35.703918,139.723542,早稲田,公立,小学校
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-31-2,35.681922,139.7025225,専門学校ミューズモード音楽院,私立,専修学校
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-53-1,35.684217,139.699962,山野医療専門学校,私立,専修学校
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-53-1,35.684217,139.699962,山野美容専門学校,私立,専修学校
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-56-1,35.684415,139.7016225,専門学校東京スクール・オブ・ビジネス,私立,専修学校
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-25-7,35.685576,139.6986525,専修学校代々木ゼミナール本部校,私立,専修学校
渋谷区,代々木３丁目,-,東京都渋谷区代々木3-22-1,35.68491,139.6951155,文化外国語専門学校,私立,専修学校
渋谷区,代々木３丁目,-,東京都渋谷区代々木3-22-1,35.68491,139.6951155,文化服装学院,私立,専修学校
渋谷区,代々木３丁目,-,東京都渋谷区代々木3-32-13,35.68311,139.69278,山谷,公立,幼稚園
渋谷区,代々木３丁目,-,東京都渋谷区代々木3-47-1,35.68122,139.694832,代々木山谷,公立,小学校
港区,台場１丁目,-,東京都港区台場1-1-5,35.633601,139.7771505,にじのはし,公立,幼稚園
港区,台場１丁目,-,東京都港区台場1-1-5,35.633601,139.7771505,港陽,公立,小学校
港区,台場１丁目,-,東京都港区台場1-1-5,35.633601,139.7771505,港陽,公立,中学校
新宿区,大久保１丁目,-,東京都新宿区大久保1-1-21,35.699652,139.705731,大久保,公立,幼稚園
新宿区,大久保１丁目,-,東京都新宿区大久保1-1-21,35.699652,139.705731,大久保,公立,小学校
新宿区,大久保３丁目,-,東京都新宿区大久保3-14-20,35.707842,139.7083455,へレン・ケラー学院,私立,専修学校
新宿区,大久保３丁目,-,東京都新宿区大久保3-4-1,35.70606,139.705821,早稲田大学芸術学校,私立,専修学校
新宿区,大久保３丁目,-,東京都新宿区大久保３－６－１　,35.704962,139.702095,海城高等学校,私立,高等学校（全日制）
新宿区,大久保３丁目,-,東京都新宿区大久保３－６－１　,35.704962,139.702095,海城中学校,私立,中学校
新宿区,大久保３丁目,-,東京都新宿区大久保３－６－２　,35.706285,139.7032785,保善高等学校,私立,高等学校（全日制）
新宿区,大京町,-,東京都新宿区大京町30,35.681796,139.716072,四谷第六,公立,幼稚園
新宿区,大京町,-,東京都新宿区大京町30,35.681796,139.716072,四谷第六,公立,小学校
中央区,築地１丁目,-,東京都中央区中央区新川1-15-13,35.67057158,139.7719876,東京ギャラクシー日本語学校,私立,各種学校
中央区,築地２丁目,-,東京都中央区築地2-13-1,35.668008,139.771197,京橋朝海,公立,幼稚園
中央区,築地２丁目,-,東京都中央区築地2-13-1,35.668008,139.771197,京橋築地,公立,小学校
中央区,築地３丁目,-,東京都中央区築地3-15-1,35.666361,139.772169,東京仏教学院,私立,各種学校
新宿区,中落合２丁目,-,東京都新宿区中落合2-13-27,35.719533,139.6914705,落合第一,公立,小学校
新宿区,中落合４丁目,-,東京都新宿区中落合4-3-1,35.720514,139.686255,下落合みどり幼稚園,私立,幼稚園
新宿区,中落合４丁目,-,東京都新宿区中落合４－３１－１,35.717679,139.6809405,目白研心高等学校,私立,高等学校（全日制）
新宿区,中落合４丁目,-,東京都新宿区中落合４－３１－１,35.717679,139.6809405,目白研心中学校,私立,中学校
新宿区,津久戸町,-,東京都新宿区津久戸町2-2,35.70273,139.74201,津久戸,公立,幼稚園
新宿区,津久戸町,-,東京都新宿区津久戸町2-2,35.70273,139.74201,津久戸,公立,小学校
中央区,佃２丁目,-,東京都中央区佃2-3-1,35.66862,139.7847555,佃島,公立,小学校
中央区,佃２丁目,-,東京都中央区佃2-3-2,35.668071,139.7850885,佃,公立,中学校
渋谷区,東１丁目,-,東京都渋谷区東１－１－１１　　,35.656641,139.710681,実践女子学園高等学校,私立,高等学校（全日制）
渋谷区,東１丁目,-,東京都渋谷区東１－１－１１　　,35.656641,139.710681,実践女子学園中学校,私立,中学校
渋谷区,東１丁目,-,東京都渋谷区東1-7-10,35.655777,139.710429,常磐松,公立,小学校
渋谷区,東３丁目,-,東京都渋谷区東3-3-3,35.651799,139.7120805,広尾,公立,幼稚園
渋谷区,東３丁目,-,東京都渋谷区東3-3-3,35.651799,139.7120805,広尾,公立,小学校
渋谷区,東４丁目,-,東京都渋谷区東4-13-25,35.654229,139.712553,広尾,公立,中学校
渋谷区,東４丁目,-,東京都渋谷区東4-14-14,35.653617,139.7126385,広尾,公立,高等学校
千代田区,東神田１丁目,-,東京都千代田区東神田1-12-13,35.694657,139.781151,一橋,公立,高等学校
中央区,東日本橋１丁目,-,東京都中央区東日本橋1-10-1,35.692272,139.7868705,日本橋,公立,中学校
千代田区,内神田２丁目,-,東京都千代田区内神田2-13-13,35.691354,139.7688165,専門学校神田外語学院,私立,専修学校
新宿区,内藤町,-,東京都新宿区内藤町11-4,35.68923,139.7054655,新宿,公立,高等学校
港区,南青山１丁目,-,東京都港区南青山1-18-12,35.667666,139.725162,赤坂,公立,中学校
港区,南青山２丁目,-,東京都港区南青山2-21-2,35.669709,139.718907,青山,公立,小学校
港区,南青山２丁目,-,東京都港区南青山2-33-77,35.66907,139.7223765,青山特別支援学校,公立,特別支援学校
港区,南青山４丁目,-,東京都港区南青山4-18-17,35.663544,139.717017,青南,公立,幼稚園
港区,南青山４丁目,-,東京都港区南青山4-21-15,35.663508,139.7161035,青南,公立,小学校
渋谷区,南平台町,-,東京都渋谷区南平台町16-26,35.654481,139.69467,東京日本語学校,私立,各種学校
港区,南麻布１丁目,-,東京都港区南麻布1-8-11,35.650917,139.735872,東町,公立,小学校
港区,南麻布２丁目,-,東京都港区南麻布2‐13‐6,35.647254,139.7353005,東京インターナショナルスクール,私立,各種学校
港区,南麻布３丁目,-,東京都港区南麻布3-9-33,35.64981,139.7299365,本村,公立,幼稚園
港区,南麻布３丁目,-,東京都港区南麻布3-9-33,35.64981,139.7299365,本村,公立,小学校
港区,南麻布４丁目,-,東京都港区南麻布4-5-6,35.651079,139.724766,南部坂幼稚園,私立,幼稚園
港区,南麻布５丁目,-,東京都港区南麻布５－１－１４　,35.6544,139.72248,広尾学園高等学校,私立,高等学校（全日制）
港区,南麻布５丁目,-,東京都港区南麻布５－１－１４　,35.6544,139.72248,広尾学園中学校,私立,中学校
港区,南麻布５丁目,-,東京都港区南麻布5-6-8,35.653563,139.7266425,愛育幼稚園,私立,幼稚園
港区,南麻布５丁目,-,東京都港区南麻布５－６－８,35.653563,139.7266425,愛育学園（特別支援学校）（幼・小）,私立,特別支援学校
中央区,日本橋２丁目,日八京,東京都中央区日本橋掘留町2-2-9,35.68131056,139.7741158,アートマスターズスクール,私立,各種学校
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-10-23,35.683281,139.788,有馬,公立,幼稚園
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-10-23,35.683281,139.788,有馬,公立,小学校
中央区,日本橋兜町,-,東京都中央区日本橋兜町15-18,35.679753,139.7764845,阪本,公立,幼稚園
中央区,日本橋兜町,-,東京都中央区日本橋兜町15-3（坂本町公園内）,35.680041,139.776912,城東,公立,小学校
中央区,日本橋兜町,-,東京都中央区日本橋兜町15-3（坂本町公園内）,35.680041,139.776912,阪本,公立,小学校
中央区,日本橋久松町,-,東京都中央区日本橋久松町7-2,35.689041,139.7843325,久松,公立,幼稚園
中央区,日本橋久松町,-,東京都中央区日本橋久松町7-2,35.689041,139.7843325,久松,公立,小学校
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町18-1,35.692398,139.7789145,東京英語専門学校,私立,専修学校
中央区,日本橋小網町,-,東京都中央区日本橋小網町18-3,35.684451,139.7796435,北九州予備校東京校,私立,専修学校
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-1-17,35.684685,139.78161,日本橋,公立,幼稚園
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-1-17,35.684685,139.78161,日本橋,公立,小学校
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町２－７－６　,35.695845,139.7845845,開智日本橋学園高等学校,私立,高等学校（全日制）
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町２－７－６　,35.695845,139.7845845,開智日本橋学園中学校,私立,中学校
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町4-4-26,35.688465,139.770549,常盤,公立,幼稚園
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町4-4-26,35.688465,139.770549,常盤,公立,小学校
港区,白金３丁目,-,東京都港区白金3-13-8,35.645004,139.7288925,三光,公立,幼稚園
港区,白金４丁目,-,東京都港区白金４－１１－１　　,35.6427,139.7260575,聖心女子学院高等科,私立,高等学校（全日制）
港区,白金４丁目,-,東京都港区白金４－１１－１　　,35.6427,139.7260575,聖心女子学院中等科,私立,中学校
港区,白金４丁目,-,東京都港区白金４－１１－１　　,35.6427,139.7260575,聖心女子学院初等科,私立,小学校
港区,白金４丁目,-,東京都港区白金4-1-12,35.643699,139.7268945,白金の丘,公立,小学校
港区,白金４丁目,-,東京都港区白金4-1-12,35.643699,139.7268945,白金の丘,公立,中学校
港区,白金４丁目,-,東京都港区白金4-7-23,35.642331,139.7276325,サンタ・セシリア幼稚園,私立,幼稚園
港区,白金台１丁目,-,東京都港区白金台１－２－３７　,35.638587,139.730985,明治学院高等学校,私立,高等学校（全日制）
港区,白金台１丁目,-,東京都港区白金台1-4-26,35.636787,139.7285505,白金,公立,小学校
港区,白金台２丁目,-,東京都港区白金台２－２６－５　,35.632134,139.7295585,頌栄女子学院高等学校,私立,高等学校（全日制）
港区,白金台２丁目,-,東京都港区白金台２－２６－５　,35.632134,139.7295585,頌栄女子学院中学校,私立,中学校
港区,白金台３丁目,-,東京都港区白金台3-7-1,35.63559,139.726548,白金台,公立,幼稚園
港区,白金台５丁目,-,東京都港区白金台5-23-11,35.635581,139.717989,白金幼稚園,私立,幼稚園
渋谷区,幡ケ谷３丁目,-,東京都渋谷区幡ヶ谷3-49-1,35.680752,139.673313,中幡,公立,小学校
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-2-2,35.679294,139.769181,昭和,公立,幼稚園
中央区,八丁堀１丁目,-,東京都中央区八丁堀1-11-11,35.677323,139.777686,東京医療福祉専門学校,私立,専修学校
渋谷区,鉢山町,-,東京都渋谷区鉢山町8-1,35.650233,139.698738,第一商業,公立,高等学校
新宿区,百人町１丁目,-,東京都新宿区百人町1-13-16,35.699391,139.699224,東京マルチメディア専門学校,私立,専修学校
新宿区,百人町１丁目,-,東京都新宿区百人町1-25-4,35.698284,139.6981125,日本電子専門学校,私立,専修学校
新宿区,百人町１丁目,-,東京都新宿区百人町1-4-4,35.699985,139.7014065,東洋鍼灸専門学校,私立,専修学校
新宿区,百人町１丁目,-,東京都新宿区百人町1-5-6,35.698518,139.700853,専門学校東京経理綜合学院,私立,専修学校
新宿区,百人町１丁目,-,東京都新宿区百人町1-5-6,35.698518,139.700853,ファッションビジネスカレッジ東京,私立,専修学校
新宿区,百人町２丁目,-,東京都新宿区百人町2-1-38,35.703918,139.7019645,戸山,公立,幼稚園
新宿区,百人町２丁目,-,東京都新宿区百人町2-1-38,35.703918,139.7019645,戸山,公立,小学校
新宿区,百人町２丁目,-,東京都新宿区百人町2-26-10,35.704242,139.6949715,東京眼鏡専門学校,私立,専修学校
新宿区,百人町２丁目,-,東京都新宿区百人町2-5-9,35.703261,139.700313,西武学園医学技術専門学校東京新宿校,私立,専修学校
新宿区,百人町２丁目,-,東京都新宿区百人町2-6-10,35.70408,139.7004525,グレッグ外語専門学校新宿校,私立,専修学校
