指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/administration/statistics_and_research/list_of_public_school/school_lists2019.html,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,
年次,2020/3/12取得,,,,,,,
URL,複数あり、右に記載,,,,,,,
備考,国立幼稚園～高校は都心五区に存在しない,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,公私,カテゴリ
渋谷区,恵比寿２丁目,-,東京都渋谷区恵比寿2-32-18,35.645634,139.721499,渋谷同胞幼稚園,私立,幼稚園
渋谷区,恵比寿２丁目,-,東京都渋谷区恵比寿２－３５－１,35.646732,139.7231865,慶應義塾幼稚舎,私立,小学校
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿4-19-25,35.643897,139.712886,専門学校エビスビューティカレッジ,私立,専修学校
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿4-21-10,35.644446,139.7146905,加計塚,公立,小学校
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-23-1,35.647191,139.7059695,長谷戸,公立,小学校
渋谷区,恵比寿南３丁目,-,東京都渋谷区恵比寿南3-1-5,35.645643,139.706793,専門学校東京声優アカデミー,私立,専修学校
中央区,月島１丁目,-,東京都中央区月島1-9-7,35.66493,139.782726,月島,公立,幼稚園
中央区,月島４丁目,-,東京都中央区月島4-15-1,35.660646,139.780098,月島第一,公立,幼稚園
中央区,月島４丁目,-,東京都中央区月島4-15-1,35.660646,139.780098,月島第一,公立,小学校
渋谷区,元代々木町,-,東京都渋谷区元代々木町26-1,35.671167,139.686624,シオン幼稚園,私立,幼稚園
港区,元麻布１丁目,-,東京都港区元麻布1-6-21,35.653977,139.733415,麻布山幼稚園,私立,幼稚園
港区,元麻布２丁目,-,東京都港区元麻布2-14-16,35.652411,139.7303055,安藤記念教会附属幼稚園,私立,幼稚園
港区,元麻布２丁目,-,東京都港区元麻布2-14-7,35.653563,139.7303055,西町インターナショナルスクール,私立,各種学校
港区,元麻布２丁目,-,東京都港区元麻布２－３－２９　,35.654481,139.727178,麻布高等学校,私立,高等学校（全日制）
港区,元麻布２丁目,-,東京都港区元麻布２－３－２９　,35.654481,139.727178,麻布中学校,私立,中学校
港区,元麻布３丁目,-,東京都港区元麻布3-8-15,35.657163,139.731255,南山,公立,幼稚園
港区,元麻布３丁目,-,東京都港区元麻布3-8-15,35.657163,139.731255,南山,公立,小学校
新宿区,原町３丁目,-,東京都新宿区原町3-87,35.698617,139.7229975,牛込成城幼稚園,私立,幼稚園
新宿区,原町３丁目,-,東京都新宿区原町３－８７　　　,35.698617,139.7229975,成城高等学校,私立,高等学校（全日制）
新宿区,原町３丁目,-,東京都新宿区原町３－８７　　　,35.698617,139.7229975,成城中学校,私立,中学校
新宿区,戸山２丁目,-,東京都新宿区戸山2-34-2,35.702379,139.711212,東戸山,公立,小学校
新宿区,戸山２丁目,-,東京都新宿区戸山2-7-2,35.703306,139.713417,戸山幼稚園,私立,幼稚園
新宿区,戸山３丁目,-,東京都新宿区戸山3-19-1,35.706708,139.710348,戸山,公立,高等学校
新宿区,戸山３丁目,-,東京都新宿区戸山３－２０－１　,35.707527,139.711068,学習院女子高等科,私立,高等学校（全日制）
新宿区,戸山３丁目,-,東京都新宿区戸山３－２０－１　,35.707527,139.711068,学習院女子中等科,私立,中学校
新宿区,戸山３丁目,-,東京都新宿区戸山3-20-2,35.708031,139.7100015,西早稲田,公立,中学校
新宿区,戸塚町,-,東京都新宿区馬場下町６２　　　,35.706861,139.7199465,早稲田高等学校,私立,高等学校（全日制）
新宿区,戸塚町,-,東京都新宿区馬場下町６２　　　,35.706861,139.7199465,早稲田中学校,私立,中学校
千代田区,五番町,-,東京都千代田区五番町14,35.688591,139.732677,東京中華学校,私立,各種学校
渋谷区,広尾１丁目,-,東京都渋谷区広尾1-9-17,35.649324,139.7167425,臨川,公立,幼稚園
渋谷区,広尾１丁目,-,東京都渋谷区広尾1-9-17,35.649324,139.7167425,臨川,公立,小学校
渋谷区,広尾３丁目,-,東京都渋谷区広尾３－７－１６　,35.655804,139.7172195,東京女学館高等学校,私立,高等学校（全日制）
