指標名,大学キャンパス,,,,,,,
出典,教育ソリューション株式会社「全国学校データ」,,,,,,,
年次,JPC2020,,,,,,,
URL,https://kyouikusolution.co.jp/,,,,,,,
備考,JPC2020データ,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,大学,キャンパス,運営者区分
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－２－１,35.693118,139.7576745,共立女子大学,神田一ツ橋キャンパス,私立
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－１－２学術総合センター内,35.692479,139.757994,一橋大学,千代田キャンパス,国立
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－１－２,35.692479,139.757994,総合研究大学院大学,国立情報学研究所,国立
新宿区,下落合４丁目,-,東京都新宿区下落合４－１６－１１,35.720703,139.6947465,上智大学,目白聖母キャンパス,私立
新宿区,河田町,-,東京都新宿区河田町８－１,35.697186,139.7202885,東京女子医科大学,河田町キャンパス,私立
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－１１－１パシフィックセンチュリープレイス丸の内９階,35.677962,139.7669355,ＳＢＩ大学院大学,,私立
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－７－１２サピアタワー１０階,35.683749,139.7685195,関西学院大学,東京丸の内キャンパス,私立
新宿区,喜久井町,-,東京都新宿区喜久井町１７,35.705106,139.721355,早稲田大学,喜久井町キャンパス,私立
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町７－１,35.683362,139.73202,上智大学,四谷キャンパス,私立
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町３－２６,35.682165,139.7377395,城西国際大学,東京紀尾井町キャンパス,私立
千代田区,九段南１丁目,-,東京都千代田区ニ番町３麹町スクエア２Ｆ,35.69393006,139.7537114,ビジネス・ブレークスルー大学,,私立
千代田区,九段南４丁目,-,東京都千代田区九段南４－８－２４,35.691066,139.737447,日本大学,日本大学会館,私立
新宿区,戸山１丁目,-,東京都新宿区戸山１－２４－１,35.705088,139.717818,早稲田大学,戸山キャンパス,私立
新宿区,戸山３丁目,-,東京都新宿区戸山３－２０－１,35.707527,139.711068,学習院女子大学,戸山キャンパス,私立
新宿区,戸塚町,-,東京都新宿区戸塚町１－１０４,35.709867,139.7221425,早稲田大学,,私立
渋谷区,広尾４丁目,-,東京都渋谷区広尾４－３－１,35.651214,139.720455,聖心女子大学,,私立
渋谷区,広尾４丁目,-,東京都渋谷区広尾４－１－３,35.653383,139.7192625,日本赤十字看護大学,広尾キャンパス,私立
