指標名,観光地,,,,,,,,
出典,Tripadvisor,,,,,,,,
年次,2020/3/10取得,,,,,,,,
URL,https://www.tripadvisor.jp/,,,,,,,,
備考,レビュー数やカテゴリでフィルターかけたほうがいい,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,星,レビュー数
港区,六本木４丁目,六本木,東京都 港区六本木 4-3-13,35.66583,139.7334825,志賀直哉旧居,名所・有名スポット,3,10
港区,六本木４丁目,六本木,東京都 港区六本木 4-2-37,35.664894,139.733622,フランシスカン・チャペル・センター 六本木教会,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",4.5,20
港区,六本木４丁目,六本木,東京都 港区六本木 4-2-27,35.664552,139.7338605,三河台公園,自然・公園,3.5,11
港区,六本木４丁目,六本木,東京都 港区六本木 4-2-2,35.666595,139.735125,六本木画廊,"ショッピング, 美術館・博物館, アートギャラリー",-,0
港区,六本木４丁目,六本木,東京都 港区六本木 4-2-10,35.665749,139.735494,妙像寺,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3,3
港区,六本木３丁目,六本木,東京都 港区六本木 六本木,35.66265702,139.7358321,六本木さくら坂,"名所・有名スポット, 歴史散策地区",4,91
港区,六本木３丁目,六本木,東京都 港区六本木 六本木6-10-1 六本木ヒルズ森タワー53F,35.66265702,139.7358321,森美術館,美術館・博物館,4.5,1105
港区,六本木３丁目,六本木,東京都 港区六本木 六本木6-16-46,35.66265702,139.7358321,さくら坂公園,自然・公園,4,20
港区,六本木３丁目,六本木,東京都 港区六本木 六本木5-13,35.66265702,139.7358321,於多福坂,名所・有名スポット,3,6
港区,六本木３丁目,六本木,東京都 港区六本木 六本木2-1-16,35.66265702,139.7358321,久國神社,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3.5,18
港区,六本木３丁目,六本木,東京都 港区六本木 六本木1-7-24,35.66265702,139.7358321,山形ホテル跡,名所・有名スポット,3,8
港区,六本木３丁目,六本木,東京都 港区六本木 3-5,35.664102,139.7358135,丹波谷坂,名所・有名スポット,3.5,3
港区,六本木３丁目,六本木,東京都 港区六本木 3-2-24,35.663688,139.7375415,なだれ坂,名所・有名スポット,3.5,4
港区,六本木２丁目,六本木,東京都 港区六本木 2丁目1-20,35.667009,139.7376675,永昌寺,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3,2
港区,六本木１丁目,虎ノ門,東京都 港区六本木 1丁目3-45,35.665803,139.740057,道源寺,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3,2
港区,六本木１丁目,虎ノ門,東京都 港区六本木 1-8-7,35.663193,139.7396745,日本国憲法草案の地,"名所・有名スポット, 記念碑 & 像",3.5,4
港区,六本木１丁目,虎ノ門,東京都 港区六本木 1-7-10,35.663805,139.7402145,御組坂,名所・有名スポット,3.5,4
港区,六本木１丁目,虎ノ門,東京都 港区六本木 1-5-1,35.665029,139.7410695,泉屋博古館 分館,美術館・博物館,4,41
港区,六本木１丁目,虎ノ門,東京都 港区六本木 1-3,35.66592,139.740705,スペイン坂,"名所・有名スポット, 眺めのよい散策エリア",4,13
千代田区,六番町,-,東京都 千代田区 六番町5,35.686755,139.7339055,泉鏡花旧居跡,名所・有名スポット,2.5,8
千代田区,六番町,-,東京都 千代田区 六番町3-5,35.687052,139.734972,有島武郎・有島生馬・里見弴旧居跡,名所・有名スポット,2.5,11
千代田区,六番町,-,東京都 千代田区 六番町3-1 グランフォルム六番町,35.687385,139.735665,明治女学校跡,"名所・有名スポット, 記念碑 & 像, 旧跡",2,3
千代田区,六番町,-,東京都 千代田区 六番町3,35.687286,139.7354535,池寛旧居跡,"名所・有名スポット, 旧跡",2.5,2
新宿区,揚場町,-,東京都 新宿区 揚場町2・下宮比町3,35.702208,139.7427165,寒泉精舎跡,"名所・有名スポット, 旧跡, 記念碑 & 像",3,1
新宿区,余丁町,-,東京都 新宿区 余丁町8-5,35.697501,139.71348,厳嶋神社,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",4,12
新宿区,余丁町,-,東京都 新宿区 余丁町4-21,35.695062,139.7155905,刑死者慰霊塔,"名所・有名スポット, 旧跡, 記念碑 & 像",-,0
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 銀座 4-1先 北数寄屋ビル 1F,35.67390463,139.7626561,H.I.S. 東京ツーリストインフォメーションセンター 銀座,"観光情報・案内所, 観光案内所",4,34
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-5-1,35.67357,139.763565,阪急メンズ東京,"ショッピング, デパート",4.5,4
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 有楽町2-5-1 有楽町マリオン11F,35.67390463,139.7626561,有楽町朝日ホール,"コンサート・ショー, シアター",3.5,8
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 有楽町1-2-1,35.67390463,139.7626561,シアタークリエ,"コンサート・ショー, シアター",3.5,27
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 有楽町1-11-1 読売会館7階,35.67390463,139.7626561,よみうりホール,"コンサート・ショー, シアター",3.5,27
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 有楽町,35.67390463,139.7626561,南町奉行所跡,"名所・有名スポット, 旧跡",3,42
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 3丁目,35.67390463,139.7626561,ゴジラ像,"名所・有名スポット, 記念碑 & 像",3.5,70
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-7-1,35.674209,139.7636595,有楽町マルイ,"ショッピング, ショッピングモール",4,108
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-7-1,35.674209,139.7636595,有楽町イトシア,"ショッピング, ショッピングモール",3.5,87
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-5-1 有楽町マリオン（有楽町センタービル）別館 7F,35.67357,139.763565,オルタナティブシアター,"コンサート・ショー, シアター",4.5,21
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-5-1 有楽町マリオン 9F,35.67357,139.763565,コニカミノルタプラネタリア TOKYO,"美術館・博物館, 天文台・プラネタリウム",2.5,32
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-5-1,35.67357,139.763565,有楽町マリオン,名所・有名スポット,3.5,104
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-5-1,35.67357,139.763565,ルミネ有楽町,"ショッピング, ショッピングモール",3.5,87
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-5-1,35.67357,139.763565,フランク永井歌碑,"名所・有名スポット, 記念碑 & 像",3,5
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-5-1,35.67357,139.763565,朝日新聞東京本社跡,"名所・有名スポット, 旧跡",3,3
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-4-10 JTBトラベルゲート有楽町内,35.673777,139.7617335,JTBクルーズプラザ有楽町,"観光情報・案内所, 観光案内所",4.5,17
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-1-1,35.672238,139.76037,有楽町産直横丁,名所・有名スポット,-,0
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-10-1 東京交通会館 地下1階,35.674929,139.764366,静岡県 東京観光案内所,"観光情報・案内所, 観光案内所",3.5,22
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-10-1 東京交通会館 B1F,35.674929,139.764366,おおいたアンテナショップ温泉座,名所・有名スポット,4.5,30
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-10-1,35.674929,139.764366,東京交通会館,"ショッピング, ショッピングモール",4,205
千代田区,有楽町２丁目,大丸有,東京都 千代田区有楽町 2-10-1,35.674929,139.764366,ゆめぷらざ滋賀,"観光情報・案内所, 観光案内所",3,1
千代田区,有楽町１丁目,大丸有,東京都 千代田区有楽町 1-7-1,35.674704,139.761333,有楽町電気ビル,名所・有名スポット,3.5,6
千代田区,有楽町１丁目,大丸有,東京都 千代田区有楽町 1-7,35.674335,139.761567,有楽稲荷神社,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3.5,14
千代田区,有楽町１丁目,大丸有,東京都 千代田区有楽町 1-2-2,35.673066,139.7599245,日比谷シャンテ,"名所・有名スポット, ショッピング, さらに表示",3.5,144
千代田区,有楽町１丁目,大丸有,東京都 千代田区有楽町 1-13-1 DNタワー21 第一生命保険株式会社 日比谷本社1階,35.675802,139.760982,第一生命ギャラリー,"美術館・博物館, 専門美術館",3.5,8
千代田区,有楽町１丁目,大丸有,東京都 千代田区有楽町 1-1-3 東京宝塚ビル内,35.672949,139.7591055,東京宝塚劇場,"コンサート・ショー, シアター",4.5,104
千代田区,有楽町１丁目,大丸有,東京都 千代田区有楽町 1-1-2 東京ミッドタウン日比谷 6F,35.673552,139.7590335,パークビューガーデン,"自然・公園, 名所・有名スポット, さらに表示",4,9
千代田区,有楽町１丁目,大丸有,東京都 千代田区有楽町 1-1-2,35.673552,139.7590335,東京ミッドタウン日比谷,"ショッピング, ショッピングモール",4,193
千代田区,有楽町１丁目,大丸有,東京都 千代田区有楽町 1-1-1,35.673255,139.7586015,日生劇場,"コンサート・ショー, シアター",4.5,36
新宿区,矢来町,-,東京都 新宿区 矢来町60,35.70273,139.732389,矢来能楽堂,"コンサート・ショー, シアター",4.5,7
新宿区,矢来町,-,東京都 新宿区 矢来町32-2,35.702973,139.730526,eitoeiko,"ショッピング, 美術館・博物館, アートギャラリー",-,0
