指標名,インターナショナルスクール,,,,,,,
出典,PLAZA HOMES,,,,,,,
年次,2020/3/10取得,,,,,,,
URL,https://www.plazahomes.co.jp/living-in-tokyo/international-schools/,,,,,,,
備考,,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,英語名,対象年齢
渋谷区,大山町,-,東京都渋谷区大山町39-20,35.670015,139.676247,代沢インターナショナルスクール 大山キャンパス (メイプル - オーク),DAIZAWA INTERNATIONAL SCHOOL Oyama Campus (Maple - Oak),共学メイプル（3 - 4歳）、オーク（4 - 6歳）
中央区,築地１丁目,-,東京都中央区築地1-5-5 クニビル 2-6階,35.669979,139.771818,サンシャインキッズアカデミー,Sunshine Kids Academy,共学1歳 - 6歳
港区,東麻布１丁目,-,東京都港区東麻布1-26-2 セラフテン麻布 3F,35.655471,139.744773,Tokyo International Kindercare （麻布）,Tokyo International Kindercare (Azabu),共学18ケ月 - 6歳
港区,南青山３丁目,-,東京都港区南青山3-9-5,35.665965,139.7156985,クラレンスインターナショナルスクール,Clarence International School,共学2 - 6歳
港区,南青山６丁目,-,東京都港区南青山6-13-14,35.65926,139.7148885,ローラスインターナショナルスクール オブ サイエンス 青山,Laurus International School of Science (Aoyama),共学プリスクール: １.5～3歳 キンダガーデン: 3歳 ～ 6歳
港区,南麻布２丁目,-,東京都港区南麻布2-8-18,35.648451,139.7355885,シャトー・デ・バンビーニ・モンテッソーリ・スクール,Chateau des Bambini Montessori School,共学12ヶ月 - 6歳
港区,南麻布２丁目,-,東京都港区南麻布2-1-18,35.649387,139.7340675,ヤマトインターナショナルスクール,Yamato International School,共学Nursery - 6年生
港区,南麻布２丁目,-,東京都港区南麻布2-13-6,35.647254,139.7353005,東京インターナショナルスクール,Tokyo International School,共学幼稚園 - 8年生(4 - 14歳）
港区,南麻布３丁目,-,東京都港区南麻布3-11-4,35.648883,139.729167,Ivy Prep インターナショナルスクール,Ivy Prep International School,共学6ヶ月から6歳
港区,南麻布３丁目,-,東京都港区南麻布3-5-13,35.651322,139.73004,モンテソーリスクールオブ東京,The Montessori School of Tokyo,共学2 - 14歳
港区,南麻布５丁目,-,東京都港区南麻布5-10-24,35.6526,139.72239,広尾キッズワールド,Hiroo Kids World,共学1 - 5 歳
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町14-1 北祥ビル,35.689545,139.783077,フューチャー児童園 日本橋,Future Jidoen Nihonbashi,共学2歳 ｰ 6歳 未就学児
港区,白金台３丁目,-,東京都港区白金台3-4-17,35.635797,139.7275515,ローラスインターナショナルスクール オブ サイエンス 白金台,Laurus International School of Science (Shirokanedai),共学プリスクール - 4年生
港区,白金台５丁目,-,東京都港区白金台5-13-39,35.638812,139.722192,Kスペース インターナショナル プリスクール アンド キンダーガーテン,Kspace International Preschool and Kindergarten,共学14ヶ月 - 6歳
港区,白金台５丁目,-,東京都港区白金台5-13-28-102,35.637678,139.722498,アイラ・インターナショナルスクール,Ayla International School,共学1 - 6 歳
千代田区,飯田橋１丁目,-,東京都千代田区飯田橋1-6-3、コウヨウビル2F,35.698833,139.7489175,サクラの国 Au Pays des Sakuras,Au Pays des Sakuras,共学2 - 4 歳
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1-5-3,35.669547,139.690143,セントアニー・インターナショナル幼稚園,Saint Annie's International Kindergarten,共学K1-Pre3 (Ages 1 - 6 yrs old)
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷2-21-10 キジマビル,35.661789,139.6871235,ユナイテッドスクールオブ東京（UST）,United School of Tokyo,共学3 - 12歳
港区,麻布十番３丁目,-,東京都港区麻布十番3-10-123-10-12 シティ麻布 302号室,35.65278,139.734639,麻布インターナショナルスクール,Azabu International School,共学15ケ月 - 5歳
港区,六本木２丁目,六本木,東京都港区六本木2-1-1,35.667171,139.7369835,Mitsui Gardens International Preschool,Mitsui Gardens International Preschool,共学15ヶ月 - 5歳
港区,六本木６丁目,六本木,東京都港区六本木6-16-5,35.658207,139.7298555,アメリカンスクールインジャパン アーリーラーニングセンター,"American School in Japan, Early Learning Center",共学3歳 - 6歳
