指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2020/3/9取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
千代田区,九段北１丁目,-,東京都千代田区九段北1-14-21,35.696079,139.7497995,築土神社,神社
千代田区,九段北１丁目,-,東京都千代田区九段北1-7-2,35.697123,139.751694,察順院,寺院
千代田区,九段北１丁目,-,東京都千代田区九段北1丁目15-1,35.695971,139.7486205,日本キリスト教団九段教会,教会
千代田区,九段北２丁目,-,東京都千代田区九段北2丁目4-1,35.695701,139.744269,シャルトル聖パウロ修道女会,教会
千代田区,九段北３丁目,-,東京都千代田区九段北3-1-1,35.694018,139.7427165,靖国神社,神社
千代田区,九段北３丁目,-,東京都千代田区九段北3丁目2-23,35.69364,139.7415555,日本山妙法寺 九段道場,寺院
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿1-18-1,35.647623,139.713687,台雲寺,寺院
渋谷区,恵比寿２丁目,-,東京都渋谷区恵比寿2丁目21-16,35.647641,139.7193435,天理教 分教会 本豊,教会
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿4-12-11,35.645031,139.7137815,金光教 麻布教会,教会
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-11-1,35.647227,139.7077875,恵比寿神社,神社
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-19-4,35.646768,139.70718,東京国際基督教会,教会
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1丁目33-9,35.646714,139.7041695,日本基督改革派東京恩寵教会,教会
渋谷区,恵比寿南２丁目,-,東京都渋谷区恵比寿南2-12-7,35.643204,139.708008,麻布山 泉明寺,寺院
渋谷区,恵比寿南２丁目,-,東京都渋谷区恵比寿南2-18-1,35.643168,139.7084175,松泉寺,寺院
渋谷区,恵比寿南３丁目,-,東京都渋谷区恵比寿南3-11-16,35.644338,139.706811,聖徒教会,教会
中央区,月島３丁目,-,東京都中央区月島3丁目17-3,35.662437,139.7805975,本芳寺,寺院
中央区,月島３丁目,-,東京都中央区月島3丁目4-5,35.663589,139.7810835,月島開運観世音,寺院
中央区,月島４丁目,-,東京都中央区月島4丁目5-8,35.66052,139.783392,日本聖公会東京教区月島聖公会,教会
港区,元赤坂１丁目,赤坂,東京都港区元赤坂1-4-7,35.676639,139.7329605,豊川稲荷別院,寺院
港区,元赤坂１丁目,赤坂,東京都港区元赤坂1丁目4-7,35.676639,139.7329605,豊川稲荷東京別院,寺院
港区,元赤坂２丁目,-,東京都港区元赤坂2-2-3,35.678781,139.723677,東京都神社庁,神社
渋谷区,元代々木町,-,東京都渋谷区元代々木町24-3,35.670438,139.685877,応慶寺,寺院
渋谷区,元代々木町,-,東京都渋谷区元代々木町26-1,35.671167,139.686624,日本基督教団 代々木教会,教会
港区,元麻布１丁目,-,東京都港区元麻布1-1-10,35.655462,139.7330595,大法寺,寺院
港区,元麻布１丁目,-,東京都港区元麻布1-2-10,35.655147,139.733712,徳正寺,寺院
港区,元麻布１丁目,-,東京都港区元麻布1-4-23,35.65287,139.7310345,麻布氷川神社,神社
港区,元麻布１丁目,-,東京都港区元麻布1-6-19,35.653374,139.7338425,金蔵寺,寺院
港区,元麻布１丁目,-,東京都港区元麻布1-6-21,35.653977,139.733415,麻布山 善福寺,寺院
港区,元麻布１丁目,-,東京都港区元麻布1丁目2-12,35.65458,139.7333745,賢崇寺,寺院
港区,元麻布１丁目,-,東京都港区元麻布1丁目2-2,35.654706,139.732407,長伝寺,寺院
港区,元麻布１丁目,-,東京都港区元麻布1丁目6-20,35.653446,139.7336715,真福寺,寺院
港区,元麻布１丁目,-,東京都港区元麻布1丁目6-21,35.653977,139.733415,善正寺,寺院
港区,元麻布１丁目,-,東京都港区元麻布1丁目7-15,35.652834,139.733604,専光寺,寺院
港区,元麻布１丁目,-,東京都港区元麻布1丁目7-2,35.65314,139.7335455,善通寺,寺院
港区,元麻布１丁目,-,東京都港区元麻布1丁目7-3,35.653113,139.733658,善光寺,寺院
港区,元麻布２丁目,-,東京都港区元麻布2-5-8,35.655516,139.7295135,伝燈院,寺院
港区,元麻布２丁目,-,東京都港区元麻布2丁目14-16,35.652411,139.7303055,日本基督教団 安藤記念教会,教会
港区,元麻布２丁目,-,東京都港区元麻布2丁目5-9,35.655048,139.7296395,本光寺,寺院
港区,元麻布３丁目,-,東京都港区元麻布3-10-5,35.656902,139.731858,龍澤寺,寺院
港区,元麻布３丁目,-,東京都港区元麻布3-12-10,35.655282,139.7320155,麻布セント・メアリー教会,教会
港区,元麻布３丁目,-,東京都港区元麻布3-1-37,35.658135,139.7278665,専称寺,寺院
港区,元麻布３丁目,-,東京都港区元麻布3-2-20,35.657523,139.7276325,麻布高野山正光院,寺院
港区,元麻布３丁目,-,東京都港区元麻布3丁目10-12,35.656749,139.73148,安全寺,寺院
港区,元麻布３丁目,-,東京都港区元麻布3丁目9-4,35.656497,139.7314665,広称寺,寺院
港区,元麻布３丁目,-,東京都港区元麻布3丁目9-8,35.656344,139.730985,光隆寺,寺院
新宿区,原町１丁目,-,東京都新宿区原町1-30,35.701029,139.7258235,緑雲寺,寺院
新宿区,原町１丁目,-,東京都新宿区原町1-42,35.700723,139.7258685,天祖神社,神社
新宿区,原町１丁目,-,東京都新宿区原町1丁目14,35.699238,139.7253645,経王寺,寺院
新宿区,原町２丁目,-,東京都新宿区原町2-20,35.700723,139.7240865,幸国寺,寺院
新宿区,原町２丁目,-,東京都新宿区原町2-34,35.69895,139.7246895,蓮紹山 瑞光寺,寺院
新宿区,原町２丁目,-,東京都新宿区原町2丁目30,35.699166,139.7249865,常楽寺,寺院
新宿区,原町２丁目,-,東京都新宿区原町2丁目57,35.701605,139.722786,常立寺,寺院
新宿区,原町２丁目,-,東京都新宿区原町2丁目59,35.701983,139.722228,専念寺,寺院
新宿区,原町２丁目,-,東京都新宿区原町2丁目62,35.702253,139.7217285,宗教法人大龍寺,寺院
新宿区,原町２丁目,-,東京都新宿区原町2丁目63,35.702505,139.7218635,常泉寺,寺院
新宿区,原町３丁目,-,東京都新宿区原町3-20,35.699994,139.722633,稲荷神社,神社
新宿区,原町３丁目,-,東京都新宿区原町3-26,35.700363,139.722354,専行寺・浄土真宗・大谷派,寺院
新宿区,原町３丁目,-,東京都新宿区原町3-27,35.700462,139.7219445,積徳寺,寺院
新宿区,原町３丁目,-,東京都新宿区原町3-82,35.70048,139.7233665,法身寺,寺院
新宿区,戸山１丁目,-,東京都新宿区戸山1丁目15-2,35.704035,139.7200275,清源寺,寺院
新宿区,戸山１丁目,-,東京都新宿区戸山1丁目8-16,35.702613,139.7180385,牛込キリスト教会,教会
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-16-4 アーバン虎ノ門ビル 3F,35.668431,139.7489715,日本基督教団 芝教会,教会
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-2-7,35.669601,139.747995,虎ノ門金刀比羅宮,神社
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3-20-1,35.662401,139.7470815,仏子泰夫,寺院
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3-23-10,35.661744,139.746663,光円寺,寺院
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3丁目10-10,35.665155,139.7479635,栄閑院猿寺,寺院
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3丁目10-13,35.665515,139.74804,栄寿寺,寺院
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3丁目10-8,35.66502,139.7477925,興昭院,寺院
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3丁目11-5,35.665191,139.7473425,光岳院,寺院
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3丁目11-7,35.664993,139.747275,栄立院,寺院
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3丁目13-6,35.66439,139.7472885,天徳寺,寺院
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3丁目22-7,35.661609,139.74786,青竜寺,寺院
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3丁目25-1,35.662401,139.745448,光明寺,寺院
