指標名,食べログアワード受賞レストラン,,,,,,,,,,,,
出典,The Tabelog Award 2020,,,,,,,,,,,,
年次,2020年,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,
備考,一部レストランは食べログに住所掲載ないため手作業で住所入力,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,アワード追加,星数,夜予算,昼予算,URL
港区,赤坂３丁目,赤坂,東京都港区赤坂3-11-7 ソシアル赤坂ビル 4F,35.674551,139.7375685,赤坂 詠月,日本料理,Bronze,-,4.36,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13116523/
港区,赤坂３丁目,赤坂,東京都港区赤坂3-13-6 国際天野ビル 7F,35.673066,139.737672,赤坂 きた福,魚介料理・海鮮料理,Bronze,-,3.99,"￥40,000～￥49,999","￥40,000～￥49,999",https://tabelog.com/tokyo/A1303/A130302/13149065/
港区,赤坂３丁目,赤坂,東京都港区赤坂3-9-12 メトロビル 4F,35.676792,139.736313,赤坂 らいもん,焼肉・すき焼き・しゃぶしゃぶ,Silver,Best New Entry,4.49,"￥15,000～￥19,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1303/A130302/13224635/
港区,赤坂２丁目,赤坂,東京都港区赤坂2-17-7 赤坂溜池タワーＡＮＮＥＸ １Ｆ,35.671122,139.73931,シュマン,フレンチ,Bronze,-,3.94,"￥10,000～￥14,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13001336/
港区,赤坂２丁目,赤坂,東京都港区赤坂2-9-4 １Ｆ,35.671122,139.7412135,寿し処 寿々,寿司,Bronze,-,3.86,"￥20,000～￥29,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13024464/
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-11-6 赤坂テラスハウス １階,35.667396,139.742325,松川,日本料理,Gold,-,4.77,"￥50,000～￥59,999","￥50,000～￥59,999",https://tabelog.com/tokyo/A1303/A130302/13124391/
港区,西麻布４丁目,-,東京都港区西麻布4-11-14 ＦＬＥＧ西麻布ＶＩＥＲＧＥ地階Ａ,35.65836,139.722705,臼杵ふぐ 山田屋 西麻布,魚介料理・海鮮料理,Bronze,-,3.97,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1303/A130302/13034857/
港区,西麻布４丁目,-,東京都港区西麻布4-11-28 麻布エンパイヤマンション B1F,35.659332,139.7225115,とく山,日本料理,Bronze,-,4.14,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13002088/
港区,西麻布４丁目,-,東京都港区西麻布4-17-22 アビターレ西麻布 2F,35.658639,139.718979,コントワール ミサゴ,フレンチ,Bronze,-,3.89,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1303/A130302/13114321/
港区,西麻布４丁目,-,東京都港区西麻布4-18-17,35.658189,139.7189475,鳥さわ22,焼鳥・鳥料理,Bronze,-,4.25,"￥8,000～￥9,999",-,https://tabelog.com/tokyo/A1303/A130302/13222625/
港区,西麻布４丁目,-,東京都港区西麻布4-4-16 NISHIAZABU4416 B1F,35.657496,139.723551,エルバ ダ ナカヒガシ,イタリアン,Bronze,-,3.84,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13191105/
港区,西麻布４丁目,-,東京都港区西麻布4-5-8,35.656515,139.723155,K+,イタリアン,Bronze,-,4.25,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1303/A130302/13213748/
港区,西麻布３丁目,-,東京都港区西麻布3-1-15 RFビルB1F,35.660106,139.726584,江戸前鮓 すし通,寿司,Bronze,-,4.05,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13061640/
港区,西麻布３丁目,-,東京都港区西麻布3-1-19 小山ビル2F,35.660475,139.726692,オルタナティブ,フレンチ,Bronze,-,3.82,"￥15,000～￥19,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13200186/
港区,西麻布３丁目,-,東京都港区西麻布3-16-28 TOKI-ON 西麻布,35.65809,139.7252025,ENEKO Tokyo,スペイン料理,Bronze,-,3.86,"￥15,000～￥19,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13212953/
港区,西麻布３丁目,-,東京都港区西麻布3-3-1,35.658207,139.72725,ル・ブルギニオン,フレンチ,Bronze,-,3.8,"￥15,000～￥19,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13005328/
港区,西麻布３丁目,-,東京都港区西麻布3丁目17-23 プティコワン西麻布2F,35.658072,139.7239785,グルマンディーズ,フレンチ,Silver,-,4.24,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13190448/
港区,西麻布２丁目,-,東京都港区西麻布2-15-1 三澤ビル Ｂ1Ｆ,35.661618,139.720986,豪龍久保,日本料理,Bronze,-,4.41,"￥50,000～￥59,999",-,https://tabelog.com/tokyo/A1303/A130302/13156859/
港区,西麻布２丁目,-,東京都港区西麻布2-24-14 バルビゾン73 B1F,35.660196,139.722318,USHIGORO S. NISHIAZABU,焼肉・すき焼き・しゃぶしゃぶ,Bronze,-,4.16,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13209611/
港区,西麻布２丁目,-,東京都港区西麻布2-24-14 バルビゾン73 B1F,35.660196,139.722318,肉割烹 上,日本料理,Bronze,-,4.31,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13209614/
港区,西麻布２丁目,-,東京都港区西麻布2-24-7 西麻布MAビル 1F,35.661069,139.7218815,AZUR et MASA UEKI,フレンチ,Bronze,-,4.16,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13206559/
港区,西麻布２丁目,-,東京都港区西麻布2-25-24 NISHIAZABU FTビル MB1F,35.659836,139.721517,Crony,フレンチ,Bronze,-,4.04,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13202768/
港区,西麻布２丁目,-,東京都港区西麻布2-26-4,35.660196,139.7194065,レフェルヴェソンス,フレンチ,Gold,-,4.6,"￥30,000～￥39,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130302/13116356/
港区,西麻布１丁目,-,東京都港区西麻布1-11-10 ビルマーサ 1F,35.660412,139.7242665,Takumi,フレンチ,Bronze,-,3.92,"￥15,000～￥19,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13204624/
港区,西麻布１丁目,-,東京都港区西麻布1-15-3 西麻布UOUビル 1F,35.661735,139.723245,山﨑,日本料理,Silver,Best New Entry,4.34,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13225691/
港区,西麻布１丁目,-,東京都港区西麻布1-2-3 アクティブ六本木 1F,35.661627,139.7277045,鮓 村瀬,寿司,Bronze,-,3.89,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13174475/
港区,西麻布１丁目,-,東京都港区西麻布1-4-44 シグマ西麻布Ⅱ１Ｆ,35.662005,139.725828,海鮮名菜 香宮,中華料理,Bronze,-,3.98,"￥15,000～￥19,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130302/13132399/
港区,西麻布１丁目,-,東京都港区西麻布1-7-2 アデッソ西麻布 ３F,35.660826,139.726224,霞庭 まつばら,日本料理,Bronze,-,3.84,"￥15,000～￥19,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130302/13118905/
港区,西新橋３丁目,虎ノ門,東京都港区西新橋3-23-11 御成門小田急ビル １Ｆ,35.661726,139.7512755,麤皮,ステーキ・鉄板焼き,Bronze,-,3.87,"￥60,000～￥79,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1303/A130302/13002897/
港区,西新橋１丁目,虎ノ門,東京都港区西新橋1-18-8 報徳ビル 1F,35.667603,139.753188,味享,日本料理,Bronze,Best New Entry,4.37,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1303/A130302/13228116/
港区,西新橋１丁目,虎ノ門,東京都港区西新橋1-23-7 プレシャスコート虎ノ門1F,35.668179,139.751523,新ばし 笹田,日本料理,Bronze,-,3.98,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13020781/
渋谷区,西原３丁目,-,東京都渋谷区西原３丁目２３−1 代々木上原羽田ビル,35.670636,139.683465,ete,フレンチ,Silver,-,4.65,"￥40,000～￥49,999","￥40,000～￥49,999",https://tabelog.com/tokyo/A1303/A130302/13185038/
千代田区,神田駿河台３丁目,-,東京都千代田区神田駿河台3-3-3 K&TT駿河台ビルディング 2F,35.69607,139.764096,カレーライス ディラン,アジア・エスニック,Bronze,-,3.78,～￥999,～￥999,https://tabelog.com/tokyo/A1303/A130302/13158580/
渋谷区,神泉町,-,東京都渋谷区神泉町2-9 シャルム神泉 B1F,35.657775,139.6936575,しんせん 割烹 佐乃家,日本料理,Bronze,-,3.88,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13203305/
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-35-3 コープオリンピア １Ｆ,35.66925,139.7030175,重よし,日本料理,Bronze,-,3.86,"￥30,000～￥39,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13001153/
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-10-1 表参道ジャイル 5F,35.667396,139.706838,表参道うかい亭,ステーキ・鉄板焼き,Bronze,-,3.77,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13044361/
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-23-3,35.664426,139.7048265,玉笑,そば,Bronze,-,3.9,"￥5,000～￥5,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1303/A130302/13129390/
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-6-7 DEAR神宮前 B1F,35.669538,139.7129535,レヴォル,フレンチ,Bronze,-,3.86,"￥10,000～￥14,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13219129/
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-19-12,35.67348,139.7103705,樋口,日本料理,Bronze,-,4.38,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13001215/
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-3-18 建築家会館JIA館,35.673174,139.71276,傳,創作料理,Silver,-,4.28,"￥20,000～￥29,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1303/A130302/13046855/
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-5-4 SEIZAN外苑 B1,35.672346,139.713615,フロリレージュ,イノベーティブ・フュージョン,Bronze,-,4.14,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13093814/
新宿区,神楽坂６丁目,-,東京都新宿区神楽坂6-8 ボルゴ大〆 2F,35.702928,139.7376675,ラ・トゥーエル,フレンチ,Bronze,-,3.85,"￥15,000～￥19,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13000457/
新宿区,神楽坂５丁目,-,東京都新宿区神楽坂5-37 高村ビル １Ｆ,35.701317,139.739202,神楽坂 石かわ,日本料理,Silver,-,4.43,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1303/A130302/13004079/
新宿区,神楽坂３丁目,-,東京都新宿区神楽坂3-4,35.700768,139.740984,虎白,日本料理,Silver,-,4.44,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13049130/
新宿区,神楽坂３丁目,-,東京都新宿区神楽坂3-6 神楽坂三丁目テラスB1,35.700975,139.7401965,神楽坂 鉄板焼 中むら,ステーキ・鉄板焼き,Bronze,-,4.07,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13134663/
新宿区,新宿５丁目,-,東京都新宿区新宿5-1-13 ＭＯＡビル 1F,35.69274,139.7123685,ヴィンチェロ,イタリアン,Bronze,-,4.05,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1303/A130302/13004299/
新宿区,新宿３丁目,-,東京都新宿区新宿3-7-5 一兆ビル ２F,35.690922,139.7059695,オステリア・オリエーラ,イタリアン,Bronze,-,3.91,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13099830/
港区,新橋５丁目,虎ノ門広域,東京都港区新橋5-31-3,35.662446,139.755294,新ばし 星野,日本料理,Gold,-,4.71,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1303/A130302/13136847/
港区,新橋４丁目,虎ノ門広域,東京都港区新橋4-9-1 新橋プラザビル B1F,35.664228,139.7564685,レストラン ラ フィネス,フレンチ,Bronze,-,4.27,"￥30,000～￥39,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13139171/
港区,新橋３丁目,虎ノ門広域,東京都港区新橋3-6-13,35.666298,139.7552175,ひろ作,日本料理,Bronze,-,4.26,"￥50,000～￥59,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130302/13015266/
港区,新橋２丁目,虎ノ門広域,東京都港区新橋2-15-10,35.666235,139.756617,新ばし しみづ,寿司,Silver,-,4.27,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13002892/
港区,新橋１丁目,虎ノ門広域,東京都港区新橋1-17-7,35.668422,139.7568645,第三春美鮨,寿司,Bronze,-,3.93,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1303/A130302/13002140/
港区,新橋１丁目,虎ノ門広域,東京都港区新橋1-5-5 グランベル銀座ビル2 7F,35.667576,139.760181,趙楊,中華料理,Bronze,-,4.33,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1303/A130302/13172920/
渋谷区,上原２丁目,-,東京都渋谷区上原2-8-11 TWIZA上原 1F,35.665776,139.6842075,セララバアド,イノベーティブ・フュージョン,Bronze,-,3.86,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1303/A130302/13176914/
渋谷区,上原１丁目,-,東京都渋谷区上原1-1-20 JPビル 2F,35.668323,139.687425,アルドアック,スペイン料理,Bronze,-,3.71,"￥10,000～￥14,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1303/A130302/13141888/
渋谷区,上原１丁目,-,東京都渋谷区上原1-17-7 フレニティハウス 2F,35.66898,139.6825605,イル プレージョ,イタリアン,Bronze,-,3.95,"￥10,000～￥14,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13147391/
渋谷区,上原１丁目,-,東京都渋谷区上原1-32-5 ロイヤルテラス 1F,35.668791,139.680747,ラ・ファソン 古賀,フレンチ,Bronze,-,3.92,"￥10,000～￥14,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130302/13155778/
渋谷区,上原１丁目,-,東京都渋谷区上原1-35-3,35.669538,139.682115,sio,フレンチ,Bronze,-,3.92,"￥15,000～￥19,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13150395/
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷4-1-13,35.659899,139.713066,マノワール・ディノ,フレンチ,Bronze,-,3.84,"￥20,000～￥29,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1303/A130302/13001278/
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-2-2 青山ルカビル B1F,35.660763,139.7085345,ラチュレ,フレンチ,Silver,-,4.35,"￥10,000～￥14,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130302/13198692/
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-3-1 青山ポニーハイム ２Ｆ,35.659926,139.7088045,ラ・ブランシュ,フレンチ,Bronze,-,3.91,"￥15,000～￥19,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13002111/
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-5-9,35.66106,139.705776,くろ﨑,寿司,Bronze,-,4.15,"￥30,000～￥39,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1303/A130302/13178821/
新宿区,住吉町,-,東京都新宿区住吉町2-18 ウィン四谷 1F,35.692101,139.72158,まる富,日本料理,Bronze,-,3.96,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1303/A130302/13158579/
港区,芝公園１丁目,-,東京都港区芝公園1-7-10,35.657406,139.7526345,くろぎ,日本料理,Bronze,-,4.4,"￥50,000～￥59,999","￥50,000～￥59,999",https://tabelog.com/tokyo/A1303/A130302/13094789/
港区,芝公園１丁目,-,東京都港区芝公園1-8-20,35.657514,139.751001,レストラン クレッセント,フレンチ,Bronze,-,3.96,"￥40,000～￥49,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1303/A130302/13001521/
新宿区,四谷４丁目,-,東京都新宿区四谷4-8 ライオンズ四谷タワーゲート店舗棟 B1F,35.687907,139.7163465,はらまさ,日本料理,Bronze,-,4.2,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13151542/
新宿区,四谷１丁目,-,東京都新宿区四谷1-11 陽臨堂ビル １Ｆ,35.685504,139.727952,すし匠,寿司,Silver,-,4.46,"￥20,000～￥29,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1303/A130302/13000852/
新宿区,四谷１丁目,-,東京都新宿区四谷1-22-1,35.687637,139.7275425,三谷,寿司,Gold,-,4.56,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1303/A130302/13042204/
新宿区,四谷１丁目,-,東京都新宿区四谷1-9-4,35.685972,139.728366,くすのき,天ぷら,Silver,Best New Entry,4.52,"￥60,000～￥79,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1303/A130302/13223239/
港区,三田５丁目,-,東京都港区三田5-2-18 三田ハウス 1F,35.647083,139.737609,コート ドール,フレンチ,Silver,-,4.09,"￥20,000～￥29,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13001681/
港区,三田２丁目,-,東京都港区三田2-17-29 グランデ三田 B1F,35.647434,139.740156,日本料理 晴山,日本料理,Silver,-,4.5,"￥20,000～￥29,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13127807/
新宿区,三栄町,-,東京都新宿区三栄町7 ＪＨＣビル 1F,35.688006,139.7270205,北島亭,フレンチ,Bronze,-,4.08,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13000945/
渋谷区,桜丘町,-,東京都渋谷区桜丘町26-1 セルリアンタワー東急ホテル 2F,35.656353,139.699593,スーツァン・レストラン陳 渋谷店,中華料理,Bronze,-,3.91,"￥15,000～￥19,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1303/A130302/13001909/
渋谷区,桜丘町,-,東京都渋谷区桜丘町28-2 三笠ビル 1F,35.655534,139.699206,高太郎,居酒屋,Bronze,-,3.92,"￥6,000～￥7,999",-,https://tabelog.com/tokyo/A1303/A130302/13123997/
港区,高輪３丁目,-,東京都港区高輪3-2-8,35.634996,139.7327625,パティスリー リョーコ,スイーツ,Bronze,-,4.05,"￥1,000～￥1,999",～￥999,https://tabelog.com/tokyo/A1303/A130302/13137010/
新宿区,荒木町,-,東京都新宿区荒木町10-17 101,35.69022,139.7223585,青華こばやし,日本料理,Bronze,-,3.92,"￥30,000～￥39,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1303/A130302/13193077/
新宿区,荒木町,-,東京都新宿区荒木町3-21 宮内ビル 2F,35.688555,139.722642,多仁本,日本料理,Bronze,-,4,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1303/A130302/13207060/
新宿区,荒木町,-,東京都新宿区荒木町8 ネモトビル 1F,35.689869,139.7218995,和食 こんどう,日本料理,Bronze,-,3.82,"￥10,000～￥14,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130302/13150477/
新宿区,荒木町,-,東京都新宿区荒木町15 サンシャトー四谷203,35.691111,139.724379,津の守坂 小柴,日本料理,Bronze,-,4.12,"￥15,000～￥19,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13200286/
渋谷区,広尾５丁目,-,東京都渋谷区広尾5-1-32 ST広尾 2F,35.64927,139.719051,Ode,フレンチ,Bronze,-,3.99,"￥15,000～￥19,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13213368/
渋谷区,広尾５丁目,-,東京都渋谷区広尾5-17-8 アプリシエ広尾 B1F,35.649468,139.720455,ボッテガ,イタリアン,Bronze,-,4.08,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13204358/
渋谷区,広尾５丁目,-,東京都渋谷区広尾5-19-7 協和ビル 1F,35.649036,139.7201805,ポンテ デル ピアット,イタリアン,Bronze,-,3.89,"￥10,000～￥14,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13166111/
渋谷区,広尾１丁目,-,東京都渋谷区広尾1-10-6 プロスペクト グラーサ広尾 1F,35.648379,139.717188,レストラン マノワ,フレンチ,Bronze,-,3.96,"￥10,000～￥14,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13133477/
渋谷区,広尾１丁目,-,東京都渋谷区広尾1-6-13,35.648721,139.7141595,AMOUR,フレンチ,Bronze,-,3.92,"￥15,000～￥19,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13142028/
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-11-14 第二ジェスペールビル １Ｆ,35.668944,139.7501685,と村,日本料理,Silver,-,4.45,"￥50,000～￥59,999",-,https://tabelog.com/tokyo/A1303/A130302/13005027/
港区,元麻布３丁目,-,東京都港区元麻布3-10-2 ヴァンヴェール 2F,35.657307,139.7323035,グリグリ,フレンチ,Bronze,-,3.77,"￥10,000～￥14,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13149114/
港区,元麻布３丁目,-,東京都港区元麻布3-11-3 パティオ麻布十番Ⅱ 3F,35.656857,139.73274,天冨良 よこ田,天ぷら,Bronze,-,3.92,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13001340/
港区,元麻布３丁目,-,東京都港区元麻布3-6-34 カーム元麻布 2Ｆ,35.657055,139.7286945,エクアトゥール,フレンチ,Silver,-,4.64,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130302/13121866/
渋谷区,元代々木町,-,東京都渋谷区元代々木町24-1 アブニ―ル元代々木 1F,35.670663,139.6858545,シャントレル,フレンチ,Bronze,-,3.8,"￥15,000～￥19,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13128296/
港区,元赤坂１丁目,赤坂,東京都港区元赤坂1-5-20 ロイヤル赤坂サルーン1F,35.677602,139.732353,鮨 はしぐち,寿司,Bronze,-,4.56,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1303/A130302/13134517/
港区,元赤坂１丁目,赤坂,東京都港区元赤坂1-5-8 虎屋第２ビル B1F,35.677467,139.7335995,懐石 辻留,日本料理,Bronze,-,3.91,"￥50,000～￥59,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130302/13001228/
渋谷区,恵比寿西２丁目,-,東京都渋谷区恵比寿西2-13-16 ラングス代官山 1F,35.650872,139.706028,TACUBO,イタリアン,Silver,-,4.47,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13109940/
渋谷区,恵比寿西２丁目,-,東京都渋谷区恵比寿西2-17-5 サンビレッジ代官山 2F,35.648937,139.7059425,レクテ,フレンチ,Bronze,-,3.9,"￥15,000～￥19,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13036041/
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-16-7 ハギワラビル 1F,35.648748,139.707036,セルサルサーレ,イタリアン,Bronze,-,3.91,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13166739/
渋谷区,恵比寿２丁目,-,東京都渋谷区恵比寿2-22-10 広尾リバーサイドＧ １Ｆ,35.64792,139.720347,レストラン アラジン,フレンチ,Bronze,-,4.04,"￥10,000～￥14,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13004454/
渋谷区,恵比寿２丁目,-,東京都渋谷区恵比寿2-3-4,35.647938,139.718448,ペレグリーノ,イタリアン,Silver,-,4.74,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1303/A130302/13072775/
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿1-11-5 GEMS恵比寿 8F,35.646327,139.711761,蕃 YORONIKU,焼肉・すき焼き・しゃぶしゃぶ,Silver,-,4.21,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13211927/
中央区,銀座８丁目,-,東京都中央区銀座8-10-2 ルアンビル B1F,35.668026,139.7627145,鮨 あらい,寿司,Gold,-,4.5,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13188186/
中央区,銀座８丁目,-,東京都中央区銀座8-10-3 三鈴ビル Ｂ１Ｆ,35.667999,139.7626605,銀座 鮨 かねさか 本店,寿司,Bronze,-,3.95,"￥30,000～￥39,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13005003/
中央区,銀座８丁目,-,東京都中央区銀座8-18-16,35.666343,139.764645,すし佐竹,寿司,Bronze,-,3.93,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13204429/
中央区,銀座８丁目,-,東京都中央区銀座8-18-3 DJ銀座ビル1F,35.666163,139.7650275,哥利歐,ステーキ・鉄板焼き,Bronze,-,3.82,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13002356/
中央区,銀座８丁目,-,東京都中央区銀座8-2-10 銀座誠和シルバービル B1F,35.669403,139.7595465,鮨 とかみ,寿司,Bronze,-,4.26,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13155234/
中央区,銀座８丁目,-,東京都中央区銀座8-2-8 銀座高本ビル 2F,35.669511,139.7597535,トロワフレーシュ,ステーキ・鉄板焼き,Bronze,-,4.14,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1303/A130302/13130978/
中央区,銀座８丁目,-,東京都中央区銀座8-3-1 銀座時傳ビル 6F,35.669241,139.7592225,青空,寿司,Bronze,-,4.26,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1303/A130302/13032283/
中央区,銀座８丁目,-,東京都中央区銀座8-7-8 GINZA8ビル 3F,35.668296,139.761009,中華たかせ,中華料理,Bronze,-,4.17,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1303/A130302/13199649/
中央区,銀座７丁目,-,東京都中央区銀座7-7-7 GINZA777 ADC BUILDING 6F,35.669241,139.7620395,USHIGORO S. GINZA,焼肉・すき焼き・しゃぶしゃぶ,Bronze,-,4.23,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13222093/
中央区,銀座７丁目,-,東京都中央区銀座7-17-1 武蔵野ビル1F,35.666721,139.7663505,銀座 ひらやま,ステーキ・鉄板焼き,Bronze,-,3.8,"￥60,000～￥79,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1303/A130302/13151917/
中央区,銀座７丁目,-,東京都中央区銀座7-2-8 TAKAYA-GINZAビル B1F,35.670681,139.7603655,サラマンジェ ド イザシ ワキサカ,フレンチ,Bronze,-,3.85,"￥10,000～￥14,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1303/A130302/13151302/
中央区,銀座７丁目,-,東京都中央区銀座7-3-13 銀座第四金井ビル B1F,35.67015,139.7601675,鮨 竜介,寿司,Bronze,-,4.19,"￥30,000～￥39,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13185503/
