指標名,食べログアワード受賞レストラン,,,,,,,,,,,,
出典,The Tabelog Award 2020,,,,,,,,,,,,
年次,2020年,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,
備考,一部レストランは食べログに住所掲載ないため手作業で住所入力,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,アワード追加,星数,夜予算,昼予算,URL
港区,麻布十番２丁目,-,東京都港区麻布十番2-19-10 PIA麻布十番2 3F,35.654832,139.73598,羊SUNRISE,焼肉・すき焼き・しゃぶしゃぶ,Bronze,-,3.99,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13202705/
港区,麻布十番２丁目,-,東京都港区麻布十番2-4-8 麻布十番舘 2F,35.655813,139.734828,プリンチピオ,イタリアン,Bronze,-,3.87,"￥8,000～￥9,999",-,https://tabelog.com/tokyo/A1303/A130302/13144481/
港区,麻布十番２丁目,-,東京都港区麻布十番2-7-2 ローズハウス 1F,35.65593,139.7335545,麻布 かどわき,日本料理,Bronze,-,3.89,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1303/A130302/13001664/
港区,麻布十番２丁目,-,東京都港区麻布十番2-8-6 ラベイユ麻布十番 2F,35.655597,139.7347695,たきや,天ぷら,Silver,-,4.57,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1303/A130302/13185763/
港区,麻布十番２丁目,-,東京都港区麻布十番2-9-5,35.654976,139.7347065,鮓 ふじなが,寿司,Bronze,-,4.39,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1303/A130302/13209440/
港区,麻布十番１丁目,-,東京都港区麻布十番1-5-5 湯建麻布十番ビル 3F,35.657334,139.7329155,麻布 幸村,日本料理,Bronze,-,4.32,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1303/A130302/13005316/
港区,北青山３丁目,-,東京都港区北青山3-13-1 北青山関根ビル B1F,35.664075,139.7094345,日本料理 太月,日本料理,Bronze,-,4.23,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13160021/
千代田区,富士見２丁目,-,東京都千代田区富士見2-13-12 KADOKAWA富士見ビル 9F,35.698068,139.743972,INUA,イノベーティブ・フュージョン,Bronze,-,3.81,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1303/A130302/13223613/
港区,浜松町２丁目,-,東京都港区浜松町2-11-8,35.653689,139.755852,すし処 宮葉,寿司,Bronze,-,3.91,"￥30,000～￥39,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13019499/
新宿区,百人町１丁目,-,東京都新宿区百人町1-24-7 シュミネビル 1F,35.698671,139.6975725,SPICY CURRY 魯珈,アジア・エスニック,Bronze,-,3.98,～￥999,～￥999,https://tabelog.com/tokyo/A1303/A130302/13203027/
渋谷区,鉢山町,-,東京都渋谷区鉢山町14-7,35.650827,139.697064,マダム・トキ,フレンチ,Bronze,-,3.98,"￥15,000～￥19,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13001707/
港区,白金台５丁目,-,東京都港区白金台5-17-10 shiroganedai THE2000 B1F,35.63748,139.7233935,リストランテ センソ,イタリアン,Bronze,-,3.93,"￥15,000～￥19,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13193100/
港区,白金台５丁目,-,東京都港区白金台5-11-3 バルビゾン91 102,35.641206,139.71951,白金台こばやし,日本料理,Bronze,-,3.98,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1303/A130302/13162454/
港区,白金台５丁目,-,東京都港区白金台5-14-8 タイニービル 2F,35.638515,139.7225385,ロマンティコ,イタリアン,Bronze,-,3.94,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13021521/
港区,白金台５丁目,-,東京都港区白金台5-18-17 ゴールドフォレストビル2階,35.637129,139.723362,ジョンティ アッシュ,フレンチ,Bronze,-,3.83,"￥10,000～￥14,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13056132/
