指標名,ホテル,,,,,,,,
出典,Hotels.com,,,,,,,,
年次,GPCI2021,,,,,,,,
URL,https://hotels.com/,,,,,,,,
備考,GPCI-2020：1332軒　GPCI-2021：1649軒,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,室数,ホテルURL
品川区,東五反田５丁目,-,"Higashi-gotanda 1-12-2, Tokyo, 141-0022, Tokyo-to, Japan",35.627130,139.724546,Tokyu Stay Gotanda,3,168,https://www.hotels.com/ho371817
品川区,大崎１丁目,-,"1-6-2 Osaki, Shinagawa-ku, Tokyo, 141-0032, Tokyo-to, Japan",35.620745,139.729697,New Otani Inn Tokyo,3,427,https://www.hotels.com/ho109792
品川区,東品川４丁目,-,"4-13-27 Higashishinagawa, Shinagawa-ku, Tokyo, 1400002, Tokyo-to, Japan",35.610433,139.749945,Hearton Hotel Higashishinagawa,3,448,https://www.hotels.com/ho323244
品川区,大井１丁目,-,"1-50-5 Oi, Shinagawa-ku, Tokyo, 140-0014, Tokyo, Japan",35.605347,139.734593,OURS INN HANKYU,3,1388,https://www.hotels.com/ho910407808
品川区,南品川１丁目,-,"1-1-2, Minami-Shinagawa, Shinagawa-ku, Tokyo, 140-0004, Tokyo, Japan",35.614512,139.741569,Bamba Hotel,3,1,https://www.hotels.com/ho536333
品川区,二葉１丁目,-,"Tokyo Osakaya Mansion 301, Tokyo, 142-0043, Tokyo, Japan",35.607841,139.729036,Osakaya Mansion 301,3,1,https://www.hotels.com/ho1715587392
品川区,東品川３丁目,-,"3 Chome 22-27 Higashi Shinagawa, Tokyo, 1400002, Tokyo, Japan",35.613016,139.745003,Super Hotel Shinagawa Aomonoyokocho,3,109,https://www.hotels.com/ho316128288
品川区,南大井３丁目,-,"3-33-3 Minami-Oi, Shinagawa-Ku, Tokyo, 1400013, Tokyo-to, Japan",35.587677,139.734284,Hotel Sunroute Patio Omori,3,86,https://www.hotels.com/ho323330
品川区,南品川４丁目,-,"4-1-9, MinamiShinagawa, Tokyo, 140-0004, Tokyo, Japan",35.614457,139.737960,GrandTree Shinagawa,3,1,https://www.hotels.com/ho1545556736
品川区,二葉１丁目,-,"Tokyo Osakaya Mansion 302, Tokyo, 142-0043, Tokyo, Japan",35.607841,139.729036,Osakaya Mansion 302,3,1,https://www.hotels.com/ho1715587456
