指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2022/1/26取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間・備考
江東区,豊洲５丁目,-,東京都江東区豊洲6-10-8,35.649711,139.798520,H1-29.スカイズタワー&ガーデン / SKYZ TOWER&GARDEN,-, 24時間 / Open for 24 hours
江東区,東陽４丁目,-,東京都江東区東陽4-11-28,35.672773,139.817271,H1-30.江東区役所（北側） / Koto City Office(North Side),-, 24時間 / Open for 24 hours
江東区,東陽４丁目,-,東京都江東区東陽4-11-28,35.672773,139.817271,H1-31.江東区役所（南側） / Koto City Office(South Side),-, 24時間 / Open for 24 hours
江東区,塩浜２丁目,-,東京都江東区塩浜2-25-1,35.664665,139.814396,H1-32.区営塩浜住宅前 / Shiohama Juutaku,-, 24時間 / Open for 24 hours
江東区,木場１丁目,-,東京都江東区木場1-5,35.667407,139.804069,H1-33.深川ギャザリア（ウエストスクエア） / FUKAGAWA GATHARIA(West Square),-, 24時間 / Open for 24 hours
江東区,門前仲町２丁目,-,東京都江東区門前仲町2-10-4先,35.673400,139.796118,H1-34.門前仲町駅(首都高高架、駐輪場内２階） / Monzen-nakacho Station,-, 24時間 / Open for 24 hours
江東区,豊洲５丁目,-,東京都江東区豊洲5-6-36,35.652218,139.798084,H1-35.ヒューリック豊洲プライムスクエア / Hulic Toyosu Prime Square,-, 24時間 / Open for 24 hours
江東区,木場６丁目,-,東京都江東区木場6-2-6,35.666076,139.807130,H1-36.フジゴルフセンター / Fujigolf Center,-, 24時間 / Open for 24 hours
江東区,東雲２丁目,-,東京都江東区東雲2-15,35.639226,139.800548,H1-37.東雲駅（東京湾岸道路）/ Shinonome Sta.(Wangan Road),-, 24時間 / Open for 24 hours
江東区,辰巳１丁目,-,東京都江東区辰巳1-1-40 辰巳駅西口自転車駐車場内3階,35.646848,139.808886,H1-38.辰巳駅西口自転車駐車場（駐輪場内３階） / Tatsumi station western exit bicycle garage,-, 24時間 / Open for 24 hours
江東区,辰巳１丁目,-,東京都江東区辰巳1-12,35.644890,139.810875,H1-39.辰巳駅東口自転車駐車場 / Tatsumi station east entrance bicycle garaje,-, 24時間 / Open for 24 hours
江東区,門前仲町１丁目,-,東京都江東区門前仲町1-19-15,35.674095,139.794912,H1-40.深川東京モダン館 / Fukagawa Tokyo Modan Kan,-, 24時間 / Open for 24 hours
江東区,平野３丁目,-,東京都江東区平野3-2-30,35.677125,139.804598,H1-41.深川北スポーツセンター / Fukagawa North Sports Center,-, / Open 8:30-20:00休館日 / Closing day毎月第2・4月曜日（祝・休日の場合は翌日）年末年始（12月29日-1月3日）
江東区,北砂１丁目,-,東京都江東区北砂1-2-9,35.684474,139.821382,H1-42.江東区スポーツ会館 / Koto-ku Sports Hall,-, 24時間 / Open for 24 hours
