指標名,バス停,,,,,NAVITIMEの検索区分ではなく、緯度経度情報をもとに位置情報を掲載。,,,,,,,,
出典,NAVITIME,,,,,昨年度から名称が変更されたバス停がある,,,,,,,,
年次,2022/2/3取得,,,,,例：「高齢者ケアセンター」→「かんなみの杜・渋谷」,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,　　「東品川シルバーセンター前」→「東品川ゆうゆうプラザ前」,,,,,,,,
備考,路線ごとに1データあるので、エリアごとのバス停の数が知りたい場合は「1÷路線数」を合計する。,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面１,方面URL1,方面２,方面ULR２
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目２３－１　,35.66368,139.81351,深川八中南,3,0.333,陽１２-３,[都営バス],東京テレポート駅前方面,https://www.navitime.co.jp/diagram/bus/00018299/00004393/1/,東陽町駅前方面,https://www.navitime.co.jp/diagram/bus/00018299/00004393/0/
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目２７　,35.66394,139.81609,東陽橋南,3,0.333,陽１２-２,[都営バス],豊洲市場方面,https://www.navitime.co.jp/diagram/bus/00016398/00004392/1/,東陽町駅前方面,https://www.navitime.co.jp/diagram/bus/00016398/00004392/0/
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目２７　,35.66394,139.81609,東陽橋南,3,0.333,陽１２-１,[都営バス],昭和大学江東豊洲病院前方面,https://www.navitime.co.jp/diagram/bus/00016398/00004391/1/,東陽町駅前方面,https://www.navitime.co.jp/diagram/bus/00016398/00004391/0/
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目２７　,35.66394,139.81609,東陽橋南,3,0.333,陽１２-３,[都営バス],東京テレポート駅前方面,https://www.navitime.co.jp/diagram/bus/00016398/00004393/1/,東陽町駅前方面,https://www.navitime.co.jp/diagram/bus/00016398/00004393/0/
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目５　,35.66162,139.80630,塩浜二丁目(東京都),7,0.143,業１０(新橋-とうきょうスカイツリー駅前),[都営バス],とうきょうスカイツリー駅前方面,https://www.navitime.co.jp/diagram/bus/00016913/00004215/1/,新橋（東京都）方面,https://www.navitime.co.jp/diagram/bus/00016913/00004215/0/
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目５　,35.66162,139.80630,塩浜二丁目(東京都),7,0.143,錦１３(晴海埠頭-錦糸町駅前),[都営バス],錦糸町駅前方面,https://www.navitime.co.jp/diagram/bus/00016913/00004307/1/,晴海埠頭方面,https://www.navitime.co.jp/diagram/bus/00016913/00004307/0/
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目５　,35.66162,139.80630,塩浜二丁目(東京都),7,0.143,錦１３乙,[都営バス],深川車庫前方面,https://www.navitime.co.jp/diagram/bus/00016913/00004309/0/,-,-
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目５　,35.66162,139.80630,塩浜二丁目(東京都),7,0.143,陽１２-２,[都営バス],豊洲市場方面,https://www.navitime.co.jp/diagram/bus/00016913/00004392/1/,東陽町駅前方面,https://www.navitime.co.jp/diagram/bus/00016913/00004392/0/
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目５　,35.66162,139.80630,塩浜二丁目(東京都),7,0.143,陽１２-３,[都営バス],東京テレポート駅前方面,https://www.navitime.co.jp/diagram/bus/00016913/00004393/1/,東陽町駅前方面,https://www.navitime.co.jp/diagram/bus/00016913/00004393/0/
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目５　,35.66162,139.80630,塩浜二丁目(東京都),7,0.143,陽１２-１,[都営バス],昭和大学江東豊洲病院前方面,https://www.navitime.co.jp/diagram/bus/00016913/00004391/1/,東陽町駅前方面,https://www.navitime.co.jp/diagram/bus/00016913/00004391/0/
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目５　,35.66162,139.80630,塩浜二丁目(東京都),7,0.143,木場ルート〔潮見方面〕,[しおかぜ],潮見駅前方面,https://www.navitime.co.jp/diagram/bus/00016913/00084731/1/,-,-
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目５－１５　,35.66236,139.80501,塩崎荘前,1,1.000,木場ルート〔潮見方面〕,[しおかぜ],潮見駅前方面,https://www.navitime.co.jp/diagram/bus/00018258/00084731/1/,-,-
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目７－２１　,35.66315,139.80822,塩浜東,4,0.250,陽１２-１,[都営バス],昭和大学江東豊洲病院前方面,https://www.navitime.co.jp/diagram/bus/00017824/00004391/1/,東陽町駅前方面,https://www.navitime.co.jp/diagram/bus/00017824/00004391/0/
江東区,塩浜２丁目,-,東京都江東区塩浜２丁目７－２１　,35.66315,139.80822,塩浜東,4,0.250,陽１２-２,[都営バス],豊洲市場方面,https://www.navitime.co.jp/diagram/bus/00017824/00004392/1/,東陽町駅前方面,https://www.navitime.co.jp/diagram/bus/00017824/00004392/0/
