,指標名,スタートアップ企業,,,,,,,,,,,
,出典,INITIAL,,,,,,,,,,,
,年次,2021/1/7取得,,,,,,,,,,,
,URL,https://initial.inc/,,,,,,,,,,,
,備考,（2020年10月時点：6471件、2021年１月時点：8785件）,,,,,,,,,,,
,,,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,会社名,Company name,代表者,URL,設立,タイプ,業種
,品川区,西五反田４丁目,-,東京都品川区西五反田４－３０－１５　かむろ坂オーカス４階,35.626458,139.713027,MasterVisions株式会社,"MasterVisions Co., Ltd.",澤山　雄一,-,2015/10/1,未公開企業,コンピューター - ソフトウェア
,品川区,西五反田３丁目,-,東京都品川区西五反田３－１５－６　リードシー目黒不動前２階,35.628116,139.713167,EDGECORTIX株式会社,Edgecortic Inc.,サキャシンガ・ダスグプタ,https://www.edgecortix.com,2019/9/1,未公開企業,-
,品川区,上大崎２丁目,-,東京都品川区上大崎２－２４－９,35.635425,139.713944,ラクスル株式会社,"raksul Co., Ltd.",松本　恭攝,https://corp.raksul.com/,2009/9/1,IPO企業,ビジネスサービス
,品川区,上大崎２丁目,-,東京都品川区上大崎２－２１－,35.637783,139.714034,株式会社ティー・ワイ・オー,TYO Inc.,早川　和良,http://group.tyo.jp/,1982/4/1,IPO企業,-
,品川区,西五反田３丁目,-,東京都品川区西五反田３－１２－１４,35.627487,139.714385,東京技販株式会社,-,柴森謙一,http://www.gihan.co.jp/,1976/1/1,未公開企業,-
,品川区,西五反田３丁目,-,東京都品川区西五反田３－１２－１４　西五反田プレイス８階,35.627487,139.714385,株式会社まぐまぐ,"Magmag, Inc.",松田　誉史,http://www.mag2.co.jp/,1999/1/1,IPO企業,コンピューター - ソフトウェア
,品川区,西五反田３丁目,-,東京都品川区西五反田３－１２－１４　西五反田プレイス１Ｆ２Ｆ,35.627487,139.714385,テテマーチ株式会社,"tete marche CO.,LTD",上田　大介,https://tetemarche.co.jp/,2015/6/1,未公開企業,コンピューター - ITサービス
,品川区,西五反田５丁目,-,東京都品川区西五反田５－７－３　スマータス１０４,35.624977,139.714542,有限会社メンタリング研究所,Mentoring Institute,土屋　里香,http://mentoringlabo.jp/,2002/5/1,未公開企業,-
,品川区,上大崎２丁目,-,東京都品川区上大崎２－２４－１１－２０３,35.635461,139.714557,アスタラビスタ株式会社,-,白石 卓志,http://www.astalavista.jp/,2006/1/1,未公開企業,ビジネスサービス
,品川区,上大崎２丁目,-,東京都品川区上大崎２－２４－１１　目黒西口Ｍ２号館５Ｆ,35.635461,139.714557,株式会社LOCKER ROOM,LOCKER ROOM Inc.,朝岡　優太,https://lockerroom.co.jp/,2021/6/1,未公開企業,消費者向けサービス・販売
,品川区,上大崎２丁目,-,東京都品川区上大崎２－２４－１１　目黒西口Ｍ２号館５Ｆ,35.635461,139.714557,株式会社1LDK,1LDK inc.,朝岡　優太、　長井　隼人,https://oneldk.co.jp/,2020/5/1,未公開企業,消費者向けサービス・販売
,品川区,上大崎２丁目,-,東京都品川区上大崎２丁目２４－１３,35.635228,139.714599,ネクスジェン株式会社,NextGeM Inc.,中島　正和,https://www.nextgem.jp/,2016/4/1,未公開企業,バイオテクノロジー ICT
,品川区,上大崎２丁目,-,東京都品川区上大崎２－２５－５　久米ビル６Ｆ,35.634516,139.714747,株式会社KITOHA,KITOHA,遠藤　直樹,http://kitoha.jp/,2013/7/1,未公開企業,コンピューター - ソフトウェア
,品川区,平塚２丁目,-,東京都品川区平塚２－６－１３　スバルビル７Ｆ,35.617996,139.714765,Rセキュリティ株式会社,"R-security Co., Ltd.",藤原　祥記,http://www.r-security.jp/,2006/10/1,未公開企業,コンピューター - ソフトウェア
,品川区,平塚２丁目,-,東京都品川区平塚２－６－１３　スバルビル７Ｆ,35.617996,139.714765,Rグループ株式会社,"R-group Co., Ltd.",藤原　詳記,http://rgroup-world.com,2013/5/1,未公開企業,コンピューター - ソフトウェア
,品川区,上大崎２丁目,-,東京都品川区上大崎２－２７－１　サンフェリスタ目黒６階,35.634196,139.714882,アイピーフレックス株式会社,-,十川　正明,http://www.ipflex.com/jp/index.html,2000/3/1,未公開企業,半導体/その他電子部品・製品
,品川区,上大崎４丁目,-,東京都品川区上大崎４－５－２６,35.629672,139.714974,アトリエブックアンドベッド株式会社,-,淺井　佳,https://bookandbedtokyo.com/,2016/4/1,未公開企業,消費者向けサービス・販売
,品川区,西五反田５丁目,-,東京都品川区西五反田５－１－３　ヘリオスビル９Ｆ,35.626457,139.715248,アラヤ株式会社,ALAYA INC.,中嶌　重富,https://www.alaya.co.jp/,2004/4/1,未公開企業,ビジネスサービス
,品川区,西五反田３丁目,-,東京都品川区西五反田３－１１－６　サンウェスト山手ビル　１Ｆ,35.627062,139.715370,グレイトフルデイズ株式会社,Grateful Days Inc.,村上　卓郎,http://gdays.jp/,2005/6/1,未公開企業,コンピューター - ITサービス
,品川区,西五反田３丁目,-,東京都品川区西五反田３－１１－６　サンウェスト山手ビル４階,35.627062,139.715370,プレイネクストラボ株式会社,PlayNext Lab Inc.,柏　匠,http://www.playnext-lab.co.jp/,2016/1/1,未公開企業,ビジネスサービス
,品川区,西五反田３丁目,-,東京都品川区西五反田３－１１－６　サンウエスト山手ビル５Ｆ,35.627062,139.715370,モビルス株式会社,Mobilus Corporation,石井　智宏,https://mobilus.co.jp/,2011/9/1,IPO企業,コンピューター - ソフトウェア
,品川区,西五反田３丁目,-,東京都品川区西五反田３丁目１１－６　サンウエスト山手ビル４階,35.627062,139.715370,株式会社Dot Homes,Dot Homes Inc.,留田　紫雲,https://dot-homes.jp/,2015/11/1,未公開企業,ビジネスサービス
,品川区,西五反田３丁目,-,東京都品川区西五反田３丁目１１－６　サンウエスト山手ビル３Ｆ,35.627062,139.715370,株式会社ロジレス,logiless inc.,足立　直之,https://www.logiless.co.jp/,2017/2/1,未公開企業,コンピューター - ソフトウェア
,品川区,上大崎４丁目,-,東京都品川区上大崎４−３−１４　フラワーヒル目黒５０４,35.632670,139.715377,fermata株式会社,fermata inc.,杉本　亜美奈、　中村　寛子,https://www.hellofermata.com/,2019/10/1,未公開企業,消費者向けサービス・販売
,品川区,平塚２丁目,-,東京都品川区平塚２－７－４　Ｃ．Ｕ．Ｔ１０１,35.617198,139.715467,ニジゲンポケット株式会社,Nijigen pocket inc.,魚岸　智弘,http://www.nijigenpocket.com,2013/3/1,未公開企業,コンピューター - ソフトウェア
