指標名,スポーツ施設,,,,,NAVITIMEの取得範囲（検索欄の小カテゴリ）,
出典,NAVITIME,,,,,2020年度納品物　：　スポーツ施設/運動公園、スポーツクラブ/フィットネスクラブ,
年次,2022/2/2取得,,,,,2021年度納品物　：　上記に加え、ゴルフ場（ゴルフ練習場）、テニスコ―ト、,
URL,https://www.navitime.co.jp/,,,,,スポーツスクール、テニススクール、スケート場、プール,
備考,（2020年度：423件、2021年度：912件）※昨年度から、NAVITIMEの取得範囲を拡張。右記のとおり。,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種類
新宿区,神楽坂２丁目,-,東京都新宿区神楽坂2丁目10,35.700818,139.742334,帝拳ボクシングジム,スポーツ施設/運動公園
新宿区,新小川町,-,東京都新宿区新小川町5-16 小宮山ビル 2F,35.706356,139.741528,卓球広場Link(リンク),スポーツ施設/運動公園 
渋谷区,本町１丁目,-,東京都渋谷区本町1丁目55-14,35.683699,139.685262,大正セントラルテニスクラブ新宿,テニスコート
品川区,八潮４丁目,-,東京都品川区八潮4丁目1番19号他,35.592645,139.753132,大井ホッケー競技場,スポーツ施設/運動公園 
品川区,八潮４丁目,-,東京都品川区八潮4丁目1-19,35.592645,139.753132,大井ふ頭中央海浜公園スポーツの森テニスコート,テニスコート
渋谷区,西原１丁目,-,東京都渋谷区西原1-47-8,35.673453,139.684229,代々木西原公園庭球場,テニスコート
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-32-1,35.682391,139.702369,代々木ゴルフスクール,スポーツスクール/体験 
渋谷区,代官山町,-,東京都渋谷区代官山町17-9,35.649064,139.702651,代官山スポーツプラザ,スポーツ施設/運動公園
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-4-7 エルム青山 B1F,35.668701,139.712533,代官山カラテスクール 表参道道場,スポーツスクール/体験
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前3-35-8 ハニービル B1F,35.671862,139.712402,体育指導のスタートライン 明治神宮教室,スポーツスクール/体験
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-18 5F,35.695133,139.77113,体育・スポーツ家庭教師ファースト 東京本社,スポーツスクール/体験
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-21-5,35.682897,139.704261,体育・スポーツ家庭教師のファースト,スポーツスクール/体験
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-8-12,35.680493,139.77028,足柄森林カントリー倶楽部,ゴルフ場 
港区,新橋１丁目,虎ノ門広域,東京都港区新橋1-5-5,35.667611,139.760187,全日本空手道一友会,スポーツスクール/体験
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1-1,35.675875,139.699897,全日本弓道連盟中央道場 明治神宮武道場 至誠館 第二弓道場,スポーツ施設/運動公園 
