指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,,
出典,The Tabelog Award 2021,,,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,,
備考,（2019年度：275件、2020年度：208件、2021年度：211件）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,初選出,星数,口コミ数,夜予算,昼予算,備考,URL
港区,白金６丁目,-,東京都港区白金6-5-5 モリハウス 1F,35.644374,139.72513,私厨房 勇（yung）,中華料理,BRONZE,,4.16,135 件,"￥10,000～￥14,999",,,https://tabelog.com/tokyo/A1316/A131602/13168401/
港区,白金台４丁目,-,東京都港区白金台4-2-7 bld桜なみき 2F,35.639308,139.728016,ShinoiS（シノワ）,中華料理,SILVER,〇,4.25,120 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1316/A131602/13241948/
中央区,銀座５丁目,-,東京都中央区銀座5-6-10 都ビル 4F,35.670841,139.763606,喰善 あべ,懐石・会席料理,BRONZE,,4,100 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1301/A130101/13162190/
港区,白金台５丁目,-,東京都港区白金台5-11-3 バルビゾン91 102,35.641402,139.719325,白金台こばやし,割烹・小料理、懐石・会席料理、和食（その他）,BRONZE,,3.95,85 件,"￥20,000～￥29,999","￥15,000～￥19,999",,https://tabelog.com/tokyo/A1303/A130302/13162454/
渋谷区,千駄ケ谷３丁目,-,東京都渋谷区千駄ヶ谷3-7-13 原宿東急アパートメントＢ１,35.676892,139.704283,sincere（シンシア）,フレンチ,BRONZE,,4.19,216 件,"￥15,000～￥19,999",,,https://tabelog.com/tokyo/A1309/A130901/13194253/
港区,西新橋１丁目,虎ノ門,東京都港区西新橋1-23-7 プレシャスコート虎ノ門1F,35.668225,139.751582,新ばし 笹田（しんばしささだ）,割烹・小料理,BRONZE,,3.86,86 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1301/A130103/13020781/
港区,新橋２丁目,虎ノ門広域,東京都港区新橋2-15-10,35.666416,139.756504,新ばし しみづ（【旧店名】鮨処しみづ）,寿司,BRONZE,,4.2,359 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1301/A130103/13002892/
港区,新橋５丁目,虎ノ門広域,東京都港区新橋5-31-3,35.662453,139.755287,新ばし 星野,懐石・会席料理,GOLD,,4.6,113 件,"￥40,000～￥49,999",,,https://tabelog.com/tokyo/A1314/A131401/13136847/
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-11-10 日総ビル1F,35.660958,139.743766,SUGALABO,イノベーティブ・フュージョン、創作料理,SILVER,,4.57,322 件,"￥50,000～￥59,999",,,https://tabelog.com/tokyo/A1307/A130704/13182678/
中央区,銀座４丁目,-,東京都中央区銀座4-2-15 塚本ビル　Ｂ１Ｆ,35.67261,139.764022,すきやばし 次郎,寿司,BRONZE,,4.09,281 件,"￥50,000～￥59,999","￥50,000～￥59,999",,https://tabelog.com/tokyo/A1301/A130101/13002260/
港区,六本木６丁目,六本木,東京都港区六本木6-12-2 六本木ヒルズ 棟 3F,35.658789,139.729251,すきやばし 次郎 六本木ヒルズ店（Sukiyabashi Jiro）,寿司,BRONZE,,3.91,96 件,"￥30,000～￥39,999","￥20,000～￥29,999",,https://tabelog.com/tokyo/A1307/A130701/13004426/
中央区,銀座６丁目,-,東京都中央区銀座6-3-18 La.La.Grande GINZA 2F,35.67176,139.76127,鮨 さえ喜（さえ㐂）,寿司,BRONZE,,3.97,66 件,"￥40,000～￥49,999",,,https://tabelog.com/tokyo/A1301/A130101/13239506/
港区,六本木１丁目,虎ノ門,東京都港区六本木1-4-5 アークヒルズ サウスタワー 1F,35.665688,139.739419,鮨 しゅんじ,寿司、魚介料理・海鮮料理,SILVER,〇,4.31,70 件,"￥30,000～￥39,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1307/A130701/13246152/
港区,東麻布１丁目,-,東京都港区東麻布1-29-15 東麻布296ビル 1F,35.655406,139.742539,鮨 すが弥,寿司,BRONZE,,4.24,170 件,"￥50,000～￥59,999",,,https://tabelog.com/tokyo/A1314/A131401/13228776/
中央区,新富１丁目,-,東京都中央区新富1-8-2 grandir ginza east 1F,35.672933,139.774458,鮨 はしもと,寿司,SILVER,,4.38,196 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1313/A131301/13238306/
港区,南青山２丁目,-,東京都港区南青山2-11-11 ARISTO南青山 1F,35.67129,139.721068,鮨 龍次郎,寿司,BRONZE,〇,4.32,176 件,"￥30,000～￥39,999","￥15,000～￥19,999",,https://tabelog.com/tokyo/A1306/A130603/13240787/
中央区,銀座８丁目,-,東京都中央区銀座8-10-2 ルアンビル B1F 2F,35.668053,139.762695,鮨 あらい,寿司,GOLD,,4.56,359 件,"￥30,000～￥39,999","￥15,000～￥19,999",,https://tabelog.com/tokyo/A1301/A130101/13188186/
港区,六本木１丁目,虎ノ門,東京都港区六本木1-4-5 アークヒルズサウスタワー 1Ｆ,35.665688,139.739419,鮨 さいとう（【旧店名】鮨かねさか 赤坂店）,寿司,GOLD,,4.61,610 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1308/A130802/13015251/
新宿区,四谷１丁目,-,東京都新宿区四谷1-11 陽臨堂ビル　１Ｆ,35.685497,139.727922,すし匠（すししょう）,寿司,SILVER,,4.35,585 件,"￥30,000～￥39,999","￥2,000～￥2,999",,https://tabelog.com/tokyo/A1309/A130902/13000852/
港区,赤坂４丁目,赤坂,東京都港区赤坂4-2-2 赤坂鳳月堂本店ビル 2F,35.676068,139.735591,すし匠 齋藤（齋藤 さいとう）,寿司,BRONZE,,3.97,169 件,"￥40,000～￥49,999","￥40,000～￥49,999",,https://tabelog.com/tokyo/A1308/A130801/13023988/
中央区,銀座６丁目,-,東京都中央区銀座6-5-15 銀座能楽堂ビル 5F,35.67108,139.762081,鮨 鈴木,寿司,BRONZE,,4.27,179 件,"￥40,000～￥49,999","￥15,000～￥19,999",,https://tabelog.com/tokyo/A1301/A130101/13184367/
中央区,銀座１丁目,-,東京都中央区銀座1-14-14 森川ビル 1F,35.673238,139.769589,鮨 たかはし,寿司,BRONZE,,3.95,191 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1301/A130101/13165933/
中央区,銀座８丁目,-,東京都中央区銀座8-2-10 銀座誠和シルバービル B1F,35.669619,139.759148,鮨 とかみ,寿司,BRONZE,,4.07,331 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1301/A130103/13155234/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F,35.673713,139.759173,鮨 なんば 日比谷,寿司,GOLD,,4.58,314 件,"￥30,000～￥39,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1301/A130102/13219857/
港区,元赤坂１丁目,赤坂,東京都港区元赤坂1-5-20 ロイヤル赤坂サルーン1F,35.67754,139.732442,鮨 はしぐち,寿司,SILVER,,4.35,138 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1308/A130801/13134517/
港区,麻布十番２丁目,-,東京都港区麻布十番2-9-5,35.655003,139.734723,鮓 ふじなが,寿司,BRONZE,,4.26,113 件,"￥40,000～￥49,999","￥50,000～￥59,999 ",【移転前の情報】,https://tabelog.com/tokyo/A1307/A130702/13209440/
中央区,銀座１丁目,-,東京都中央区銀座1-5-14 銀座コシミオンビル 1階,35.674894,139.767141,すし家 一柳,寿司,BRONZE,,3.85,200 件,"￥20,000～￥29,999","￥15,000～￥19,999",,https://tabelog.com/tokyo/A1301/A130101/13156961/
港区,六本木４丁目,六本木,東京都港区六本木4-5-11 ランド六本木ビル B1,35.664838,139.73235,鮨 由う,寿司,BRONZE,,4,290 件,"￥20,000～￥29,999","￥15,000～￥19,999",,https://tabelog.com/tokyo/A1307/A130701/13201640/
中央区,銀座７丁目,-,東京都中央区銀座7-3-13 銀座第四金井ビル B1F,35.670133,139.760159,鮨 竜介,寿司,BRONZE,,3.91,156 件,"￥30,000～￥39,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1301/A130101/13185503/
新宿区,百人町１丁目,-,東京都新宿区百人町1-24-7 シュミネビル 1F,35.698606,139.697569,SPICY CURRY 魯珈（スパイシーカレー ろか）,カレー（その他）、台湾料理、カレーライス,BRONZE,,3.88,777 件,～￥999,～￥999,,https://tabelog.com/tokyo/A1304/A130404/13203027/
渋谷区,宇田川町,-,東京都渋谷区宇田川町11-1 松沼ビル　１Ｆ,35.662568,139.69734,炭火焼 ゆうじ,ホルモン、焼肉,BRONZE,,4.18,720 件,"￥6,000～￥7,999",,,https://tabelog.com/tokyo/A1303/A130301/13001794/
千代田区,六番町,-,東京都千代田区六番町4-3 GEMS市ヶ谷 9F,35.689161,139.735263,炭火焼肉 なかはら,焼肉,BRONZE,,4.06,289 件,"￥15,000～￥19,999",,,https://tabelog.com/tokyo/A1309/A130904/13175110/
港区,白金３丁目,-,東京都港区白金3-14-1 第１マンション　１Ｆ,35.645324,139.728301,炭焼 金竜山（キンリュウサン）,焼肉,BRONZE,,4.28,509 件,"￥10,000～￥14,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1316/A131602/13001625/
中央区,銀座６丁目,-,東京都中央区銀座6-8-7 交詢ビル　4Ｆ,35.67013,139.762859,スリオラ（ZURRIOLA）,スペイン料理、モダンスパニッシュ,BRONZE,,4.19,205 件,"￥15,000～￥19,999","￥8,000～￥9,999",,https://tabelog.com/tokyo/A1301/A130101/13125046/
新宿区,荒木町,-,東京都新宿区荒木町10-17 101,35.690263,139.722386,青華こばやし,割烹・小料理,BRONZE,,3.84,36 件,"￥30,000～￥39,999","￥20,000～￥29,999",,https://tabelog.com/tokyo/A1309/A130903/13193077/
江東区,常盤２丁目,-,東京都江東区常盤2-14-11,35.684352,139.798328,焼肉 静龍苑,焼肉,BRONZE,〇,4.24,296 件,"￥10,000～￥14,999",,,https://tabelog.com/tokyo/A1313/A131303/13237978/
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-30-2,35.68269,139.783768,高柿の鮨,寿司,BRONZE,,3.81,121 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1302/A130204/13231297/
港区,麻布十番２丁目,-,東京都港区麻布十番2-8-6 ラベイユ麻布十番 2F,35.655562,139.734648,たきや,天ぷら,SILVER,,4.47,114 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1307/A130702/13185763/
渋谷区,恵比寿西２丁目,-,東京都渋谷区恵比寿西2-13-16 ラングス代官山 1F,35.650892,139.70602,TACUBO（タクボ）,イタリアン,SILVER,,4.44,353 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1303/A130303/13109940/
港区,南青山２丁目,-,東京都港区南青山2-2-15 ウィン青山 1F,35.671412,139.723884,匠 進吾,寿司,BRONZE,,4.19,146 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1306/A130603/13155925/
新宿区,荒木町,-,東京都新宿区荒木町3-21 宮内ビル 2F,35.688624,139.722753,多仁本,割烹・小料理、懐石・会席料理,BRONZE,,3.96,86 件,"￥20,000～￥29,999","￥20,000～￥29,999",,https://tabelog.com/tokyo/A1309/A130903/13207060/
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-23-3,35.664471,139.704681,玉笑（たまわらい）,そば,BRONZE,,4.16,701 件,"￥5,000～￥5,999","￥2,000～￥2,999",,https://tabelog.com/tokyo/A1306/A130601/13129390/
中央区,銀座１丁目,-,東京都中央区銀座1-22-12 マドリガル銀座 1F,35.671977,139.770794,CHIUnE（チウネ）,イノベーティブ・フュージョン、モダンフレンチ,GOLD,,4.58,173 件,"￥60,000～￥79,999","￥60,000～￥79,999",【移転前の情報】,https://tabelog.com/tokyo/A1301/A130101/13203796/
中央区,銀座８丁目,-,東京都中央区銀座8-7-8 GINZA8ビル 3F,35.668269,139.760998,中華たかせ,広東料理、中華料理,BRONZE,,4.05,47 件,"￥30,000～￥39,999",,【掲載保留】休業期間が未確定、移転・閉店の事実確認ができない,https://tabelog.com/tokyo/A1301/A130101/13199649/
港区,東麻布３丁目,-,東京都港区東麻布3-7-5,35.656281,139.738542,中国飯店 富麗華（チュウゴクハンテンフレイカ）,中華料理,SILVER,,4.2,849 件,"￥10,000～￥14,999","￥3,000～￥3,999",,https://tabelog.com/tokyo/A1307/A130702/13004967/
港区,新橋１丁目,虎ノ門広域,東京都港区新橋1-5-5 グランベル銀座ビル2 7F,35.667611,139.760187,趙楊（チョウヨウ）,中華料理、四川料理、中国鍋・火鍋,BRONZE,,3.86,123 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1301/A130103/13172920/
新宿区,荒木町,-,東京都新宿区荒木町15 サンシャトー四谷203,35.691066,139.724372,津の守坂 小柴,懐石・会席料理,SILVER,,4.21,90 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1309/A130903/13200286/
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-7-1 有楽町電気ビル 1F,35.674507,139.761478,TexturA（テクストゥーラ）,スペイン料理、中華料理,BRONZE,,3.81,526 件,"￥8,000～￥9,999","￥1,000～￥1,999",,https://tabelog.com/tokyo/A1301/A130102/13232958/
中央区,京橋２丁目,日八京,東京都中央区京橋2-5-2 A・M京橋ビル 1F,35.676438,139.770422,てんぷら 深町（ふかまち）,天ぷら,BRONZE,,4.09,506 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1302/A130202/13004105/
新宿区,余丁町,-,東京都新宿区余丁町1-14,35.694901,139.717131,天ぷら 蕎楽亭（テンプラ キョウラクテイ）,天ぷら,BRONZE,,3.67,28 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1309/A130903/13171952/
港区,南青山３丁目,-,東京都港区南青山3-2-4 セントラルNo6B-A,35.667815,139.717196,天ぷら 元吉（てんぷら もとよし）,天ぷら,BRONZE,,4.18,205 件,"￥15,000～￥19,999",,,https://tabelog.com/tokyo/A1306/A130603/13035758/
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-3-18 建築家会館JIA館,35.673176,139.712721,傳（伝 でん）,創作料理,SILVER,,4.27,129 件,"￥20,000～￥29,999","￥20,000～￥29,999",,https://tabelog.com/tokyo/A1306/A130603/13046855/
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町4-1 ホテルニューオータニ 東京 ロビィ階,35.681175,139.734872,トゥールダルジャン 東京（TOUR D'ARGENT）,フレンチ,BRONZE,,4.03,293 件,"￥30,000～￥39,999","￥15,000～￥19,999",,https://tabelog.com/tokyo/A1308/A130803/13000288/
中央区,築地１丁目,-,東京都中央区築地1-5-8 樋泉ビル 1F,35.669911,139.771486,東京チャイニーズ 一凛,四川料理、中華料理、魚介料理・海鮮料理,BRONZE,,3.8,546 件,"￥8,000～￥9,999","￥1,000～￥1,999",,https://tabelog.com/tokyo/A1313/A131301/13153417/
新宿区,大久保１丁目,-,東京都新宿区大久保1-12-3 カーサ第二新宿 1F,35.698559,139.703474,東京肉しゃぶ家,しゃぶしゃぶ、すき焼き、牛料理,BRONZE,,4.16,234 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1304/A130401/13196268/
港区,西麻布４丁目,-,東京都港区西麻布4-11-28 麻布エンパイヤマンション B1F,35.659347,139.722471,とく山（とくやま）,割烹・小料理、ふぐ,BRONZE,,3.91,93 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1307/A130703/13002088/
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-11-14 第二ジェスペールビル　１Ｆ,35.668883,139.750118,と村（とむら）,京料理,BRONZE,,4.26,110 件,"￥50,000～￥59,999",,,https://tabelog.com/tokyo/A1308/A130802/13005027/
江東区,亀戸２丁目,-,東京都江東区亀戸2-24-13,35.698353,139.823798,鳥さわ,焼鳥,BRONZE,,3.84,281 件,"￥6,000～￥7,999",,,https://tabelog.com/tokyo/A1312/A131202/13135959/
港区,西麻布４丁目,-,東京都港区西麻布4-18-17,35.658211,139.718957,鳥さわ22,焼鳥,BRONZE,,4.22,158 件,"￥8,000～￥9,999",,,https://tabelog.com/tokyo/A1307/A130703/13222625/
品川区,上大崎２丁目,-,東京都品川区上大崎2-14-12,35.63428,139.716903,鳥しき（とりしき）,焼鳥,GOLD,,4.55,745 件,"￥6,000～￥7,999","￥8,000～￥9,999",,https://tabelog.com/tokyo/A1316/A131601/13041029/
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-6-5,35.687843,139.698802,鳥茂（とりしげ）,焼きとん、もつ焼き,BRONZE,,4.17,1091 件,"￥8,000～￥9,999",,,https://tabelog.com/tokyo/A1304/A130401/13001067/
中央区,銀座８丁目,-,東京都中央区銀座8-2-8 銀座高本ビル 2F,35.669625,139.759545,トロワフレーシュ（TROIS FLECHES）,ステーキ,BRONZE,,3.9,78 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1301/A130103/13130978/
港区,南青山２丁目,-,東京都港区南青山2-6-15,35.671532,139.722029,NARISAWA（ナリサワ）,イノベーティブ・フュージョン,SILVER,,4.31,455 件,"￥40,000～￥49,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1306/A130603/13005423/
港区,西麻布２丁目,-,東京都港区西麻布2-24-14 バルビゾン73 B1F,35.660258,139.722379,肉割烹 上（ジョウ）,割烹・小料理、ステーキ、焼肉,BRONZE,,4.23,197 件,"￥20,000～￥29,999","￥15,000～￥19,999",,https://tabelog.com/tokyo/A1307/A130701/13209614/
中央区,銀座６丁目,-,東京都中央区銀座6-4-3 GICROS GINZA GEMS 9F,35.671619,139.761961,肉屋 田中,牛料理、割烹・小料理、ステーキ,SILVER,〇,4.37,88 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1301/A130101/13237628/
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2-22-11 井上ビル 1F,35.686312,139.784566,日本橋 蕎ノ字,天ぷら、そば,BRONZE,,4.22,196 件,"￥10,000～￥14,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1302/A130204/13201969/
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F,35.681871,139.784962,日本橋蛎殻町 すぎた,寿司,GOLD,,4.71,399 件,"￥30,000～￥39,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1302/A130204/13018162/
港区,三田２丁目,-,東京都港区三田2-17-29 グランデ三田 B1F,35.647446,139.740161,日本料理 晴山（せいざん）,懐石・会席料理,SILVER,,4.42,467 件,"￥30,000～￥39,999","￥20,000～￥29,999",,https://tabelog.com/tokyo/A1314/A131402/13127807/
港区,北青山３丁目,-,東京都港区北青山3-13-1 北青山関根ビル B1F,35.66408,139.709436,日本料理 太月（タゲツ）,懐石・会席料理,BRONZE,,4.07,260 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1306/A130602/13160021/
港区,南麻布４丁目,-,東京都港区南麻布4-5-66,35.651092,139.723707,長谷川 稔,イノベーティブ・フュージョン、モダンフレンチ、イタリアン,SILVER,,4.53,163 件,"￥50,000～￥59,999","￥50,000～￥59,999",,https://tabelog.com/tokyo/A1307/A130703/13220575/
中央区,銀座６丁目,-,東京都中央区銀座6-7-6 ラペビル3階,35.670511,139.762742,はっこく,寿司,BRONZE,,4.19,290 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1301/A130101/13217157/
新宿区,四谷４丁目,-,東京都新宿区四谷4-8 ライオンズ四谷タワーゲート店舗棟 B1F,35.687999,139.716631,はらまさ,懐石・会席料理、割烹・小料理,BRONZE,,3.99,170 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1309/A130903/13151542/
中央区,銀座８丁目,-,東京都中央区銀座8-3-1 銀座時傳ビル 6F,35.669233,139.759195,青空（はるたか）,寿司,SILVER,,4.33,151 件,"￥40,000～￥49,999",,,https://tabelog.com/tokyo/A1301/A130103/13032283/
港区,高輪３丁目,-,東京都港区高輪3-2-8,35.635047,139.732721,パティスリー リョーコ（PÂTISSERIE RYOCO）,ケーキ、チョコレート、マカロン,BRONZE,,4.12,502 件,"￥4,000～￥4,999",～￥999,,https://tabelog.com/tokyo/A1316/A131603/13137010/
港区,東麻布１丁目,-,東京都港区東麻布1-7-9 ザ・ソノビル 102,35.657309,139.743447,東麻布 天本,寿司,GOLD,,4.59,268 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1314/A131401/13196420/
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-19-12,35.673454,139.710205,樋口（ひぐち）,割烹・小料理,BRONZE,,3.98,100 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1306/A130601/13001215/
港区,麻布十番２丁目,-,東京都港区麻布十番2-19-10 PIA麻布十番2 3F,35.654848,139.736012,羊SUNRISE（ヒツジサンライズ）,ジンギスカン、焼肉、鉄板焼き,BRONZE,,3.87,231 件,"￥10,000～￥14,999",,,https://tabelog.com/tokyo/A1307/A130702/13202705/
港区,新橋３丁目,虎ノ門広域,東京都港区新橋3-6-13,35.666225,139.755171,ひろ作（ひろさく）,割烹・小料理、懐石・会席料理,BRONZE,,3.93,227 件,"￥50,000～￥59,999","￥4,000～￥4,999",,https://tabelog.com/tokyo/A1301/A130103/13015266/
中央区,銀座５丁目,-,東京都中央区銀座5-11-13 幸田ビル 3Ｆ,35.669508,139.765492,ふぐ 福治（ふくじ）,ふぐ,BRONZE,,3.88,107 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1301/A130101/13004009/
中央区,銀座１丁目,-,東京都中央区銀座1-21-14,35.672583,139.770802,フルタ（Furuta）,中華料理,SILVER,,4.41,132 件,"￥100,000～",,,https://tabelog.com/tokyo/A1313/A131301/13176780/
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-5-4 SEIZAN外苑 B1,35.672348,139.713549,フロリレージュ（Florilege）,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,BRONZE,,4.22,390 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1306/A130601/13093814/
港区,白金台５丁目,-,東京都港区白金台5-4-7 1F,35.641768,139.721758,朗 長谷川稔Lab,フレンチ、イノベーティブ・フュージョン,BRONZE,,4.28,125 件,"￥40,000～￥49,999",,【旧店名】broc 長谷川稔Lab,https://tabelog.com/tokyo/A1316/A131602/13236720/
港区,南青山６丁目,-,東京都港区南青山6-4-6 青山ＡＬＬＥＹ 1F,35.661444,139.716471,プリズマ（PRISMA）,イタリアン,BRONZE,,3.93,97 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1306/A130602/13123890/
渋谷区,恵比寿２丁目,-,東京都渋谷区恵比寿2-3-4,35.648018,139.718447,ペレグリーノ（PELLEGRINO）,イタリアン、西洋各国料理（その他）,GOLD,,4.58,132 件,"￥40,000～￥49,999","￥40,000～￥49,999",,https://tabelog.com/tokyo/A1303/A130302/13072775/
渋谷区,広尾５丁目,-,東京都渋谷区広尾5-17-8 アプリシエ広尾 B1F,35.649465,139.720394,ボッテガ（BOTTEGA）,イタリアン、パスタ、ワインバー,BRONZE,,3.94,167 件,"￥10,000～￥14,999",,,https://tabelog.com/tokyo/A1307/A130703/13204358/
渋谷区,代々木４丁目,-,東京都渋谷区代々木4-22-17 クイーンズ代々木 1F,35.681247,139.691276,ボニュ（Bon.nu）,フレンチ、ステーキ、ケーキ,SILVER,,4.46,156 件,"￥30,000～￥39,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1304/A130401/13184186/
品川区,南大井３丁目,-,東京都品川区南大井3-11-5 MAKIMURA BLD 1F,35.590755,139.735386,まき村（まきむら）,懐石・会席料理,SILVER,,4.43,182 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1315/A131502/13003338/
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿1-21-13 BPRレジデンス恵比寿 B1F,35.646809,139.714492,MASA’S KITCHEN 恵比寿（マサズキッチン）,中華料理、担々麺、四川料理,BRONZE,,3.79,702 件,"￥10,000～￥14,999","￥1,000～￥1,999",,https://tabelog.com/tokyo/A1303/A130302/13054526/
渋谷区,鉢山町,-,東京都渋谷区鉢山町14-7,35.65067,139.697162,マダム・トキ（Madame Toki）,フレンチ,BRONZE,,3.91,388 件,"￥15,000～￥19,999","￥6,000～￥7,999",,https://tabelog.com/tokyo/A1303/A130303/13001707/
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-11-6 赤坂テラスハウス １階,35.667485,139.742355,松川,割烹・小料理,GOLD,,4.59,257 件,"￥50,000～￥59,999","￥50,000～￥59,999",,https://tabelog.com/tokyo/A1307/A130701/13124391/
新宿区,住吉町,-,東京都新宿区住吉町2-18 ウィン四谷 1F,35.692099,139.721514,まる富,懐石・会席料理、割烹・小料理、ふぐ,BRONZE,,3.94,85 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1309/A130903/13158579/
江東区,福住１丁目,-,東京都江東区福住1-3-1,35.675455,139.793071,みかわ 是山居（ぜざんきょ）,天ぷら,BRONZE,,4.17,296 件,"￥20,000～￥29,999","￥20,000～￥29,999",,https://tabelog.com/tokyo/A1313/A131303/13090866/
港区,西新橋１丁目,虎ノ門,東京都港区西新橋1-18-8 報徳ビル 1F,35.667583,139.753243,味享（ミタカ）,懐石・会席料理,SILVER,,4.36,75 件,"￥30,000～￥39,999","￥20,000～￥29,999",,https://tabelog.com/tokyo/A1301/A130103/13228116/
新宿区,四谷１丁目,-,東京都新宿区四谷1-22-1,35.687555,139.727875,三谷（ミタニ）,寿司,GOLD,,4.51,208 件,"￥40,000～￥49,999",,,https://tabelog.com/tokyo/A1309/A130902/13042204/
港区,南青山７丁目,-,東京都港区南青山7-13-13 フォレストビル B1F,35.657094,139.718013,南青山 七鳥目,焼鳥,BRONZE,,4.19,178 件,"￥8,000～￥9,999",,,https://tabelog.com/tokyo/A1307/A130703/13200559/
港区,南青山３丁目,-,東京都港区南青山3-10-40 フィオラ南青山ビル 2F,35.666474,139.714235,ミモザ（MIMOSA）,上海料理,BRONZE,,3.87,126 件,"￥15,000～￥19,999",,,https://tabelog.com/tokyo/A1306/A130602/13197047/
港区,赤坂４丁目,赤坂,東京都港区赤坂4-13-18,35.672937,139.7318,メゾン・ド・ユーロン（酒家＿遊龍）,上海料理、担々麺,BRONZE,,3.8,279 件,"￥15,000～￥19,999","￥5,000～￥5,999",,https://tabelog.com/tokyo/A1308/A130801/13002871/
新宿区,市谷台町,-,東京都新宿区市谷台町18-5,35.694565,139.717148,麺庵ちとせ,ラーメン、担々麺、汁なし担々麺,BRONZE,,3.96,496 件,"￥1,000～￥1,999","￥1,000～￥1,999",【移転前の情報】,https://tabelog.com/tokyo/A1305/A130504/13182327/
港区,赤坂３丁目,赤坂,東京都港区赤坂3丁目21−6 ,35.676662,139.736086,もりかわ,割烹・小料理,BRONZE,,3.69,74 件,"￥50,000～￥59,999",,,https://tabelog.com/tokyo/A1308/A130801/13002772/
渋谷区,代々木４丁目,-,東京都渋谷区代々木4-10-7,35.678391,139.69272,焼肉 いぶさな,焼肉,BRONZE,,3.87,56 件,"￥15,000～￥19,999","￥15,000～￥19,999",,https://tabelog.com/tokyo/A1318/A131810/13221220/
