指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,,
出典,The Tabelog Award 2021,,,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,,
備考,（2019年度：275件、2020年度：208件、2021年度：211件）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,初選出,星数,口コミ数,夜予算,昼予算,備考,URL
中央区,銀座５丁目,-,東京都中央区銀座5丁目14−15-1F サンリット銀座ビル,35.668694,139.767025,井雪（いゆき）,懐石・会席料理,SILVER,,4.43,97 件,"￥40,000～￥49,999","￥50,000～￥59,999",,https://tabelog.com/tokyo/A1301/A130101/13030881/
港区,南青山７丁目,-,東京都港区南青山7-11-5 HOUSE7115 B1F,35.658539,139.718591,イル テアトリーノ ダ サローネ（IL TEATRINO DA SALONE）,イタリアン、イノベーティブ・フュージョン、炭火焼き,BRONZE,,3.89,374 件,"￥15,000～￥19,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1307/A130703/13110652/
渋谷区,上原１丁目,-,東京都渋谷区上原1-17-7 フレニティハウス 2F,35.668981,139.68248,イル プレージョ（il Pregio）,イタリアン,BRONZE,,3.84,210 件,"￥10,000～￥14,999","￥5,000～￥5,999",,https://tabelog.com/tokyo/A1318/A131811/13147391/
港区,南麻布４丁目,-,東京都港区南麻布4-12-2 ピュアーレ広尾　２Ｆ,35.647373,139.72403,インカント（incanto）,イタリアン、ワインバー,BRONZE,,3.8,241 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1307/A130703/13043684/
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-8-13 華蓮日本橋ビル 1F,35.680068,139.773402,ウェスタ,ステーキ、フレンチ、魚介料理・海鮮料理,BRONZE,,4.26,97 件,"￥60,000～￥79,999","￥60,000～￥79,999",,https://tabelog.com/tokyo/A1302/A130202/13185496/
中央区,銀座７丁目,-,東京都中央区銀座7-7-7 GINZA777 ADC BUILDING 6F,35.669247,139.76195,USHIGORO S. GINZA,焼肉、割烹・小料理、ステーキ,BRONZE,,4.08,226 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1301/A130101/13222093/
港区,西麻布２丁目,-,東京都港区西麻布2-24-14 バルビゾン73 B1F,35.660258,139.722379,USHIGORO S. NISHIAZABU（ウシゴロ エス）,焼肉、割烹・小料理、ステーキ,BRONZE,,4.1,174 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1307/A130701/13209611/
港区,西麻布４丁目,-,東京都港区西麻布4-11-14 ＦＬＥＧ西麻布ＶＩＥＲＧＥ地階Ａ,35.658175,139.722682,臼杵ふぐ 山田屋 西麻布,ふぐ、懐石・会席料理、魚介料理・海鮮料理,BRONZE,,3.72,78 件,"￥40,000～￥49,999",,,https://tabelog.com/tokyo/A1307/A130703/13034857/
港区,南青山３丁目,-,東京都港区南青山3-2-8 三南ビル　１Ｆ,35.667629,139.717896,海味（うみ）,寿司,BRONZE,,4.05,338 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1306/A130603/13001179/
渋谷区,恵比寿２丁目,-,東京都渋谷区恵比寿2-10-5 ROZIS 1F,35.645687,139.716841,鍈輝,焼鳥,BRONZE,,3.95,111 件,"￥10,000～￥14,999","￥1,000～￥1,999",,https://tabelog.com/tokyo/A1303/A130302/13230923/
港区,元麻布３丁目,-,東京都港区元麻布3-6-34 カーム元麻布 2Ｆ,35.657042,139.728715,エクアトゥール,イノベーティブ・フュージョン、モダンフレンチ,GOLD,,4.49,382 件,"￥40,000～￥49,999","￥40,000～￥49,999",,https://tabelog.com/tokyo/A1307/A130702/13121866/
