指標名,駅,,,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,,,
年次,2022/2/7取得,,,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,,,
備考,新幹線駅除く。,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,緯度,経度,乗降客数（2019年度）,駅コード（路線別）,駅コード（路線不問）
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町２－２,35.69636,139.75908,神保町,新宿線,東京都,35.695966,139.757606,データなし,9930406,2800807
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町２－２,35.69636,139.75908,神保町,新宿線,東京都,35.695966,139.757606,データなし,9930406,2800807
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町２－２,35.69636,139.75908,神保町,半蔵門線,東京地下鉄,35.695966,139.757606,データなし,2800807,2800807
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町２－２,35.69636,139.75908,神保町,半蔵門線,東京地下鉄,35.695966,139.757606,"97,510",2800807,2800807
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町２－２,35.69636,139.75908,神保町,三田線,東京都,35.695492,139.75812,"287,091",9930310,2800807
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町２－６－５,35.68470,139.78225,人形町,日比谷線,東京地下鉄,35.686307,139.782285,"80,099",2800309,2800309
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町２－６－５,35.68660,139.78153,人形町,浅草線,東京都,35.686307,139.782285,"56,210",9930214,2800309
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町２－１－１,35.68241,139.78381,水天宮前,半蔵門線,東京地下鉄,35.682683,139.785377,"84,016",2800810,2800309
千代田区,神田三崎町２丁目,-,東京都千代田区三崎町２丁目,35.70071,139.75417,水道橋,中央線,東日本旅客鉄道,35.702039,139.754312,"166,716",1131317,1131317
江東区,清澄３丁目,-,東京都江東区白河１－７－１４,35.68091,139.79795,清澄白河,半蔵門線,東京地下鉄,35.682105,139.798851,"58,961",2800811,2800811
江東区,白河１丁目,-,東京都江東区白河１－７－１４,35.68232,139.79984,清澄白河,大江戸線,東京都,35.682105,139.798851,"43,537",9930115,2800811
品川区,小山６丁目,-,東京都品川区小山６－３－１０,35.61415,139.69828,西小山,目黒線,東京急行電鉄,35.615455,139.698694,"37,342",2600204,2600204
新宿区,西新宿８丁目,-,東京都新宿区西新宿６－７－５１,35.69585,139.69244,西新宿,丸ノ内線,東京地下鉄,35.694298,139.692778,"91,457",2800219,2800219
新宿区,西新宿５丁目,-,東京都新宿区西新宿５－２５－９,35.69283,139.68551,西新宿五丁目,大江戸線,東京都,35.689798,139.684304,"36,022",9930129,9930129
新宿区,戸山３丁目,-,東京都新宿区西早稲田二丁目,35.70627,139.71246,西早稲田,副都心線,東京地下鉄,35.708242,139.709101,"39,863",2801011,2801011
品川区,西大井１丁目,-,東京都品川区西大井１丁目,35.60162,139.72173,西大井,湘南新宿ライン,東日本旅客鉄道株式会社,35.601616,139.721729,データなし,1133308,1130804
品川区,西大井６丁目,-,東京都品川区西大井１丁目,35.60099,139.71702,西大井,横須賀線,東日本旅客鉄道,35.601616,139.721729,"31,666",1130804,1130804
江東区,大島１丁目,-,東京都江東区大島２－４１－１９,35.68722,139.82345,西大島,新宿線,東京都,35.689349,139.826206,"29,561",9930414,9930414
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町１－３０－１,35.69532,139.70100,西武新宿,西武新宿線,西武鉄道,35.696254,139.7,"183,666",2200701,2200701
江東区,青海１丁目,-,東京都江東区青海１,35.62519,139.77813,青海,東京臨海新交通臨海線,ゆりかもめ,35.62467,139.781132,"11,884",9931110,9931110
港区,南青山１丁目,-,東京都港区南青山１－１－１９,35.66981,139.72523,青山一丁目,銀座線,東京地下鉄,35.672765,139.724159,"116,962",2800116,2800116
港区,元赤坂２丁目,-,東京都港区南青山１－１－１９,35.67768,139.72637,青山一丁目,大江戸線,東京都,35.672929,139.72396,"77,984",9930125,2800116
港区,元赤坂２丁目,-,東京都港区南青山１－１－１９,35.67768,139.72637,青山一丁目,半蔵門線,東京地下鉄,35.672765,139.724159,データなし,2800803,2800116
品川区,南品川３丁目,-,東京都品川区南品川３－１－２０,35.60874,139.74383,青物横丁,京急本線,京浜急行電鉄,35.609351,139.742958,"43,796",2700105,2700105
港区,東麻布１丁目,-,東京都港区東麻布１－２８－１３,35.65666,139.74378,赤羽橋,大江戸線,東京都,35.655007,139.743642,"42,784",9930122,9930122
港区,赤坂２丁目,赤坂,東京都港区赤坂５丁目,35.67079,139.74006,赤坂,千代田線,東京地下鉄,35.67323,139.738348,"96,839",2800515,2800515
港区,赤坂３丁目,赤坂,東京都港区赤坂３－１－６,35.67532,139.73715,赤坂見附,銀座線,東京地下鉄,35.677021,139.737047,"121,665",2800115,2800115
港区,赤坂３丁目,赤坂,東京都港区赤坂３－１－６,35.67532,139.73715,赤坂見附,丸ノ内線,東京地下鉄,35.677021,139.737047,データなし,2800213,2800115
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ヶ谷一丁目３５－１０,35.67951,139.71108,千駄ヶ谷,中央線,東日本旅客鉄道,35.681231,139.711644,"34,536",1131312,1131312
港区,高輪２丁目,-,東京都港区高輪２－１６－３４,35.63746,139.73687,泉岳寺,浅草線,東京都,35.638692,139.74002,"223,574",9930207,2700101
港区,高輪２丁目,-,東京都港区高輪２－１６－３４,35.63746,139.73687,泉岳寺,京急本線,京浜急行電鉄,35.638692,139.74002,データなし,2700101,2700101
新宿区,早稲田町,-,東京都新宿区早稲田南町１２,35.70606,139.72273,早稲田,東西線,東京地下鉄,35.705723,139.721319,"81,284",2800404,2800404
新宿区,西早稲田１丁目,-,東京都新宿区西早稲田一丁目,35.70970,139.71893,早稲田,荒川線,東京都,35.711848,139.718928,"3,179",9930530,9930530
渋谷区,代官山町,-,東京都渋谷区代官山町１９－４,35.65062,139.70427,代官山,東横線,東京急行電鉄,35.648193,139.703284,"31,241",2600102,2600102
渋谷区,代々木１丁目,-,東京都渋谷区代々木一丁目３５－５,35.68238,139.69990,代々木,大江戸線,東京都,35.683218,139.701666,"38,284",9930127,1130207
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区代々木一丁目３４－１,35.68539,139.70300,代々木,山手線,東日本旅客鉄道,35.683061,139.702042,データなし,1130207,1130207
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区代々木一丁目３４－１,35.68539,139.70300,代々木,中央線,東日本旅客鉄道,35.683061,139.702042,"140,958",1131311,1130207
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ケ谷１丁目,35.66734,139.69016,代々木公園,千代田線,東京地下鉄,35.669187,139.689099,"29,250",2800519,2500104
渋谷区,上原１丁目,-,東京都渋谷区西原３丁目,35.66902,139.68397,代々木上原,小田原線,小田急電鉄,35.669159,139.680153,"283,238",2500105,2500105
渋谷区,上原１丁目,-,東京都渋谷区西原３丁目,35.66902,139.68397,代々木上原,千代田線,東京地下鉄,35.669159,139.680153,データなし,2800520,2500105
渋谷区,代々木５丁目,-,東京都渋谷区代々木５丁目,35.67378,139.68965,代々木八幡,小田原線,小田急電鉄,35.669715,139.688913,"20,580",2500104,2500104
港区,台場２丁目,-,東京都港区台場２－６,35.62764,139.77597,台場,東京臨海新交通臨海線,ゆりかもめ,35.625908,139.771435,"21,421",9931107,9931107
品川区,勝島２丁目,-,東京都品川区勝島２－２－３５,35.60786,139.76928,大井競馬場前,東京モノレール羽田空港線,東京モノレール,35.595006,139.74708,"11,361",9933603,9933603
品川区,大井１丁目,-,東京都品川区大井１丁目,35.60585,139.73265,大井町,大井町線,東京急行電鉄,35.607535,139.735025,"143,527",2600401,1133228
品川区,大井１丁目,-,東京都品川区大井１丁目,35.60585,139.73265,大井町,りんかい線,東京臨海高速鉄道,35.607535,139.735025,"88,092",9933707,1133228
品川区,大井１丁目,-,東京都品川区大井１丁目,35.60585,139.73265,大井町,京浜東北線,東日本旅客鉄道,35.606257,139.73485,"211,676",1133228,1133228
新宿区,百人町１丁目,-,東京都新宿区百人町１丁目,35.69988,139.69924,大久保,中央線,東日本旅客鉄道,35.700784,139.69732,"56,700",1131309,1131309
品川区,大崎１丁目,-,東京都品川区大崎一丁目２１－４,35.62008,139.72947,大崎,りんかい線,東京臨海高速鉄道,35.619772,139.728439,データなし,9933708,1130201
品川区,大崎１丁目,-,東京都品川区大崎一丁目21-4,35.61977,139.72844,大崎,湘南新宿ライン,東日本旅客鉄道株式会社,35.619772,139.728439,データなし,1133307,1130201
品川区,大崎１丁目,-,東京都品川区大崎一丁目21-4,35.62008,139.72947,大崎,埼京線,東日本旅客鉄道株式会社,35.619772,139.728439,データなし,1132101,1130201
品川区,大崎１丁目,-,東京都品川区大崎一丁目２１－４,35.62008,139.72947,大崎,山手線,東日本旅客鉄道,35.619772,139.728439,"346,272",1130201,1130201
品川区,大崎４丁目,-,東京都品川区大崎４－１－１,35.62027,139.72233,大崎広小路,池上線,東京急行電鉄,35.622244,139.722339,"8,633",2600502,2600502
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目,35.68811,139.76382,大手町,丸ノ内線,東京地下鉄,35.686564,139.7662,"365,972",2800208,2800208
千代田区,丸の内１丁目,大丸有,東京都千代田区大手町１丁目,35.68151,139.76699,大手町,千代田線,東京地下鉄,35.686154,139.763399,データなし,2800510,2800208
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目,35.68811,139.76382,大手町,東西線,東京地下鉄,35.684801,139.766086,データなし,2800409,2800208
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目,35.68811,139.76382,大手町,半蔵門線,東京地下鉄,35.68686,139.764107,データなし,2800808,2800208
千代田区,丸の内１丁目,大丸有,東京都千代田区大手町１丁目,35.68151,139.76699,大手町,三田線,東京都,35.684856,139.762959,"110,710",9930309,2800208
品川区,南大井３丁目,-,東京都品川区南大井３－３２－１,35.59010,139.73452,大森海岸,京急本線,京浜急行電鉄,35.587576,139.73544,"16,501",2700108,2700108
江東区,大島６丁目,-,東京都江東区大島５－１０－８,35.69186,139.83466,大島,新宿線,東京都,35.689905,139.83565,"34,111",9930415,9930415
港区,芝大門１丁目,-,東京都港区浜松町１－２７－１２,35.65861,139.75381,大門,浅草線,東京都,35.656785,139.75466,"251,030",9930209,9930121
港区,浜松町２丁目,-,東京都港区浜松町１－２７－１２,35.65486,139.75568,大門,大江戸線,東京都,35.656785,139.75466,データなし,9930121,9930121
江東区,辰巳１丁目,-,東京都江東区辰巳一丁目１－４４,35.64865,139.80932,辰巳,有楽町線,東京地下鉄,35.645576,139.81052,"30,603",2800623,2800623
千代田区,神田小川町１丁目,-,東京都千代田区神田淡路町１－２,35.69467,139.76634,淡路町,丸ノ内線,東京地下鉄,35.695434,139.767575,"61,863",2800207,1131203
中央区,築地３丁目,-,東京都中央区築地３－１５－１,35.66777,139.77341,築地,日比谷線,東京地下鉄,35.668115,139.772603,"71,205",2800312,2800312
中央区,築地５丁目,-,東京都中央区築地５－１－２,35.66329,139.76767,築地市場,大江戸線,東京都,35.664895,139.766915,"26,265",9930119,9930119
千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋１－１－１,35.69151,139.75686,竹橋,東西線,東京地下鉄,35.690662,139.756817,"49,315",2800408,2800408
港区,海岸１丁目,-,東京都港区海岸１－１３－１０,35.65578,139.76077,竹芝,東京臨海新交通臨海線,ゆりかもめ,35.654099,139.762037,"4,508",9931103,9931103
新宿区,中落合１丁目,-,東京都新宿区中落合１－１９－１,35.71679,139.69076,中井,西武新宿線,西武鉄道,35.715106,139.686967,"29,347",2200704,2200704
新宿区,上落合２丁目,-,東京都新宿区中落合１－１９－１,35.71336,139.68799,中井,大江戸線,東京都,35.714035,139.686356,"25,767",9930132,2200704
品川区,中延４丁目,-,東京都品川区中延４－５－５,35.60522,139.71108,中延,大井町線,東京急行電鉄,35.60571,139.712526,"24,503",2600404,2600404
品川区,豊町６丁目,-,東京都品川区中延４－５－５,35.60478,139.71593,中延,浅草線,東京都,35.605769,139.713736,"31,947",9930203,2600404
江東区,潮見２丁目,-,東京都江東区潮見２丁目,35.65821,139.81750,潮見,京葉線,東日本旅客鉄道,35.658702,139.817341,"27,130",1132604,1132604
品川区,東品川２丁目,-,東京都品川区東品川２－５－１９,35.62184,139.74980,天王洲アイル,東京モノレール羽田空港線,東京モノレール,35.622908,139.750675,"34,128",9933602,9933602
品川区,東品川２丁目,-,東京都品川区東品川２－５－１９,35.62184,139.74980,天王洲アイル,りんかい線,東京臨海高速鉄道,35.620562,139.750793,"42,205",9933705,9933602
港区,芝浦３丁目,-,東京都港区芝五丁目33-36,35.645736,139.747575,田町,山手線,東日本旅客鉄道株式会社,35.645736,139.747575,データなし,1133226,1130228
港区,芝浦３丁目,-,東京都港区芝五丁目３３－３６,35.64416,139.74792,田町,京浜東北線,東日本旅客鉄道,35.645736,139.747575,"312,728",1130228,1130228
新宿区,西新宿２丁目,-,東京都新宿区西新宿２－８－１,35.68939,139.69173,都庁前,大江戸線,東京都,35.690551,139.69257,"51,967",9930101,9930101
江東区,東雲２丁目,-,東京都江東区東雲２－８－１０,35.64052,139.80164,東雲,りんかい線,東京臨海高速鉄道,35.640987,139.804395,"14,673",9933702,9933702
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.68151,139.76699,東京,丸ノ内線,東京地下鉄,35.681753,139.764708,"216,749",2800209,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.68151,139.76699,東京,京浜東北線,東日本旅客鉄道,35.681391,139.766103,データなし,1133222,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.68151,139.76699,東京,京浜東北線,東日本旅客鉄道,35.681391,139.766103,データなし,1133222,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.68151,139.76699,東京,京葉線,東日本旅客鉄道,35.681391,139.766103,データなし,1132601,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目９－１,35.68151,139.76699,東京,山手線,東日本旅客鉄道,35.681391,139.766103,データなし,1130224,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.68151,139.76699,東京,総武線,東日本旅客鉄道,35.681391,139.766103,データなし,1131401,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.68151,139.76699,東京,東海道本線(東京～熱海),東日本旅客鉄道,35.681391,139.766103,データなし,1130101,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.68151,139.76699,東京,横須賀線,東日本旅客鉄道,35.681391,139.766103,データなし,1130101,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.68151,139.76699,東京,中央本線(東京～塩尻),東日本旅客鉄道,35.681391,139.766103,データなし,1130101,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.68151,139.76699,東京,中央線(快速),東日本旅客鉄道,35.681391,139.766103,データなし,1130101,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.68151,139.76699,東京,総武本線,東日本旅客鉄道,35.681391,139.766103,データなし,1130101,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.68151,139.76699,東京,成田エクスプレス,東日本旅客鉄道,35.681391,139.766103,データなし,1130101,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.68151,139.76699,東京,上野東京ライン,東日本旅客鉄道,35.681391,139.766103,データなし,1130101,1130101
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.68151,139.76699,東京,東海道線,東日本旅客鉄道,35.681391,139.766103,"934,330",1130101,1130101
江東区,青海１丁目,-,東京都江東区青海１－２,35.62519,139.77813,東京テレポート,りんかい線,東京臨海高速鉄道,35.62753,139.778896,"67,379",9933704,9933704
江東区,有明３丁目,-,東京都江東区有明三丁目６－１５,35.63012,139.79212,東京ビッグサイト,東京臨海新交通臨海線,ゆりかもめ,35.630158,139.791228,"16,690",9931111,9931111
江東区,青海１丁目,-,東京都江東区青海１丁目１－４９,35.62519,139.77813,東京国際クルーズターミナル,東京臨海新交通臨海線,ゆりかもめ,35.621462,139.773157,"3,191",9931108,9931108
中央区,銀座４丁目,-,東京都中央区銀座４－１２－１５,35.67102,139.76634,東銀座,日比谷線,東京地下鉄,35.669464,139.767253,"91,855",2800313,2800313
中央区,銀座４丁目,-,東京都中央区銀座４－１２－１５,35.67102,139.76634,東銀座,浅草線,東京都,35.669464,139.767253,"86,726",9930211,2800313
新宿区,新宿６丁目,-,東京都新宿区新宿７－２７－３,35.69536,139.70973,東新宿,大江戸線,東京都,35.69792,139.707549,"42,014",9930103,2801012
新宿区,新宿６丁目,-,東京都新宿区新宿７－２７－３,35.69536,139.70973,東新宿,副都心線,東京地下鉄,35.698915,139.707593,"43,747",2801012,2801012
江東区,大島９丁目,-,東京都江東区大島９－３－１４,35.69050,139.84607,東大島,新宿線,東京都,35.690355,139.845963,"32,240",9930416,9930416
中央区,東日本橋１丁目,-,東京都中央区東日本橋３－１１－８,35.69165,139.78694,東日本橋,浅草線,東京都,35.692126,139.784821,"84,888",9930215,1131403
江東区,東陽４丁目,-,東京都江東区東陽４－２－１,35.67176,139.81794,東陽町,東西線,東京地下鉄,35.669629,139.817596,"122,629",2800414,2800414
港区,新橋１丁目,虎ノ門広域,東京都千代田区内幸町２－２－３,35.66804,139.75803,内幸町,三田線,東京都,35.66975,139.75561,"44,741",9930307,9930307
江東区,新砂３丁目,-,東京都江東区南砂３－１１－８５,35.65984,139.83727,南砂町,東西線,東京地下鉄,35.668796,139.83065,"60,969",2800415,2800415
渋谷区,代々木２丁目,-,東京都渋谷区代々木２丁目,35.68534,139.69835,南新宿,小田原線,小田急電鉄,35.683483,139.69867,"3,977",2500102,2500102
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目,35.68038,139.76325,二重橋前,千代田線,東京地下鉄,35.681071,139.761948,"41,352",2800511,2800511
港区,海岸２丁目,-,東京都港区海岸２－７－６８,35.64923,139.75905,日の出,東京臨海新交通臨海線,ゆりかもめ,35.649136,139.75906,"2,322",9931104,9931104
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目,35.67405,139.76016,日比谷,日比谷線,東京地下鉄,35.67459,139.76017,"116,808",2800315,1130225
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目,35.67405,139.76016,日比谷,千代田線,東京地下鉄,35.674241,139.758732,データなし,2800512,1130225
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目,35.67405,139.76016,日比谷,三田線,東京都,35.676036,139.759998,"95,622",9930308,1130225
中央区,日本橋２丁目,日八京,東京都中央区日本橋１丁目,35.68125,139.77405,日本橋,銀座線,東京地下鉄,35.682078,139.773516,データなし,2800109,2800109
中央区,日本橋２丁目,日八京,東京都中央区日本橋１丁目,35.68125,139.77405,日本橋,東西線,東京地下鉄,35.682078,139.773516,"199,797",2800410,2800109
中央区,日本橋１丁目,日八京,東京都中央区日本橋１丁目,35.68280,139.77535,日本橋,浅草線,東京都,35.681688,139.775721,"101,779",9930213,2800109
港区,六本木７丁目,六本木,東京都港区南青山１丁目,35.66418,139.72778,乃木坂,千代田線,東京地下鉄,35.666572,139.726215,"42,374",2800516,2800516
中央区,日本橋馬喰町１丁目,-,東京都中央区日本橋横山町４－１３,35.69343,139.78220,馬喰横山,新宿線,東京都,35.69212,139.782768,"118,024",9930409,1131403
中央区,日本橋馬喰町１丁目,-,東京都中央区日本橋馬喰町１丁目,35.69343,139.78220,馬喰町,総武線,東日本旅客鉄道,35.693365,139.78238,"52,384",1131403,1131403
港区,高輪１丁目,-,東京都港区高輪１－３－２０,35.64034,139.73500,白金高輪,南北線,東京地下鉄,35.642903,139.734104,"42,763",2800917,2800917
港区,高輪１丁目,-,東京都港区高輪１－３－２０,35.64034,139.73500,白金高輪,三田線,東京都,35.642903,139.734104,データなし,9930303,2800917
港区,白金台３丁目,-,東京都港区白金台３－２,35.63615,139.72526,白金台,三田線,東京都,35.637917,139.726133,データなし,9930302,2800918
港区,白金台３丁目,-,東京都港区白金台３－２,35.63615,139.72526,白金台,南北線,東京地下鉄,35.637917,139.726133,"17,677",2800918,2800918
渋谷区,西原１丁目,-,東京都渋谷区幡ヶ谷一丁目,35.67537,139.68121,幡ヶ谷,京王線,京王電鉄,35.677061,139.676183,"32,604",2400703,2400103
中央区,八丁堀２丁目,-,東京都中央区八丁堀３丁目,35.67654,139.77623,八丁堀,日比谷線,東京地下鉄,35.674851,139.776982,"117,546",2800311,1132602
中央区,八丁堀３丁目,-,東京都中央区八丁堀３丁目,35.67561,139.77495,八丁堀,京葉線,東日本旅客鉄道,35.674617,139.777705,"71,528",1132602,1132602
千代田区,麹町１丁目,-,東京都千代田区麹町１－６,35.68460,139.74311,半蔵門,半蔵門線,東京地下鉄,35.685703,139.74163,"91,881",2800805,2800805
新宿区,下宮比町,-,東京都新宿区神楽坂一丁目１３,35.70333,139.74366,飯田橋,南北線,東京地下鉄,35.701934,139.743669,データなし,2800910,1131316
新宿区,神楽坂１丁目,-,東京都新宿区神楽坂一丁目１３,35.69972,139.74180,飯田橋,有楽町線,東京地下鉄,35.701934,139.743669,データなし,2800613,1131316
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋四丁目１０－３,35.70135,139.74871,飯田橋,東西線,東京地下鉄,35.701725,139.745986,"194,569",2800406,1131316
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋四丁目１０－２,35.70135,139.74871,飯田橋,中央線,東日本旅客鉄道,35.701835,139.745143,"185,976",1131316,1131316
港区,南青山３丁目,-,東京都港区北青山３丁目,35.66646,139.71537,表参道,銀座線,東京地下鉄,35.665247,139.712314,"183,989",2800118,2800118
港区,北青山３丁目,-,東京都港区北青山３丁目,35.66626,139.71228,表参道,半蔵門線,東京地下鉄,35.665247,139.712314,データなし,2800802,2800118
渋谷区,神宮前５丁目,-,東京都港区北青山３丁目,35.66461,139.70620,表参道,千代田線,東京地下鉄,35.665247,139.712314,データなし,2800517,2800118
港区,高輪３丁目,-,東京都港区高輪三丁目２６－２６,35.63185,139.73440,品川,京急本線,京浜急行電鉄,35.628284,139.73809,"285,582",2700102,1130103
港区,港南２丁目,-,東京都港区高輪三丁目２６－２７,35.63086,139.73965,品川,山手線,東日本旅客鉄道,35.62876,139.738999,"766,884",1130103,1130103
港区,港南２丁目,-,東京都港区高輪三丁目２６－２７,35.63086,139.73965,品川,横須賀線,東日本旅客鉄道,35.62876,139.738999,データなし,1130103,1130103
港区,港南２丁目,-,東京都港区高輪三丁目２６－２７,35.63086,139.73965,品川,成田エクスプレス,東日本旅客鉄道,35.62876,139.738999,データなし,1130103,1130103
港区,港南２丁目,-,東京都港区高輪三丁目２６－２７,35.63086,139.73965,品川,東海道本線,東日本旅客鉄道,35.62876,139.738999,データなし,1130103,1130103
品川区,東品川４丁目,-,東京都品川区東品川４－１２－２２,35.60924,139.74779,品川シーサイド,りんかい線,東京臨海高速鉄道,35.608524,139.749549,"48,462",9933706,9933706
港区,浜松町２丁目,-,東京都港区浜松町二丁目４－１２,35.65486,139.75568,浜松町,東京モノレール羽田空港線,東京モノレール,35.655666,139.756747,"117,370",9933601,1130227
港区,海岸１丁目,-,東京都港区海岸一丁目3-1,35.655391,139.757135,浜松町,山手線,東日本旅客鉄道株式会社,35.655391,139.757135,データなし,1130227,1130227
港区,海岸１丁目,-,東京都港区海岸一丁目３－１,35.65578,139.76077,浜松町,京浜東北線,東日本旅客鉄道,35.655391,139.757135,"324,286",1130227,1130227
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町２－５９－３,35.68794,139.78818,浜町,新宿線,東京都,35.688516,139.788154,"23,188",9930410,9930410
品川区,西五反田５丁目,-,東京都品川区西五反田５－１２－１,35.62409,139.71374,不動前,目黒線,東京急行電鉄,35.626526,139.71469,"31,573",2600202,2600202
品川区,小山３丁目,-,東京都品川区小山３－４－８,35.61996,139.70535,武蔵小山,目黒線,東京急行電鉄,35.620538,139.704524,"53,193",2600203,2600203
中央区,京橋２丁目,日八京,東京都中央区京橋２－１３－１１,35.67663,139.77122,宝町,浅草線,東京都,35.675461,139.771767,"32,982",9930212,2800110
江東区,豊洲５丁目,-,東京都江東区豊洲二丁目２,35.65148,139.79640,豊洲,東京臨海新交通臨海線,ゆりかもめ,35.653792,139.795414,"28,916",9931116,2800622
江東区,豊洲３丁目,-,東京都江東区豊洲四丁目１－１,35.65799,139.79620,豊洲,有楽町線,東京地下鉄,35.654908,139.79621,"227,843",2800622,2800622
渋谷区,千駄ケ谷３丁目,-,東京都渋谷区千駄ヶ谷４丁目,35.67602,139.70617,北参道,副都心線,東京地下鉄,35.678459,139.705453,"24,879",2801014,2801014
品川区,北品川１丁目,-,東京都品川区北品川１－１－４,35.62237,139.73987,北品川,京急本線,京浜急行電鉄,35.622458,139.739191,"9,538",2700103,2700103
港区,麻布十番４丁目,-,東京都港区麻布十番４－４－９,35.65402,139.73728,麻布十番,南北線,東京地下鉄,35.654682,139.737051,"49,267",2800916,2800916
港区,麻布十番１丁目,-,東京都港区麻布十番４－４－９,35.65669,139.73508,麻布十番,大江戸線,東京都,35.656503,139.736116,"37,018",9930123,2800916
千代田区,外神田４丁目,-,東京都千代田区外神田４－７－３,35.70076,139.77232,末広町,銀座線,東京地下鉄,35.702972,139.771713,"26,689",2800106,2800106
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前１丁目,35.66593,139.70351,明治神宮前,千代田線,東京地下鉄,35.669071,139.703995,"111,354",2800518,1130206
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前１丁目,35.67194,139.70541,明治神宮前,副都心線,東京地下鉄,35.668497,139.705367,データなし,2801015,1130206
新宿区,西早稲田３丁目,-,東京都新宿区西早稲田３,35.71207,139.71362,面影橋,荒川線,東京都,35.712981,139.714444,822,9930529,9930529
江東区,木場５丁目,-,東京都江東区木場５－５－１,35.67077,139.80760,木場,東西線,東京地下鉄,35.669351,139.807042,"77,866",2800413,2800413
品川区,上大崎４丁目,-,東京都品川区上大崎四丁目２－１,35.63106,139.71547,目黒,三田線,東京都,35.633272,139.7155,データなし,9930301,1130203
品川区,上大崎４丁目,-,東京都品川区上大崎四丁目２－１,35.63106,139.71547,目黒,南北線,東京地下鉄,35.633272,139.7155,データなし,2800919,1130203
品川区,上大崎４丁目,-,東京都品川区上大崎四丁目２－１,35.63106,139.71547,目黒,目黒線,東京急行電鉄,35.633272,139.7155,"286,145",2600201,1130203
品川区,上大崎２丁目,-,東京都品川区上大崎二丁目１６－９,35.63765,139.71546,目黒,山手線,東日本旅客鉄道,35.633923,139.715775,"231,120",1130203,1130203
江東区,門前仲町２丁目,-,東京都江東区門前仲町１丁目,35.67251,139.79579,門前仲町,東西線,東京地下鉄,35.671851,139.796209,"117,845",2800412,2800412
江東区,門前仲町１丁目,-,東京都江東区門前仲町１丁目,35.67326,139.79428,門前仲町,大江戸線,東京都,35.671851,139.796209,"88,879",9930116,2800412
千代田区,丸の内３丁目,大丸有,東京都千代田区有楽町一丁目１１－１,35.67682,139.76331,有楽町,有楽町線,東京地下鉄,35.675714,139.763265,"176,997",2800618,1130225
千代田区,丸の内３丁目,大丸有,東京都千代田区有楽町二丁目９,35.67682,139.76331,有楽町,京浜東北線,東日本旅客鉄道,35.675441,139.763806,"346,006",1130225,1130225
