指標名,コンビニ,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2022/2/2取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2020年度：2,130件、2021年度：2342件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,,区,軒数,セブン,ローソン,ファミリーマート,その他
品川区,南品川２丁目,-,東京都品川区南品川2-17-37中台ビル,35.612756,139.74429,ローソンストア100 LS青物横丁店,,,,,,,
新宿区,西落合２丁目,-,東京都新宿区西落合2-5-9,35.721286,139.678567,ローソンストア100 LS西落合二丁目店,,,,,,,
江東区,大島４丁目,-,東京都江東区大島4-5-11籐和西大島コープ,35.689129,139.827769,ローソンストア100 LS西大島店,,,,,,,
品川区,西大井５丁目,-,東京都品川区西大井5-11-16,35.599976,139.719554,ローソンストア100 LS西大井五丁目店,,,,,,,
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-8-3,35.685621,139.689348,ローソンストア100 LS西新宿三丁目店,,,,,,,
新宿区,百人町１丁目,-,東京都新宿区百人町1-11-22リサビル,35.701186,139.699774,ローソンストア100 LS新大久保駅前店,,,,,,,
新宿区,新宿６丁目,-,東京都新宿区新宿6-27-2,35.696029,139.709521,ローソンストア100 LS新宿文化センター前店,,,,,,,
新宿区,百人町４丁目,-,東京都新宿区百人町4-9-5,35.709352,139.694219,ローソンストア100 LS新宿百人町四丁目店,,,,,,,
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2-18-18,35.711085,139.710942,ローソンストア100 LS新宿早稲田通店,,,,,,,
新宿区,住吉町,-,東京都新宿区住吉町8-22,35.693329,139.721442,ローソンストア100 LS新宿住吉町店,,,,,,,
新宿区,新宿５丁目,-,東京都新宿区新宿5-6-2,35.691968,139.709485,ローソンストア100 LS新宿五丁目店,,,,,,,
新宿区,新宿１丁目,-,東京都新宿区新宿1-34-16,35.691165,139.711323,ローソンストア100 LS新宿一丁目店,,,,,,,
渋谷区,本町６丁目,-,東京都渋谷区本町6-8-3,35.682682,139.678641,ローソンストア100 LS渋谷本町六丁目店,,,,,,,
渋谷区,本町３丁目,-,東京都渋谷区本町3-48-21,35.68769,139.683037,ローソンストア100 LS渋谷本町三丁目店,,,,,,,
渋谷区,恵比寿２丁目,-,東京都渋谷区恵比寿2-16-1,35.647276,139.717977,ローソンストア100 LS渋谷恵比寿二丁目店,,,,,,,
江東区,住吉２丁目,-,東京都江東区住吉2-7-12はせ川ビル,35.688399,139.815452,ローソンストア100 LS住吉駅前店,,,,,,,
港区,芝浦２丁目,-,東京都港区芝浦2-17-12,35.644905,139.752008,ローソンストア100 LS芝浦二丁目店,,,,,,,
新宿区,四谷２丁目,-,東京都新宿区四谷2-8,35.686983,139.725239,ローソンストア100 LS四谷二丁目店,,,,,,,
品川区,東大井１丁目,-,東京都品川区東大井1-2-11ウエノ東大井ハイツ,35.605543,139.74321,ローソンストア100 LS鮫洲店,,,,,,,
港区,高輪１丁目,-,東京都港区高輪1-26-13,35.637777,139.733546,ローソンストア100 LS高輪一丁目店,,,,,,,
江東区,白河２丁目,-,東京都江東区白河2-5-13,35.681324,139.803257,ローソンストア100 LS江東白河二丁目店,,,,,,,
江東区,大島６丁目,-,東京都江東区大島6-1-1,35.689793,139.83376,ローソンストア100 LS江東大島六丁目団地店,,,,,,,
江東区,森下３丁目,-,東京都江東区森下3-20-2,35.68801,139.802335,ローソンストア100 LS江東森下三丁目店,,,,,,,
品川区,戸越６丁目,-,東京都品川区戸越6-6-6三栄第一ビルB1F,35.608544,139.717331,ローソンストア100 LS戸越公園駅前店,,,,,,,
江東区,亀戸２丁目,-,東京都江東区亀戸2-36-11,35.700308,139.825284,ローソンストア100 LS亀戸二丁目店,,,,,,,
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-17-10,35.698009,139.705482,ローソンストア100 LS歌舞伎町二丁目店,,,,,,,
品川区,東品川１丁目,-,東京都品川区東品川1-39-9,35.619019,139.747379,ローソンサテライト 東品川一丁目店,,,,,,,
港区,芝公園４丁目,-,東京都港区芝公園4-2-8,35.658592,139.745441,ローソンサテライト 東京タワー店,,,,,,,
中央区,京橋２丁目,日八京,東京都中央区京橋2-16-1,35.676527,139.773082,ローソンサテライト 清水建設新社屋店,,,,,,,
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1-5-8,35.670732,139.706625,ローソンサテライト 神宮前タワービルディング店,,,,,,,
新宿区,新宿６丁目,-,東京都新宿区新宿6-27-30 1F,35.696798,139.708573,ローソンサテライト 新宿イーストサイドスクエア店,,,,,,,
品川区,西中延２丁目,-,東京都品川区西中延2-14-19,35.609666,139.705502,ローソンサテライト 昭和大学東病院店,,,,,,,
港区,芝公園１丁目,-,東京都港区芝公園1-5-25,35.658056,139.751455,ローソンサテライト 港区役所庁舎店,,,,,,,
港区,海岸２丁目,-,東京都港区海岸2-7-91,35.650138,139.760129,ローソンサテライト ポートストア日の出店,,,,,,,
千代田区,平河町２丁目,-,東京都千代田区平河町2-7-9,35.680258,139.740268,ローソンサテライト JA共済ビル店,,,,,,,
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-24-12,35.658488,139.702428,ローソンサテライト +toks渋谷スクランブルスクエアミクシィ店,,,,,,,
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-24-12,35.658488,139.702428,ローソンサテライト +toks渋谷スクランブルスクエア2号店,,,,,,,
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-6-2,35.684873,139.769327,ローソンサテライト  JOB HUB SQUARE店,,,,,,,
港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-3-1,35.65957,139.74906,ローソンS 東京プリンスホテル店,,,,,,,
港区,芝公園４丁目,-,東京都港区芝公園4-8-1,35.655437,139.747047,ローソンS ザ・プリンスパークタワー東京店,,,,,,,
品川区,荏原１丁目,-,東京都品川区荏原1-16-1,35.61956,139.71642,ローソンLTF 荏原一丁目店,,,,,,,
千代田区,神田須田町２丁目,-,東京都千代田区神田須田町2-21,35.696361,139.771071,ローソン・スリーエフ 万世本店,,,,,,,
品川区,小山台１丁目,-,東京都品川区小山台1-20-20,35.622659,139.705432,ローソン・スリーエフ 品川小山台店,,,,,,,
品川区,戸越６丁目,-,東京都品川区戸越6-7-26,35.608447,139.717865,ローソン・スリーエフ 品川戸越公園駅前店,,,,,,,
品川区,南大井３丁目,-,東京都品川区南大井3-6-18,35.59223,139.734033,ローソン・スリーエフ 南大井店,,,,,,,
江東区,大島７丁目,-,東京都江東区大島7-41-10,35.692907,139.843507,ローソン・スリーエフ 大島七丁目店,,,,,,,
新宿区,大久保１丁目,-,東京都新宿区大久保1-15-15,35.701114,139.703318,ローソン・スリーエフ 大久保通店,,,,,,,
江東区,森下２丁目,-,東京都江東区森下2-23-2,35.688729,139.798447,ローソン・スリーエフ 江東森下二丁目店,,,,,,,
