指標名,インターナショナルスクール,,,,,,,,,
出典,PLAZA HOMES,,,,,,,,,
年次,2022/1/17,,,,,,,,,
URL,https://www.plazahomes.co.jp/living-in-tokyo/international-schools/,,,,,,,,,
備考,（2019年度：53件、2020年度：59件、2021年度：63件）,,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,英語名,対象,共学/別学,URL
港区,麻布台２丁目,,東京都港区麻布台2-1-1,35.659434,139.741336,在日ロシア大使館付属学校,Russian Embassy School in Tokyo,Grade 1 - 11,共学,http://russchooljp.ru/
港区,芝公園３丁目,,東京都港区芝公園3-6-25,35.659995,139.743822,聖公会聖オルバン教会　保育園,St. Alban's Nursery,2 - 5歳,共学,http://www.saintalbans.jp/?page_id=177
港区,元麻布２丁目,,東京都港区元麻布2-14-7,35.653762,139.730593,西町インターナショナルスクール,Nishimachi International School,幼稚園 - 9年生,共学,https://www.nishimachi.ac.jp/
港区,南麻布２丁目,,東京都港区南麻布2-13-6,35.64729,139.734787,東京インターナショナルスクール,Tokyo International School,幼稚園 - 8年生(4 - 14歳）,共学,https://www.tokyois.com/tokyois/
港区,白金台５丁目,,東京都港区白金台5-17-1,35.637563,139.723416,葉山インターナショナルスクール 白金校,Hayama International School Shirokane,2 - 6歳,共学,https://hayama-international.co.jp/shirokane/
渋谷区,松涛１丁目,,東京都渋谷区松濤1-23-17 ヴィラ松濤,35.660516,139.692529,Louis Academy.,Louis Academy.,"Pre-school, Kindergarten",共学,https://louis-academy.com/
渋谷区,恵比寿西１丁目,,東京都渋谷区恵比寿西1-31-18,35.648206,139.70524,エリートオープンスクール,Elite Open School,5 - 12年生,共学,https://eliteopenschooltokyo.com/
渋谷区,神宮前３丁目,,東京都渋谷区神宮前3-38-3,35.67179,139.713613,ジンジャーツリー・インターナショナル・スクール,Gingertree international school,2 - 6歳,共学,http://www.ginger-tree.jp/english/
渋谷区,広尾１丁目,,東京都渋谷区広尾1-5-14,35.649329,139.713611,セサミ・インターナショナル・プリスクール,Sesame International Preschool,1 - 6歳,共学,http://sesame.tokyo/
渋谷区,恵比寿南１丁目,,東京都渋谷区恵比寿南1-13-2,35.645621,139.710267,プライムインターナショナルスクール,Prime International School,18ヶ月 - 6歳,共学,http://www.ep-prime.com/
渋谷区,渋谷１丁目,,東京都渋谷区渋谷1-21-18,35.663618,139.703289,ブリティッシュスクール東京　（渋谷キャンパス）,British School in Tokyo (Shibuya Campus),3 - 8歳 (3年),共学,http://www.bst.ac.jp/
渋谷区,恵比寿３丁目,,東京都渋谷区恵比寿3-9-20 恵比寿ガーデンイーストビル 2F,35.64406,139.715872,ペガサスインターナショナルスクール,Pegasus International School,15ヶ月 - 6歳,共学,http://www.ep-pegasus.com/
渋谷区,恵比寿４丁目,,東京都渋谷区恵比寿4-20-2 恵比寿ガーデンテラス弐番館1F,35.64249,139.714658,ポピンズアクティブラーニングインターナショナルスクール,Poppins Active Learning International School,11ヶ月 - 5歳（小学校前）,共学,http://www.poppins-palis.jp/
渋谷区,神宮前３丁目,,東京都渋谷区神宮前3-36-20-101,35.671379,139.711291,マリアズ・ベビーズ・ソサエティー,Maria's Babies' Society,0 - 6歳,共学,http://www.mariasbabies.co.jp/
渋谷区,大山町,,東京都渋谷区大山町1-13,35.667742,139.67658,ユーアイ インターナショナル イスラミック スクール,Yuai International Islamic school,"Kindergarden, Primary School, Secondary School",共学,https://www.yuaischooljapan.com/
渋谷区,富ケ谷２丁目,,東京都渋谷区富ヶ谷2-21-10 キジマビル,35.661768,139.68716,ユナイテッドスクールオブ東京（UST）,United School of Tokyo,3 - 12歳,共学,http://www.united-school.jp/
渋谷区,恵比寿西１丁目,,東京都渋谷区恵比寿西1-16-12,35.648856,139.707167,聖マリアン保育園,St. Marian Nursery School,生後45日 - 6歳,共学,http://www.st-marian.co.jp/
渋谷区,広尾４丁目,,東京都渋谷区広尾4-3-1,35.651359,139.720002,聖心インターナショナルスクール,International School of the Sacred Heart (ISSH),3歳 - 18歳,別学,https://www.issh.ac.jp/
渋谷区,広尾４丁目,,東京都渋谷区広尾4-3-1,35.651359,139.720002,聖心インターナショナルスクール　（幼稚園）,International School of the Sacred Heart ( Kindergarten ),3歳 - 5 歳,共学,https://www.issh.ac.jp/
渋谷区,大山町,,東京都渋谷区大山町39-20,35.670014,139.67635,代沢インターナショナルスクール　大山キャンパス (メイプル - オーク),DAIZAWA INTERNATIONAL SCHOOL  Oyama Campus (Maple - Oak),メイプル（3 - 4歳）、オーク（4 - 6歳）,共学,http://www.daizawaschool.com/index.html
千代田区,四番町,,東京都千代田区四番町3 -7,35.689327,139.738935,Phoenix House International school,Phoenix House International school,Grade 1-6,共学,https://www.phoenixhouseschool.org/
千代田区,飯田橋１丁目,,東京都千代田区飯田橋1-6-3 コウヨウビル2F,35.698674,139.74897,サクラの国　Au Pays des Sakuras,Au Pays des Sakuras,2 - 4歳,共学,https://aupaysdessakuras.com/
品川区,上大崎２丁目,,東京都品川区上大崎2-7-16,35.637947,139.716458,KAISインターナショナルスクール,KAIS International School,Grade 9 - 12,共学,http://www.kaischool.com/
品川区,北品川５丁目,,東京都品川区北品川5-8-20,35.619666,139.733205,カナディアン インターナショナル スクール,Canadian International School Tokyo,K3 - Grade12,共学,https://www.cisjapan.net/
品川区,東五反田５丁目,,東京都品川区東五反田5-11-1 E-101,35.6299,139.723336,東京チルドレンズガーデン,Tokyo Children's Garden,2 - 5歳,共学,http://www.tokyochildrensgarden.com/
品川区,東品川４丁目,,東京都品川区東品川4-8-8,35.609453,139.745807,品川インターナショナルスクール (旧JIES),Shinagawa International School (former JIES),3 - 11歳（6年生）,共学,http://sistokyo.jp/
中央区,晴海１丁目,,東京都中央区晴海1-8-2 晴海トリトンスクエア西地区,35.656121,139.781838,アオバジャパン・バイリンガルプリスクール（晴海キャンパス）,Aoba-Japan Bilingual Preschool (Harumi Campus),K1 - K5,共学,https://aoba-bilingual.jp/harumi/index_e/
中央区,築地１丁目,,東京都中央区築地1-5-5 クニビル2-6階,35.669903,139.771747,サンシャインキッズアカデミー,Sunshine Kids Academy,1歳 - 6歳,共学,https://www.sunshinekids-academy.com/
中央区,日本橋富沢町,,東京都中央区日本橋富沢町14-1 北祥ビル,35.689601,139.783057,フューチャー児童園 日本橋,Future Jidoen Nihonbashi,2歳 ｰ 6歳 未就学児,共学,https://nihonbashi.future-jidoen.com/en/
新宿区,高田馬場１丁目,,東京都新宿区高田馬場1-14-8 千代田ビル2号館,35.709433,139.705968,アオバジャパン・バイリンガルプリスクール（早稲田キャンパス）,Aoba-Japan Bilingual Preschool  (Waseda Campus),K1 - K5,共学,https://aoba-bilingual.jp/waseda/index_e
新宿区,新小川町,,東京都新宿区新小川町3-16 菊水ビル101,35.705484,139.741892,テゾーロインターナショナルスクール,Tesoro International School,2歳 - 6歳,共学,http://www.tesorointernationalschool.com/
新宿区,大久保２丁目,,東京都新宿区大久保2-23-9,35.704553,139.704349,東京早稲田インターナショナルクリスチャンスクール,Tokyo Waseda International Christian School,小学部、中学部、高等部,共学,http://www.wics.jp/index.php
江東区,白河１丁目,,東京都江東区白河1-5-15,35.682935,139.800405,K. インターナショナルスクール東京,K. International School Tokyo,保育園 - 12年生 (3歳-17歳）,共学,http://www.kist.ed.jp/
江東区,亀戸１丁目,,東京都江東区亀戸1-18-9,35.694631,139.823731,Tokyo Bay International School,Tokyo Bay International School,K1 - Grade8 (3歳-13歳）,共学,https://tokyobayinternationalschool.org/a/TBIS
江東区,東陽２丁目,,東京都江東区東陽2-2-20,35.665882,139.816032,東京YMCAインターナショナルスクール,Tokyo YMCA International School,Kindergarten - Grade 8,共学,http://tokyo.ymca.or.jp/tyis/
