指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2022/2/2取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：609件、2021年度：668件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
品川区,北品川２丁目,-,東京都品川区北品川2丁目30-28,35.617161,139.743826,荏原神社,神社
港区,元麻布１丁目,-,東京都港区元麻布1-6-21,35.653667,139.733509,麻布山 善福寺,寺院
新宿区,赤城元町,-,東京都新宿区赤城元町1-10,35.704853,139.736096,赤城神社,神社
新宿区,百人町１丁目,-,東京都新宿区百人町1-17-8,35.701095,139.697674,淀橋教会,教会
港区,麻布十番１丁目,-,東京都港区麻布十番1-4-6,35.657011,139.735059,十番稲荷神社,神社
新宿区,西新宿８丁目,-,東京都新宿区西新宿8丁目14-10,35.696209,139.692372,成子天神社,神社
品川区,二葉４丁目,-,東京都品川区二葉4-4-12,35.602484,139.715176,蛇窪神社,神社
中央区,佃１丁目,-,東京都中央区佃1丁目1-14,35.668,139.783332,住吉神社,神社
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-5-12,35.657541,139.706036,金王八幡宮,神社
品川区,戸越２丁目,-,東京都品川区戸越2-6-23,35.613402,139.720339,戸越八幡神社,神社
渋谷区,代々木５丁目,-,東京都渋谷区代々木5-1-1,35.672084,139.688535,代々木八幡宮,神社
江東区,深川２丁目,-,東京都江東区深川2-16-3,35.675503,139.796529,賢臺山 法乗院 深川 ゑんま堂,寺院
港区,西麻布３丁目,-,東京都港区西麻布3丁目21-6,35.659258,139.725221,カトリック東京大司教区 麻布教会,教会
渋谷区,宇田川町,-,東京都渋谷区宇田川町19-5,35.661677,139.699531,日本基督教団 東京山手教会,教会
新宿区,市谷砂土原町１丁目,-,東京都新宿区市谷砂土原町1-1 保健会館別館 1F,35.694213,139.736282,日本福音ルーテル市ヶ谷教会,教会
新宿区,下落合３丁目,-,東京都新宿区下落合3-19-4,35.722726,139.703187,日本聖公会東京教区 目白聖公会,教会
港区,高輪３丁目,-,東京都港区高輪3丁目15-15,35.634794,139.733276,日本キリスト教団高輪教会,教会
港区,西麻布２丁目,-,東京都港区西麻布2丁目21-34,35.661136,139.71901,大本山永平寺別院長谷寺,寺院
港区,南青山２丁目,-,東京都港区南青山2-26-38,35.669601,139.71799,浄土宗 梅窓院,寺院
港区,東新橋２丁目,虎ノ門広域,東京都港区東新橋2丁目1-1,35.663325,139.758284,日比谷神社,神社
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1丁目18-9,35.685537,139.782549,大観音寺,寺院
渋谷区,代々木５丁目,-,東京都渋谷区代々木5-1-1,35.672084,139.688535,代々木八幡宮,神社
品川区,大崎３丁目,-,東京都品川区大崎3-8-20,35.61986,139.725111,大崎鎮守 居木神社,神社
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2丁目25-20,35.686823,139.784057,末広神社,神社
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1-5-3,35.671806,139.705927,東郷神社,神社
港区,元麻布１丁目,-,東京都港区元麻布1-4-23,35.652865,139.73104,麻布氷川神社,神社
品川区,東五反田５丁目,-,東京都品川区東五反田5-15-17,35.628462,139.722361,薬師寺東京別院,寺院
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-17-5,35.697753,139.705313,稲荷鬼王神社,神社
江東区,亀戸３丁目,-,東京都江東区亀戸3丁目57-22,35.704461,139.825539,亀戸香取神社,神社
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2丁目1-14,35.706739,139.717769,放生寺,寺院
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1-1,35.675875,139.699897,明治神宮 神楽殿,寺院
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5丁目26-6,35.664999,139.704147,穏田神社,神社
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2丁目11-6,35.688098,139.785327,笠間稲荷神社東京別社,神社
新宿区,市谷八幡町,-,東京都新宿区市谷八幡町15,35.692713,139.73373,市谷亀岡八幡宮,神社
中央区,築地６丁目,-,東京都中央区築地6-20-37,35.663484,139.771569,波除稲荷神社,神社
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2-1-11,35.707225,139.717353,穴八幡神社,神社
千代田区,平河町１丁目,-,東京都千代田区平河町1-7-5,35.682428,139.740749,平河天満宮,神社
江東区,白河１丁目,-,東京都江東区白河1丁目3-32,35.681494,139.800204,霊巌寺,寺院
千代田区,九段北１丁目,-,東京都千代田区九段北1-14-21,35.696066,139.749981,築土神社,神社
千代田区,外神田３丁目,-,東京都千代田区外神田3-5-11,35.701896,139.770263,神田キリスト教会,教会
渋谷区,神山町,-,東京都渋谷区神山町16-1,35.663801,139.692862,パーフェクトリバティー教団 東京中央教会,教会
港区,元麻布２丁目,-,東京都港区元麻布2丁目14-16,35.652406,139.730287,日本基督教団 安藤記念教会,教会
新宿区,下落合２丁目,-,東京都新宿区下落合2丁目15-11,35.719187,139.703829,日本バプテストキリスト教目白ヶ丘教会,教会
新宿区,四谷１丁目,-,東京都新宿区四谷1-14,35.684528,139.727467,四谷新生教会,教会
渋谷区,東２丁目,-,東京都渋谷区東2-5-6,35.655075,139.710822,渋谷氷川神社,神社
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-12-6,35.709113,139.707706,新宿諏訪神社,神社
新宿区,筑土八幡町,-,東京都新宿区筑土八幡町2-1,35.704193,139.740587,筑土八幡神社,神社
港区,南麻布４丁目,-,東京都港区南麻布4丁目11-25,35.647407,139.727446,光林寺,寺院
港区,白金台１丁目,-,東京都港区白金台1丁目1-47,35.639699,139.731632,清正公大祭,寺院
新宿区,原町１丁目,-,東京都新宿区原町1丁目14,35.699273,139.725344,経王寺,寺院
新宿区,早稲田町,-,東京都新宿区早稲田町77,35.705739,139.723902,龍善寺・真宗大谷派,寺院
渋谷区,代官山町,-,東京都渋谷区代官山町14-3,35.650503,139.703631,代官山教会,教会
渋谷区,恵比寿南３丁目,-,東京都渋谷区恵比寿南3-11-16,35.644926,139.706651,聖徒教会,教会
港区,赤坂６丁目,赤坂,東京都港区赤坂6-9-6,35.669199,139.736925,赤坂教会,教会
渋谷区,代官山町,-,東京都渋谷区代官山町8-2,35.651631,139.705412,日本基督教団 本多記念教会,教会
渋谷区,広尾５丁目,-,東京都渋谷区広尾5-9-7,35.649204,139.721263,21世紀キリスト教会  広尾チャペル,教会
品川区,上大崎４丁目,-,東京都品川区上大崎4-6-22,35.632155,139.715564,カトリック東京大司教区 目黒教会,教会
港区,元麻布３丁目,-,東京都港区元麻布3-13-10,35.655834,139.731423,麻布グレイスゴスペル教会,教会
新宿区,四谷４丁目,-,東京都新宿区四谷4-34,35.690618,139.715587,東長寺,寺院
江東区,富岡１丁目,-,東京都江東区富岡1丁目15-1,35.67202,139.798023,永代寺,寺院
江東区,森下１丁目,-,東京都江東区森下1-3-17,35.686424,139.797489,深川神明宮,神社
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1丁目6-16,35.680949,139.77906,日枝神社日本橋摂社,神社
港区,白金２丁目,-,東京都港区白金2丁目1-7,35.643149,139.731285,白金氷川神社,神社
中央区,湊１丁目,-,東京都中央区湊1-6-7,35.672441,139.779721,鉄砲洲稲荷神社,神社
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3丁目10-10,35.665122,139.747957,栄閑院猿寺,寺院
新宿区,北新宿３丁目,-,東京都新宿区北新宿3-16-18,35.704508,139.691564,鎧神社,神社
港区,三田３丁目,-,東京都港区三田3-7-16,35.643183,139.741648,御田八幡神社,神社
港区,芝公園４丁目,-,東京都港区芝公園4-8-55,35.656509,139.746522,宝珠院,寺院
江東区,富岡１丁目,-,東京都江東区富岡1-20-3,35.671906,139.799626,富岡八幡宮,神社
港区,六本木２丁目,六本木,東京都港区六本木2-1-16,35.66726,139.738272,久国神社,神社
港区,高輪２丁目,-,東京都港区高輪2丁目14-18,35.635447,139.737879,宗教法人高輪神社,神社
中央区,日本橋堀留町１丁目,-,東京都中央区日本橋堀留町1-10-2,35.688487,139.77963,椙森神社,神社
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-12-16,35.660219,139.703673,宮益御嶽神社,神社
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-17-17,35.661285,139.703106,美竹教会,教会
品川区,旗の台５丁目,-,東京都品川区旗の台5-27-11,35.601678,139.701394,旗の台キリスト教会,教会
渋谷区,南平台町,-,東京都渋谷区南平台町9-14,35.654361,139.696973,日本キリスト教団 聖ヶ丘教会,教会
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-16-4 アーバン虎ノ門ビル 3F,35.668447,139.74904,日本基督教団 芝教会,教会
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-1 お茶の水クリスチャンセンタービル404号,35.699385,139.762213,東京プレヤーセンター,教会
渋谷区,広尾５丁目,-,東京都渋谷区広尾5丁目1-21,35.649834,139.719144,祥雲寺,寺院
港区,白金台３丁目,-,東京都港区白金台3丁目2-19,35.637302,139.726949,瑞聖寺,寺院
港区,元麻布１丁目,-,東京都港区元麻布1丁目7-2,35.653159,139.733512,善通寺,寺院
品川区,北品川２丁目,-,東京都品川区北品川2-4-18,35.619319,139.743193,一心寺,寺院
中央区,東日本橋２丁目,-,東京都中央区東日本橋2丁目6-8,35.692692,139.785924,薬研堀不動院,寺院
新宿区,喜久井町,-,東京都新宿区喜久井町39,35.7036,139.720964,感通寺,寺院
千代田区,九段北１丁目,-,東京都千代田区九段北1-14-21,35.696066,139.749981,築土神社,神社
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町3-2,35.690734,139.777813,身延別院,寺院
港区,西麻布３丁目,-,東京都港区西麻布3丁目2-17,35.659261,139.727118,櫻田神社,神社
港区,三田２丁目,-,東京都港区三田2-13-9,35.64959,139.744314,三田春日神社,神社
品川区,大井６丁目,-,東京都品川区大井6丁目18-36,35.595349,139.730095,鹿島神社,神社
新宿区,西早稲田３丁目,-,東京都新宿区西早稲田3-5-43,35.711327,139.715842,水稲荷神社,神社
江東区,木場６丁目,-,東京都江東区木場6丁目13-13,35.668448,139.807736,洲崎神社,神社
港区,六本木７丁目,六本木,東京都港区六本木7-7-7,35.665088,139.728978,天祖神社・龍土神明宮,神社
中央区,銀座４丁目,-,東京都中央区銀座4丁目2-1,35.672899,139.764286,銀座教会,教会
品川区,旗の台２丁目,-,東京都品川区旗の台2-8-3,35.606605,139.702741,日本基督教団洗足教会,教会
港区,高輪３丁目,-,東京都港区高輪3丁目16-16,35.634031,139.735537,東禅寺,寺院
新宿区,西新宿７丁目,-,東京都新宿区西新宿7-12-5,35.69372,139.696544,常圓寺,寺院
渋谷区,鴬谷町,-,東京都渋谷区鶯谷町10-15,35.653178,139.702484,乗泉寺,寺院
新宿区,若葉２丁目,-,東京都新宿区若葉2-9,35.684597,139.725678,西念寺,寺院
新宿区,百人町１丁目,-,東京都新宿区百人町1-11-16,35.701264,139.699502,皆中稲荷神社,神社
港区,台場１丁目,-,東京都港区台場1-7-1 アクアシティお台場7F,35.627816,139.773531,アクアシティお台場神社,神社
港区,三田４丁目,-,東京都港区三田4-11-19,35.643913,139.73842,玉鳳寺,寺院
品川区,大井１丁目,-,東京都品川区大井1-14-3,35.607586,139.7318,大井蔵王権現神社,神社
渋谷区,広尾５丁目,-,東京都渋谷区広尾5-1-21,35.649834,139.719144,香林院,寺院
新宿区,大久保２丁目,-,東京都新宿区大久保2丁目27-18,35.702317,139.703896,夫婦木神社,神社
渋谷区,千駄ケ谷２丁目,-,東京都渋谷区千駄ヶ谷2丁目24-1,35.675676,139.711574,仙寿院,寺院
品川区,旗の台３丁目,-,東京都品川区旗の台3-6-12,35.604639,139.70783,旗岡八幡神社,神社
港区,元麻布３丁目,-,東京都港区元麻布3-12-10,35.656003,139.731298,麻布セント・メアリー教会,教会
港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-6-18,35.660367,139.744455,聖アンデレ教会,教会
