指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2022/1/17取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention-venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件、2020年度：199件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
中央区,日本橋室町２丁目,日八京,〒103-0022 東京都中央区日本橋室町2-2-1 東京都COREDO室町1 東京都5階,35.6867190,139.7741860,日本橋三井ホール,http://www.nihonbashi-hall.jp/
千代田区,丸の内１丁目,大丸有,〒100-0005 東京都千代田区丸の内1-8-1丸の内トラストタワーN館3階,35.6832180,139.7697610,トラストシティ カンファレンス・丸の内,http://www.mori-trust.co.jp/tcc-m/
中央区,京橋２丁目,日八京,〒104-0031 東京都中央区京橋2-1-3京橋トラストタワー4階,35.6778520,139.7700740,トラストシティ カンファレンス・京橋,http://www.tcc-kaigishitsu.com/tcc-k/
中央区,日本橋蛎殻町２丁目,-,〒103-8520 東京都中央区日本橋蛎殻町2-1-1,35.6823800,139.7865930,ロイヤルパークホテル,http://www.rph.co.jp
中央区,日本橋室町２丁目,日八京,〒103-8328 東京都中央区日本橋室町2-1-1,35.6863930,139.7729210,マンダリン オリエンタル 東京,http://www.mandarinoriental.co.jp/tokyo/
千代田区,丸の内１丁目,大丸有,〒100-8283 東京都千代田区丸の内1-8-3丸の内トラストタワー本館,35.6825350,139.7693800,シャングリ・ラ ホテル 東京,http://www.shangri-la.com
千代田区,大手町１丁目,大丸有,〒100-0004 東京都千代田区大手町1-4-1,35.6905110,139.7605470,KKRホテル東京,http://www.kkr-hotel-tokyo.gr.jp
千代田区,大手町１丁目,大丸有,〒100-8066 東京都千代田区大手町1-3-7,35.6886860,139.7622580,日経ホール＆カンファレンスルーム,http://www.nikkei-hall.com/
中央区,京橋３丁目,日八京,〒104-0031 東京都中央区京橋3-1-1 東京都東京スクエアガーデン5階,35.6760350,139.7687140,東京コンベンションホール,http://tokyo.conventionhall.jp/
中央区,日本橋１丁目,日八京,〒103-0027 東京都中央区日本橋1-3-13 東京都東京建物日本橋ビル2階,35.6831000,139.7731030,コングレスクエア日本橋,http://congres-square.jp/nihonbashi/
港区,六本木６丁目,六本木,〒106-6149 東京都港区六本木6-10-1六本木ヒルズ森タワー49階,35.6604160,139.7292480,六本木アカデミーヒルズ,http://www.academyhills.com
港区,赤坂９丁目,六本木,〒107-0052 東京都港区赤坂9-7-2,35.6652320,139.7312690,東京ミッドタウン ホール& カンファレンス,http://www.tokyo-midtown.com
千代田区,平河町２丁目,-,〒102-0093 東京都千代田区平河町2-4-1,35.6811590,139.7388020,都市センターホテル,http://www.toshicenter.co.jp
千代田区,平河町２丁目,-,〒102-0093 東京都千代田区平河町2-7-5,35.6796980,139.7403020,砂防会館別館(シェーンバッハ・サボー),http://www.sabo.or.jp
港区,六本木１丁目,虎ノ門,〒106-0032 東京都港区六本木1-5-2,35.6646440,139.7407220,泉ガーデンギャラリー,https://www.bellesalle.co.jp/shisetsu/roppongi/izumig_gallery/
千代田区,永田町２丁目,赤坂,〒100-0014 東京都千代田区永田町2-16-2,35.6767460,139.7407460,星陵会館,http://www.seiryokai.org
千代田区,平河町２丁目,-,〒102-0093 東京都千代田区平河町2-6-4海運ビル,35.6793870,139.7396350,海運クラブ,http://kaiunclub.org/
千代田区,麹町６丁目,-,〒102-0083 東京都千代田区麹町6-6,35.6855750,139.7322410,スクワール麹町,http://www.square.or.jp
千代田区,麹町５丁目,-,〒102-0083 東京都千代田区麹町5-1,35.6838420,139.7349470,弘済会館,http://www.kousaikai.or.jp/hall/
千代田区,霞が関３丁目,虎ノ門広域,〒100-0013 東京都千代田区霞が関3-2-1 東京都霞ヶ関コモンゲート西館37階,35.6718490,139.7479770,霞山会館,http://www.kazankk.org/
港区,虎ノ門２丁目,虎ノ門,〒105-0001 東京都港区虎ノ門2-9-16,35.6681080,139.7464930,ニッショーホール(日本消防会館),http://nissho-hall.jp/
千代田区,北の丸公園,-,〒102-0091 東京都千代田区北の丸公園2-1,35.6911890,139.7530230,科学技術館,http://www.event-jsf.jp
千代田区,北の丸公園,-,〒102-8321 東京都千代田区北の丸公園2-3,35.6933940,139.7498230,日本武道館,http://www.nipponbudokan.or.jp
