指標名,ナイトライフ施設,,,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,,,
年次,2022/1/17,,,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
備考,（2020年度：340件、2021年度：343件）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用額,URL
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-45-3 セントオフィスビル2F,35.68225,139.69835,shirokuma,バー ･ イベントスペース,House ･ HipHop ･ Funk ･ Jazz ･ Others,03-3375-8275,20:00-24:00,不定休,,1500円,http://sake-shirokuma.com/
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町4-4-15 朝日ビル本館 B1F,35.68879,139.77125,Extrawelt,カフェ ･ バー,HipHop ･ R&B ･ All Genre ･ House ･ Techno,03-3527-9494,カフェ11:00～ / バー18:00～,無休,,2000円,
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-7-3 東京ビルTOKIA 2F,35.67854,139.76491,COTTON CLUB,ライブレストラン,Others ･ Live ･ Jazz,03-3215-1555,月-金 17:00-23:00 / 土･日･祝 16:00-22:30,不定休,着席180名,5000円～,
港区,海岸２丁目,-,東京都港区海岸2-7-104,35.65069,139.76047,JICOO,船上バーラウンジ,Allmix ･ Techno ･ Others ･ Electronic ･ Jazz,0120-049-490,木･金･土 20:00-23:00,,130人,5000円,
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-23-4,35.67453,139.71105,bar bonobo,DJバー,House ･ Electronic ･ Lounge ･ All Genre,03-6804-5542,,不定休,50名前後,2500円,
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-15-8 西新宿パールビルB1F,35.68387,139.68973,WALL,ライブハウス,Live ･ Others ･ POPs ･ Rock ･ All Genre,03-5351-6241,ライブスケジュールにより異なる,,約180人,,
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷2-8-15 幡ヶ谷K3ビルB1F,35.67797,139.67700,FORESTLIMIT,イベントスペース ･ カフェ,Live ･ Others ･ Electronic ･ Jazz ･ All Genre,03-6276-2886,イベントスケジュールにより変動,不定休,100人,,
新宿区,四谷２丁目,-,東京都新宿区四谷2-10 第2太郎ビルB1F,35.68771,139.72511,OUTBREAK,ライブハウス,POPs ･ Live ･ Rock ･ Others,03-5368-0852,※イベントスケジュールにより異なる,,230人,2500円,
渋谷区,西原２丁目,-,東京都渋谷区西原2-27-4 B1,35.67522,139.67830,CLUB HEAVY SICK,CLUB ･ ライブハウス,HipHop ･ Rock ･ Reggae ･ Live,03-3466-1445,※スケジュールにより異なる,不定休,100人,1500円～2000円,
港区,芝５丁目,-,東京都港区芝5-36-7 三田ベルジュビルB1F,35.64481,139.74492,GUARDIAN DININGBAR & SOUL,ダイニングバー,Soul ･ Jazz ･ Lounge ･ Live ･ Others,03-5419-6718,ランチ 平日11:00-14:30ディナー 月-木 18:00-23:30 / 金 18:00-03:00,土 ･ 日 ･ 祝 (貸切は営業),120人,4000円,
渋谷区,幡ケ谷１丁目,-,東京都渋谷区幡ヶ谷1-1-5 第一岩田ビルB1F,35.67763,139.67896,SCUBA,ダイニングバー,Allmix ･ Disco ･ R&B ･ 70s ･ 80s,03-3376-2684,月-土 21:00-04:00,日 (祝日の場合営業),,3500円,
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-28-9 代々木VILLAGE,35.68171,139.70112,Village Music Bar,ミュージックバー,Techno ･ Electronic ･ R&B ･ Jazz ･ Disco ･ etc.,03-6276-8440,18:00-03:00 / 日･祝18:00-24:00,不定休,,3000円～,
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-7-3 東京ビルTOKIA1F,35.67854,139.76491,P.C.M. PUB CARDINAL MARUNOUCHI,バー ･ ラウンジ,Lounge ･ Allmix ･ etc.,03-5222-1251,月-土11:00-04:00 / 日･祝11:00-23:00,無休,着席50人 / スタンディング100人,3500円,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-4-3 YUITO/日本橋室町野村ビル4F,35.68738,139.77392,XEX Nihonbashi,バー ･ ラウンジ,Lounge ･ House ･ Jazz ･ Disco ･ Live,03-3548-0065,ランチ 11:00-15:00カフェ 15:00-17:00ディナー17:30-26:00 (月～木･祝前)17:30-29:00 (17:30-29:00)17:30-23:30 (17:30-23:30)※最新の情報とは異なる可能性がございます。事前にご確認下さい,無休,300人,5000円,
港区,海岸１丁目,-,東京都港区海岸1-10-45 アトレ竹芝(シアター棟) 1F,35.65692,139.76192,BANK30,ラウンジ,Others,03-5422-1094,11:00-24:00,アトレ竹芝の営業に準ずる,当面はカウンター席・テラス席のみ利用可,,
渋谷区,円山町,-,東京都渋谷区円山町2-16 スタジオアリアス1F-4F,35.65833,139.69502,WOMB,CLUB,House ･ Techno ･ Minimal ･ Drum&Bass ･ Electro ･ HipHop ･ TRAP ･ Allmix ･ Trance ･ DUBSTEP ･ etc.,03-5459-0039,22:00-04:30 ※イベントにより変動の為、要確認,不定休,全フロア計1000人,"平日 3,000円 / 週末 5,000円",2000年4月8日
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-10-12 新大宗ビル4号館B2F,35.65869,139.69775,Contact,CLUB,House ･ Techno ･ Electronic ･ DUB ･ etc.,03-6427-8107,22:00～ ※イベントにより異なる,(木曜が休みとなる場合がある ※要確認),600名,"3,500円",https://www.contacttokyo.com/
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-26-16,35.65417,139.70558,CIRCUS TOKYO,イベントスペース,House ･ Techno ･ Electro ･ etc.,03-6419-7520,※イベントによって異なる,,約100m2 / 200名以上,"2,500円～",http://circus-tokyo.jp/
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-25-6 渋谷パークサイド共同ビル9F,35.65960,139.70151,DJ Bar&Lounge WREP,DJバー,HipHop,03-3409-6580,20:00-05:00 (月～土),(日曜日は休みとなる場合がある),,"2,000円～ドリンク 700円～1,000円ソフトドリンク 500円～",
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-25-6 パークサイド共同ビル10F,35.65960,139.70151,DJ BAR Bridge,バー,House ･ Disco ･ Reggae ･ DUBSTEP ･ HipHop ･ Jazz,03-6427-6568,月-土 20:00-05:00,不定 (祝前でない日曜は休みとなる場合が多い),100名未満 目算,"2,500円",https://bridge-shibuya.com/
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-21-3 4F,35.65732,139.70302,Bar&Dining TORRENT,バー＆ダイニング,Lounge ･ HipHop ･ House ･ Techno ･ R&B ･ BassMusic ･ Disco ･ etc.,03-6427-1358,バー営業: 17:00-24:00(DJ: 20:30-23:30 ※変動の為、要確認),無し,100名 (全91席),"1,500円",
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-14-8 TSUTAYA O-EAST内2F,35.65868,139.69557,東間屋 (AZUMAYA),バー,Techno ･ House ･ Disco ･ Soul ･ Electro,03-6416-4184,21:00-04:30,日 (祝前日の場合を除く),(35名～ ※目算),"2,500円～ドリンク 800円前後～",https://azumaya.jp/
